년도,월,나이,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2020,3,총,"71,248","6,052","4,498","5,272","8,182","5,721","5,491","5,581","5,543","3,923","4,642","7,800","4,464","4,079"
2020,3,0,"3,736",477,205,362,485,297,212,215,249,172,288,434,182,158
2020,3,10,"5,182",582,295,462,723,452,338,354,380,247,336,490,282,241
2020,3,20,"10,261",666,557,604,"1,046",874,982,794,857,705,698,"1,235",697,546
2020,3,30,"9,226",702,624,600,968,755,740,675,700,503,680,"1,144",596,539
2020,3,40,"10,530","1,000",717,699,"1,234",866,809,853,763,559,709,"1,181",605,535
2020,3,50,"12,313",994,830,895,"1,459",971,903,"1,068",994,651,754,"1,290",776,728
2020,3,60,"10,789",776,686,865,"1,213",837,803,887,920,566,664,"1,097",725,750
2020,3,70,"6,426",547,382,514,699,496,501,535,516,357,367,658,435,419
2020,3,80,"2,542",278,189,237,327,156,184,185,153,149,135,246,153,150
2020,3,90,223,30,11,32,26,17,16,13,8,13,11,23,12,11
2020,3,100,20,0,2,2,2,0,3,2,3,1,0,2,1,2
2020,4,총,"71,130","6,014","4,474","5,250","8,190","5,699","5,498","5,601","5,519","3,930","4,657","7,796","4,454","4,048"
2020,4,0,"3,724",469,203,360,490,296,212,219,245,168,288,438,180,156
2020,4,10,"5,163",581,297,460,715,445,333,355,379,246,340,490,281,241
2020,4,20,"10,253",666,547,598,"1,040",873,988,799,865,713,702,"1,230",688,544
2020,4,30,"9,217",693,624,602,983,756,747,676,685,506,676,"1,141",597,531
2020,4,40,"10,498","1,000",717,700,"1,230",855,801,857,750,563,710,"1,171",607,537
2020,4,50,"12,273",982,813,880,"1,460",963,916,"1,071",997,656,757,"1,300",767,711
2020,4,60,"10,803",777,688,869,"1,220",839,797,886,916,563,670,"1,099",730,749
2020,4,70,"6,408",542,375,512,695,499,503,540,517,354,368,656,434,413
2020,4,80,"2,546",273,196,236,329,156,180,184,153,147,136,246,156,154
2020,4,90,226,31,12,31,26,17,18,13,9,13,10,23,13,10
2020,4,100,19,0,2,2,2,0,3,1,3,1,0,2,1,2
