년도,월,나이,청양군,청양읍,운곡면,대치면,정산면,목면,청남면,장평면,남양면,화성면,비봉면
2020,1,총,"31,577","10,224","2,219","2,291","3,615","1,575","1,975","2,399","2,829","2,239","2,211"
2020,1,0,"1,365",698,57,83,163,30,48,81,87,66,52
2020,1,10,"2,157","1,014",107,94,278,83,118,125,112,115,111
2020,1,20,"2,915","1,387",172,167,340,115,131,132,202,128,141
2020,1,30,"2,224",952,119,126,283,83,106,139,155,122,139
2020,1,40,"3,323","1,307",193,225,419,144,197,231,243,182,182
2020,1,50,"5,514","1,712",393,443,641,315,324,378,501,393,414
2020,1,60,"5,892","1,484",435,490,627,322,429,526,584,496,499
2020,1,70,"4,496",941,391,353,495,249,340,457,511,393,366
2020,1,80,"3,252",627,319,280,323,206,241,288,387,311,270
2020,1,90,419,95,33,30,44,27,39,39,47,32,33
2020,1,100,20,7,0,0,2,1,2,3,0,1,4
2020,2,총,"31,385","10,170","2,191","2,286","3,596","1,562","1,965","2,385","2,795","2,230","2,205"
2020,2,0,"1,350",692,55,82,158,30,48,81,86,66,52
2020,2,10,"2,127","1,004",98,93,278,81,118,125,106,113,111
2020,2,20,"2,839","1,349",166,162,335,113,124,130,197,125,138
2020,2,30,"2,199",948,112,121,282,81,105,133,152,123,142
2020,2,40,"3,285","1,302",191,224,419,140,194,227,231,175,182
2020,2,50,"5,461","1,697",388,443,630,310,319,375,499,387,413
2020,2,60,"5,902","1,494",439,494,632,324,427,526,575,502,489
2020,2,70,"4,512",948,391,354,497,247,346,455,511,394,369
2020,2,80,"3,271",632,320,282,321,210,241,294,392,308,271
2020,2,90,419,97,31,31,42,25,41,36,46,36,34
2020,2,100,20,7,0,0,2,1,2,3,0,1,4
2020,3,총,"31,245","10,108","2,188","2,279","3,583","1,559","1,955","2,389","2,782","2,225","2,177"
2020,3,0,"1,343",690,54,82,155,30,50,81,85,64,52
2020,3,10,"2,098",987,95,94,275,85,116,126,104,112,104
2020,3,20,"2,767","1,312",167,157,332,107,118,131,186,121,136
2020,3,30,"2,164",934,110,117,281,81,104,127,148,124,138
2020,3,40,"3,280","1,300",191,222,421,140,190,224,233,178,181
2020,3,50,"5,406","1,689",381,437,615,308,321,378,498,382,397
2020,3,60,"5,937","1,508",443,502,636,325,425,528,573,504,493
2020,3,70,"4,534",954,393,350,499,248,351,462,511,397,369
2020,3,80,"3,272",630,321,286,326,208,239,292,396,305,269
2020,3,90,426,97,33,32,41,27,39,37,48,37,35
2020,3,100,18,7,0,0,2,0,2,3,0,1,3
2020,4,총,"31,139","10,043","2,183","2,270","3,569","1,555","1,960","2,385","2,788","2,218","2,168"
2020,4,0,"1,343",693,51,78,153,31,54,81,87,65,50
2020,4,10,"2,073",963,97,91,274,84,115,125,104,113,107
2020,4,20,"2,718","1,274",167,158,326,105,119,129,188,120,132
2020,4,30,"2,151",931,109,120,280,81,109,127,149,117,128
2020,4,40,"3,252","1,285",193,221,416,135,189,223,231,177,182
2020,4,50,"5,364","1,687",376,428,611,310,316,380,494,367,395
2020,4,60,"5,970","1,518",441,508,639,321,426,525,580,513,499
2020,4,70,"4,530",958,391,347,494,248,354,459,510,399,370
2020,4,80,"3,290",629,326,287,331,212,236,296,397,309,267
2020,4,90,429,98,32,31,43,28,40,37,48,37,35
2020,4,100,19,7,0,1,2,0,2,3,0,1,3
2020,5,총,"31,034","10,019","2,176","2,264","3,556","1,544","1,955","2,378","2,772","2,220","2,150"
2020,5,0,"1,332",688,52,79,147,31,54,82,88,63,48
2020,5,10,"2,043",943,97,87,270,84,113,124,106,112,107
2020,5,20,"2,697","1,269",164,161,324,104,117,130,179,122,127
2020,5,30,"2,145",940,109,121,278,78,105,126,145,117,126
2020,5,40,"3,215","1,277",185,218,412,134,189,219,228,173,180
2020,5,50,"5,358","1,693",377,419,609,309,317,383,488,371,392
2020,5,60,"5,973","1,518",445,506,646,317,426,521,585,513,496
2020,5,70,"4,532",956,389,352,496,248,352,461,507,403,368
2020,5,80,"3,294",630,325,290,330,211,239,295,399,307,268
2020,5,90,426,98,33,30,42,28,41,34,47,38,35
2020,5,100,19,7,0,1,2,0,2,3,0,1,3
2020,6,총,"30,994","9,992","2,173","2,257","3,564","1,542","1,949","2,374","2,778","2,227","2,138"
2020,6,0,"1,330",685,52,78,148,33,55,81,90,61,47
2020,6,10,"2,036",942,99,86,273,82,114,124,101,111,104
2020,6,20,"2,675","1,259",156,158,324,103,118,127,180,126,124
2020,6,30,"2,131",935,106,123,273,75,104,120,149,120,126
2020,6,40,"3,197","1,270",185,217,414,135,182,218,228,174,174
2020,6,50,"5,342","1,686",372,418,605,308,316,383,489,372,393
2020,6,60,"6,015","1,524",454,509,651,320,428,528,586,518,497
2020,6,70,"4,527",955,391,347,502,251,354,458,506,399,364
2020,6,80,"3,298",631,324,290,331,208,239,298,400,307,270
2020,6,90,424,98,34,30,41,27,37,34,49,38,36
2020,6,100,19,7,0,1,2,0,2,3,0,1,3
2020,7,총,"30,950","9,963","2,172","2,264","3,564","1,534","1,939","2,378","2,775","2,217","2,144"
2020,7,0,"1,317",681,52,78,146,33,52,81,89,59,46
2020,7,10,"2,028",934,98,84,273,81,115,124,101,110,108
2020,7,20,"2,662","1,259",153,161,319,99,118,129,179,123,122
2020,7,30,"2,115",925,108,122,270,74,101,117,150,121,127
2020,7,40,"3,192","1,261",181,220,419,134,178,218,232,175,174
2020,7,50,"5,328","1,682",370,418,605,309,316,384,478,367,399
2020,7,60,"6,024","1,524",455,512,658,319,427,531,589,515,494
2020,7,70,"4,541",965,394,348,500,250,352,457,511,402,362
2020,7,80,"3,294",626,325,289,331,207,241,299,397,306,273
2020,7,90,430,99,36,31,41,28,37,35,49,38,36
2020,7,100,19,7,0,1,2,0,2,3,0,1,3
2020,8,총,"30,863","9,926","2,173","2,265","3,555","1,528","1,932","2,367","2,764","2,219","2,134"
2020,8,0,"1,303",675,52,79,144,33,51,81,85,56,47
2020,8,10,"2,019",931,97,85,271,83,111,120,99,114,108
2020,8,20,"2,630","1,242",151,156,319,95,118,129,177,123,120
2020,8,30,"2,095",915,110,121,267,71,100,117,146,124,124
2020,8,40,"3,164","1,261",180,220,412,129,175,213,231,171,172
2020,8,50,"5,320","1,675",371,418,608,315,312,388,477,364,392
2020,8,60,"6,036","1,524",457,520,657,316,430,522,593,519,498
2020,8,70,"4,544",975,392,343,499,251,356,459,509,402,358
2020,8,80,"3,300",622,328,289,334,207,240,301,401,303,275
2020,8,90,433,100,35,33,42,28,36,34,46,42,37
2020,8,100,19,6,0,1,2,0,3,3,0,1,3
2020,9,총,"30,797","9,900","2,166","2,253","3,562","1,526","1,931","2,365","2,751","2,221","2,122"
2020,9,0,"1,294",663,53,79,144,35,53,80,85,55,47
2020,9,10,"2,013",931,96,84,273,81,112,117,99,113,107
2020,9,20,"2,596","1,223",154,153,317,91,117,128,176,127,110
2020,9,30,"2,088",917,106,117,266,75,101,118,139,124,125
2020,9,40,"3,157","1,258",179,218,411,128,177,211,232,171,172
2020,9,50,"5,304","1,680",367,418,611,315,310,385,473,361,384
2020,9,60,"6,039","1,524",459,519,660,314,428,523,592,518,502
2020,9,70,"4,541",975,387,345,500,252,358,463,500,403,358
2020,9,80,"3,307",620,327,288,335,207,240,302,409,303,276
2020,9,90,440,103,38,31,43,28,33,35,46,45,38
2020,9,100,18,6,0,1,2,0,2,3,0,1,3
2020,10,총,"30,823","9,949","2,166","2,257","3,577","1,521","1,925","2,355","2,746","2,213","2,114"
2020,10,0,"1,285",653,53,80,147,34,53,80,82,57,46
2020,10,10,"2,048",970,93,86,276,81,112,115,100,110,105
2020,10,20,"2,622","1,246",154,154,314,93,116,128,176,127,114
2020,10,30,"2,079",905,106,118,268,75,104,118,138,122,125
2020,10,40,"3,120","1,250",178,217,413,125,173,205,226,168,165
2020,10,50,"5,292","1,676",366,414,614,314,312,385,473,355,383
2020,10,60,"6,070","1,535",463,526,657,318,424,523,598,523,503
2020,10,70,"4,538",983,385,344,505,244,354,461,502,402,358
2020,10,80,"3,310",622,331,288,338,206,242,303,406,302,272
2020,10,90,440,102,37,29,43,31,33,35,45,46,39
2020,10,100,19,7,0,1,2,0,2,2,0,1,4
2020,11,총,"30,816","9,965","2,160","2,266","3,575","1,518","1,930","2,336","2,744","2,206","2,116"
2020,11,0,"1,269",641,53,78,148,33,53,79,83,56,45
2020,11,10,"2,063","1,000",91,85,273,80,109,110,102,109,104
2020,11,20,"2,610","1,234",155,155,313,90,118,128,171,129,117
2020,11,30,"2,073",905,106,121,268,70,105,114,139,121,124
2020,11,40,"3,102","1,246",176,212,411,127,171,200,226,170,163
2020,11,50,"5,290","1,681",366,424,612,316,313,378,470,348,382
2020,11,60,"6,104","1,531",465,530,663,323,431,525,605,524,507
2020,11,70,"4,536",992,381,342,507,243,351,459,499,402,360
2020,11,80,"3,303",623,330,289,333,204,243,306,404,300,271
2020,11,90,447,105,37,29,45,32,34,35,45,46,39
2020,11,100,19,7,0,1,2,0,2,2,0,1,4
2020,12,총,"30,948","10,023","2,162","2,276","3,598","1,532","1,927","2,335","2,767","2,200","2,128"
2020,12,0,"1,269",647,54,77,146,37,52,78,82,51,45
2020,12,10,"2,056",997,90,86,267,84,107,109,101,109,106
2020,12,20,"2,657","1,252",156,157,325,92,123,136,176,129,111
2020,12,30,"2,087",914,106,125,266,72,105,115,140,122,122
2020,12,40,"3,120","1,254",177,213,413,131,169,196,227,170,170
2020,12,50,"5,312","1,687",362,431,619,311,306,376,490,345,385
2020,12,60,"6,159","1,552",468,530,676,325,436,523,606,528,515
2020,12,70,"4,514",989,381,339,506,244,348,454,497,399,357
2020,12,80,"3,304",617,331,288,335,202,245,310,403,299,274
2020,12,90,451,107,37,29,43,34,34,36,45,47,39
2020,12,100,19,7,0,1,2,0,2,2,0,1,4
2021,1,총,"30,840","9,991","2,156","2,249","3,587","1,540","1,918","2,327","2,752","2,200","2,120"
2021,1,0,"1,259",637,56,74,147,40,53,76,81,51,44
2021,1,10,"2,018",972,88,83,260,85,106,110,100,109,105
2021,1,20,"2,617","1,245",152,149,324,88,120,133,172,125,109
2021,1,30,"2,087",927,109,114,265,75,101,114,136,125,121
2021,1,40,"3,100","1,247",176,217,410,131,169,193,222,167,168
