년도,월,나이,남해군,남해읍,이동면,상주면,삼동면,미조면,남면,서면,고현면,설천면,창선면
2020,1,총,"22,600","6,798","2,002",870,"2,047","1,173","1,911","1,404","1,879","1,535","2,981"
2020,1,0,773,441,41,17,51,50,25,25,40,25,58
2020,1,10,"1,439",720,91,56,81,88,101,32,68,60,142
2020,1,20,"1,357",606,103,41,101,65,88,48,99,66,140
2020,1,30,"1,260",611,86,33,100,65,72,44,78,57,114
2020,1,40,"2,182","1,021",151,71,172,117,134,88,136,93,199
2020,1,50,"3,577","1,113",304,137,310,232,280,184,287,230,500
2020,1,60,"4,075",973,392,159,412,241,373,274,338,312,601
2020,1,70,"3,915",710,409,161,389,162,400,315,385,318,666
2020,1,80,"3,354",492,364,170,352,125,372,339,370,297,473
2020,1,90,651,110,60,25,77,27,62,54,76,74,86
2020,1,100,17,1,1,0,2,1,4,1,2,3,2
2020,2,총,"22,568","6,768","1,994",859,"2,036","1,169","1,953","1,404","1,877","1,529","2,979"
2020,2,0,767,435,42,16,50,49,27,24,39,25,60
2020,2,10,"1,459",709,87,55,79,87,133,33,71,61,144
2020,2,20,"1,329",598,103,35,92,64,87,49,102,61,138
2020,2,30,"1,239",601,83,36,101,60,72,43,75,53,115
2020,2,40,"2,200","1,024",154,67,177,117,149,89,132,95,196
2020,2,50,"3,545","1,110",298,138,300,231,269,183,284,230,502
2020,2,60,"4,087",974,393,160,414,245,377,274,339,311,600
2020,2,70,"3,899",707,407,159,393,163,396,312,385,315,662
2020,2,80,"3,357",495,363,167,346,125,377,341,369,298,476
2020,2,90,669,114,63,26,82,27,62,55,79,77,84
2020,2,100,17,1,1,0,2,1,4,1,2,3,2
2020,3,총,"22,500","6,763","1,989",845,"2,044","1,169","1,939","1,393","1,864","1,529","2,965"
2020,3,0,763,436,41,14,49,50,27,25,36,26,59
2020,3,10,"1,436",700,84,53,80,84,126,34,69,61,145
2020,3,20,"1,317",606,99,32,92,63,86,42,103,61,133
2020,3,30,"1,239",603,80,34,100,63,76,42,71,54,116
2020,3,40,"2,171","1,015",156,63,178,117,143,86,129,92,192
2020,3,50,"3,525","1,108",296,138,301,232,268,182,280,230,490
2020,3,60,"4,096",979,391,160,417,244,369,275,341,315,605
2020,3,70,"3,883",701,408,159,393,164,397,306,381,312,662
2020,3,80,"3,377",499,370,167,350,123,380,341,373,298,476
2020,3,90,676,115,63,25,82,28,63,59,79,77,85
2020,3,100,17,1,1,0,2,1,4,1,2,3,2
2020,4,총,"22,428","6,734","1,988",837,"2,036","1,164","1,928","1,398","1,853","1,528","2,962"
2020,4,0,755,433,41,14,49,50,28,25,35,23,57
2020,4,10,"1,419",693,84,51,80,84,120,34,67,64,142
2020,4,20,"1,304",599,100,32,92,62,84,41,103,61,130
2020,4,30,"1,220",590,79,34,99,63,74,45,70,54,112
2020,4,40,"2,163","1,016",154,59,173,118,141,89,125,93,195
2020,4,50,"3,516","1,109",296,139,298,230,271,181,278,226,488
2020,4,60,"4,102",976,395,157,417,243,369,277,342,319,607
2020,4,70,"3,861",702,402,162,388,164,390,302,377,311,663
2020,4,80,"3,388",499,373,164,354,121,384,342,375,294,482
2020,4,90,684,116,63,25,84,28,63,61,79,80,85
2020,4,100,16,1,1,0,2,1,4,1,2,3,1
2020,5,총,"22,402","6,730","1,989",837,"2,034","1,163","1,925","1,387","1,848","1,529","2,960"
2020,5,0,751,427,41,14,50,52,28,24,35,22,58
2020,5,10,"1,402",680,85,49,83,84,119,36,65,63,138
2020,5,20,"1,303",602,98,32,90,61,86,40,99,62,133
2020,5,30,"1,224",595,78,35,99,65,74,46,71,54,107
2020,5,40,"2,145","1,011",155,61,170,115,139,87,123,89,195
2020,5,50,"3,513","1,103",297,137,298,229,270,177,279,233,490
2020,5,60,"4,112",987,394,159,416,245,370,272,342,318,609
2020,5,70,"3,866",706,403,159,388,163,389,306,380,311,661
2020,5,80,"3,388",500,374,167,354,120,382,337,375,295,484
2020,5,90,681,118,63,24,84,28,63,61,77,79,84
2020,5,100,17,1,1,0,2,1,5,1,2,3,1
2020,6,총,"22,369","6,726","1,984",839,"2,037","1,157","1,912","1,387","1,846","1,519","2,962"
2020,6,0,749,430,43,14,52,47,27,23,35,21,57
2020,6,10,"1,393",675,86,48,81,88,115,37,63,61,139
2020,6,20,"1,296",607,95,35,90,56,82,42,99,60,130
2020,6,30,"1,218",593,79,36,96,65,72,46,70,53,108
2020,6,40,"2,137","1,005",155,61,173,113,140,86,124,86,194
2020,6,50,"3,516","1,102",291,138,302,228,271,179,279,234,492
2020,6,60,"4,133",992,398,160,417,249,370,274,343,315,615
2020,6,70,"3,863",707,404,157,389,163,388,305,379,313,658
2020,6,80,"3,373",500,370,166,352,118,378,334,376,295,484
2020,6,90,675,114,63,24,83,29,64,60,76,78,84
2020,6,100,16,1,0,0,2,1,5,1,2,3,1
2020,7,총,"22,310","6,703","1,983",835,"2,034","1,158","1,897","1,381","1,844","1,511","2,964"
2020,7,0,741,424,42,15,52,47,27,23,34,20,57
2020,7,10,"1,382",668,87,47,79,90,113,37,63,60,138
2020,7,20,"1,284",606,92,35,91,56,76,41,99,58,130
2020,7,30,"1,201",585,78,36,94,64,69,44,69,54,108
2020,7,40,"2,135","1,009",156,61,166,113,138,88,123,87,194
2020,7,50,"3,498","1,094",287,136,302,227,271,181,279,228,493
2020,7,60,"4,145",999,402,159,420,246,366,271,345,319,618
2020,7,70,"3,855",706,403,159,388,165,388,304,376,313,653
2020,7,80,"3,378",499,373,161,356,119,381,331,377,294,487
