년도,월,나이,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2020,1,총,"33,665","10,549","6,097","1,934","1,243",782,"1,257","1,512",757,981,575,922,"1,503","1,415","1,585","1,467","1,086"
2020,1,0,"1,473",533,472,59,26,25,28,40,13,18,11,17,60,36,56,50,29
2020,1,10,"2,411",982,620,112,42,22,76,89,33,38,13,21,64,59,64,127,49
2020,1,20,"2,436",969,628,98,45,25,63,93,25,41,19,38,67,83,90,102,50
2020,1,30,"2,148",829,623,85,44,36,53,62,18,33,22,32,66,56,70,68,51
2020,1,40,"3,432","1,411",815,160,88,50,96,114,51,54,25,53,102,82,111,146,74
2020,1,50,"5,514","1,901",929,314,211,135,206,222,112,130,85,133,194,226,277,261,178
2020,1,60,"6,269","1,791",818,451,299,166,234,336,171,207,148,204,318,259,357,275,235
2020,1,70,"5,196","1,215",616,307,260,159,245,306,166,229,121,209,335,301,299,214,214
2020,1,80,"4,039",753,491,298,185,143,223,207,139,198,113,176,240,271,230,198,174
2020,1,90,700,150,81,43,39,21,31,38,28,32,18,38,56,41,30,24,30
2020,1,100,47,15,4,7,4,0,2,5,1,1,0,1,1,1,1,2,2
2020,2,총,"33,579","10,523","6,090","1,926","1,234",781,"1,260","1,509",759,976,574,919,"1,498","1,404","1,581","1,464","1,081"
2020,2,0,"1,453",531,462,56,27,25,28,40,13,17,11,16,58,36,55,50,28
2020,2,10,"2,385",972,613,113,42,21,77,87,31,38,13,23,64,54,64,124,49
2020,2,20,"2,411",971,623,95,44,25,63,91,25,40,18,35,66,80,87,101,47
2020,2,30,"2,137",822,630,83,46,35,52,60,17,33,22,31,64,58,69,65,50
2020,2,40,"3,430","1,409",813,163,85,51,96,116,51,55,25,55,106,76,111,147,71
2020,2,50,"5,454","1,877",929,307,212,132,206,220,112,125,84,126,195,225,270,260,174
2020,2,60,"6,305","1,798",825,452,296,166,236,338,171,211,150,209,316,256,360,276,245
2020,2,70,"5,197","1,219",614,309,260,162,245,307,168,229,118,210,332,302,297,213,212
2020,2,80,"4,049",758,495,297,182,143,223,207,141,194,115,173,239,275,235,199,173
2020,2,90,711,151,82,44,36,21,32,38,29,33,18,40,57,41,32,27,30
2020,2,100,47,15,4,7,4,0,2,5,1,1,0,1,1,1,1,2,2
2020,3,총,"33,482","10,458","6,104","1,918","1,229",780,"1,255","1,500",754,977,574,918,"1,495","1,407","1,578","1,454","1,081"
2020,3,0,"1,455",527,468,56,26,24,27,40,13,18,11,16,58,37,55,51,28
2020,3,10,"2,339",951,603,111,41,23,75,83,31,38,13,23,63,55,63,119,47
2020,3,20,"2,386",959,623,91,43,25,63,87,24,40,18,36,69,76,84,100,48
2020,3,30,"2,116",816,622,81,45,34,50,57,18,33,22,30,64,62,68,64,50
2020,3,40,"3,407","1,395",816,158,85,48,99,114,50,56,25,55,104,75,111,146,70
2020,3,50,"5,412","1,856",934,306,209,136,204,220,108,124,82,122,188,226,266,257,174
2020,3,60,"6,333","1,811",831,455,293,165,231,339,174,205,152,209,322,260,365,276,245
2020,3,70,"5,204","1,218",622,314,263,161,245,309,164,234,117,206,330,300,296,212,213
2020,3,80,"4,068",760,501,295,185,143,224,207,142,194,116,179,237,273,238,200,174
2020,3,90,713,150,80,43,35,21,34,39,29,34,18,41,59,42,31,27,30
2020,3,100,49,15,4,8,4,0,3,5,1,1,0,1,1,1,1,2,2
2020,4,총,"33,388","10,417","6,096","1,912","1,222",780,"1,254","1,493",752,971,574,918,"1,499","1,404","1,574","1,443","1,079"
2020,4,0,"1,438",517,467,55,25,24,27,40,12,18,10,15,59,36,55,50,28
2020,4,10,"2,317",939,599,111,41,23,76,83,31,38,12,22,64,54,62,117,45
2020,4,20,"2,362",945,617,89,44,23,63,84,22,41,19,38,68,76,84,98,51
