년도,월,나이,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020,3,총,"35,265","6,892","1,448","1,067","2,074","2,949","1,861","4,220","5,640","5,823","1,196","2,095"
2020,3,0,"1,494",443,48,39,58,93,40,152,177,353,43,48
2020,3,10,"2,167",513,49,52,104,164,88,298,219,520,43,117
2020,3,20,"2,579",647,85,41,105,183,107,333,384,538,58,98
2020,3,30,"2,298",662,62,46,98,197,81,240,320,455,62,75
2020,3,40,"3,636",837,110,92,146,284,162,491,544,685,99,186
2020,3,50,"6,708","1,202",241,174,332,562,420,895,"1,181","1,138",186,377
2020,3,60,"6,940","1,113",337,203,423,556,403,842,"1,281","1,036",296,450
2020,3,70,"5,314",846,255,212,447,507,351,579,899,587,229,402
2020,3,80,"3,598",529,230,184,315,342,183,340,566,452,148,309
2020,3,90,517,97,31,24,44,60,26,48,66,57,32,32
2020,3,100,14,3,0,0,2,1,0,2,3,2,0,1
2020,4,총,"35,223","6,892","1,447","1,064","2,057","2,941","1,867","4,210","5,649","5,817","1,197","2,082"
2020,4,0,"1,479",437,51,39,55,94,43,146,176,348,43,47
2020,4,10,"2,164",513,47,51,101,164,87,301,220,524,42,114
2020,4,20,"2,557",647,84,41,101,179,109,325,379,539,58,95
2020,4,30,"2,291",664,64,45,97,196,79,233,324,453,61,75
2020,4,40,"3,619",831,111,92,137,285,163,489,542,689,98,182
2020,4,50,"6,683","1,198",236,172,333,565,419,893,"1,182","1,127",185,373
2020,4,60,"6,963","1,113",335,201,423,548,405,852,"1,293","1,039",300,454
2020,4,70,"5,329",852,261,210,449,510,351,583,900,584,228,401
2020,4,80,"3,601",536,227,188,314,341,184,338,564,454,148,307
2020,4,90,521,98,31,25,44,57,27,48,66,58,34,33
2020,4,100,16,3,0,0,3,2,0,2,3,2,0,1
2020,5,총,"35,152","6,908","1,441","1,061","2,054","2,932","1,863","4,193","5,631","5,786","1,201","2,082"
2020,5,0,"1,464",433,48,38,54,94,42,145,177,343,44,46
2020,5,10,"2,152",519,46,49,98,163,88,294,220,522,41,112
2020,5,20,"2,528",641,83,41,101,173,109,323,373,531,59,94
2020,5,30,"2,276",661,61,47,98,197,75,232,323,448,59,75
2020,5,40,"3,604",835,112,90,137,283,161,480,536,682,102,186
2020,5,50,"6,658","1,201",237,171,333,559,417,891,"1,176","1,116",181,376
2020,5,60,"6,981","1,120",332,199,423,551,409,863,"1,289","1,044",299,452
2020,5,70,"5,323",855,260,210,450,511,348,581,899,580,234,395
2020,5,80,"3,618",540,230,190,313,341,186,334,566,460,147,311
2020,5,90,531,99,32,26,44,58,28,48,69,58,35,34
2020,5,100,17,4,0,0,3,2,0,2,3,2,0,1
2020,6,총,"35,140","6,895","1,442","1,072","2,054","2,943","1,857","4,181","5,638","5,776","1,202","2,080"
2020,6,0,"1,442",424,48,40,53,95,42,142,174,340,41,43
2020,6,10,"2,157",527,46,51,97,165,89,293,217,518,43,111
2020,6,20,"2,514",644,79,40,100,180,107,319,368,526,58,93
2020,6,30,"2,260",653,59,46,97,197,77,229,323,444,59,76
2020,6,40,"3,580",836,110,93,139,280,160,476,528,678,98,182
2020,6,50,"6,666","1,194",239,172,331,562,415,895,"1,190","1,111",184,373
2020,6,60,"7,024","1,121",339,202,427,557,409,864,"1,291","1,055",300,459
2020,6,70,"5,336",858,262,208,448,514,342,581,908,582,236,397
2020,6,80,"3,613",537,230,194,313,334,188,332,566,462,147,310
2020,6,90,530,97,30,26,46,57,28,48,69,58,36,35
2020,6,100,18,4,0,0,3,2,0,2,4,2,0,1
2020,7,총,"35,097","6,882","1,442","1,070","2,054","2,935","1,847","4,178","5,636","5,777","1,200","2,076"
2020,7,0,"1,418",420,48,39,54,91,39,140,174,335,39,39
2020,7,10,"2,142",532,45,52,97,163,84,287,210,517,46,109
2020,7,20,"2,492",635,79,38,98,176,107,320,368,522,55,94
2020,7,30,"2,255",655,59,46,96,196,77,224,323,444,60,75
2020,7,40,"3,561",832,112,96,138,282,156,478,518,672,99,178
2020,7,50,"6,671","1,184",238,172,331,562,418,896,"1,200","1,114",180,376
2020,7,60,"7,062","1,129",339,200,433,560,411,871,"1,298","1,058",303,460
2020,7,70,"5,333",857,262,209,445,513,338,576,909,588,237,399
2020,7,80,"3,620",542,230,192,313,332,189,336,562,466,148,310
2020,7,90,524,92,30,26,46,58,27,48,70,59,33,35
2020,7,100,19,4,0,0,3,2,1,2,4,2,0,1
2020,8,총,"35,071","6,882","1,431","1,060","2,060","2,926","1,846","4,175","5,627","5,776","1,201","2,087"
2020,8,0,"1,408",415,47,37,54,91,38,140,172,337,39,38
2020,8,10,"2,130",530,44,49,97,163,82,283,211,520,44,107
2020,8,20,"2,492",637,74,38,99,172,110,318,364,525,58,97
2020,8,30,"2,219",653,59,43,95,196,75,222,310,430,61,75
2020,8,40,"3,573",839,113,92,141,280,153,483,523,674,95,180
2020,8,50,"6,647","1,179",233,173,329,552,415,892,"1,198","1,117",183,376
2020,8,60,"7,106","1,132",339,201,440,563,415,874,"1,308","1,058",306,470
2020,8,70,"5,317",854,261,209,444,513,338,575,900,592,233,398
2020,8,80,"3,626",544,228,192,314,336,193,337,565,460,150,307
2020,8,90,533,95,33,26,44,58,26,49,72,61,32,37
2020,8,100,20,4,0,0,3,2,1,2,4,2,0,2
2020,9,총,"34,978","6,858","1,425","1,054","2,049","2,917","1,840","4,159","5,628","5,763","1,198","2,087"
2020,9,0,"1,388",404,48,40,55,90,37,139,169,329,39,38
2020,9,10,"2,114",534,42,46,96,162,81,283,208,514,43,105
2020,9,20,"2,464",631,74,37,98,166,110,313,360,525,56,94
2020,9,30,"2,192",643,54,45,95,197,75,217,311,420,60,75
2020,9,40,"3,561",835,116,86,135,282,152,479,527,675,95,179
2020,9,50,"6,602","1,177",236,173,328,544,408,876,"1,184","1,116",183,377
2020,9,60,"7,154","1,138",337,204,436,566,417,886,"1,324","1,070",307,469
2020,9,70,"5,312",853,262,206,444,511,340,575,899,592,233,397
2020,9,80,"3,629",542,225,191,315,338,192,339,565,459,150,313
2020,9,90,543,97,31,26,44,59,27,50,78,61,32,38
2020,9,100,19,4,0,0,3,2,1,2,3,2,0,2
2020,10,총,"34,921","6,846","1,421","1,058","2,047","2,901","1,834","4,162","5,619","5,744","1,198","2,091"
2020,10,0,"1,364",388,48,41,55,88,35,138,165,329,39,38
2020,10,10,"2,096",541,42,47,98,155,79,281,206,504,42,101
2020,10,20,"2,458",627,74,37,100,164,108,311,361,521,56,99
2020,10,30,"2,179",632,54,43,95,200,75,221,308,417,60,74
2020,10,40,"3,549",834,114,89,135,279,153,470,529,671,94,181
2020,10,50,"6,578","1,179",235,170,322,535,401,874,"1,182","1,121",180,379
2020,10,60,"7,193","1,152",336,207,435,572,420,895,"1,323","1,071",311,471
2020,10,70,"5,305",846,265,207,444,508,339,576,900,595,231,394
2020,10,80,"3,640",544,222,190,318,339,197,344,565,455,153,313
