년도,월,나이,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020,3,총,"232,098","16,621","15,932","11,872","13,514","21,619","10,323","11,102","7,703","9,583","7,713","3,357","10,842","10,882","10,446","24,418","17,527","12,968","15,676"
2020,3,0,"15,986","1,552",957,683,773,"1,713",522,791,444,808,513,194,605,888,714,"1,841",919,"1,050","1,019"
2020,3,10,"24,798","2,574","1,242",731,"1,639","3,521",699,919,585,818,661,366,748,"1,550","1,428","2,639","1,191","1,792","1,695"
2020,3,20,"29,448","1,794","2,597","1,876","1,970","2,225","1,254","1,300","1,021","1,058","1,032",384,"1,303","1,242","1,312","2,949","2,741","1,574","1,816"
2020,3,30,"30,020","2,064","2,677","2,068","1,491","2,393","1,281","1,556",957,"1,355","1,072",367,"1,323","1,228","1,032","3,111","2,641","1,621","1,783"
2020,3,40,"41,903","3,804","2,511","1,734","2,695","5,199","1,563","1,709","1,065","1,522","1,208",554,"1,501","2,234","2,110","4,353","2,689","2,646","2,806"
2020,3,50,"38,596","2,379","2,615","2,072","2,427","3,217","1,931","1,783","1,404","1,535","1,365",576,"1,924","1,712","1,809","4,068","2,891","2,202","2,686"
2020,3,60,"28,593","1,421","1,937","1,529","1,322","1,977","1,716","1,779","1,186","1,404","1,034",531,"1,801","1,086","1,075","2,971","2,526","1,264","2,034"
2020,3,70,"14,597",670,874,737,775,782,918,848,730,716,562,252,"1,052",570,607,"1,607","1,365",453,"1,079"
2020,3,80,"6,803",298,447,370,369,473,363,345,261,322,226,105,512,291,298,726,470,299,628
2020,3,90,"1,226",61,68,59,48,113,69,67,42,38,34,20,73,78,49,144,83,65,115
2020,3,100,128,4,7,13,5,6,7,5,8,7,6,8,0,3,12,9,11,2,15
2020,4,총,"232,569","16,589","15,912","11,833","13,465","21,569","10,320","11,028","7,687","9,532","7,670","4,612","10,781","10,832","10,398","24,287","17,453","12,953","15,648"
2020,4,0,"16,042","1,532",936,686,751,"1,696",529,776,444,789,510,414,596,881,710,"1,818",911,"1,050","1,013"
2020,4,10,"24,794","2,580","1,236",719,"1,635","3,524",696,920,579,807,653,473,743,"1,539","1,422","2,615","1,171","1,785","1,697"
2020,4,20,"29,454","1,795","2,600","1,862","1,980","2,213","1,256","1,289","1,015","1,048","1,016",494,"1,300","1,236","1,295","2,932","2,750","1,572","1,801"
2020,4,30,"30,125","2,035","2,674","2,064","1,478","2,381","1,273","1,522",959,"1,354","1,059",717,"1,302","1,216","1,023","3,085","2,586","1,622","1,775"
2020,4,40,"41,876","3,807","2,504","1,720","2,653","5,178","1,555","1,702","1,052","1,513","1,209",747,"1,502","2,224","2,099","4,318","2,687","2,629","2,777"
2020,4,50,"38,622","2,378","2,615","2,054","2,445","3,223","1,924","1,773","1,402","1,521","1,350",711,"1,894","1,706","1,796","4,063","2,878","2,205","2,684"
2020,4,60,"28,785","1,417","1,941","1,547","1,323","1,981","1,719","1,779","1,193","1,410","1,042",630,"1,805","1,089","1,086","2,979","2,529","1,273","2,042"
2020,4,70,"14,647",671,883,726,778,780,928,851,726,711,565,281,"1,053",571,608,"1,598","1,371",452,"1,094"
2020,4,80,"6,847",304,446,383,367,473,359,344,267,332,225,113,515,290,295,727,474,297,636
2020,4,90,"1,249",66,70,59,50,114,74,67,42,40,36,24,71,77,52,143,85,66,113
2020,4,100,128,4,7,13,5,6,7,5,8,7,5,8,0,3,12,9,11,2,16
2020,5,총,"233,097","16,595","15,914","11,804","13,442","21,521","10,314","10,985","7,647","9,499","7,668","5,776","10,685","10,798","10,363","24,175","17,389","12,918","15,604"
2020,5,0,"16,090","1,529",936,686,756,"1,677",523,779,434,785,509,570,579,882,699,"1,801",897,"1,029","1,019"
2020,5,10,"24,730","2,580","1,228",709,"1,627","3,507",697,913,577,794,647,549,735,"1,519","1,428","2,596","1,158","1,783","1,683"
2020,5,20,"29,551","1,792","2,600","1,853","1,973","2,217","1,262","1,286","1,019","1,057","1,022",623,"1,277","1,248","1,288","2,928","2,748","1,574","1,784"
2020,5,30,"30,232","2,035","2,666","2,057","1,482","2,356","1,263","1,508",950,"1,335","1,056","1,014","1,293","1,212","1,011","3,051","2,559","1,618","1,766"
2020,5,40,"41,827","3,802","2,483","1,722","2,637","5,163","1,550","1,688","1,039","1,507","1,198",935,"1,479","2,199","2,093","4,290","2,673","2,612","2,757"
2020,5,50,"38,770","2,381","2,637","2,038","2,450","3,242","1,928","1,770","1,393","1,504","1,362",877,"1,887","1,715","1,796","4,042","2,871","2,200","2,677"
2020,5,60,"28,921","1,423","1,949","1,556","1,322","1,979","1,724","1,768","1,188","1,421","1,041",723,"1,803","1,086","1,083","2,990","2,535","1,288","2,042"
2020,5,70,"14,724",675,887,725,774,785,924,859,725,712,563,324,"1,050",573,612,"1,600","1,372",451,"1,113"
2020,5,80,"6,875",311,450,384,364,473,359,343,271,338,230,125,512,286,289,723,485,298,634
2020,5,90,"1,248",63,71,61,52,117,77,65,43,39,35,28,70,74,52,145,80,63,113
2020,5,100,129,4,7,13,5,5,7,6,8,7,5,8,0,4,12,9,11,2,16
2020,6,총,"233,045","16,571","15,868","11,824","13,412","21,489","10,280","10,938","7,603","9,436","7,663","6,294","10,631","10,776","10,319","24,117","17,349","12,923","15,552"
2020,6,0,"16,026","1,526",921,684,760,"1,657",524,764,427,777,510,626,571,877,689,"1,770",895,"1,031","1,017"
2020,6,10,"24,658","2,576","1,231",709,"1,613","3,491",692,911,571,786,640,581,729,"1,517","1,424","2,592","1,142","1,784","1,669"
2020,6,20,"29,568","1,788","2,585","1,860","1,976","2,218","1,261","1,289","1,014","1,047","1,025",699,"1,271","1,249","1,278","2,908","2,742","1,574","1,784"
2020,6,30,"30,213","2,023","2,658","2,063","1,474","2,344","1,262","1,496",943,"1,320","1,052","1,123","1,280","1,202","1,004","3,046","2,558","1,611","1,754"
2020,6,40,"41,711","3,797","2,465","1,720","2,622","5,153","1,537","1,673","1,019","1,504","1,191","1,001","1,471","2,187","2,087","4,278","2,658","2,612","2,736"
2020,6,50,"38,700","2,382","2,623","2,040","2,445","3,239","1,903","1,756","1,389","1,489","1,354",952,"1,884","1,717","1,783","4,019","2,858","2,200","2,667"
2020,6,60,"29,112","1,426","1,971","1,563","1,325","1,997","1,722","1,770","1,182","1,427","1,058",788,"1,798","1,095","1,086","3,011","2,543","1,297","2,053"
2020,6,70,"14,809",676,882,729,778,794,937,866,734,707,564,350,"1,055",570,615,"1,608","1,380",455,"1,109"
2020,6,80,"6,861",309,450,383,360,470,358,343,273,335,228,134,504,286,288,728,484,293,635
2020,6,90,"1,258",64,75,60,54,121,77,64,43,37,36,32,68,72,53,147,78,64,113
2020,6,100,129,4,7,13,5,5,7,6,8,7,5,8,0,4,12,10,11,2,15
2020,7,총,"232,935","16,536","15,846","11,756","13,391","21,446","10,272","10,950","7,575","9,424","7,667","6,564","10,612","10,773","10,293","24,055","17,334","12,900","15,541"
2020,7,0,"15,903","1,510",916,672,761,"1,644",511,754,429,782,509,639,564,871,685,"1,744",880,"1,022","1,010"
2020,7,10,"24,623","2,576","1,213",705,"1,597","3,491",693,915,561,771,629,603,721,"1,521","1,422","2,583","1,160","1,790","1,672"
2020,7,20,"29,549","1,775","2,601","1,844","1,972","2,211","1,266","1,302","1,008","1,045","1,031",744,"1,267","1,244","1,262","2,908","2,724","1,568","1,777"
2020,7,30,"30,097","2,015","2,642","2,041","1,478","2,318","1,245","1,496",944,"1,313","1,052","1,173","1,285","1,191",996,"3,032","2,549","1,596","1,731"
2020,7,40,"41,646","3,794","2,459","1,712","2,604","5,143","1,539","1,676","1,021","1,511","1,185","1,046","1,451","2,180","2,086","4,237","2,649","2,607","2,746"
2020,7,50,"38,722","2,378","2,616","2,035","2,447","3,238","1,894","1,749","1,364","1,479","1,356","1,002","1,885","1,731","1,785","4,030","2,860","2,204","2,669"
2020,7,60,"29,225","1,420","1,983","1,565","1,336","2,005","1,735","1,770","1,182","1,426","1,065",822,"1,799","1,103","1,088","3,024","2,543","1,302","2,057"
2020,7,70,"14,922",690,887,726,776,802,946,875,735,717,568,362,"1,069",571,614,"1,620","1,397",453,"1,114"
2020,7,80,"6,861",309,443,382,363,471,357,342,280,335,230,134,503,285,288,721,485,294,639
2020,7,90,"1,256",65,79,61,51,118,79,65,43,37,37,31,68,72,55,146,76,62,111
2020,7,100,131,4,7,13,6,5,7,6,8,8,5,8,0,4,12,10,11,2,15
2020,8,총,"232,709","16,493","15,785","11,754","13,354","21,429","10,251","10,922","7,566","9,422","7,662","6,745","10,566","10,764","10,291","23,975","17,272","12,916","15,542"
2020,8,0,"15,823","1,500",893,670,761,"1,650",497,744,430,773,510,667,554,877,665,"1,731",869,"1,022","1,010"
2020,8,10,"24,582","2,577","1,212",710,"1,584","3,490",697,913,552,767,622,614,711,"1,506","1,434","2,565","1,156","1,799","1,673"
2020,8,20,"29,538","1,764","2,599","1,838","1,970","2,209","1,262","1,300","1,003","1,052","1,033",767,"1,266","1,247","1,267","2,896","2,728","1,571","1,766"
2020,8,30,"29,911","1,981","2,604","2,033","1,456","2,306","1,234","1,495",945,"1,315","1,034","1,228","1,270","1,192",988,"3,017","2,513","1,579","1,721"
2020,8,40,"41,549","3,785","2,446","1,715","2,593","5,123","1,526","1,665","1,016","1,503","1,186","1,057","1,451","2,165","2,075","4,221","2,661","2,616","2,745"
2020,8,50,"38,662","2,391","2,608","2,016","2,448","3,236","1,896","1,729","1,360","1,477","1,364","1,035","1,876","1,732","1,787","4,004","2,834","2,204","2,665"
2020,8,60,"29,385","1,426","2,000","1,579","1,351","2,020","1,744","1,778","1,181","1,437","1,076",831,"1,803","1,103","1,093","3,044","2,537","1,309","2,073"
2020,8,70,"14,981",690,892,732,770,808,952,888,743,714,565,371,"1,059",580,625,"1,621","1,402",459,"1,110"
2020,8,80,"6,878",312,445,385,362,466,358,338,283,336,229,136,507,285,289,720,487,291,649
2020,8,90,"1,264",63,78,63,53,116,76,65,45,40,38,30,69,73,56,146,74,64,115
2020,8,100,136,4,8,13,6,5,9,7,8,8,5,9,0,4,12,10,11,2,15
2020,9,총,"232,351","16,446","15,747","11,770","13,316","21,410","10,231","10,924","7,510","9,408","7,646","6,821","10,536","10,759","10,265","23,942","17,209","12,879","15,532"
2020,9,0,"15,727","1,494",880,668,748,"1,663",496,737,420,769,514,678,535,870,659,"1,714",860,"1,008","1,014"
2020,9,10,"24,511","2,573","1,201",710,"1,574","3,473",689,906,551,767,611,632,706,"1,517","1,431","2,563","1,141","1,792","1,674"
2020,9,20,"29,461","1,756","2,585","1,837","1,969","2,205","1,244","1,307",990,"1,060","1,041",760,"1,264","1,234","1,261","2,887","2,734","1,571","1,756"
2020,9,30,"29,777","1,964","2,588","2,048","1,449","2,292","1,233","1,497",942,"1,295","1,031","1,242","1,271","1,186",981,"3,002","2,476","1,559","1,721"
2020,9,40,"41,453","3,777","2,448","1,707","2,570","5,125","1,523","1,666","1,009","1,502","1,165","1,077","1,461","2,175","2,069","4,197","2,647","2,615","2,720"
2020,9,50,"38,608","2,373","2,605","2,007","2,457","3,231","1,888","1,731","1,351","1,473","1,363","1,044","1,853","1,731","1,787","4,011","2,826","2,207","2,670"
2020,9,60,"29,494","1,434","2,014","1,592","1,355","2,031","1,756","1,781","1,171","1,440","1,081",838,"1,804","1,107","1,095","3,062","2,544","1,310","2,079"
2020,9,70,"15,017",696,894,738,774,801,956,883,743,719,567,378,"1,062",576,626,"1,618","1,407",462,"1,117"
2020,9,80,"6,897",313,447,388,362,467,360,343,280,330,230,132,510,287,289,730,489,290,650
2020,9,90,"1,266",62,76,63,52,115,77,65,45,45,38,31,70,72,55,146,74,64,116
2020,9,100,140,4,9,12,6,7,9,8,8,8,5,9,0,4,12,12,11,1,15
2020,10,총,"232,048","16,443","15,679","11,745","13,302","21,394","10,205","10,914","7,485","9,376","7,634","6,898","10,512","10,742","10,271","23,898","17,177","12,880","15,493"
