년도,월,나이,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020,1,총,"702,545","64,263","93,880","101,212","13,527","24,841","53,614","30,253","20,049","9,067","4,267","50,741","34,562","19,416","4,651","74,852","32,187","71,163"
2020,1,0,"67,209","4,683","9,154","9,208","1,481","1,188","4,475","1,934","1,363",367,195,"5,737","3,260",842,169,"10,325","4,210","8,618"
2020,1,10,"77,745","7,758","11,600","11,542","1,206","2,106","6,878","2,791","2,075",623,273,"6,835","5,055","1,333",215,"7,591","3,367","6,497"
2020,1,20,"82,959","7,969","10,507","11,835","1,449","3,458","6,407","4,248","2,488",840,438,"5,336","4,021","2,638",519,"8,477","3,523","8,806"
2020,1,30,"91,704","6,502","11,163","12,817","2,104","2,475","5,784","3,543","1,984",749,424,"6,627","3,936","2,239",504,"13,336","5,499","12,018"
2020,1,40,"129,102","11,833","17,767","19,414","2,302","3,570","10,594","4,476","3,435","1,112",550,"10,979","7,316","2,437",534,"14,020","6,200","12,563"
2020,1,50,"114,056","11,217","15,228","16,549","2,130","5,356","9,076","5,923","3,585","1,865",810,"7,049","5,323","4,117",971,"9,815","4,587","10,455"
2020,1,60,"76,916","7,363","10,118","10,646","1,696","3,696","5,387","4,210","2,624","1,826",838,"4,253","3,027","3,245","1,013","6,584","2,934","7,456"
2020,1,70,"43,040","4,796","5,743","6,483",765,"1,938","3,427","2,129","1,694","1,081",486,"2,764","1,765","1,612",483,"3,266","1,288","3,320"
2020,1,80,"17,178","1,841","2,305","2,379",342,916,"1,384",894,686,472,214,999,752,829,212,"1,250",491,"1,212"
2020,1,90,"2,426",271,279,307,51,124,194,100,95,124,37,154,103,110,22,177,72,206
2020,1,100,210,30,16,32,1,14,8,5,20,8,2,8,4,14,9,11,16,12
2020,2,총,"704,172","63,908","93,599","101,077","13,666","24,773","53,514","30,162","19,918","9,083","4,246","50,709","34,562","19,357","4,647","75,173","34,142","71,636"
2020,2,0,"67,250","4,610","9,033","9,123","1,505","1,179","4,414","1,926","1,333",374,194,"5,716","3,245",825,172,"10,315","4,642","8,644"
