년도,월,나이,군포시,군포1동,군포2동,산본1동,산본2동,금정동,재궁동,오금동,수리동,궁내동,대야동,광정동,송부동
2020,1,총,"136,990","17,330","26,907","8,193","13,572","9,108","9,408","11,079","8,292","10,442","10,150","12,509",
2020,1,0,"11,507","1,110","2,649",414,"1,269",489,692,"1,087",567,"1,055","1,159","1,016",
2020,1,10,"14,382","1,469","3,235",507,"1,514",654,815,"1,224",914,"1,654",891,"1,505",
2020,1,20,"19,975","2,823","3,799","1,317","2,067","1,418","1,422","1,463","1,108","1,392","1,354","1,812",
2020,1,30,"20,560","2,619","3,802","1,311","1,811","1,351","1,776","1,989","1,193","1,054","1,958","1,696",
2020,1,40,"22,441","2,667","4,576","1,157","2,147","1,441","1,416","1,915","1,357","2,012","1,636","2,117",
2020,1,50,"23,656","3,351","4,597","1,516","2,303","1,820","1,474","1,649","1,462","1,750","1,552","2,182",
2020,1,60,"15,162","2,137","2,725","1,201","1,594","1,288","1,095","1,006",911,906,"1,027","1,272",
2020,1,70,"6,470",844,"1,137",584,600,500,475,468,464,383,435,580,
2020,1,80,"2,516",273,335,171,239,132,218,254,282,206,120,286,
2020,1,90,298,33,47,14,28,12,23,24,32,29,16,40,
2020,1,100,23,4,5,1,0,3,2,0,2,1,2,3,
2020,2,총,"136,998","17,402","26,909","8,200","13,562","9,098","9,384","11,073","8,254","10,443","10,214","12,459",
2020,2,0,"11,429","1,101","2,641",416,"1,263",482,681,"1,077",556,"1,060","1,155",997,
2020,2,10,"14,303","1,460","3,236",499,"1,506",653,810,"1,213",898,"1,649",895,"1,484",
2020,2,20,"19,965","2,837","3,776","1,328","2,039","1,423","1,424","1,477","1,105","1,380","1,357","1,819",
2020,2,30,"20,491","2,642","3,766","1,298","1,808","1,352","1,764","1,980","1,172","1,050","1,973","1,686",
2020,2,40,"22,476","2,674","4,597","1,158","2,163","1,432","1,402","1,920","1,363","2,003","1,658","2,106",
2020,2,50,"23,684","3,371","4,614","1,516","2,289","1,816","1,473","1,646","1,462","1,765","1,554","2,178",
2020,2,60,"15,293","2,153","2,751","1,205","1,622","1,284","1,115","1,014",914,912,"1,049","1,274",
2020,2,70,"6,495",854,"1,135",591,600,509,468,467,460,390,437,584,
2020,2,80,"2,542",274,342,174,244,133,222,255,290,202,118,288,
2020,2,90,297,32,46,14,28,11,23,24,32,31,16,40,
2020,2,100,23,4,5,1,0,3,2,0,2,1,2,3,
2020,3,총,"137,040","17,519","26,904","8,169","13,544","9,086","9,358","11,058","8,251","10,423","10,250","12,478",
