년도,월,나이,남구,양림동,방림1동,방림2동,봉선1동,봉선2동,사직동,월산동,월산4동,월산5동,백운1동,백운2동,주월1동,주월2동,효덕동,송암동,대촌동,진월동
2020,1,총,"113,017","4,073","3,788","4,925","7,888","15,704","2,730","3,857","4,435","3,401","6,792","3,152","10,236","4,356","24,889","9,897","2,894",
2020,1,0,"8,921",273,275,259,473,"1,531",171,200,190,140,563,198,713,284,"2,092","1,409",150,
2020,1,10,"11,695",395,359,392,734,"2,429",142,220,314,187,617,211,"1,038",330,"3,189",960,178,
2020,1,20,"13,931",431,446,620,"1,025","1,750",309,411,577,457,762,505,"1,383",546,"3,412","1,081",216,
2020,1,30,"13,651",381,492,492,861,"1,726",317,407,486,351,875,430,"1,185",449,"3,049","1,940",210,
2020,1,40,"17,533",589,559,637,"1,254","3,085",334,434,547,401,997,362,"1,639",600,"4,156","1,625",314,
2020,1,50,"17,909",637,557,848,"1,322","2,352",427,608,810,686,"1,073",484,"1,783",785,"3,786","1,328",423,
2020,1,60,"14,613",626,530,771,"1,055","1,502",445,659,777,603,988,481,"1,322",720,"2,736",881,517,
2020,1,70,"9,399",483,395,587,688,807,393,596,485,372,598,320,791,441,"1,585",395,463,
2020,1,80,"4,462",219,147,253,402,430,160,263,216,172,271,139,320,169,742,209,350,
2020,1,90,817,31,23,57,71,88,21,53,32,28,46,15,57,26,134,66,69,
2020,1,100,86,8,5,9,3,4,11,6,1,4,2,7,5,6,8,3,4,
2020,2,총,"113,021","4,064","3,776","4,916","7,883","15,765","2,725","3,827","4,454","3,375","6,754","3,148","10,259","4,337","24,889","9,967","2,882",
2020,2,0,"8,942",271,275,257,469,"1,563",167,196,193,139,556,203,719,283,"2,089","1,413",149,
2020,2,10,"11,625",395,354,394,737,"2,428",135,210,310,186,604,210,"1,032",318,"3,170",970,172,
2020,2,20,"13,876",421,437,613,"1,025","1,731",314,407,578,452,758,504,"1,386",545,"3,396","1,097",212,
2020,2,30,"13,592",385,489,480,865,"1,733",316,397,490,345,856,424,"1,184",442,"3,047","1,931",208,
2020,2,40,"17,599",584,571,642,"1,244","3,117",332,432,556,394,997,367,"1,640",592,"4,166","1,659",306,
2020,2,50,"17,878",641,552,848,"1,313","2,351",431,606,808,682,"1,067",471,"1,786",791,"3,785","1,321",425,
2020,2,60,"14,676",620,527,776,"1,058","1,513",446,662,777,602,990,482,"1,331",720,"2,751",905,516,
2020,2,70,"9,404",492,394,584,690,804,393,593,488,369,604,324,790,442,"1,589",384,464,
2020,2,80,"4,508",217,149,258,407,428,157,266,219,173,271,140,326,171,753,216,357,
2020,2,90,836,30,23,55,72,93,23,52,34,29,49,16,60,27,135,69,69,
2020,2,100,85,8,5,9,3,4,11,6,1,4,2,7,5,6,8,2,4,
2020,3,총,"112,929","4,083","3,774","4,912","7,834","15,759","2,713","3,826","4,429","3,373","6,738","3,178","10,246","4,315","24,826","10,041","2,882",
2020,3,0,"8,906",272,266,263,463,"1,559",168,204,187,140,550,204,712,283,"2,067","1,418",150,
2020,3,10,"11,603",397,358,392,724,"2,444",132,209,311,182,612,215,"1,026",314,"3,146",967,174,
2020,3,20,"13,893",424,442,613,"1,024","1,716",313,404,577,452,756,512,"1,385",537,"3,396","1,134",208,
2020,3,30,"13,498",394,482,482,865,"1,714",315,390,476,338,838,429,"1,186",437,"3,008","1,941",203,
2020,3,40,"17,585",580,571,646,"1,231","3,116",326,431,549,396,999,369,"1,637",586,"4,162","1,681",305,
2020,3,50,"17,872",647,552,837,"1,311","2,364",429,609,808,682,"1,060",466,"1,782",795,"3,770","1,329",431,
2020,3,60,"14,687",612,528,778,"1,045","1,515",446,661,780,607,988,488,"1,338",713,"2,768",902,518,
2020,3,70,"9,438",502,393,578,690,805,390,590,486,371,618,325,796,447,"1,599",386,462,
2020,3,80,"4,515",214,151,263,403,430,160,268,220,172,267,146,320,171,759,213,358,
2020,3,90,848,34,26,51,75,93,23,54,34,29,48,17,59,26,143,67,69,
2020,3,100,84,7,5,9,3,3,11,6,1,4,2,7,5,6,8,3,4,
2020,4,총,"112,798","4,064","3,748","4,915","7,818","15,727","2,715","3,832","4,449","3,368","6,721","3,174","10,231","4,292","24,775","10,095","2,874",
2020,4,0,"8,839",270,259,257,462,"1,545",167,209,189,139,543,203,710,273,"2,045","1,420",148,
2020,4,10,"11,539",390,356,392,714,"2,426",134,209,309,179,614,212,"1,018",311,"3,114",986,175,
2020,4,20,"13,902",423,435,613,"1,026","1,722",315,410,582,460,751,511,"1,388",537,"3,387","1,135",207,
2020,4,30,"13,435",390,477,482,860,"1,700",316,391,477,341,835,422,"1,170",434,"2,995","1,948",197,
2020,4,40,"17,560",576,571,651,"1,222","3,110",319,431,551,384,992,374,"1,623",587,"4,181","1,685",303,
2020,4,50,"17,872",647,554,829,"1,311","2,371",432,604,816,682,"1,055",462,"1,782",792,"3,757","1,343",435,
2020,4,60,"14,722",610,516,787,"1,049","1,521",450,662,781,607,986,486,"1,351",709,"2,779",912,516,
2020,4,70,"9,448",499,399,576,695,801,389,587,484,372,622,332,803,445,"1,598",383,463,
2020,4,80,"4,551",218,151,265,400,436,159,271,225,171,271,148,319,171,770,218,358,
2020,4,90,847,34,25,54,77,92,23,52,34,30,49,17,62,27,141,62,68,
2020,4,100,83,7,5,9,2,3,11,6,1,3,3,7,5,6,8,3,4,
2020,5,총,"112,407","4,040","3,740","4,889","7,724","15,676","2,704","3,837","4,428","3,352","6,720","3,185","10,193","4,271","24,675","10,085","2,888",
2020,5,0,"8,766",261,262,255,457,"1,529",164,208,182,136,540,205,699,269,"2,027","1,425",147,
2020,5,10,"11,486",389,352,385,700,"2,430",131,211,305,183,601,218,"1,010",306,"3,108",979,178,
2020,5,20,"13,826",431,434,609,"1,008","1,697",317,411,580,449,758,511,"1,392",530,"3,362","1,129",208,
2020,5,30,"13,357",379,471,472,855,"1,688",316,391,473,335,836,423,"1,152",436,"2,978","1,955",197,
2020,5,40,"17,495",572,575,643,"1,196","3,109",314,428,543,383,"1,000",373,"1,617",582,"4,169","1,682",309,
2020,5,50,"17,755",642,546,831,"1,291","2,371",432,605,812,672,"1,046",457,"1,773",789,"3,721","1,329",438,
2020,5,60,"14,780",604,520,787,"1,048","1,527",449,664,788,607,989,488,"1,360",712,"2,794",921,522,
2020,5,70,"9,462",503,399,574,691,797,388,587,486,382,621,336,804,442,"1,605",384,463,
2020,5,80,"4,551",219,153,270,397,430,159,274,225,171,277,149,317,171,768,216,355,
2020,5,90,845,33,23,54,79,95,23,52,33,30,49,18,64,28,135,62,67,
2020,5,100,84,7,5,9,2,3,11,6,1,4,3,7,5,6,8,3,4,
2020,6,총,"112,128","4,034","3,732","4,888","7,631","15,631","2,696","3,808","4,412","3,340","6,721","3,161","10,164","4,265","24,651","10,107","2,887",
2020,6,0,"8,700",262,265,254,447,"1,518",162,208,178,134,534,199,695,257,"2,018","1,426",143,
2020,6,10,"11,472",383,353,379,692,"2,427",129,210,305,182,606,216,"1,004",308,"3,113",980,185,
2020,6,20,"13,754",429,431,610,986,"1,682",323,396,581,446,757,506,"1,380",533,"3,355","1,132",207,
2020,6,30,"13,260",375,469,473,849,"1,668",310,393,470,328,831,420,"1,138",429,"2,950","1,960",197,
2020,6,40,"17,470",576,578,640,"1,181","3,114",313,422,537,384,"1,001",365,"1,608",583,"4,174","1,688",306,
2020,6,50,"17,643",638,538,836,"1,265","2,354",431,598,802,664,"1,032",461,"1,762",787,"3,714","1,326",435,
2020,6,60,"14,882",606,520,791,"1,053","1,540",444,657,794,617,"1,008",489,"1,375",717,"2,817",928,526,
2020,6,70,"9,485",507,399,571,684,800,394,593,493,382,622,334,814,444,"1,602",383,463,
2020,6,80,"4,539",219,152,273,394,432,157,272,220,169,278,144,319,174,764,218,354,
2020,6,90,839,32,22,52,78,93,22,53,31,30,49,20,64,28,136,63,66,
2020,6,100,84,7,5,9,2,3,11,6,1,4,3,7,5,5,8,3,5,
2020,7,총,"111,978","4,019","3,733","4,875","7,541","15,644","2,702","3,793","4,403","3,317","6,704","3,160","10,148","4,248","24,599","10,176","2,916",
2020,7,0,"8,658",260,269,251,441,"1,512",161,210,179,131,529,200,690,253,"1,990","1,435",147,
2020,7,10,"11,464",380,355,379,688,"2,428",127,212,297,178,607,216,"1,002",304,"3,111",995,185,
2020,7,20,"13,708",423,431,611,970,"1,692",326,394,579,439,754,504,"1,364",537,"3,338","1,133",213,
2020,7,30,"13,216",372,467,455,837,"1,662",309,389,473,327,818,415,"1,143",423,"2,947","1,968",211,
2020,7,40,"17,421",571,582,640,"1,169","3,097",316,415,531,372,"1,004",366,"1,597",584,"4,173","1,700",304,
2020,7,50,"17,586",636,532,837,"1,238","2,354",432,598,788,663,"1,034",464,"1,759",781,"3,699","1,333",438,
2020,7,60,"14,949",612,527,793,"1,050","1,564",445,647,800,624,"1,005",488,"1,385",713,"2,831",939,526,
2020,7,70,"9,512",507,390,574,683,808,393,597,496,383,626,336,818,444,"1,608",384,465,
2020,7,80,"4,535",216,153,273,385,431,160,271,225,167,273,144,323,177,758,224,355,
2020,7,90,844,35,22,53,78,93,22,54,33,29,52,20,62,27,135,62,67,
2020,7,100,85,7,5,9,2,3,11,6,2,4,2,7,5,5,9,3,5,
2020,8,총,"111,855","4,022","3,717","4,888","7,524","15,622","2,688","3,762","4,385","3,324","6,680","3,147","10,128","4,239","24,550","10,224","2,955",
2020,8,0,"8,628",259,269,253,430,"1,517",158,207,179,132,524,199,688,251,"1,974","1,436",152,
2020,8,10,"11,431",387,352,377,689,"2,416",130,206,288,175,601,213,"1,000",300,"3,109","1,002",186,
2020,8,20,"13,664",420,424,621,974,"1,683",320,389,573,446,750,499,"1,348",531,"3,318","1,151",217,
2020,8,30,"13,159",373,462,456,828,"1,654",304,383,473,327,809,417,"1,137",425,"2,927","1,966",218,
