년도,월,나이,울릉군,울릉읍,서면,서면태하출장소,북면
2020,1,총,"4,331","3,045",419,233,634
2020,1,0,216,153,27,6,30
2020,1,10,255,215,11,5,24
2020,1,20,355,259,33,19,44
2020,1,30,397,293,33,15,56
2020,1,40,520,404,39,15,62
2020,1,50,845,601,77,45,122
2020,1,60,833,565,77,55,136
2020,1,70,547,356,67,40,84
2020,1,80,306,168,51,24,63
2020,1,90,51,25,4,9,13
2020,1,100,6,6,0,0,0
2020,2,총,"4,297","3,027",422,231,617
2020,2,0,207,148,25,6,28
2020,2,10,252,212,12,5,23
2020,2,20,349,255,35,17,42
2020,2,30,387,285,31,16,55
2020,2,40,512,399,40,14,59
2020,2,50,844,604,79,44,117
2020,2,60,835,567,77,56,135
2020,2,70,546,357,67,40,82
2020,2,80,306,168,52,23,63
2020,2,90,53,26,4,10,13
2020,2,100,6,6,0,0,0
2020,3,총,"4,263","3,006",414,225,618
2020,3,0,203,144,24,7,28
2020,3,10,248,207,12,5,24
2020,3,20,345,253,32,15,45
2020,3,30,378,279,30,14,55
2020,3,40,509,399,38,12,60
2020,3,50,838,601,79,44,114
2020,3,60,829,565,76,57,131
2020,3,70,547,357,67,37,86
2020,3,80,306,169,52,24,61
2020,3,90,54,26,4,10,14
2020,3,100,6,6,0,0,0
2020,4,총,"4,220","2,979",408,228,605
2020,4,0,203,145,23,7,28
2020,4,10,245,206,13,5,21
2020,4,20,339,253,27,16,43
2020,4,30,376,278,30,15,53
2020,4,40,503,396,37,12,58
2020,4,50,820,586,79,45,110
2020,4,60,823,562,75,57,129
2020,4,70,550,355,69,38,88
2020,4,80,301,167,50,23,61
2020,4,90,54,25,5,10,14
2020,4,100,6,6,0,0,0
2020,5,총,"4,210","2,965",408,227,610
2020,5,0,198,143,22,6,27
2020,5,10,247,206,13,6,22
2020,5,20,336,253,25,15,43
2020,5,30,374,277,28,15,54
2020,5,40,503,394,36,12,61
2020,5,50,814,577,82,45,110
2020,5,60,824,559,78,56,131
2020,5,70,554,359,69,39,87
2020,5,80,299,166,50,22,61
2020,5,90,55,25,5,11,14
2020,5,100,6,6,0,0,0
2020,6,총,"4,213","2,973",405,221,614
2020,6,0,199,144,20,7,28
2020,6,10,246,207,12,5,22
2020,6,20,339,254,26,14,45
2020,6,30,375,274,28,16,57
2020,6,40,506,398,36,11,61
2020,6,50,814,581,82,43,108
2020,6,60,817,560,75,53,129
2020,6,70,555,357,70,40,88
2020,6,80,301,167,51,21,62
2020,6,90,55,25,5,11,14
2020,6,100,6,6,0,0,0
2020,7,총,"4,211","2,972",405,219,615
2020,7,0,205,145,20,7,33
2020,7,10,239,203,12,5,19
2020,7,20,341,259,26,15,41
2020,7,30,378,276,27,16,59
2020,7,40,503,393,37,11,62
2020,7,50,807,575,82,42,108
2020,7,60,818,564,75,52,127
2020,7,70,561,360,70,40,91
2020,7,80,297,165,51,20,61
2020,7,90,56,26,5,11,14
2020,7,100,6,6,0,0,0
2020,8,총,"4,193","2,967",404,216,606
2020,8,0,203,148,21,6,28
2020,8,10,236,202,12,4,18
2020,8,20,336,255,25,15,41
2020,8,30,371,276,26,15,54
2020,8,40,501,392,37,11,61
2020,8,50,802,570,82,42,108
2020,8,60,823,567,74,51,131
2020,8,70,562,361,71,41,89
2020,8,80,297,166,51,20,60
2020,8,90,56,24,5,11,16
2020,8,100,6,6,0,0,0
2020,9,총,"4,182","2,969",403,212,598
2020,9,0,197,145,21,6,25
2020,9,10,239,205,12,4,18
2020,9,20,339,259,24,15,41
2020,9,30,361,268,28,13,52
2020,9,40,505,397,37,11,60
2020,9,50,793,563,81,42,107
2020,9,60,825,571,73,49,132
2020,9,70,562,363,70,42,87
2020,9,80,301,167,52,20,62
2020,9,90,54,25,5,10,14
2020,9,100,6,6,0,0,0
2020,10,총,"4,170","2,964",399,210,597
2020,10,0,193,143,21,6,23
2020,10,10,239,204,12,4,19
2020,10,20,339,261,21,14,43
2020,10,30,353,264,28,12,49
2020,10,40,501,392,38,11,60
2020,10,50,790,562,80,41,107
2020,10,60,830,574,74,51,131
2020,10,70,563,364,70,42,87
2020,10,80,300,168,50,18,64
2020,10,90,55,25,5,11,14
2020,10,100,7,7,0,0,0
2020,11,총,"4,135","2,940",399,205,591
2020,11,0,190,140,21,6,23
2020,11,10,233,200,12,4,17
2020,11,20,332,257,20,14,41
2020,11,30,341,253,28,12,48
2020,11,40,501,393,38,11,59
2020,11,50,781,560,80,37,104
2020,11,60,829,573,76,50,130
2020,11,70,565,364,68,42,91
2020,11,80,300,168,51,18,63
2020,11,90,56,25,5,11,15
2020,11,100,7,7,0,0,0
2020,12,총,"4,121","2,928",398,205,590
2020,12,0,189,139,21,6,23
2020,12,10,230,198,12,4,16
2020,12,20,327,254,17,14,42
2020,12,30,341,253,28,12,48
2020,12,40,499,389,39,11,60
