년도,월,나이,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2020,1,총,"47,293","7,006","13,727","3,759","2,300","7,372","3,244","2,964","2,449",984,986,"1,451",561,490
2020,1,0,"3,817",361,"1,667",210,183,911,127,99,125,38,25,38,23,10
2020,1,10,"4,440",633,"1,790",305,195,682,204,205,172,58,44,110,22,20
2020,1,20,"4,974",856,"1,510",433,233,724,319,299,249,75,62,130,49,35
2020,1,30,"5,162",632,"1,859",330,208,"1,203",269,197,206,63,60,77,29,29
2020,1,40,"7,589","1,107","2,593",570,353,"1,359",371,350,333,121,121,197,61,53
2020,1,50,"8,623","1,359","2,049",765,450,"1,170",697,675,493,198,217,309,138,103
2020,1,60,"6,768","1,087","1,231",607,347,764,685,639,434,201,231,285,144,113
2020,1,70,"4,032",637,722,362,251,397,392,343,290,155,152,187,66,78
2020,1,80,"1,727",307,278,156,74,148,169,141,138,64,69,109,27,47
2020,1,90,154,26,27,20,6,14,9,16,9,9,5,9,2,2
2020,1,100,7,1,1,1,0,0,2,0,0,2,0,0,0,0
2020,2,총,"47,315","7,107","13,700","3,744","2,283","7,351","3,241","2,964","2,438",985,988,"1,463",558,493
2020,2,0,"3,787",361,"1,658",206,173,910,127,97,120,38,25,40,22,10
2020,2,10,"4,449",633,"1,791",303,197,679,203,208,173,60,44,115,22,21
2020,2,20,"4,976",886,"1,506",430,228,721,317,299,248,73,62,128,45,33
2020,2,30,"5,133",654,"1,830",327,201,"1,189",269,197,203,65,61,79,28,30
2020,2,40,"7,607","1,120","2,607",564,355,"1,366",374,342,326,122,121,197,59,54
2020,2,50,"8,623","1,376","2,052",760,449,"1,160",688,675,498,195,217,310,141,102
2020,2,60,"6,790","1,104","1,226",608,351,759,690,642,434,200,230,286,144,116
2020,2,70,"4,059",639,725,369,248,406,392,347,288,156,154,191,66,78
2020,2,80,"1,728",307,276,155,75,147,170,141,139,65,69,108,29,47
2020,2,90,156,26,28,21,6,14,9,16,9,9,5,9,2,2
2020,2,100,7,1,1,1,0,0,2,0,0,2,0,0,0,0
2020,3,총,"47,328","7,273","13,619","3,719","2,293","7,333","3,241","2,948","2,431",975,983,"1,467",554,492
2020,3,0,"3,763",358,"1,643",204,174,908,127,93,119,38,25,41,23,10
2020,3,10,"4,431",643,"1,772",300,204,674,198,204,177,59,42,115,21,22
2020,3,20,"4,989",923,"1,488",423,233,726,319,294,243,74,60,129,45,32
2020,3,30,"5,120",687,"1,812",327,203,"1,173",265,197,202,57,58,82,27,30
2020,3,40,"7,610","1,150","2,591",559,353,"1,366",370,341,329,121,124,194,59,53
2020,3,50,"8,603","1,403","2,044",758,443,"1,147",689,678,490,194,211,303,140,103
2020,3,60,"6,823","1,121","1,232",599,353,764,694,641,433,199,231,297,143,116
2020,3,70,"4,094",651,731,374,248,413,398,346,289,153,158,190,65,78
2020,3,80,"1,731",309,276,153,76,148,170,140,139,69,69,107,29,46
2020,3,90,157,27,29,21,6,14,9,14,10,9,5,9,2,2
2020,3,100,7,1,1,1,0,0,2,0,0,2,0,0,0,0
2020,4,총,"47,244","7,253","13,576","3,712","2,289","7,340","3,235","2,936","2,430",975,981,"1,466",556,495
2020,4,0,"3,746",354,"1,642",199,174,905,125,89,120,38,25,43,22,10
2020,4,10,"4,393",634,"1,750",301,202,677,196,199,176,58,42,115,20,23
2020,4,20,"4,971",911,"1,489",420,235,724,320,294,240,73,59,129,45,32
2020,4,30,"5,073",688,"1,788",324,199,"1,166",261,191,206,57,57,79,27,30
2020,4,40,"7,598","1,153","2,586",556,353,"1,374",368,337,323,117,123,193,62,53
2020,4,50,"8,587","1,400","2,039",756,443,"1,150",691,673,486,196,209,302,138,104
2020,4,60,"6,858","1,120","1,243",601,351,769,694,648,437,203,235,298,143,116
2020,4,70,"4,114",656,736,381,248,409,399,349,291,154,157,189,68,77
2020,4,80,"1,739",309,272,152,78,151,171,143,140,68,69,109,29,48
2020,4,90,157,27,29,21,6,15,8,13,11,9,5,9,2,2
2020,4,100,8,1,2,1,0,0,2,0,0,2,0,0,0,0
2020,5,총,"47,142","7,250","13,565","3,711","2,276","7,321","3,212","2,925","2,431",972,974,"1,456",557,492
2020,5,0,"3,715",354,"1,629",200,169,901,121,87,119,37,25,42,21,10
2020,5,10,"4,383",631,"1,758",299,200,675,191,198,175,59,41,114,20,22
2020,5,20,"4,960",917,"1,497",419,232,712,317,289,239,72,58,129,46,33
2020,5,30,"5,023",675,"1,760",328,198,"1,166",259,189,203,55,56,76,28,30
2020,5,40,"7,570","1,156","2,584",549,346,"1,376",363,332,324,117,118,192,60,53
2020,5,50,"8,568","1,400","2,043",754,444,"1,146",692,669,484,192,210,300,136,98
2020,5,60,"6,880","1,123","1,247",607,352,767,690,652,443,205,234,295,146,119
2020,5,70,"4,132",661,741,377,249,410,399,353,292,156,157,190,69,78
2020,5,80,"1,743",304,276,155,80,153,169,143,141,68,69,109,29,47
2020,5,90,159,27,28,22,6,15,9,13,11,9,6,9,2,2
2020,5,100,9,2,2,1,0,0,2,0,0,2,0,0,0,0
