년도,월,나이,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020,1,총,"27,019","11,254","2,418","3,354",837,931,702,"1,193","1,275","2,088","2,731",159,77
2020,1,0,"1,869","1,056",97,301,31,41,32,56,40,77,127,6,5
2020,1,10,"2,094","1,185",127,285,33,39,30,88,29,88,183,7,0
2020,1,20,"2,333","1,175",151,366,60,77,48,74,65,98,207,7,5
2020,1,30,"2,388","1,262",115,419,53,59,55,52,62,108,193,6,4
2020,1,40,"2,924","1,659",180,396,62,51,34,95,70,118,235,18,6
2020,1,50,"4,034","1,705",339,493,124,131,121,144,152,325,457,30,13
2020,1,60,"4,146","1,451",438,421,137,155,130,202,229,466,453,42,22
2020,1,70,"4,154","1,043",576,408,178,183,138,260,339,486,512,17,14
2020,1,80,"2,628",600,346,231,134,164,99,191,252,281,305,18,7
2020,1,90,415,105,45,30,23,30,15,28,34,41,55,8,1
2020,1,100,34,13,4,4,2,1,0,3,3,0,4,0,0
2020,2,총,"26,954","11,218","2,405","3,351",841,929,700,"1,189","1,260","2,095","2,727",161,78
2020,2,0,"1,858","1,039",98,305,31,40,33,57,38,78,128,6,5
2020,2,10,"2,089","1,181",125,287,33,37,30,89,30,87,182,8,0
2020,2,20,"2,295","1,159",149,356,58,75,47,74,64,100,201,7,5
2020,2,30,"2,391","1,251",116,424,57,60,56,52,59,111,193,7,5
2020,2,40,"2,922","1,667",178,392,62,50,33,94,66,122,234,18,6
2020,2,50,"4,018","1,705",336,493,125,134,117,139,149,323,456,28,13
2020,2,60,"4,154","1,456",435,420,139,156,132,204,233,460,454,43,22
2020,2,70,"4,120","1,034",564,406,175,183,139,256,333,488,510,18,14
2020,2,80,"2,651",605,353,231,135,164,98,192,252,286,310,18,7
2020,2,90,423,108,47,33,24,29,15,29,34,40,55,8,1
2020,2,100,33,13,4,4,2,1,0,3,2,0,4,0,0
2020,3,총,"26,909","11,195","2,395","3,353",848,925,698,"1,181","1,257","2,089","2,733",159,76
2020,3,0,"1,852","1,034",98,308,36,41,33,51,37,77,126,6,5
2020,3,10,"2,085","1,178",125,285,31,36,30,89,28,87,188,8,0
2020,3,20,"2,281","1,147",143,365,61,75,46,72,65,96,199,7,5
2020,3,30,"2,382","1,241",116,416,59,60,59,52,59,111,197,7,5
2020,3,40,"2,903","1,663",175,383,62,50,33,91,65,120,239,17,5
2020,3,50,"4,013","1,699",334,504,124,131,116,139,149,319,457,28,13
2020,3,60,"4,149","1,460",436,415,135,156,129,207,230,466,450,43,22
2020,3,70,"4,101","1,039",555,404,178,180,138,256,328,487,504,18,14
2020,3,80,"2,684",610,361,236,133,168,100,193,257,288,314,18,6
2020,3,90,426,111,48,33,27,27,14,28,37,38,55,7,1
2020,3,100,33,13,4,4,2,1,0,3,2,0,4,0,0
2020,4,총,"26,846","11,179","2,381","3,346",845,921,701,"1,182","1,256","2,079","2,723",157,76
2020,4,0,"1,862","1,040",99,303,38,41,36,52,36,78,128,6,5
2020,4,10,"2,065","1,162",125,285,33,35,30,89,27,85,186,8,0
2020,4,20,"2,256","1,144",138,362,59,73,46,70,61,95,196,7,5
2020,4,30,"2,385","1,241",115,414,58,59,63,53,61,110,200,6,5
2020,4,40,"2,885","1,663",165,382,59,52,31,90,68,118,235,17,5
2020,4,50,"3,995","1,691",337,510,126,129,113,138,147,313,450,28,13
2020,4,60,"4,150","1,466",430,414,135,158,128,209,229,464,454,41,22
2020,4,70,"4,088","1,039",554,400,175,179,140,256,330,482,500,19,14
2020,4,80,"2,696",609,366,239,134,166,100,192,257,295,314,18,6
2020,4,90,433,112,49,33,26,28,14,30,38,39,56,7,1
2020,4,100,31,12,3,4,2,1,0,3,2,0,4,0,0
2020,5,총,"26,825","11,170","2,384","3,337",846,927,701,"1,182","1,259","2,075","2,710",157,77
2020,5,0,"1,864","1,034",101,301,41,41,36,50,37,82,130,6,5
2020,5,10,"2,049","1,156",126,283,31,37,30,88,28,77,185,8,0
2020,5,20,"2,242","1,138",136,362,57,72,46,69,60,96,194,7,5
2020,5,30,"2,388","1,238",114,417,61,59,63,54,62,113,196,6,5
2020,5,40,"2,877","1,663",165,376,60,54,31,87,71,118,230,17,5
2020,5,50,"3,990","1,697",339,509,122,129,113,144,145,307,444,28,13
2020,5,60,"4,150","1,456",427,414,137,160,131,206,229,467,460,40,23
2020,5,70,"4,087","1,046",552,401,174,180,138,257,329,481,495,20,14
2020,5,80,"2,706",615,371,236,132,165,99,192,259,295,319,17,6
2020,5,90,442,115,51,34,29,29,14,32,37,39,53,8,1
2020,5,100,30,12,2,4,2,1,0,3,2,0,4,0,0
2020,6,총,"26,810","11,156","2,378","3,343",844,924,701,"1,175","1,257","2,080","2,715",159,78
2020,6,0,"1,865","1,037",103,296,42,38,36,49,37,86,130,6,5
2020,6,10,"2,049","1,151",124,288,31,42,31,89,28,75,184,6,0
2020,6,20,"2,232","1,137",133,359,59,73,45,66,57,97,192,9,5
2020,6,30,"2,385","1,231",108,421,61,58,64,52,62,117,198,7,6
2020,6,40,"2,868","1,654",168,376,59,54,30,88,71,115,231,17,5
2020,6,50,"3,962","1,684",330,505,121,130,111,142,147,307,444,28,13
2020,6,60,"4,185","1,472",433,417,138,156,134,209,228,471,463,41,23
2020,6,70,"4,088","1,051",556,405,171,180,136,256,329,477,493,20,14
2020,6,80,"2,707",613,370,239,131,163,100,190,260,295,323,17,6
2020,6,90,438,113,50,33,29,29,14,31,37,40,53,8,1
2020,6,100,31,13,3,4,2,1,0,3,1,0,4,0,0
2020,7,총,"26,794","11,138","2,374","3,344",850,926,699,"1,175","1,257","2,090","2,706",158,77
2020,7,0,"1,873","1,035",101,298,41,38,40,50,39,90,130,6,5
2020,7,10,"2,045","1,145",121,289,33,43,33,90,27,76,182,6,0
2020,7,20,"2,220","1,126",135,358,61,71,42,66,57,98,193,9,4
2020,7,30,"2,395","1,221",110,430,64,60,62,51,63,122,199,7,6
2020,7,40,"2,869","1,658",163,374,58,54,32,88,72,119,229,17,5
2020,7,50,"3,932","1,683",335,498,121,128,105,137,144,302,440,27,12
2020,7,60,"4,174","1,471",427,418,138,158,134,209,229,468,456,42,24
2020,7,70,"4,091","1,056",554,406,166,181,137,258,325,478,496,20,14
2020,7,80,"2,717",616,371,235,136,164,101,190,261,296,324,17,6
2020,7,90,448,114,54,34,30,29,13,33,39,41,53,7,1
2020,7,100,30,13,3,4,2,0,0,3,1,0,4,0,0
2020,8,총,"26,764","11,133","2,370","3,336",847,924,697,"1,171","1,259","2,087","2,707",156,77
2020,8,0,"1,871","1,032",103,296,39,38,40,50,41,92,129,6,5
2020,8,10,"2,035","1,144",118,286,35,40,35,88,28,76,179,6,0
2020,8,20,"2,222","1,126",134,355,62,72,42,67,56,98,197,9,4
2020,8,30,"2,387","1,214",113,428,63,59,61,50,63,122,201,7,6
2020,8,40,"2,870","1,653",162,378,58,54,33,88,72,121,229,17,5
2020,8,50,"3,912","1,687",330,497,120,128,105,137,142,298,432,25,11
2020,8,60,"4,172","1,478",427,413,136,156,132,206,232,466,458,43,25
2020,8,70,"4,095","1,054",549,410,168,184,136,261,325,475,499,20,14
2020,8,80,"2,723",621,377,235,135,164,100,187,260,297,325,16,6
2020,8,90,446,110,54,34,29,29,13,34,39,42,54,7,1
