년도,월,나이,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2020,6,100,172,8,2,10,11,12,17,27,18,16,8,4,11,18,10
2020,7,총,"328,822","25,617","29,918","14,482","27,499","25,351","21,745","28,180","21,966","19,537","16,897","19,532","29,351","20,575","28,172"
2020,7,0,"19,565","1,613","1,918",838,"1,863","1,593",904,"1,711","1,232","1,086",844,"1,291","1,621",999,"2,052"
2020,7,10,"26,377","2,250","2,354","1,110","2,696","2,031","1,255","1,783","1,698","1,469","1,041","2,087","2,284","1,507","2,812"
2020,7,20,"44,218","3,390","4,164","1,870","3,805","3,715","2,680","3,454","3,107","2,608","2,570","2,608","4,022","2,758","3,467"
2020,7,30,"41,954","3,502","4,292","1,762","3,473","3,596","2,406","3,750","2,642","2,662","2,406","2,407","3,431","2,325","3,300"
2020,7,40,"49,523","4,215","4,662","2,199","4,506","3,646","3,022","3,869","3,318","2,858","2,476","3,080","4,323","3,027","4,322"
2020,7,50,"57,684","4,228","5,191","2,662","4,982","4,490","3,844","4,592","3,728","3,336","2,853","3,491","5,503","3,856","4,928"
2020,7,60,"48,819","3,435","4,043","2,082","3,410","3,583","3,844","4,879","3,265","3,006","2,433","2,732","4,529","3,305","4,273"
2020,7,70,"27,595","2,006","2,282","1,375","1,744","1,764","2,671","2,832","2,045","1,668","1,616","1,176","2,585","1,938","1,893"
2020,7,80,"11,306",858,919,516,876,791,986,"1,120",807,714,579,552,896,732,960
2020,7,90,"1,606",112,91,58,131,130,115,163,107,113,71,104,146,110,155
2020,7,100,175,8,2,10,13,12,18,27,17,17,8,4,11,18,10
2020,8,총,"328,014","25,539","29,846","14,424","27,423","25,321","21,738","28,050","21,952","19,506","16,894","19,458","29,285","20,488","28,090"
2020,8,0,"19,393","1,608","1,900",823,"1,846","1,583",896,"1,694","1,229","1,078",839,"1,266","1,606",979,"2,046"
2020,8,10,"26,252","2,224","2,350","1,111","2,690","2,026","1,252","1,772","1,681","1,451","1,046","2,082","2,272","1,499","2,796"
2020,8,20,"44,061","3,374","4,139","1,860","3,792","3,735","2,685","3,424","3,110","2,602","2,556","2,606","3,992","2,746","3,440"
2020,8,30,"41,708","3,498","4,257","1,728","3,443","3,554","2,379","3,728","2,644","2,669","2,404","2,384","3,427","2,292","3,301"
2020,8,40,"49,331","4,183","4,641","2,204","4,507","3,621","3,015","3,841","3,311","2,849","2,474","3,059","4,306","3,012","4,308"
2020,8,50,"57,489","4,222","5,186","2,651","4,949","4,504","3,836","4,567","3,708","3,322","2,849","3,484","5,477","3,843","4,891"
2020,8,60,"49,003","3,442","4,065","2,096","3,426","3,593","3,867","4,881","3,282","3,022","2,441","2,731","4,563","3,309","4,285"
2020,8,70,"27,641","2,004","2,295","1,371","1,749","1,769","2,681","2,828","2,056","1,670","1,613","1,180","2,584","1,945","1,896"
2020,8,80,"11,351",866,915,513,879,795,993,"1,125",808,710,592,558,903,732,962
2020,8,90,"1,610",110,96,57,132,129,116,162,106,116,72,103,143,113,155
2020,8,100,175,8,2,10,10,12,18,28,17,17,8,5,12,18,10
2020,9,총,"327,248","25,422","29,786","14,420","27,333","25,290","21,768","28,007","21,941","19,422","16,845","19,381","29,188","20,397","28,048"
2020,9,0,"19,265","1,593","1,882",821,"1,826","1,583",906,"1,680","1,232","1,055",828,"1,251","1,602",975,"2,031"
2020,9,10,"26,089","2,201","2,334","1,104","2,674","2,012","1,240","1,759","1,666","1,443","1,048","2,063","2,266","1,493","2,786"
2020,9,20,"43,900","3,343","4,114","1,867","3,766","3,745","2,685","3,422","3,114","2,575","2,527","2,602","3,961","2,732","3,447"
2020,9,30,"41,443","3,465","4,237","1,709","3,440","3,540","2,402","3,685","2,630","2,648","2,389","2,379","3,395","2,252","3,272"
2020,9,40,"49,149","4,163","4,631","2,202","4,484","3,627","2,980","3,860","3,278","2,833","2,455","3,025","4,299","3,008","4,304"
2020,9,50,"57,353","4,209","5,184","2,638","4,947","4,485","3,842","4,557","3,725","3,324","2,844","3,474","5,443","3,814","4,867"
2020,9,60,"49,173","3,457","4,077","2,123","3,437","3,590","3,886","4,888","3,300","3,028","2,446","2,737","4,577","3,313","4,314"
2020,9,70,"27,670","1,998","2,307","1,377","1,742","1,776","2,700","2,825","2,054","1,668","1,628","1,176","2,581","1,947","1,891"
2020,9,80,"11,392",870,920,514,872,791,995,"1,135",816,716,593,562,909,732,967
2020,9,90,"1,633",115,97,55,135,128,114,168,109,114,78,105,143,113,159
2020,9,100,181,8,3,10,10,13,18,28,17,18,9,7,12,18,10
2020,10,총,"326,617","25,413","29,735","14,380","27,258","25,301","21,723","27,942","21,889","19,371","16,809","19,338","29,087","20,366","28,005"
2020,10,0,"19,093","1,601","1,864",806,"1,798","1,591",888,"1,659","1,218","1,043",827,"1,240","1,571",961,"2,026"
2020,10,10,"25,936","2,197","2,317","1,095","2,663","1,978","1,223","1,762","1,651","1,431","1,030","2,063","2,261","1,487","2,778"
2020,10,20,"43,691","3,326","4,121","1,863","3,744","3,764","2,660","3,391","3,105","2,551","2,508","2,579","3,927","2,738","3,414"
2020,10,30,"41,286","3,473","4,181","1,704","3,420","3,560","2,400","3,687","2,617","2,645","2,388","2,361","3,371","2,232","3,247"
2020,10,40,"48,924","4,145","4,618","2,185","4,471","3,610","2,936","3,854","3,250","2,820","2,450","3,021","4,287","2,985","4,292"
2020,10,50,"57,283","4,212","5,189","2,634","4,929","4,469","3,847","4,535","3,731","3,331","2,836","3,464","5,429","3,818","4,859"
2020,10,60,"49,401","3,472","4,104","2,142","3,465","3,607","3,914","4,906","3,313","3,019","2,451","2,749","4,586","3,322","4,351"
2020,10,70,"27,686","1,987","2,307","1,375","1,745","1,780","2,714","2,813","2,052","1,661","1,638","1,183","2,585","1,954","1,892"
2020,10,80,"11,498",877,931,513,877,800,"1,005","1,141",829,737,596,564,912,738,978
2020,10,90,"1,638",115,100,53,137,129,118,166,106,114,76,107,146,113,158
2020,10,100,181,8,3,10,9,13,18,28,17,19,9,7,12,18,10
2020,11,총,"326,082","25,364","29,683","14,362","27,261","25,254","21,662","27,904","21,879","19,304","16,812","19,300","29,043","20,326","27,928"
2020,11,0,"18,941","1,594","1,843",783,"1,813","1,580",872,"1,651","1,217","1,031",819,"1,218","1,562",956,"2,002"
2020,11,10,"25,824","2,190","2,303","1,101","2,644","1,961","1,211","1,759","1,628","1,417","1,028","2,055","2,248","1,495","2,784"
2020,11,20,"43,572","3,318","4,141","1,839","3,737","3,754","2,643","3,378","3,110","2,544","2,502","2,569","3,917","2,724","3,396"
2020,11,30,"41,166","3,456","4,148","1,715","3,427","3,568","2,393","3,681","2,625","2,640","2,391","2,338","3,349","2,223","3,212"
2020,11,40,"48,735","4,142","4,598","2,180","4,454","3,583","2,936","3,837","3,243","2,813","2,449","3,012","4,270","2,959","4,259"
2020,11,50,"57,209","4,207","5,185","2,635","4,934","4,462","3,825","4,534","3,717","3,333","2,844","3,451","5,428","3,798","4,856"
2020,11,60,"49,573","3,471","4,121","2,153","3,480","3,617","3,936","4,922","3,319","3,020","2,450","2,783","4,595","3,335","4,371"
2020,11,70,"27,661","1,984","2,302","1,373","1,738","1,779","2,705","2,796","2,060","1,641","1,647","1,186","2,584","1,966","1,900"
2020,11,80,"11,578",880,931,520,888,808,"1,003","1,146",837,735,599,573,931,742,985
2020,11,90,"1,643",114,108,53,137,130,120,172,106,111,74,108,147,110,153
2020,11,100,180,8,3,10,9,12,18,28,17,19,9,7,12,18,10
2020,12,총,"325,257","25,241","29,643","14,310","27,195","25,198","21,660","27,785","21,790","19,246","16,769","19,262","28,975","20,282","27,901"
2020,12,0,"18,775","1,574","1,818",774,"1,799","1,577",878,"1,644","1,191","1,018",804,"1,212","1,546",948,"1,992"
2020,12,10,"25,627","2,176","2,284","1,090","2,618","1,954","1,203","1,742","1,618","1,401","1,016","2,037","2,220","1,488","2,780"
2020,12,20,"43,412","3,307","4,139","1,826","3,738","3,724","2,633","3,339","3,093","2,545","2,506","2,564","3,906","2,723","3,369"
2020,12,30,"40,993","3,407","4,144","1,715","3,416","3,558","2,410","3,646","2,598","2,622","2,378","2,325","3,348","2,210","3,216"
2020,12,40,"48,535","4,116","4,588","2,165","4,433","3,571","2,927","3,809","3,245","2,795","2,433","3,006","4,242","2,951","4,254"
2020,12,50,"57,020","4,183","5,180","2,621","4,921","4,454","3,811","4,508","3,692","3,330","2,848","3,437","5,426","3,773","4,836"
2020,12,60,"49,740","3,479","4,147","2,158","3,492","3,614","3,947","4,945","3,333","3,023","2,456","2,809","4,597","3,348","4,392"
2020,12,70,"27,706","1,985","2,307","1,379","1,741","1,794","2,708","2,800","2,061","1,648","1,639","1,190","2,588","1,967","1,899"
2020,12,80,"11,603",892,924,516,889,805,"1,002","1,150",835,737,600,570,938,748,997
2020,12,90,"1,671",115,109,56,139,135,124,174,108,109,81,105,152,108,156
2020,12,100,175,7,3,10,9,12,17,28,16,18,8,7,12,18,10
2021,1,총,"324,281","25,163","29,531","14,296","27,082","25,090","21,609","27,730","21,717","19,180","16,742","19,180","28,931","20,230","27,800"
2021,1,0,"18,500","1,556","1,796",755,"1,763","1,566",856,"1,619","1,175","1,008",799,"1,195","1,529",930,"1,953"
2021,1,10,"25,493","2,154","2,264","1,103","2,610","1,939","1,194","1,729","1,603","1,386","1,007","2,028","2,222","1,483","2,771"
2021,1,20,"43,170","3,303","4,127","1,813","3,711","3,700","2,625","3,329","3,077","2,529","2,492","2,554","3,857","2,697","3,356"
2021,1,30,"40,721","3,369","4,100","1,713","3,403","3,517","2,368","3,628","2,586","2,608","2,369","2,318","3,364","2,209","3,169"
2021,1,40,"48,275","4,107","4,572","2,161","4,413","3,572","2,917","3,800","3,226","2,760","2,427","2,976","4,218","2,904","4,222"
2021,1,50,"56,837","4,181","5,152","2,608","4,910","4,415","3,821","4,496","3,669","3,320","2,844","3,402","5,412","3,784","4,823"
2021,1,60,"49,968","3,481","4,167","2,177","3,503","3,613","3,954","4,968","3,350","3,055","2,473","2,830","4,621","3,358","4,418"
2021,1,70,"27,809","1,997","2,303","1,379","1,738","1,815","2,716","2,814","2,062","1,656","1,639","1,190","2,599","1,987","1,914"
2021,1,80,"11,652",889,941,523,884,803,"1,012","1,142",850,732,601,578,940,751,"1,006"
2021,1,90,"1,679",119,106,53,138,138,129,177,103,108,83,102,156,109,158
2021,1,100,177,7,3,11,9,12,17,28,16,18,8,7,13,18,10
2021,2,총,"323,431","25,114","29,445","14,247","27,038","25,057","21,590","27,616","21,685","19,065","16,736","19,111","28,837","20,158","27,732"
2021,2,0,"18,308","1,532","1,760",749,"1,749","1,564",859,"1,583","1,169",989,793,"1,185","1,522",914,"1,940"
2021,2,10,"25,336","2,142","2,260","1,091","2,618","1,943","1,172","1,703","1,602","1,365","1,017","2,000","2,189","1,490","2,744"
2021,2,20,"42,920","3,296","4,089","1,810","3,695","3,654","2,621","3,317","3,036","2,505","2,476","2,540","3,837","2,688","3,356"
2021,2,30,"40,442","3,344","4,079","1,669","3,382","3,537","2,346","3,609","2,586","2,573","2,352","2,321","3,318","2,186","3,140"
