년도,월,나이,종로구,청운효자동,사직동,삼청동,부암동,평창동,무악동,교남동,가회동,종로1.2.3.4가동,종로5.6가동,이화동,혜화동,창신제1동,창신제2동,창신제3동,숭인제1동,숭인제2동
2020,1,총,"73,688","5,933","4,301","1,340","4,817","8,742","4,052","4,933","2,018","4,292","2,907","3,704","8,115","2,815","4,358","3,506","3,037","4,818"
2020,1,0,"4,128",462,318,51,311,609,333,470,104,116,63,138,359,88,139,235,166,166
2020,1,10,"5,898",663,343,129,518,879,494,420,188,115,136,233,706,131,295,279,196,173
2020,1,20,"11,621",799,568,185,723,"1,350",440,607,234,444,570,807,"2,189",333,653,535,409,775
2020,1,30,"10,081",823,625,194,573,"1,049",446,838,283,500,417,625,"1,119",303,531,485,467,803
2020,1,40,"11,190",992,679,189,765,"1,246",755,896,364,577,371,518,"1,114",357,653,497,507,710
2020,1,50,"12,936",947,691,208,790,"1,522",725,767,317,970,569,567,"1,090",668,974,643,552,936
2020,1,60,"9,540",583,521,186,601,"1,130",454,496,268,875,414,437,756,564,639,481,413,722
2020,1,70,"5,570",428,337,137,354,625,254,293,179,477,267,250,514,270,334,244,223,384
2020,1,80,"2,283",201,177,47,159,282,123,127,70,172,82,112,239,83,123,80,85,121
2020,1,90,356,32,37,13,20,42,17,14,7,35,14,14,21,18,15,18,17,22
2020,1,100,85,3,5,1,3,8,11,5,4,11,4,3,8,0,2,9,2,6
2020,2,총,"73,729","5,943","4,299","1,329","4,828","8,742","4,057","4,955","2,024","4,312","2,910","3,686","8,116","2,810","4,365","3,495","3,021","4,837"
2020,2,0,"4,092",462,308,50,314,604,337,466,104,117,64,138,356,83,140,226,163,160
2020,2,10,"5,887",665,331,126,510,883,494,432,186,117,131,228,721,131,293,271,191,177
2020,2,20,"11,577",799,571,188,723,"1,336",426,608,235,449,570,798,"2,177",333,642,535,408,779
2020,2,30,"10,081",818,623,191,573,"1,050",455,836,285,499,417,614,"1,115",304,547,486,462,806
2020,2,40,"11,226",990,677,186,780,"1,246",762,904,371,582,369,526,"1,112",359,649,497,508,708
2020,2,50,"12,919",954,695,206,784,"1,511",717,770,313,968,572,568,"1,097",655,974,640,552,943
2020,2,60,"9,605",589,533,182,604,"1,146",458,502,268,876,418,431,758,571,641,488,413,727
2020,2,70,"5,601",428,336,138,358,634,258,291,179,487,268,251,511,274,337,245,220,386
2020,2,80,"2,298",203,184,48,158,283,122,127,71,171,83,114,238,82,124,80,87,123
