년도,월,나이,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020,1,총,"55,862","16,923","11,426","14,612","2,033","2,715","1,605","4,967","1,581"
2020,1,0,"4,998","1,208",957,"2,356",58,76,38,201,104
2020,1,10,"5,604","1,723","1,502","1,722",62,80,71,360,84
2020,1,20,"5,697","1,734","1,245","1,698",139,193,100,492,96
2020,1,30,"7,372","1,760","1,284","3,477",111,161,85,332,162
2020,1,40,"9,595","2,816","2,561","2,812",142,205,145,735,179
2020,1,50,"8,721","3,039","1,966","1,115",348,590,325,"1,071",267
2020,1,60,"6,200","2,079",954,739,422,603,373,757,273
2020,1,70,"4,358","1,466",576,417,404,402,270,603,220
2020,1,80,"2,835",940,333,241,296,329,163,366,167
2020,1,90,447,138,47,31,47,76,34,47,27
2020,1,100,35,20,1,4,4,0,1,3,2
2020,2,총,"55,693","16,899","11,391","14,529","2,037","2,715","1,611","4,936","1,575"
2020,2,0,"4,947","1,209",954,"2,311",58,75,45,192,103
2020,2,10,"5,555","1,712","1,481","1,718",59,79,69,360,77
2020,2,20,"5,649","1,719","1,239","1,680",143,190,102,477,99
2020,2,30,"7,301","1,744","1,264","3,442",111,163,91,324,162
2020,2,40,"9,568","2,810","2,547","2,811",146,206,143,728,177
2020,2,50,"8,770","3,054","1,994","1,124",344,588,325,"1,073",268
2020,2,60,"6,218","2,082",948,747,425,608,369,766,273
2020,2,70,"4,342","1,461",579,414,404,401,268,597,218
2020,2,80,"2,855",950,335,248,296,327,164,366,169
2020,2,90,450,137,49,30,47,78,33,49,27
2020,2,100,38,21,1,4,4,0,2,4,2
2020,3,총,"55,427","16,834","11,326","14,507","2,013","2,685","1,589","4,909","1,564"
2020,3,0,"4,901","1,196",945,"2,304",48,73,41,191,103
2020,3,10,"5,512","1,692","1,475","1,712",57,80,68,355,73
2020,3,20,"5,559","1,704","1,219","1,652",138,182,98,467,99
2020,3,30,"7,238","1,718","1,245","3,436",109,158,89,321,162
2020,3,40,"9,492","2,801","2,511","2,821",134,199,138,714,174
2020,3,50,"8,785","3,049","2,006","1,138",345,591,318,"1,071",267
2020,3,60,"6,265","2,103",960,756,426,605,371,771,273
2020,3,70,"4,315","1,450",581,408,404,397,264,594,217
2020,3,80,"2,865",959,338,244,299,323,167,369,166
2020,3,90,457,141,45,32,49,77,33,52,28
2020,3,100,38,21,1,4,4,0,2,4,2
2020,4,총,"55,366","16,828","11,306","14,508","2,010","2,671","1,582","4,902","1,559"
2020,4,0,"4,877","1,194",934,"2,304",49,70,37,186,103
2020,4,10,"5,496","1,683","1,471","1,717",58,78,67,349,73
2020,4,20,"5,507","1,697","1,209","1,629",133,181,99,463,96
2020,4,30,"7,188","1,706","1,229","3,413",111,154,86,328,161
2020,4,40,"9,495","2,789","2,510","2,856",131,196,135,706,172
2020,4,50,"8,813","3,059","2,015","1,145",347,596,315,"1,071",265
2020,4,60,"6,283","2,116",964,754,425,598,375,777,274
2020,4,70,"4,324","1,454",588,406,406,396,265,592,217
2020,4,80,"2,881",970,338,246,296,325,167,372,167
2020,4,90,467,141,47,34,50,77,34,55,29
2020,4,100,35,19,1,4,4,0,2,3,2
2020,5,총,"55,301","16,800","11,286","14,502","2,015","2,668","1,580","4,885","1,565"
2020,5,0,"4,832","1,188",918,"2,285",48,71,37,181,104
2020,5,10,"5,496","1,661","1,482","1,729",61,76,70,344,73
2020,5,20,"5,451","1,693","1,198","1,598",130,180,93,462,97
2020,5,30,"7,144","1,692","1,217","3,407",111,151,82,321,163
2020,5,40,"9,468","2,774","2,499","2,862",130,194,135,702,172
2020,5,50,"8,865","3,075","2,022","1,169",346,595,316,"1,072",270
2020,5,60,"6,329","2,129",975,761,433,603,378,779,271
2020,5,70,"4,317","1,452",587,409,400,394,266,593,216
2020,5,80,"2,891",973,342,243,301,324,166,373,169
2020,5,90,474,145,45,35,51,80,35,55,28
2020,5,100,34,18,1,4,4,0,2,3,2
2020,6,총,"55,184","16,789","11,239","14,498","2,006","2,650","1,570","4,861","1,571"
2020,6,0,"4,801","1,185",904,"2,271",45,71,38,182,105
2020,6,10,"5,483","1,665","1,468","1,734",61,75,68,339,73
2020,6,20,"5,417","1,698","1,191","1,585",125,172,91,458,97
2020,6,30,"7,106","1,682","1,198","3,401",112,153,77,316,167
2020,6,40,"9,453","2,758","2,495","2,868",130,194,135,698,175
2020,6,50,"8,856","3,077","2,026","1,175",341,585,317,"1,064",271
2020,6,60,"6,356","2,144",977,770,435,603,376,783,268
2020,6,70,"4,322","1,445",589,415,402,397,265,590,219
2020,6,80,"2,890",977,344,242,300,322,166,373,166
2020,6,90,467,141,46,33,51,78,35,55,28
2020,6,100,33,17,1,4,4,0,2,3,2
