년도,월,나이,서구,양동,양3동,농성1동,농성2동,광천동,유덕동,치평동,상무1동,상무2동,화정1동,화정2동,화정3동,화정4동,서창동,금호1동,금호2동,풍암동,동천동
2020,1,총,"153,462","2,116","2,460","5,575","2,563","4,273","5,360","16,115","12,685","12,499","8,225","10,627","5,400","8,344","2,474","11,091","15,189","19,557","8,909"
2020,1,0,"11,262",54,201,290,88,262,456,"1,146",906,614,470,"1,159",280,551,150,656,"1,373","1,672",934
2020,1,10,"15,965",81,179,324,133,314,647,"1,632","1,338",937,564,"1,007",523,755,174,"1,081","2,305","2,699","1,272"
2020,1,20,"22,043",207,247,846,453,560,770,"2,762","2,275","2,145","1,577","1,191",703,"1,033",265,"1,524","1,949","2,659",877
2020,1,30,"19,298",177,318,731,298,495,717,"2,296","1,757","1,449","1,216","1,700",573,927,244,"1,139","1,785","2,351","1,125"
2020,1,40,"26,129",197,330,776,310,577,"1,013","2,847","2,063","1,692","1,093","1,785",780,"1,265",287,"1,768","3,296","4,196","1,854"
2020,1,50,"25,429",348,384,855,468,789,792,"2,744","2,002","2,185","1,218","1,643","1,009","1,624",491,"2,241","2,411","2,922","1,303"
2020,1,60,"17,136",424,413,814,394,642,445,"1,296","1,285","1,694","1,036","1,251",815,"1,276",396,"1,425","1,119","1,520",891
2020,1,70,"10,309",413,269,623,286,380,329,880,700,"1,145",650,585,457,565,246,761,614,974,432
2020,1,80,"4,929",181,101,264,113,208,158,455,294,533,338,245,211,287,175,436,273,474,183
2020,1,90,902,28,18,49,20,38,32,56,62,94,61,58,46,56,41,57,58,90,38
2020,1,100,60,6,0,3,0,8,1,1,3,11,2,3,3,5,5,3,6,0,0
2020,2,총,"153,265","2,112","2,457","5,609","2,563","4,365","5,325","16,100","12,653","12,447","8,263","10,629","5,394","8,320","2,457","11,054","15,175","19,492","8,850"
2020,2,0,"11,170",54,198,290,89,265,448,"1,147",884,618,468,"1,155",286,549,149,646,"1,359","1,656",909
2020,2,10,"15,839",79,178,325,130,332,631,"1,617","1,324",924,560,"1,011",520,747,170,"1,067","2,300","2,659","1,265"
2020,2,20,"22,023",201,242,854,454,562,773,"2,767","2,280","2,130","1,608","1,184",697,"1,019",264,"1,518","1,939","2,652",879
2020,2,30,"19,142",178,322,730,297,507,711,"2,280","1,750","1,439","1,196","1,692",570,910,241,"1,133","1,769","2,330","1,087"
2020,2,40,"26,125",199,333,781,307,608,"1,011","2,835","2,067","1,679","1,098","1,786",778,"1,270",284,"1,757","3,298","4,183","1,851"
2020,2,50,"25,434",344,380,864,469,806,784,"2,748","1,983","2,181","1,226","1,644","1,002","1,603",493,"2,233","2,426","2,937","1,311"
2020,2,60,"17,281",425,414,824,398,650,449,"1,317","1,297","1,691","1,048","1,259",824,"1,294",391,"1,436","1,136","1,533",895
2020,2,70,"10,310",417,271,619,280,382,327,869,703,"1,142",657,592,453,582,245,762,608,969,432
2020,2,80,"4,977",182,99,269,117,210,157,462,303,538,338,245,214,287,173,441,277,479,186
2020,2,90,901,27,20,50,22,35,33,57,59,94,62,58,46,54,41,57,57,94,35
2020,2,100,63,6,0,3,0,8,1,1,3,11,2,3,4,5,6,4,6,0,0
2020,3,총,"152,937","2,111","2,463","5,636","2,549","4,376","5,287","16,078","12,617","12,402","8,274","10,600","5,396","8,301","2,483","10,995","15,161","19,423","8,785"
2020,3,0,"11,088",55,197,291,88,266,439,"1,142",882,605,458,"1,156",282,545,152,632,"1,355","1,647",896
