년도,월,나이,북구,구포제1동,구포제2동,구포제3동,금곡동,화명제1동,화명제2동,화명제3동,덕천제1동,덕천제2동,덕천제3동,만덕제1동,만덕제2동,만덕제3동
2020,5,50,"55,652","3,078","5,475","4,420","7,820","8,563","3,334","5,472","2,474","2,381","2,038","2,302","4,768","3,527"
2020,5,60,"43,774","2,601","4,264","3,381","6,357","4,934","2,264","3,050","2,558","2,304","2,122","2,172","4,256","3,511"
2020,5,70,"20,857","1,260","1,983","1,543","3,532","1,723","1,084","1,690","1,368","1,100","1,244","1,053","1,828","1,449"
2020,5,80,"7,872",478,658,472,"1,806",572,448,641,584,418,453,310,591,441
2020,5,90,"1,014",59,71,60,184,88,74,80,69,65,48,45,95,76
2020,5,100,100,5,16,4,4,5,37,2,5,5,6,5,5,1
2020,6,총,"288,376","14,876","26,635","20,675","39,609","43,412","15,701","30,744","13,038","12,600","11,306","12,835","27,575","19,370"
2020,6,0,"19,817",758,"1,526","1,006","2,288","4,231","1,018","2,760",524,472,496,948,"2,424","1,366"
2020,6,10,"24,224",733,"1,844","1,618","3,351","4,664","1,351","4,060",628,692,671,810,"2,434","1,368"
2020,6,20,"38,776","2,119","3,816","3,056","4,759","6,162","2,328","4,022","1,679","1,967","1,482","1,539","3,353","2,494"
2020,6,30,"34,829","2,016","3,403","2,098","3,997","5,704","1,728","3,293","1,638","1,575","1,222","2,056","3,542","2,557"
2020,6,40,"41,423","1,800","3,562","3,009","5,493","6,756","2,049","5,650","1,599","1,603","1,506","1,579","4,255","2,562"
2020,6,50,"55,327","3,036","5,449","4,417","7,761","8,528","3,306","5,465","2,413","2,367","2,042","2,287","4,755","3,501"
2020,6,60,"44,003","2,617","4,290","3,389","6,404","4,963","2,271","3,070","2,545","2,320","2,124","2,192","4,279","3,539"
2020,6,70,"20,970","1,268","1,990","1,544","3,560","1,739","1,093","1,695","1,357","1,110","1,254","1,059","1,839","1,462"
2020,6,80,"7,903",468,670,474,"1,800",576,444,649,586,425,457,316,594,444
2020,6,90,"1,005",56,69,60,192,84,76,79,65,64,46,44,94,76
2020,6,100,99,5,16,4,4,5,37,1,4,5,6,5,6,1
2020,7,총,"287,736","14,858","26,603","20,635","39,507","43,288","15,650","30,739","12,779","12,651","11,286","12,857","27,539","19,344"
2020,7,0,"19,735",753,"1,528",991,"2,273","4,211","1,016","2,756",514,468,492,955,"2,417","1,361"
2020,7,10,"24,083",724,"1,829","1,622","3,333","4,638","1,332","4,049",607,693,665,807,"2,435","1,349"
2020,7,20,"38,535","2,113","3,790","3,043","4,703","6,121","2,316","4,011","1,626","1,968","1,481","1,533","3,331","2,499"
2020,7,30,"34,742","2,028","3,415","2,096","3,975","5,663","1,732","3,288","1,611","1,583","1,222","2,052","3,541","2,536"
2020,7,40,"41,301","1,784","3,551","2,992","5,479","6,747","2,037","5,640","1,571","1,597","1,498","1,589","4,259","2,557"
2020,7,50,"55,079","3,020","5,410","4,392","7,718","8,503","3,295","5,477","2,351","2,396","2,026","2,291","4,711","3,489"
2020,7,60,"44,163","2,638","4,319","3,400","6,437","4,996","2,274","3,075","2,512","2,325","2,131","2,197","4,297","3,562"
2020,7,70,"21,064","1,269","1,994","1,555","3,582","1,751","1,095","1,711","1,341","1,125","1,258","1,063","1,855","1,465"
2020,7,80,"7,929",469,680,478,"1,808",572,441,650,577,427,461,320,597,449
2020,7,90,"1,005",55,71,62,195,81,75,81,65,64,46,45,89,76
2020,7,100,100,5,16,4,4,5,37,1,4,5,6,5,7,1
2020,8,총,"286,865","14,806","26,553","20,573","39,377","43,163","15,632","30,657","12,577","12,597","11,286","12,857","27,521","19,266"
2020,8,0,"19,557",754,"1,508",991,"2,249","4,186","1,007","2,717",504,459,485,953,"2,409","1,335"
2020,8,10,"23,894",721,"1,817","1,594","3,308","4,623","1,313","4,033",595,672,666,791,"2,426","1,335"
2020,8,20,"38,349","2,090","3,785","3,035","4,657","6,075","2,305","4,015","1,590","1,963","1,471","1,533","3,341","2,489"
2020,8,30,"34,440","2,003","3,401","2,078","3,946","5,630","1,713","3,263","1,575","1,557","1,213","2,056","3,506","2,499"
2020,8,40,"41,090","1,769","3,513","2,974","5,441","6,728","2,046","5,593","1,548","1,580","1,504","1,601","4,258","2,535"
2020,8,50,"54,890","3,004","5,386","4,367","7,689","8,487","3,284","5,464","2,319","2,396","2,021","2,282","4,712","3,479"
2020,8,60,"44,394","2,656","4,369","3,433","6,469","5,021","2,305","3,103","2,472","2,339","2,140","2,197","4,311","3,579"
2020,8,70,"21,119","1,272","1,992","1,551","3,594","1,748","1,101","1,718","1,323","1,132","1,269","1,070","1,866","1,483"
2020,8,80,"8,018",475,691,484,"1,825",580,448,666,580,431,465,325,594,454
2020,8,90,"1,015",57,75,62,196,80,73,84,67,63,46,44,91,77
2020,8,100,99,5,16,4,3,5,37,1,4,5,6,5,7,1
2020,9,총,"286,327","14,824","26,474","20,527","39,307","43,022","15,585","30,657","12,505","12,585","11,256","12,827","27,500","19,258"
2020,9,0,"19,426",755,"1,499",982,"2,229","4,156",998,"2,702",494,464,479,955,"2,393","1,320"
2020,9,10,"23,760",718,"1,795","1,576","3,280","4,589","1,307","4,026",589,667,658,787,"2,423","1,345"
2020,9,20,"38,219","2,092","3,744","3,025","4,640","6,061","2,286","4,030","1,574","1,948","1,464","1,523","3,341","2,491"
2020,9,30,"34,278","2,000","3,386","2,069","3,921","5,593","1,715","3,254","1,570","1,573","1,210","2,046","3,473","2,468"
2020,9,40,"40,935","1,770","3,512","2,966","5,414","6,683","2,032","5,576","1,536","1,573","1,494","1,589","4,257","2,533"
2020,9,50,"54,752","2,990","5,375","4,358","7,666","8,466","3,266","5,483","2,293","2,381","2,009","2,267","4,703","3,495"
2020,9,60,"44,627","2,673","4,389","3,449","6,528","5,053","2,318","3,110","2,472","2,342","2,146","2,221","4,335","3,591"
2020,9,70,"21,134","1,279","1,995","1,552","3,591","1,747","1,105","1,712","1,325","1,137","1,273","1,058","1,879","1,481"
2020,9,80,"8,062",482,686,487,"1,831",589,446,679,578,430,469,330,598,457
2020,9,90,"1,035",60,77,60,204,80,74,84,70,65,48,46,91,76
2020,9,100,99,5,16,3,3,5,38,1,4,5,6,5,7,1
2020,10,총,"285,507","14,812","26,402","20,483","39,139","42,922","15,539","30,548","12,452","12,542","11,210","12,845","27,395","19,218"
2020,10,0,"19,235",758,"1,477",974,"2,188","4,139",993,"2,647",487,467,467,965,"2,363","1,310"
2020,10,10,"23,634",714,"1,798","1,567","3,256","4,574","1,278","4,027",580,650,649,780,"2,414","1,347"
2020,10,20,"38,017","2,082","3,723","3,010","4,587","6,011","2,291","4,022","1,562","1,937","1,455","1,531","3,321","2,485"
2020,10,30,"33,992","1,986","3,348","2,058","3,908","5,561","1,709","3,213","1,554","1,548","1,205","2,048","3,426","2,428"
2020,10,40,"40,744","1,782","3,499","2,937","5,348","6,663","2,021","5,529","1,525","1,558","1,491","1,588","4,258","2,545"
2020,10,50,"54,535","2,965","5,343","4,349","7,643","8,455","3,249","5,485","2,279","2,384","1,994","2,244","4,671","3,474"
2020,10,60,"44,920","2,681","4,437","3,472","6,555","5,105","2,331","3,138","2,482","2,354","2,148","2,241","4,364","3,612"
2020,10,70,"21,188","1,292","2,001","1,561","3,604","1,740","1,114","1,709","1,329","1,143","1,273","1,064","1,881","1,477"
2020,10,80,"8,106",483,683,492,"1,843",589,441,695,580,434,473,332,600,461
2020,10,90,"1,035",64,76,59,204,80,74,82,70,62,49,47,90,78
2020,10,100,101,5,17,4,3,5,38,1,4,5,6,5,7,1
2020,11,총,"284,872","14,768","26,326","20,470","39,164","42,787","15,484","30,475","12,389","12,480","11,139","12,855","27,317","19,218"
2020,11,0,"19,107",752,"1,455",981,"2,186","4,113",975,"2,626",475,467,468,964,"2,346","1,299"
