년도,월,나이,안성시,공도읍,보개면,금광면,서운면,미양면,대덕면,양성면,원곡면,일죽면,죽산면,삼죽면,고삼면,안성1동,안성2동,안성3동
2021,11,80,"2,819",482,161,173,117,168,190,159,86,218,194,115,69,243,202,242
2021,11,90,235,37,13,13,12,14,11,21,16,19,14,5,4,19,19,18
2021,11,100,5,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2021,12,총,"97,895","30,349","2,828","3,642","1,744","3,202","8,671","2,743","3,667","3,911","3,692","1,857","1,007","6,167","13,148","11,267"
2021,12,0,"6,769","2,817",85,183,45,91,665,71,213,131,109,31,23,323,"1,113",869
2021,12,10,"9,199","3,861",172,299,75,142,567,131,204,225,219,90,44,500,"1,383","1,287"
2021,12,20,"12,809","3,803",286,405,167,347,"1,216",253,462,361,375,237,113,846,"2,126","1,812"
2021,12,30,"12,521","4,246",247,312,143,334,"1,474",214,590,356,327,166,83,712,"1,942","1,375"
2021,12,40,"16,151","6,110",305,502,200,442,"1,613",320,575,481,446,206,103,886,"2,234","1,728"
2021,12,50,"16,965","4,847",550,708,364,597,"1,387",573,681,709,810,355,198,"1,126","2,073","1,987"
2021,12,60,"14,043","2,819",690,756,407,728,"1,089",695,588,920,826,426,253,"1,011","1,478","1,357"
2021,12,70,"6,385","1,322",318,290,215,338,456,306,252,489,374,226,118,503,583,595
2021,12,80,"2,809",484,163,174,116,167,193,159,86,219,191,114,68,240,197,238
2021,12,90,240,38,12,13,12,15,11,21,16,19,15,6,4,20,19,19
2021,12,100,4,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
