년도,월,나이,안성시,공도읍,보개면,금광면,서운면,미양면,대덕면,양성면,원곡면,일죽면,죽산면,삼죽면,고삼면,안성1동,안성2동,안성3동
2021,1,100,11,1,0,1,1,1,0,0,1,2,1,0,0,2,1,0
2021,2,총,"96,622","30,082","2,834","3,730","1,767","3,206","8,576","2,771","3,520","3,949","3,619","1,823","1,012","6,261","12,153","11,319"
2021,2,0,"7,122","2,965",90,214,47,119,738,75,226,141,102,45,20,335,"1,090",915
2021,2,10,"9,300","3,910",173,319,78,147,582,133,182,241,182,91,53,536,"1,353","1,320"
2021,2,20,"12,479","3,720",287,401,177,338,"1,146",281,477,369,391,211,100,869,"1,892","1,820"
2021,2,30,"12,560","4,367",252,354,146,350,"1,536",239,541,368,331,182,86,715,"1,678","1,415"
2021,2,40,"16,162","6,176",327,555,202,451,"1,558",332,553,493,434,205,105,930,"2,085","1,756"
2021,2,50,"16,709","4,610",567,696,383,608,"1,374",584,646,755,822,352,205,"1,140","1,973","1,994"
2021,2,60,"13,039","2,565",643,708,390,687,999,639,556,862,773,397,245,969,"1,332","1,274"
2021,2,70,"6,290","1,290",320,298,216,333,455,309,233,489,379,226,122,514,536,570
2021,2,80,"2,738",443,160,173,118,160,179,164,91,214,194,112,71,235,190,234
2021,2,90,212,35,15,11,9,12,9,15,14,15,10,2,5,16,23,21
2021,2,100,11,1,0,1,1,1,0,0,1,2,1,0,0,2,1,0
2021,3,총,"96,711","30,123","2,821","3,696","1,757","3,209","8,593","2,760","3,521","3,947","3,619","1,902","1,009","6,232","12,253","11,269"
2021,3,0,"7,094","2,944",89,211,49,114,734,78,227,140,105,43,21,342,"1,095",902
2021,3,10,"9,320","3,898",176,313,77,152,583,130,180,236,188,154,50,528,"1,346","1,309"
2021,3,20,"12,547","3,730",284,398,178,342,"1,150",275,476,368,388,222,102,877,"1,937","1,820"
2021,3,30,"12,520","4,363",242,340,138,344,"1,523",236,550,368,329,182,86,707,"1,712","1,400"
2021,3,40,"16,113","6,161",328,545,202,450,"1,569",330,554,488,440,201,105,914,"2,082","1,744"
2021,3,50,"16,690","4,634",556,696,378,616,"1,374",571,639,754,812,355,202,"1,137","1,984","1,982"
2021,3,60,"13,202","2,616",647,712,395,687,"1,017",654,561,873,780,407,247,968,"1,351","1,287"
2021,3,70,"6,277","1,290",322,295,214,333,456,309,231,492,375,225,117,507,541,570
2021,3,80,"2,734",451,163,174,117,158,177,162,91,211,190,110,74,235,186,235
2021,3,90,208,35,14,11,9,12,10,15,12,15,11,3,5,17,19,20
2021,3,100,6,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0
2021,4,총,"97,025","30,183","2,817","3,674","1,766","3,220","8,587","2,757","3,582","4,023","3,621","1,940","1,018","6,243","12,339","11,255"
2021,4,0,"7,050","2,940",89,206,51,108,720,80,223,140,105,43,22,344,"1,092",887
2021,4,10,"9,442","3,887",178,312,74,150,581,128,219,303,189,185,49,526,"1,358","1,303"
2021,4,20,"12,618","3,744",285,400,187,346,"1,159",269,479,382,387,224,111,870,"1,952","1,823"
2021,4,30,"12,503","4,358",238,337,137,339,"1,504",234,561,364,330,185,86,712,"1,726","1,392"
2021,4,40,"16,154","6,170",323,534,201,456,"1,578",336,557,490,445,205,106,918,"2,088","1,747"
2021,4,50,"16,723","4,664",553,694,381,617,"1,377",570,642,753,807,352,204,"1,130","1,996","1,983"
2021,4,60,"13,297","2,639",655,714,395,698,"1,022",655,564,876,779,405,248,981,"1,370","1,296"
2021,4,70,"6,279","1,291",317,291,216,334,459,309,234,492,376,226,113,504,547,570
