년도,월,나이,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2020,1,총,"94,719","6,958","11,631","5,242","3,138","28,055","25,987","8,680","5,028"
2020,1,0,"6,879",480,822,168,173,"2,190","2,478",387,181
2020,1,10,"8,967",581,"1,230",238,196,"2,854","3,077",517,274
2020,1,20,"11,196",775,"1,300",513,352,"3,540","3,287",933,496
2020,1,30,"10,585",795,"1,154",465,308,"3,211","3,366",807,479
2020,1,40,"14,870","1,001","1,924",621,407,"4,395","4,737","1,126",659
2020,1,50,"16,376","1,262","1,958","1,104",596,"4,925","3,885","1,640","1,006"
2020,1,60,"12,431","1,028","1,449","1,055",514,"3,469","2,412","1,565",939
2020,1,70,"8,704",657,"1,169",656,397,"2,287","1,812","1,088",638
2020,1,80,"4,067",335,558,326,172,"1,051",811,521,293
2020,1,90,564,41,60,74,21,119,118,76,55
2020,1,100,80,3,7,22,2,14,4,20,8
2020,2,총,"94,452","6,973","11,553","5,197","3,137","27,982","25,940","8,643","5,027"
2020,2,0,"6,797",486,796,165,172,"2,167","2,453",383,175
2020,2,10,"8,920",582,"1,228",230,192,"2,833","3,073",509,273
2020,2,20,"11,120",768,"1,278",504,355,"3,526","3,264",924,501
2020,2,30,"10,516",800,"1,151",454,302,"3,182","3,363",787,477
2020,2,40,"14,819","1,008","1,904",610,411,"4,379","4,726","1,129",652
2020,2,50,"16,355","1,260","1,947","1,102",588,"4,921","3,899","1,634","1,004"
2020,2,60,"12,497","1,026","1,465","1,053",518,"3,500","2,423","1,566",946
2020,2,70,"8,670",655,"1,158",657,400,"2,281","1,792","1,087",640
2020,2,80,"4,107",343,560,325,176,"1,057",819,528,299
2020,2,90,571,42,59,75,21,123,124,75,52
2020,2,100,80,3,7,22,2,13,4,21,8
2020,3,총,"94,231","6,950","11,549","5,189","3,136","27,873","25,896","8,615","5,023"
2020,3,0,"6,727",485,798,156,169,"2,133","2,427",388,171
2020,3,10,"8,849",573,"1,221",234,201,"2,800","3,045",500,275
2020,3,20,"11,119",773,"1,277",507,353,"3,517","3,284",908,500
2020,3,30,"10,439",793,"1,148",458,301,"3,156","3,313",794,476
2020,3,40,"14,686",986,"1,891",605,403,"4,348","4,687","1,119",647
2020,3,50,"16,378","1,261","1,953","1,093",589,"4,904","3,947","1,627","1,004"
2020,3,60,"12,559","1,037","1,477","1,052",519,"3,530","2,434","1,566",944
2020,3,70,"8,693",654,"1,153",657,404,"2,290","1,799","1,091",645
2020,3,80,"4,127",344,566,333,173,"1,055",831,526,299
2020,3,90,573,41,57,72,22,127,125,75,54
2020,3,100,81,3,8,22,2,13,4,21,8
2020,4,총,"94,191","6,933","11,505","5,178","3,136","27,900","25,881","8,619","5,039"
2020,4,0,"6,663",487,784,154,171,"2,112","2,396",386,173
2020,4,10,"8,841",573,"1,211",234,200,"2,804","3,054",496,269
2020,4,20,"11,164",768,"1,285",505,355,"3,525","3,306",914,506
2020,4,30,"10,402",791,"1,138",452,303,"3,175","3,273",795,475
2020,4,40,"14,615",973,"1,880",607,396,"4,327","4,679","1,109",644
2020,4,50,"16,379","1,253","1,946","1,087",596,"4,903","3,955","1,629","1,010"
2020,4,60,"12,617","1,044","1,483","1,054",513,"3,561","2,441","1,576",945
2020,4,70,"8,697",656,"1,146",654,404,"2,284","1,807","1,094",652
2020,4,80,"4,155",343,565,336,176,"1,067",841,523,304
2020,4,90,577,42,59,73,20,129,125,76,53
2020,4,100,81,3,8,22,2,13,4,21,8
2020,5,총,"94,097","6,921","11,449","5,189","3,125","27,836","25,936","8,619","5,022"
2020,5,0,"6,619",486,765,155,169,"2,104","2,388",385,167
2020,5,10,"8,807",563,"1,207",232,198,"2,777","3,065",497,268
2020,5,20,"11,150",762,"1,276",507,352,"3,510","3,333",908,502
2020,5,30,"10,350",791,"1,124",449,301,"3,161","3,258",785,481
2020,5,40,"14,555",962,"1,857",608,398,"4,312","4,685","1,111",622
2020,5,50,"16,401","1,254","1,951","1,096",588,"4,884","3,978","1,634","1,016"
2020,5,60,"12,655","1,057","1,490","1,053",516,"3,580","2,444","1,576",939
2020,5,70,"8,732",655,"1,142",659,404,"2,295","1,816","1,101",660
2020,5,80,"4,164",344,571,334,177,"1,071",839,525,303
2020,5,90,584,44,58,74,20,130,126,76,56
2020,5,100,80,3,8,22,2,12,4,21,8
2020,6,총,"94,143","6,913","11,464","5,181","3,130","27,755","25,839","8,641","5,220"
2020,6,0,"6,584",479,761,152,171,"2,086","2,354",385,196
2020,6,10,"8,768",560,"1,206",232,198,"2,761","3,030",501,280
2020,6,20,"11,188",768,"1,270",509,347,"3,482","3,335",908,569
2020,6,30,"10,362",785,"1,121",441,302,"3,137","3,249",789,538
2020,6,40,"14,482",955,"1,854",608,400,"4,278","4,645","1,117",625
2020,6,50,"16,373","1,251","1,954","1,085",578,"4,879","3,975","1,619","1,032"
2020,6,60,"12,788","1,065","1,509","1,067",527,"3,610","2,464","1,603",943
2020,6,70,"8,752",662,"1,151",654,403,"2,305","1,819","1,102",656
2020,6,80,"4,172",343,573,337,179,"1,071",838,517,314
2020,6,90,593,42,58,73,23,134,126,79,58
2020,6,100,81,3,7,23,2,12,4,21,9
2020,7,총,"93,985","6,895","11,440","5,173","3,132","27,623","25,718","8,673","5,331"
2020,7,0,"6,534",483,754,146,167,"2,045","2,328",388,223
2020,7,10,"8,699",558,"1,193",226,200,"2,730","3,008",497,287
2020,7,20,"11,199",763,"1,270",499,351,"3,474","3,331",918,593
2020,7,30,"10,295",773,"1,123",454,300,"3,100","3,185",792,568
2020,7,40,"14,445",948,"1,847",605,397,"4,248","4,628","1,136",636
2020,7,50,"16,338","1,241","1,943","1,084",582,"4,860","3,986","1,612","1,030"
2020,7,60,"12,840","1,079","1,516","1,066",526,"3,640","2,461","1,603",949
2020,7,70,"8,778",659,"1,153",657,406,"2,306","1,828","1,109",660
2020,7,80,"4,187",347,575,339,178,"1,070",837,522,319
2020,7,90,589,41,59,74,23,138,122,75,57
2020,7,100,81,3,7,23,2,12,4,21,9
2020,8,총,"93,968","6,908","11,407","5,170","3,128","27,633","25,663","8,698","5,361"
2020,8,0,"6,477",485,748,147,167,"2,024","2,290",384,232
2020,8,10,"8,660",560,"1,187",223,198,"2,697","3,002",509,284
2020,8,20,"11,218",764,"1,264",502,340,"3,509","3,334",908,597
2020,8,30,"10,250",773,"1,107",452,299,"3,093","3,150",786,590
2020,8,40,"14,429",956,"1,829",603,402,"4,242","4,619","1,145",633
2020,8,50,"16,366","1,236","1,947","1,075",578,"4,885","4,003","1,616","1,026"
2020,8,60,"12,896","1,078","1,527","1,060",533,"3,651","2,477","1,617",953
2020,8,70,"8,784",660,"1,147",666,406,"2,310","1,830","1,108",657
2020,8,80,"4,211",353,585,342,178,"1,068",835,528,322
2020,8,90,595,40,59,76,25,142,119,76,58
2020,8,100,82,3,7,24,2,12,4,21,9
2020,9,총,"93,901","6,915","11,365","5,169","3,135","27,586","25,634","8,712","5,385"
2020,9,0,"6,429",487,737,147,172,"2,008","2,257",382,239
2020,9,10,"8,635",558,"1,173",221,205,"2,665","3,017",512,284
2020,9,20,"11,203",754,"1,264",499,335,"3,519","3,310",918,604
2020,9,30,"10,182",773,"1,088",444,300,"3,059","3,145",775,598
2020,9,40,"14,376",949,"1,814",605,401,"4,233","4,601","1,143",630
2020,9,50,"16,378","1,245","1,941","1,078",583,"4,882","4,012","1,613","1,024"
2020,9,60,"12,963","1,081","1,531","1,061",526,"3,689","2,493","1,623",959
2020,9,70,"8,797",667,"1,147",668,405,"2,303","1,842","1,109",656
2020,9,80,"4,259",359,603,344,181,"1,073",834,540,325
2020,9,90,596,39,60,77,25,143,119,76,57
2020,9,100,83,3,7,25,2,12,4,21,9
2020,10,총,"93,915","6,950","11,348","5,164","3,132","27,617","25,594","8,728","5,382"
2020,10,0,"6,373",486,729,150,165,"1,991","2,232",383,237
2020,10,10,"8,622",565,"1,171",213,205,"2,670","3,003",513,282
2020,10,20,"11,207",752,"1,260",498,343,"3,519","3,313",924,598
2020,10,30,"10,180",772,"1,091",445,294,"3,048","3,143",782,605
2020,10,40,"14,326",946,"1,809",593,398,"4,228","4,585","1,137",630
2020,10,50,"16,401","1,259","1,930","1,071",589,"4,906","4,018","1,610","1,018"
2020,10,60,"13,017","1,101","1,533","1,074",529,"3,693","2,503","1,621",963
2020,10,70,"8,802",664,"1,150",670,396,"2,314","1,835","1,114",659
2020,10,80,"4,299",364,608,344,186,"1,091",838,547,321
2020,10,90,604,38,60,81,25,144,120,76,60
2020,10,100,84,3,7,25,2,13,4,21,9
2020,11,총,"94,199","7,007","11,468","5,143","3,104","27,660","25,616","8,768","5,433"
2020,11,0,"6,355",495,735,146,158,"1,972","2,220",385,244
2020,11,10,"8,625",576,"1,181",203,205,"2,665","2,994",516,285
2020,11,20,"11,234",763,"1,274",500,335,"3,519","3,317",927,599
2020,11,30,"10,210",776,"1,103",448,297,"3,058","3,132",772,624
2020,11,40,"14,337",957,"1,821",586,391,"4,214","4,578","1,153",637
2020,11,50,"16,439","1,261","1,947","1,060",586,"4,925","4,031","1,610","1,019"
2020,11,60,"13,124","1,103","1,565","1,082",526,"3,713","2,515","1,643",977
2020,11,70,"8,812",670,"1,151",660,393,"2,325","1,852","1,107",654
2020,11,80,"4,362",364,623,350,186,"1,107",852,556,324
2020,11,90,617,39,61,83,25,149,121,78,61
2020,11,100,84,3,7,25,2,13,4,21,9
2020,12,총,"94,353","6,995","11,721","5,152","3,106","27,621","25,542","8,790","5,426"
2020,12,0,"6,298",484,750,144,157,"1,948","2,189",381,245
2020,12,10,"8,604",575,"1,199",210,206,"2,648","2,970",516,280
2020,12,20,"11,303",762,"1,303",506,340,"3,543","3,325",925,599
2020,12,30,"10,215",770,"1,143",448,290,"3,045","3,119",778,622
2020,12,40,"14,334",954,"1,868",582,387,"4,187","4,553","1,165",638
2020,12,50,"16,481","1,258","1,998","1,060",586,"4,922","4,029","1,612","1,016"
2020,12,60,"13,225","1,120","1,601","1,083",536,"3,739","2,530","1,644",972
2020,12,70,"8,799",664,"1,159",659,392,"2,309","1,846","1,110",660
2020,12,80,"4,387",365,630,352,185,"1,119",856,557,323
2020,12,90,622,40,63,83,25,148,120,81,62
2020,12,100,85,3,7,25,2,13,5,21,9
2021,1,총,"94,443","6,992","11,900","5,134","3,097","27,571","25,527","8,798","5,424"
2021,1,0,"6,247",480,756,143,150,"1,916","2,166",392,244
2021,1,10,"8,603",590,"1,211",205,208,"2,636","2,961",508,284
2021,1,20,"11,286",749,"1,331",505,334,"3,525","3,324",929,589
2021,1,30,"10,177",769,"1,172",433,288,"3,020","3,093",777,625
2021,1,40,"14,316",952,"1,900",587,388,"4,156","4,531","1,168",634
