년도,월,나이,영주시,풍기읍,이산면,평은면,문수면,장수면,안정면,봉현면,순흥면,단산면,부석면,상망동,하망동,영주1동,영주2동,휴천1동,휴천2동,휴천3동,가흥1동,가흥2동
2021,9,0,"3,011",228,23,16,27,26,40,33,20,10,29,231,168,87,120,230,246,208,"1,004",265
2021,9,10,"4,499",387,46,21,48,48,67,66,38,32,59,469,291,139,183,445,367,362,"1,022",409
2021,9,20,"5,553",566,106,60,84,103,110,103,76,67,76,433,331,189,215,424,653,540,951,466
2021,9,30,"4,378",389,59,24,66,68,92,71,48,49,72,298,240,148,169,257,467,314,"1,150",397
2021,9,40,"6,948",633,102,63,101,100,155,155,81,86,135,577,408,243,288,513,640,487,"1,576",605
2021,9,50,"8,953",899,262,135,171,189,250,239,181,168,280,726,573,373,434,623,871,760,"1,143",676
2021,9,60,"9,209","1,184",306,187,264,283,396,384,308,261,442,552,464,388,491,410,875,673,729,612
2021,9,70,"5,327",636,169,133,142,169,255,230,152,146,269,343,285,258,337,261,565,379,293,305
2021,9,80,"2,494",295,107,76,82,106,121,91,93,86,137,160,133,121,159,103,253,143,110,118
2021,9,90,236,28,7,11,12,10,19,14,8,7,15,4,10,17,11,11,20,16,8,8
2021,9,100,9,3,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0
2021,10,총,"50,550","5,252","1,191",730,994,"1,100","1,494","1,378","1,004",915,"1,502","3,785","2,895","1,967","2,404","3,270","4,944","3,874","7,981","3,870"
2021,10,0,"3,013",226,24,18,28,26,41,34,18,10,30,232,169,90,120,229,238,215,"1,002",263
2021,10,10,"4,482",387,46,21,48,49,66,65,38,32,57,465,292,137,183,437,369,362,"1,020",408
2021,10,20,"5,548",566,108,60,81,102,110,100,73,67,78,435,324,191,213,432,653,535,949,471
2021,10,30,"4,353",386,58,24,66,67,90,69,47,47,70,293,235,144,169,251,465,315,"1,151",406
2021,10,40,"6,907",633,102,61,96,99,152,156,81,84,130,571,409,242,288,510,638,484,"1,570",601
2021,10,50,"8,941",899,261,136,171,190,253,234,179,169,277,732,565,372,431,625,872,758,"1,143",674
2021,10,60,"9,240","1,185",310,188,267,282,392,387,312,265,443,553,473,395,491,411,869,673,729,615
2021,10,70,"5,323",640,168,134,144,169,251,227,155,147,268,338,285,255,338,261,568,376,293,306
2021,10,80,"2,501",298,107,77,81,106,121,92,93,86,133,162,132,124,159,103,253,140,115,119
2021,10,90,233,29,7,11,12,10,18,12,7,7,16,4,10,17,12,11,19,16,8,7
2021,10,100,9,3,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0
2021,11,총,"50,546","5,234","1,187",719,994,"1,095","1,493","1,377",997,909,"1,501","3,761","2,878","1,941","2,391","3,239","4,882","3,817","7,808","4,323"
2021,11,0,"3,006",225,24,16,28,27,42,33,16,11,29,232,171,87,121,219,226,212,949,338
2021,11,10,"4,487",380,44,21,48,50,66,64,37,33,57,459,286,134,181,437,362,352,"1,006",470
2021,11,20,"5,521",567,106,55,78,100,111,100,74,66,77,429,317,184,207,428,637,523,936,526
2021,11,30,"4,349",373,59,25,66,63,88,65,47,46,70,283,228,142,167,252,452,310,"1,112",501
2021,11,40,"6,889",634,101,62,99,99,151,158,77,84,128,569,411,235,284,499,624,472,"1,528",674
2021,11,50,"8,959",901,261,135,171,190,256,231,177,164,281,731,561,362,429,621,865,742,"1,138",743
2021,11,60,"9,246","1,181",312,186,266,281,388,392,311,266,444,551,477,395,491,414,866,670,727,628
2021,11,70,"5,328",644,168,131,142,169,250,227,157,144,265,342,285,258,334,255,572,381,292,312
2021,11,80,"2,515",296,105,77,84,105,124,93,93,87,134,161,131,127,165,103,258,139,111,122
2021,11,90,237,30,7,11,12,11,17,12,7,7,16,4,10,17,12,11,20,16,9,8
2021,11,100,9,3,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1
2021,12,총,"50,591","5,214","1,187",725,995,"1,083","1,486","1,375",991,903,"1,494","3,706","2,866","1,924","2,361","3,227","4,861","3,771","7,702","4,720"
2021,12,0,"2,996",225,23,18,28,26,42,31,14,11,26,220,167,81,118,217,222,202,916,409
2021,12,10,"4,493",371,42,22,47,49,65,65,36,33,57,455,286,133,175,435,362,346,999,515
2021,12,20,"5,514",571,104,52,79,94,111,99,73,62,76,417,315,185,203,427,622,518,929,577
2021,12,30,"4,369",367,63,26,66,65,87,64,44,47,67,273,227,139,165,256,447,308,"1,085",573
2021,12,40,"6,889",625,101,62,97,94,147,160,78,84,129,553,412,230,278,494,631,466,"1,488",760
2021,12,50,"8,966",902,258,138,176,191,256,227,176,164,280,735,556,360,426,608,857,726,"1,143",787
2021,12,60,"9,254","1,180",316,188,265,282,386,395,313,262,444,546,472,389,487,418,864,667,730,650
2021,12,70,"5,331",641,167,130,141,168,248,228,157,146,265,339,287,262,330,255,576,382,294,315
2021,12,80,"2,528",296,106,77,84,104,128,94,92,86,134,161,132,129,166,106,260,139,109,125
2021,12,90,244,33,7,12,12,10,16,12,7,7,16,7,11,16,13,11,20,17,9,8
2021,12,100,7,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
