년도,월,나이,영주시,풍기읍,이산면,평은면,문수면,장수면,안정면,봉현면,순흥면,단산면,부석면,상망동,하망동,영주1동,영주2동,휴천1동,휴천2동,휴천3동,가흥1동,가흥2동
2020,3,70,"5,276",622,173,140,152,177,248,227,161,143,278,348,281,247,228,261,437,361,511,281
2020,3,80,"2,317",263,102,71,75,97,134,84,77,89,132,144,126,109,85,92,177,127,209,124
2020,3,90,205,27,9,9,8,12,6,11,9,8,6,9,8,12,5,10,14,16,17,9
2020,3,100,14,4,1,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,0
2020,4,총,"51,767","5,259","1,251",729,"1,008","1,138","1,570","1,439","1,019",962,"1,577","4,041","2,981","2,029","1,742","3,377","4,113","4,085","9,573","3,874"
2020,4,0,"3,328",259,30,16,33,31,46,41,24,20,31,274,180,98,106,257,211,246,"1,129",296
2020,4,10,"4,807",376,48,30,52,64,70,71,46,43,75,543,316,141,142,475,358,410,"1,106",441
2020,4,20,"5,808",589,144,49,99,97,149,114,93,76,76,481,348,197,176,441,544,587,"1,106",442
2020,4,30,"4,753",387,75,31,62,82,107,73,54,58,86,324,255,184,141,288,385,367,"1,364",430
2020,4,40,"7,349",690,107,72,117,118,161,180,80,95,141,648,434,258,222,564,553,532,"1,750",627
2020,4,50,"9,303",935,283,147,176,204,279,280,207,190,339,720,572,390,321,615,779,813,"1,395",658
2020,4,60,"8,559","1,096",274,165,233,258,366,356,268,240,405,546,458,392,315,372,644,622,987,562
2020,4,70,"5,298",630,175,139,151,176,251,225,156,144,282,350,281,247,229,263,447,360,507,285
2020,4,80,"2,342",265,105,71,77,96,135,86,81,86,134,146,128,110,85,92,177,132,211,125
2020,4,90,206,28,9,9,8,12,6,11,9,9,7,9,8,11,5,10,14,16,17,8
2020,4,100,14,4,1,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,0
2020,5,총,"51,666","5,253","1,252",728,"1,008","1,140","1,570","1,435","1,017",957,"1,567","4,037","2,983","2,018","1,742","3,366","4,106","4,059","9,557","3,871"
2020,5,0,"3,306",255,32,16,33,32,46,41,24,19,31,275,181,97,105,253,207,244,"1,123",292
2020,5,10,"4,772",368,51,29,51,63,68,68,46,42,75,541,311,138,142,477,358,408,"1,092",444
