년도,월,나이,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020,6,40,"4,287","1,254","1,310",89,114,97,112,141,88,349,251,132,272,78
2020,6,50,"6,809","1,539","1,980",172,245,181,196,262,164,585,485,213,602,185
2020,6,60,"7,521","1,347","2,259",226,280,214,203,341,177,776,588,253,650,207
2020,6,70,"6,674",996,"2,013",201,261,228,237,325,180,734,533,206,537,223
2020,6,80,"4,706",643,"1,266",201,222,220,201,268,118,510,398,136,352,171
2020,6,90,689,78,188,33,29,31,23,37,19,77,67,16,55,36
2020,6,100,40,6,16,0,1,1,1,1,1,1,5,0,5,2
2020,7,총,"40,826","9,210","12,061","1,125","1,409","1,182","1,195","1,715",891,"3,797","2,823","1,268","3,056","1,094"
2020,7,0,"1,830",679,552,32,42,30,44,71,20,122,66,56,89,27
2020,7,10,"2,652",847,859,53,57,53,67,82,48,178,131,73,167,37
2020,7,20,"3,036",991,848,55,91,67,63,108,45,251,142,95,195,85
2020,7,30,"2,624",837,780,56,78,60,52,82,30,214,162,92,131,50
2020,7,40,"4,271","1,256","1,311",89,111,97,109,139,86,345,243,130,278,77
2020,7,50,"6,770","1,523","1,965",176,239,179,195,260,165,591,489,212,593,183
2020,7,60,"7,531","1,350","2,260",231,281,216,198,344,178,774,587,254,650,208
2020,7,70,"6,686",993,"2,016",202,261,224,242,325,181,735,535,207,543,222
2020,7,80,"4,696",649,"1,268",197,220,223,202,267,118,509,393,134,348,168
2020,7,90,691,79,187,34,28,32,22,36,19,77,70,15,57,35
2020,7,100,39,6,15,0,1,1,1,1,1,1,5,0,5,2
2020,8,총,"40,754","9,200","12,023","1,127","1,410","1,177","1,195","1,719",899,"3,785","2,812","1,261","3,048","1,098"
2020,8,0,"1,821",676,548,30,41,30,44,73,22,117,67,56,88,29
