년도,월,나이,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 압량면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2020,1,총,"263,229","26,042","36,323","20,872","6,203","5,639","3,443","3,831",0.0,"3,108","10,150","6,733","20,398","37,457","30,197","15,690","37,143"
2020,1,0,"21,599","1,832","2,586","2,470",197,154,80,116,0.0,110,605,246,"2,153","3,163","3,354","1,073","3,460"
2020,1,10,"23,398","2,903","3,797","1,155",325,271,126,170,0.0,130,626,448,"2,037","4,146","2,351",843,"4,070"
2020,1,20,"35,844","3,807","5,308","3,183",572,505,238,289,0.0,278,"1,635","1,051","2,172","4,612","3,916","3,345","4,933"
2020,1,30,"34,476","2,719","4,130","4,239",513,450,215,259,0.0,216,"1,256",699,"2,944","4,371","4,750","2,793","4,922"
2020,1,40,"41,872","4,209","6,598","2,920",699,655,292,421,0.0,322,"1,343",891,"3,503","6,635","4,590","2,267","6,527"
2020,1,50,"44,592","4,206","6,745","2,842","1,255","1,107",659,765,0.0,615,"1,992","1,343","3,050","6,289","5,127","2,394","6,203"
2020,1,60,"32,815","3,199","3,754","2,208","1,353","1,213",823,835,0.0,676,"1,634","1,074","2,404","4,551","3,431","1,700","3,960"
2020,1,70,"18,822","2,062","2,214","1,193",789,805,594,553,0.0,478,721,647,"1,465","2,508","1,882",853,"2,058"
2020,1,80,"8,774",990,"1,096",591,444,425,367,370,0.0,239,302,297,593,"1,069",717,374,900
2020,1,90,967,102,87,66,50,51,47,52,0.0,41,34,34,69,107,76,44,107
2020,1,100,70,13,8,5,6,3,2,1,0.0,3,2,3,8,6,3,4,3
2020,2,총,"263,075","25,908","36,293","20,913","6,176","5,622","3,449","3,825",,"3,113","10,166","6,737","20,426","37,374","30,166","15,747","37,160"
2020,2,0,"21,501","1,808","2,581","2,453",195,157,84,118,,109,608,244,"2,155","3,150","3,353","1,057","3,429"
2020,2,10,"23,331","2,884","3,764","1,167",326,271,124,168,,126,635,441,"2,044","4,124","2,343",847,"4,067"
2020,2,20,"35,601","3,753","5,296","3,181",559,496,229,288,,279,"1,630","1,042","2,164","4,558","3,853","3,370","4,903"
2020,2,30,"34,327","2,692","4,103","4,211",515,444,220,257,,214,"1,257",707,"2,937","4,310","4,736","2,808","4,916"
2020,2,40,"41,895","4,189","6,581","2,946",692,655,292,418,,324,"1,342",891,"3,511","6,640","4,616","2,261","6,537"
2020,2,50,"44,645","4,215","6,767","2,857","1,245","1,102",663,759,,615,"1,985","1,342","3,057","6,288","5,109","2,416","6,225"
2020,2,60,"33,023","3,202","3,771","2,215","1,351","1,218",825,839,,682,"1,649","1,088","2,418","4,584","3,468","1,713","4,000"
2020,2,70,"18,853","2,044","2,232","1,214",788,802,593,553,,481,721,641,"1,463","2,514","1,886",862,"2,059"
2020,2,80,"8,839",999,"1,099",597,448,423,368,369,,239,303,304,597,"1,087",724,367,915
2020,2,90,988,109,91,67,51,51,48,55,,40,34,34,72,113,75,42,106
2020,2,100,72,13,8,5,6,3,3,1,,4,2,3,8,6,3,4,3
2020,3,총,"263,285","25,906","36,314","20,928","6,152","5,588","3,438","3,801",,"3,091","10,178","6,706","20,473","37,390","30,144","15,939","37,237"
2020,3,0,"21,400","1,784","2,568","2,442",189,158,87,114,,107,607,250,"2,138","3,123","3,362","1,062","3,409"
2020,3,10,"23,236","2,864","3,756","1,157",321,263,120,169,,125,627,429,"2,035","4,131","2,332",849,"4,058"
2020,3,20,"35,765","3,783","5,316","3,189",558,486,223,283,,269,"1,620","1,037","2,165","4,558","3,834","3,498","4,946"
2020,3,30,"34,196","2,680","4,080","4,222",512,430,216,249,,210,"1,257",696,"2,935","4,282","4,710","2,826","4,891"
2020,3,40,"41,831","4,166","6,543","2,959",691,649,290,417,,317,"1,348",868,"3,532","6,629","4,602","2,262","6,558"
2020,3,50,"44,632","4,223","6,802","2,849","1,231","1,104",653,752,,613,"1,972","1,322","3,058","6,288","5,100","2,422","6,243"
2020,3,60,"33,321","3,224","3,803","2,224","1,358","1,217",833,836,,686,"1,678","1,116","2,455","4,629","3,495","1,739","4,028"
2020,3,70,"18,913","2,050","2,237","1,212",790,801,594,557,,476,730,637,"1,470","2,534","1,898",864,"2,063"
2020,3,80,"8,917","1,010","1,107",601,446,427,369,366,,244,304,314,601,"1,094",732,372,930
2020,3,90,"1,004",109,94,68,50,51,50,57,,41,33,34,76,116,76,41,108
2020,3,100,70,13,8,5,6,2,3,1,,3,2,3,8,6,3,4,3
2020,4,총,"263,375","25,914","36,368","20,967","6,126","5,588","3,405","3,804",,"3,076","10,190","6,708","20,449","37,323","30,097","16,052","37,308"
2020,4,0,"21,309","1,774","2,563","2,436",185,156,83,113,,101,618,248,"2,123","3,081","3,355","1,067","3,406"
2020,4,10,"23,181","2,858","3,747","1,153",312,261,115,168,,122,620,428,"2,031","4,135","2,308",849,"4,074"
2020,4,20,"35,920","3,817","5,351","3,204",550,481,220,282,,264,"1,631","1,048","2,153","4,540","3,829","3,583","4,967"
2020,4,30,"34,066","2,647","4,065","4,243",511,429,213,246,,206,"1,244",696,"2,925","4,253","4,697","2,840","4,851"
2020,4,40,"41,726","4,149","6,544","2,953",681,640,282,410,,309,"1,354",868,"3,531","6,602","4,586","2,253","6,564"
2020,4,50,"44,682","4,242","6,815","2,845","1,222","1,108",644,756,,611,"1,962","1,319","3,054","6,307","5,101","2,430","6,266"
2020,4,60,"33,464","3,235","3,820","2,234","1,372","1,220",832,837,,691,"1,696","1,108","2,471","4,648","3,499","1,738","4,063"
2020,4,70,"18,966","2,052","2,238","1,223",788,804,593,557,,484,732,639,"1,472","2,545","1,901",864,"2,074"
2020,4,80,"8,982","1,020","1,122",604,445,433,372,376,,243,299,317,607,"1,085",741,384,934
2020,4,90,"1,011",108,95,67,54,54,49,58,,42,32,34,74,121,77,40,106
2020,4,100,68,12,8,5,6,2,2,1,,3,2,3,8,6,3,4,3
2020,5,총,"263,286","25,896","36,308","21,018","6,118","5,610","3,391","3,792",,"3,064","10,193","6,673","20,437","37,302","30,096","16,134","37,254"
2020,5,0,"21,228","1,755","2,548","2,435",188,159,82,114,,98,616,246,"2,117","3,075","3,355","1,068","3,372"
2020,5,10,"23,076","2,849","3,723","1,164",304,256,114,166,,118,609,426,"2,031","4,107","2,303",852,"4,054"
2020,5,20,"35,998","3,825","5,338","3,227",559,492,218,275,,266,"1,625","1,041","2,146","4,524","3,822","3,648","4,992"
2020,5,30,"33,881","2,639","4,046","4,224",512,428,213,244,,203,"1,236",690,"2,889","4,238","4,672","2,835","4,812"
2020,5,40,"41,658","4,124","6,512","2,978",675,646,280,407,,303,"1,354",859,"3,548","6,597","4,572","2,246","6,557"
2020,5,50,"44,764","4,265","6,827","2,844","1,215","1,103",640,750,,615,"1,967","1,309","3,060","6,324","5,121","2,447","6,277"
