년도,월,나이,보성군,보성읍,벌교읍,노동면,미력면,겸백면,율어면,복내면,문덕면,조성면,득량면,득량면예당출장소,회천면,웅치면
2020,1,총,"20,049","4,538","5,935",539,704,560,584,823,466,"1,846","1,375",626,"1,518",535
2020,1,0,991,359,310,20,21,12,24,29,11,80,32,31,51,11
2020,1,10,"1,395",412,459,32,39,27,38,49,28,97,73,36,83,22
2020,1,20,"1,773",550,492,32,48,36,37,64,28,167,86,63,131,39
2020,1,30,"1,477",446,451,35,52,23,34,44,19,111,92,54,76,40
2020,1,40,"2,499",640,765,61,75,62,80,81,61,228,156,74,165,51
2020,1,50,"3,827",814,"1,109",99,143,113,115,151,110,336,303,111,320,103
2020,1,60,"3,695",652,"1,083",122,152,109,102,181,85,367,278,130,326,108
2020,1,70,"2,821",437,845,81,103,103,93,139,84,298,217,87,235,99
2020,1,80,"1,430",210,387,50,68,64,57,72,38,149,122,40,118,55
2020,1,90,135,18,29,7,3,11,4,13,2,13,15,0,13,7
2020,1,100,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020,2,총,"20,035","4,546","5,940",536,708,559,583,816,466,"1,840","1,368",624,"1,515",534
2020,2,0,985,361,307,20,22,12,23,29,11,76,32,32,49,11
2020,2,10,"1,386",411,461,31,38,26,39,46,27,98,70,36,81,22
2020,2,20,"1,764",559,488,33,50,36,38,62,28,162,83,59,126,40
2020,2,30,"1,477",446,448,34,49,26,34,42,20,113,91,58,77,39
2020,2,40,"2,496",639,770,59,73,61,79,82,61,227,157,72,164,52
2020,2,50,"3,816",812,"1,107",99,146,111,114,147,110,335,300,108,324,103
2020,2,60,"3,711",653,"1,087",121,155,110,102,186,86,368,278,132,326,107
2020,2,70,"2,809",437,844,83,104,101,89,137,82,298,217,86,235,96
2020,2,80,"1,444",210,391,49,68,64,61,73,38,150,124,41,119,56
2020,2,90,141,18,32,7,3,12,4,12,3,13,15,0,14,8
2020,2,100,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020,3,총,"19,992","4,540","5,940",535,703,561,577,811,463,"1,827","1,366",622,"1,514",533
2020,3,0,979,363,307,18,22,11,23,28,11,74,32,31,48,11
2020,3,10,"1,380",415,456,30,37,28,39,46,26,97,68,36,82,20
2020,3,20,"1,752",559,487,33,44,36,37,63,28,158,81,60,123,43
2020,3,30,"1,455",435,450,32,49,26,34,42,21,111,88,55,75,37
2020,3,40,"2,481",635,761,59,74,61,77,83,61,225,156,75,164,50
2020,3,50,"3,818",815,"1,109",101,147,112,112,143,106,335,304,107,322,105
2020,3,60,"3,720",653,"1,091",122,154,108,102,186,88,368,281,131,331,105
2020,3,70,"2,806",436,845,84,103,102,89,134,81,295,216,86,237,98
2020,3,80,"1,455",213,396,49,70,65,60,73,38,151,125,41,118,56
2020,3,90,141,16,33,7,3,12,4,13,3,13,15,0,14,8
2020,3,100,5,0,5,0,0,0,0,0,0,0,0,0,0,0
2020,4,총,"19,944","4,533","5,915",533,704,562,578,806,462,"1,824","1,365",621,"1,510",531
2020,4,0,978,367,303,18,22,11,23,28,10,73,32,30,49,12
2020,4,10,"1,369",405,454,30,36,30,39,47,27,96,68,36,81,20
2020,4,20,"1,749",554,485,33,45,37,38,63,27,157,84,60,122,44
2020,4,30,"1,436",429,446,32,51,24,33,42,21,110,88,54,73,33
2020,4,40,"2,467",636,752,59,71,60,78,81,57,226,155,75,166,51
2020,4,50,"3,818",820,"1,106",99,148,113,113,142,109,335,303,107,318,105
2020,4,60,"3,715",652,"1,089",122,154,105,102,186,88,367,280,131,334,105
2020,4,70,"2,805",436,848,84,102,105,89,134,82,294,215,85,234,97
2020,4,80,"1,460",217,393,49,72,65,59,72,38,152,123,43,121,56
2020,4,90,142,17,34,7,3,12,4,11,3,14,17,0,12,8
2020,4,100,5,0,5,0,0,0,0,0,0,0,0,0,0,0
2020,5,총,"19,883","4,521","5,884",536,707,561,579,807,461,"1,819","1,363",607,"1,508",530
2020,5,0,971,364,298,18,25,11,24,28,9,71,30,32,49,12
2020,5,10,"1,356",403,451,30,35,30,39,46,27,98,65,33,80,19
2020,5,20,"1,728",552,475,32,45,36,37,62,27,151,85,58,123,45
2020,5,30,"1,428",428,445,32,51,24,32,42,20,115,82,53,71,33
2020,5,40,"2,444",629,746,59,68,60,76,81,57,221,159,73,165,50
2020,5,50,"3,810",818,"1,104",101,151,114,114,142,112,333,305,99,315,102
2020,5,60,"3,730",658,"1,084",123,155,105,105,189,88,367,281,132,336,107
2020,5,70,"2,807",435,849,87,102,105,86,135,80,295,216,86,235,96
2020,5,80,"1,463",217,394,47,71,65,62,71,38,154,123,41,122,58
2020,5,90,141,17,33,7,4,11,4,11,3,14,17,0,12,8
2020,5,100,5,0,5,0,0,0,0,0,0,0,0,0,0,0
2020,6,총,"19,855","4,528","5,868",535,702,560,579,807,457,"1,820","1,359",609,"1,501",530
2020,6,0,957,357,294,17,24,11,25,28,9,69,30,33,47,13
2020,6,10,"1,356",410,449,30,34,30,37,46,26,99,64,33,79,19
2020,6,20,"1,721",556,468,31,46,35,37,60,27,149,87,58,122,45
2020,6,30,"1,419",423,440,31,50,24,32,43,19,116,82,54,70,35
2020,6,40,"2,430",631,739,59,69,57,74,81,58,215,157,76,165,49
2020,6,50,"3,792",822,"1,101",101,146,113,115,139,108,338,300,96,312,101
2020,6,60,"3,756",661,"1,087",125,155,109,108,191,91,373,282,131,337,106
2020,6,70,"2,809",434,851,86,104,105,86,136,77,293,219,86,236,96
2020,6,80,"1,466",217,397,47,71,65,61,72,39,155,121,42,121,58
2020,6,90,143,17,37,8,3,11,4,11,3,13,16,0,12,8
2020,6,100,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020,7,총,"19,828","4,513","5,871",544,697,562,572,809,456,"1,816","1,357",603,"1,500",528
2020,7,0,959,359,296,17,24,11,25,28,10,67,30,32,46,14
2020,7,10,"1,351",407,448,33,32,29,36,46,24,99,66,32,80,19
2020,7,20,"1,705",554,470,31,46,37,35,60,26,144,84,56,118,44
2020,7,30,"1,405",416,434,32,50,24,30,45,20,114,83,52,71,34
2020,7,40,"2,423",630,739,58,68,57,72,82,56,213,153,75,170,50
2020,7,50,"3,782",817,"1,093",104,144,114,115,138,108,341,303,95,309,101
2020,7,60,"3,759",661,"1,092",127,156,108,106,191,93,373,279,132,335,106
2020,7,70,"2,822",430,855,87,104,105,89,138,77,296,221,87,238,95
