년도,월,나이,광주광역시,동구,서구,남구,북구,광산구
2020,1,총,"1,456,688","98,642","301,339","218,035","433,147","405,525"
2020,1,0,"125,900","6,622","23,386","18,202","34,954","42,736"
2020,1,10,"163,590","7,425","33,593","23,567","44,950","54,055"
2020,1,20,"207,983","13,858","45,420","28,704","62,838","57,163"
2020,1,30,"192,125","12,495","38,814","27,056","57,274","56,486"
2020,1,40,"244,541","13,653","50,443","34,403","68,580","77,462"
2020,1,50,"233,833","15,414","49,808","33,904","72,762","61,945"
2020,1,60,"154,208","14,009","32,456","27,101","50,222","30,420"
2020,1,70,"90,935","10,103","18,610","17,011","28,443","16,768"
2020,1,80,"37,735","4,397","7,595","6,932","11,432","7,379"
2020,1,90,"5,438",609,"1,145","1,056","1,579","1,049"
2020,1,100,400,57,69,99,113,62
2020,2,총,"1,456,121","98,641","301,015","217,993","432,872","405,600"
2020,2,0,"125,396","6,627","23,223","18,250","34,796","42,500"
2020,2,10,"162,728","7,363","33,355","23,448","44,677","53,885"
2020,2,20,"207,554","13,876","45,339","28,552","62,636","57,151"
2020,2,30,"191,432","12,476","38,598","26,951","57,141","56,266"
2020,2,40,"244,903","13,655","50,458","34,520","68,666","77,604"
2020,2,50,"234,048","15,401","49,847","33,852","72,734","62,214"
2020,2,60,"155,056","14,050","32,672","27,184","50,529","30,621"
2020,2,70,"91,020","10,087","18,628","17,051","28,472","16,782"
2020,2,80,"38,050","4,428","7,675","7,004","11,498","7,445"
2020,2,90,"5,529",618,"1,148","1,083","1,609","1,071"
2020,2,100,405,60,72,98,114,61
2020,3,총,"1,455,705","98,628","300,292","217,810","433,006","405,969"
2020,3,0,"124,957","6,640","23,043","18,177","34,807","42,290"
2020,3,10,"162,130","7,323","33,126","23,398","44,526","53,757"
2020,3,20,"207,787","13,914","45,271","28,578","62,642","57,382"
2020,3,30,"190,641","12,406","38,291","26,797","56,985","56,162"
2020,3,40,"244,621","13,630","50,283","34,524","68,636","77,548"
2020,3,50,"234,045","15,400","49,766","33,782","72,643","62,454"
2020,3,60,"156,074","14,086","32,889","27,237","50,900","30,962"
2020,3,70,"91,156","10,074","18,670","17,114","28,534","16,764"
2020,3,80,"38,293","4,474","7,727","7,017","11,591","7,484"
2020,3,90,"5,591",620,"1,154","1,089","1,626","1,102"
2020,3,100,410,61,72,97,116,64
2020,4,총,"1,456,096","98,622","300,093","217,543","433,057","406,781"
2020,4,0,"124,409","6,627","22,960","18,043","34,658","42,121"
2020,4,10,"161,641","7,291","32,923","23,337","44,382","53,708"
2020,4,20,"208,412","13,925","45,367","28,530","62,843","57,747"
2020,4,30,"190,220","12,404","38,189","26,670","56,790","56,167"
2020,4,40,"244,392","13,629","50,146","34,476","68,565","77,576"
2020,4,50,"234,352","15,389","49,769","33,803","72,674","62,717"
2020,4,60,"156,796","14,117","33,009","27,294","51,133","31,243"
2020,4,70,"91,258","10,043","18,711","17,121","28,583","16,800"
2020,4,80,"38,573","4,514","7,776","7,084","11,667","7,532"
2020,4,90,"5,631",620,"1,171","1,089","1,645","1,106"
2020,4,100,412,63,72,96,117,64
2020,5,총,"1,455,533","99,158","299,850","216,758","432,731","407,036"
2020,5,0,"123,851","6,661","22,853","17,912","34,511","41,914"
2020,5,10,"160,902","7,292","32,744","23,190","44,145","53,531"
2020,5,20,"208,753","14,096","45,421","28,398","62,857","57,981"
2020,5,30,"189,797","12,510","38,057","26,511","56,609","56,110"
2020,5,40,"243,859","13,656","49,980","34,343","68,416","77,464"
2020,5,50,"234,541","15,454","49,776","33,650","72,688","62,973"
2020,5,60,"157,418","14,164","33,202","27,315","51,266","31,471"
2020,5,70,"91,584","10,095","18,756","17,160","28,736","16,837"
2020,5,80,"38,746","4,538","7,811","7,094","11,727","7,576"
2020,5,90,"5,664",626,"1,176","1,088","1,657","1,117"
2020,5,100,418,66,74,97,119,62
2020,6,총,"1,455,048","99,273","299,248","216,256","433,444","406,827"
2020,6,0,"123,413","6,660","22,698","17,793","34,575","41,687"
2020,6,10,"160,383","7,267","32,572","23,152","44,026","53,366"
2020,6,20,"208,765","14,165","45,341","28,263","62,926","58,070"
2020,6,30,"189,436","12,517","37,914","26,338","56,762","55,905"
2020,6,40,"243,727","13,639","49,812","34,293","68,541","77,442"
2020,6,50,"233,826","15,436","49,593","33,464","72,442","62,891"
2020,6,60,"158,721","14,241","33,394","27,487","51,763","31,836"
2020,6,70,"91,879","10,129","18,838","17,188","28,867","16,857"
2020,6,80,"38,816","4,524","7,830","7,098","11,760","7,604"
2020,6,90,"5,663",627,"1,182","1,084","1,665","1,105"
2020,6,100,419,68,74,96,117,64
2020,7,총,"1,454,709","99,228","298,898","215,987","433,463","407,133"
2020,7,0,"122,863","6,633","22,578","17,714","34,488","41,450"
2020,7,10,"159,816","7,209","32,419","23,088","43,828","53,272"
2020,7,20,"208,961","14,209","45,292","28,218","62,986","58,256"
2020,7,30,"189,053","12,494","37,769","26,229","56,713","55,848"
2020,7,40,"243,442","13,607","49,664","34,268","68,441","77,462"
