년도,월,나이,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2020,1,총,"28,311","10,244","1,607","2,071","1,800","1,779","1,506","2,045","2,264","1,351","1,214","2,430"
2020,1,0,"1,656",907,60,87,81,57,74,79,132,45,64,70
2020,1,10,"2,293","1,335",106,105,98,77,72,125,138,50,64,123
2020,1,20,"2,193",991,106,107,109,119,95,158,151,111,94,152
2020,1,30,"2,208","1,087",108,123,131,103,118,114,140,85,90,109
2020,1,40,"3,415","1,633",146,219,201,147,129,201,248,126,133,232
2020,1,50,"4,687","1,527",307,360,272,343,260,387,410,223,164,434
2020,1,60,"4,571","1,227",283,381,317,378,260,406,417,239,196,467
2020,1,70,"4,249",953,261,408,333,291,272,338,405,264,228,496
2020,1,80,"2,648",504,199,242,227,236,198,210,189,182,165,296
2020,1,90,369,77,27,36,30,27,27,27,31,24,15,48
2020,1,100,22,3,4,3,1,1,1,0,3,2,1,3
2020,2,총,"28,260","10,251","1,595","2,068","1,794","1,773","1,498","2,042","2,257","1,349","1,214","2,419"
2020,2,0,"1,647",908,61,86,76,58,71,78,131,45,62,71
2020,2,10,"2,279","1,326",104,104,99,75,74,122,138,48,63,126
2020,2,20,"2,177",986,102,109,110,114,95,156,143,117,98,147
2020,2,30,"2,178","1,074",106,119,122,108,119,111,142,83,85,109
2020,2,40,"3,426","1,646",146,217,205,148,126,203,246,124,134,231
2020,2,50,"4,664","1,534",300,360,270,332,260,383,407,222,163,433
2020,2,60,"4,604","1,245",286,381,320,382,259,411,421,240,196,463
2020,2,70,"4,225",947,261,404,331,294,268,340,401,264,227,488
2020,2,80,"2,667",503,198,247,230,235,199,212,192,179,170,302
2020,2,90,366,78,27,38,29,25,25,26,33,24,15,46
2020,2,100,27,4,4,3,2,2,2,0,3,3,1,3
2020,3,총,"28,155","10,262","1,583","2,071","1,777","1,766","1,477","2,018","2,254","1,354","1,191","2,402"
2020,3,0,"1,619",910,59,81,68,57,69,75,131,45,54,70
2020,3,10,"2,280","1,324",100,110,96,74,75,123,140,47,62,129
2020,3,20,"2,154",986,103,110,106,115,88,149,139,119,95,144
2020,3,30,"2,127","1,070",101,120,115,106,113,101,143,82,71,105
2020,3,40,"3,416","1,644",142,217,205,151,121,204,241,127,130,234
2020,3,50,"4,652","1,536",300,358,269,328,257,378,410,219,168,429
2020,3,60,"4,623","1,257",287,382,327,382,263,410,419,240,199,457
2020,3,70,"4,200",943,261,399,328,291,262,342,401,266,224,483
2020,3,80,"2,690",507,199,255,232,234,204,209,194,182,172,302
2020,3,90,365,79,27,36,29,26,23,27,33,24,15,46
2020,3,100,29,6,4,3,2,2,2,0,3,3,1,3
2020,4,총,"28,124","10,257","1,588","2,070","1,769","1,761","1,470","2,007","2,259","1,350","1,184","2,409"
2020,4,0,"1,601",893,60,81,71,51,69,75,132,46,55,68
2020,4,10,"2,275","1,325",102,108,95,74,75,121,140,46,61,128
2020,4,20,"2,137",986,105,108,103,114,85,141,140,116,94,145
2020,4,30,"2,122","1,068",101,118,114,106,111,102,141,80,72,109
2020,4,40,"3,403","1,647",145,216,198,150,123,197,236,129,127,235
2020,4,50,"4,636","1,537",296,359,269,322,253,381,413,214,167,425
2020,4,60,"4,637","1,260",287,381,323,388,263,413,421,241,200,460
2020,4,70,"4,208",949,260,403,331,291,262,343,404,264,217,484
2020,4,80,"2,713",509,201,258,233,237,205,206,196,186,177,305
2020,4,90,362,77,26,35,30,26,22,28,33,25,13,47
2020,4,100,30,6,5,3,2,2,2,0,3,3,1,3
2020,5,총,"28,040","10,250","1,572","2,066","1,763","1,759","1,465","2,010","2,235","1,345","1,181","2,394"
2020,5,0,"1,582",880,58,79,73,51,68,74,130,47,55,67
2020,5,10,"2,260","1,326",95,109,97,70,74,120,137,45,60,127
2020,5,20,"2,135",994,109,109,101,113,85,144,135,113,89,143
2020,5,30,"2,105","1,062",100,117,114,108,108,101,134,79,72,110
2020,5,40,"3,397","1,641",146,215,199,147,124,202,231,130,128,234
2020,5,50,"4,594","1,541",290,350,262,320,251,374,412,211,163,420
2020,5,60,"4,647","1,257",284,386,321,395,267,414,422,243,205,453
2020,5,70,"4,204",949,256,405,331,292,260,345,401,261,217,487
2020,5,80,"2,726",515,202,258,236,234,205,208,200,186,177,305
2020,5,90,360,79,27,35,27,27,21,28,30,27,14,45
2020,5,100,30,6,5,3,2,2,2,0,3,3,1,3
2020,6,총,"28,018","10,277","1,566","2,061","1,750","1,759","1,459","2,005","2,232","1,348","1,170","2,391"
2020,6,0,"1,579",882,59,79,73,50,67,75,128,48,52,66
2020,6,10,"2,255","1,322",95,108,93,72,73,118,137,45,59,133
2020,6,20,"2,125","1,010",107,108,95,108,82,143,135,111,88,138
2020,6,30,"2,092","1,054",101,112,115,106,107,106,133,80,67,111
2020,6,40,"3,397","1,641",142,216,204,151,122,197,230,129,128,237
2020,6,50,"4,561","1,538",284,349,253,316,249,371,417,208,162,414
2020,6,60,"4,693","1,266",290,390,324,402,273,416,421,249,205,457
2020,6,70,"4,203",963,256,404,328,291,261,341,396,262,216,485
2020,6,80,"2,723",515,200,257,235,233,202,212,202,187,179,301
2020,6,90,360,80,27,35,28,28,21,26,30,26,13,46
2020,6,100,30,6,5,3,2,2,2,0,3,3,1,3
2020,7,총,"28,016","10,264","1,572","2,059","1,771","1,752","1,453","1,998","2,233","1,342","1,168","2,404"
2020,7,0,"1,587",879,61,79,71,51,68,75,129,49,56,69
2020,7,10,"2,251","1,326",94,106,98,70,72,114,136,45,58,132
2020,7,20,"2,116","1,004",109,108,97,105,79,138,139,106,88,143
2020,7,30,"2,078","1,043",99,110,115,108,105,105,134,80,67,112
2020,7,40,"3,393","1,639",147,218,204,144,124,197,227,127,126,240
2020,7,50,"4,551","1,533",285,343,258,316,248,367,416,212,159,414
2020,7,60,"4,721","1,274",290,393,331,405,274,421,421,245,206,461
2020,7,70,"4,203",963,256,407,333,290,259,343,391,262,216,483
2020,7,80,"2,726",515,200,257,234,233,202,211,206,189,179,300
2020,7,90,359,82,26,35,28,28,20,27,31,23,12,47
2020,7,100,31,6,5,3,2,2,2,0,3,4,1,3
2020,8,총,"27,942","10,268","1,566","2,055","1,763","1,748","1,439","1,988","2,232","1,330","1,159","2,394"
2020,8,0,"1,574",877,62,76,69,53,64,75,129,47,53,69
2020,8,10,"2,243","1,330",92,106,96,70,71,113,138,39,58,130
2020,8,20,"2,085","1,005",106,109,93,103,75,136,133,102,83,140
2020,8,30,"2,067","1,037",101,109,114,105,102,105,138,79,66,111
2020,8,40,"3,378","1,639",144,220,199,144,122,194,223,132,122,239
2020,8,50,"4,535","1,537",282,340,261,318,246,359,419,207,157,409
2020,8,60,"4,731","1,277",293,389,331,404,276,427,417,248,212,457
2020,8,70,"4,206",961,257,410,333,287,259,341,389,261,216,492
2020,8,80,"2,729",517,199,257,238,234,202,211,210,186,178,297
2020,8,90,363,82,25,36,27,28,20,27,33,25,13,47
2020,8,100,31,6,5,3,2,2,2,0,3,4,1,3
2020,9,총,"27,871","10,280","1,561","2,056","1,754","1,735","1,435","1,984","2,221","1,313","1,164","2,368"
2020,9,0,"1,561",877,64,74,66,49,64,73,128,45,53,68
2020,9,10,"2,220","1,315",94,104,97,69,70,115,139,39,55,123
2020,9,20,"2,095","1,025",103,111,93,101,77,136,134,97,82,136
2020,9,30,"2,044","1,030",99,110,109,102,101,108,133,77,68,107
2020,9,40,"3,359","1,637",148,217,194,143,119,187,222,129,127,236
2020,9,50,"4,503","1,528",278,350,263,318,244,359,406,200,156,401
2020,9,60,"4,760","1,301",295,385,329,402,280,427,423,251,212,455
2020,9,70,"4,200",961,256,407,332,285,259,337,390,263,216,494
2020,9,80,"2,729",518,195,257,242,236,199,213,209,183,181,296
2020,9,90,369,82,24,38,27,28,20,29,34,25,13,49
2020,9,100,31,6,5,3,2,2,2,0,3,4,1,3
2020,10,총,"27,857","10,313","1,561","2,037","1,741","1,740","1,432","1,988","2,216","1,311","1,160","2,358"
2020,10,0,"1,555",876,67,73,66,47,61,74,126,44,53,68
2020,10,10,"2,221","1,336",93,95,95,69,70,114,141,39,51,118
2020,10,20,"2,090","1,025",103,108,91,105,78,133,131,98,83,135
2020,10,30,"2,031","1,022",99,110,110,105,100,107,126,77,69,106
2020,10,40,"3,350","1,641",149,211,191,144,123,186,220,128,124,233
2020,10,50,"4,489","1,532",276,340,260,315,245,362,409,201,156,393
2020,10,60,"4,789","1,310",294,394,330,409,278,428,424,250,215,457
2020,10,70,"4,195",964,258,401,328,286,257,340,392,260,214,495
2020,10,80,"2,736",518,194,264,241,230,201,212,211,185,180,300
2020,10,90,373,84,23,38,27,28,18,32,33,25,14,51
2020,10,100,28,5,5,3,2,2,1,0,3,4,1,2
2020,11,총,"27,805","10,314","1,562","2,022","1,744","1,739","1,429","1,982","2,197","1,303","1,145","2,368"
2020,11,0,"1,520",872,64,71,64,45,59,69,120,39,50,67
2020,11,10,"2,221","1,332",95,92,96,71,71,117,141,38,49,119
2020,11,20,"2,085","1,026",102,108,90,103,79,128,132,101,80,136
2020,11,30,"2,000","1,019",98,103,109,105,100,99,121,75,68,103
2020,11,40,"3,346","1,652",150,210,190,143,118,186,214,126,122,235
2020,11,50,"4,497","1,528",272,337,266,316,249,364,407,202,155,401
2020,11,60,"4,794","1,310",297,395,332,407,277,430,423,251,211,461
2020,11,70,"4,191",965,259,401,328,288,252,343,392,260,214,489
2020,11,80,"2,749",520,197,265,239,232,205,213,209,183,181,305
2020,11,90,374,85,23,37,28,27,18,33,35,24,14,50
2020,11,100,28,5,5,3,2,2,1,0,3,4,1,2
2020,12,총,"27,810","10,308","1,565","2,023","1,730","1,760","1,426","1,978","2,210","1,311","1,143","2,356"
2020,12,0,"1,521",865,65,72,62,47,59,72,119,41,52,67
2020,12,10,"2,219","1,338",96,91,90,70,69,119,141,37,50,118
2020,12,20,"2,076","1,030",104,106,90,103,80,123,131,100,78,131
2020,12,30,"2,001","1,009",98,105,110,112,101,98,123,77,66,102
2020,12,40,"3,324","1,650",144,208,191,141,114,183,211,127,120,235
2020,12,50,"4,505","1,534",275,336,260,317,252,361,412,204,157,397
2020,12,60,"4,832","1,316",299,400,329,418,280,434,426,254,213,463
2020,12,70,"4,184",963,254,399,327,291,247,344,400,262,212,485
2020,12,80,"2,747",514,202,266,242,231,205,211,208,183,180,305
2020,12,90,373,84,23,37,27,28,18,33,36,22,14,51
2020,12,100,28,5,5,3,2,2,1,0,3,4,1,2
2021,1,총,"27,665","10,257","1,552","2,015","1,725","1,747","1,428","1,953","2,202","1,303","1,128","2,355"
2021,1,0,"1,496",852,61,69,63,47,60,68,116,39,52,69
2021,1,10,"2,202","1,325",94,95,86,69,70,117,142,35,49,120
2021,1,20,"2,059","1,035",100,105,91,100,83,117,128,99,75,126
2021,1,30,"1,970",996,102,101,110,110,101,93,121,72,63,101
2021,1,40,"3,289","1,625",136,205,187,138,117,187,209,129,120,236
2021,1,50,"4,483","1,532",276,338,262,318,247,349,411,201,153,396
2021,1,60,"4,843","1,325",298,400,329,413,275,437,433,256,212,465
2021,1,70,"4,172",957,254,397,328,291,251,343,394,264,212,481
