년도,월,나이,예산군,예산읍,삽교읍,대술면,신양면,광시면,대흥면,응봉면,덕산면,봉산면,고덕면,신암면,오가면
2020,1,총,"79,126","34,235","9,414","2,547","3,154","3,265","1,779","2,546","6,788","2,548","4,635","3,651","4,564"
2020,1,0,"3,890","2,295",523,52,76,95,42,69,278,87,146,102,125
2020,1,10,"5,963","3,492",660,101,163,151,64,147,411,144,261,145,224
2020,1,20,"7,182","3,753","1,024",149,174,209,87,209,524,145,309,272,327
2020,1,30,"6,431","3,263",986,166,198,149,96,140,495,158,260,236,284
2020,1,40,"9,935","5,211","1,099",249,300,305,165,252,800,249,459,358,488
2020,1,50,"14,130","6,104","1,575",454,505,565,303,476,"1,387",438,827,633,863
2020,1,60,"14,111","5,114","1,524",574,702,668,448,534,"1,350",524,932,771,970
2020,1,70,"10,226","3,145","1,123",470,580,578,329,392,901,448,844,661,755
2020,1,80,"6,419","1,643",798,294,406,494,214,282,559,299,542,426,462
2020,1,90,802,204,95,35,48,50,30,44,78,54,53,47,64
2020,1,100,37,11,7,3,2,1,1,1,5,2,2,0,2
2020,2,총,"78,915","34,108","9,417","2,542","3,155","3,266","1,775","2,538","6,784","2,546","4,608","3,637","4,539"
2020,2,0,"3,864","2,275",525,53,79,94,43,66,278,85,142,104,120
2020,2,10,"5,909","3,463",653,99,163,149,62,147,413,144,257,139,220
2020,2,20,"7,087","3,721","1,013",148,172,205,88,203,514,143,296,266,318
2020,2,30,"6,427","3,235","1,001",167,200,151,95,141,496,162,262,235,282
2020,2,40,"9,896","5,184","1,109",249,294,305,162,248,800,244,455,359,487
2020,2,50,"14,022","6,083","1,552",450,506,560,296,469,"1,376",440,810,621,859
2020,2,60,"14,174","5,132","1,536",575,703,676,453,537,"1,356",517,936,778,975
2020,2,70,"10,229","3,159","1,116",465,580,575,328,395,905,450,852,651,753
2020,2,80,"6,465","1,644",808,298,407,498,216,287,563,307,542,435,460
2020,2,90,807,201,97,35,49,52,32,44,78,52,54,49,64
2020,2,100,35,11,7,3,2,1,0,1,5,2,2,0,1
2020,3,총,"78,881","34,012","9,571","2,537","3,144","3,229","1,767","2,545","6,749","2,539","4,619","3,619","4,550"
2020,3,0,"3,845","2,266",531,53,80,89,41,61,275,83,141,105,120
2020,3,10,"5,860","3,422",654,99,161,145,62,146,413,146,257,134,221
2020,3,20,"7,071","3,697","1,047",146,166,200,87,201,507,141,298,257,324
2020,3,30,"6,396","3,202","1,035",164,202,144,90,142,486,163,259,233,276
2020,3,40,"9,846","5,154","1,115",246,287,298,161,250,785,244,462,356,488
2020,3,50,"13,969","6,058","1,586",444,500,557,293,470,"1,352",436,806,612,855
2020,3,60,"14,255","5,164","1,548",580,703,672,454,543,"1,366",517,941,789,978
2020,3,70,"10,288","3,179","1,129",466,584,580,327,399,916,445,856,646,761
2020,3,80,"6,507","1,657",825,300,410,493,219,288,565,307,544,437,462
2020,3,90,807,201,94,36,49,50,33,44,79,54,53,50,64
2020,3,100,37,12,7,3,2,1,0,1,5,3,2,0,1
2020,4,총,"78,726","33,868","9,616","2,541","3,135","3,231","1,762","2,542","6,735","2,540","4,601","3,614","4,541"
2020,4,0,"3,807","2,233",537,55,78,88,32,61,270,88,134,108,123
2020,4,10,"5,833","3,411",652,96,161,145,64,144,411,145,253,132,219
2020,4,20,"7,029","3,654","1,054",148,167,200,85,199,504,138,295,260,325
2020,4,30,"6,370","3,169","1,063",161,198,142,89,145,487,161,251,232,272
2020,4,40,"9,794","5,120","1,119",244,287,300,159,247,780,244,455,351,488
2020,4,50,"13,912","6,036","1,575",442,488,553,291,472,"1,348",432,811,612,852
2020,4,60,"14,288","5,183","1,556",588,708,678,455,539,"1,364",522,939,780,976
2020,4,70,"10,333","3,200","1,139",469,582,582,336,400,915,445,861,646,758
2020,4,80,"6,515","1,648",821,299,414,491,218,292,572,308,547,443,462
2020,4,90,808,202,93,36,50,51,33,42,79,54,53,50,65
2020,4,100,37,12,7,3,2,1,0,1,5,3,2,0,1
2020,5,총,"78,618","33,795","9,638","2,551","3,118","3,224","1,756","2,537","6,726","2,554","4,592","3,608","4,519"
2020,5,0,"3,787","2,219",535,59,74,87,32,59,273,87,136,106,120
2020,5,10,"5,806","3,394",651,97,163,145,63,141,412,145,251,130,214
2020,5,20,"6,975","3,625","1,046",146,159,192,84,204,502,145,285,260,327
2020,5,30,"6,328","3,146","1,063",160,192,144,88,141,482,161,252,233,266
2020,5,40,"9,743","5,098","1,120",242,290,297,154,248,775,240,452,344,483
2020,5,50,"13,936","6,052","1,582",449,487,554,287,471,"1,348",436,811,616,843
2020,5,60,"14,298","5,180","1,567",589,713,676,459,543,"1,357",523,933,786,972
2020,5,70,"10,383","3,220","1,150",466,580,580,338,400,919,452,869,644,765
2020,5,80,"6,516","1,648",821,304,412,494,218,289,573,308,547,440,462
2020,5,90,809,201,96,36,46,54,33,40,80,54,54,49,66
2020,5,100,37,12,7,3,2,1,0,1,5,3,2,0,1
2020,6,총,"78,610","33,695","9,781","2,543","3,122","3,217","1,758","2,532","6,699","2,550","4,579","3,596","4,538"
2020,6,0,"3,755","2,193",534,59,72,86,32,60,269,87,132,105,126
2020,6,10,"5,808","3,385",660,99,167,140,61,140,415,143,254,130,214
2020,6,20,"6,935","3,592","1,083",139,158,184,85,197,495,145,279,258,320
2020,6,30,"6,320","3,118","1,096",159,194,145,88,145,479,157,245,226,268
2020,6,40,"9,732","5,077","1,139",242,285,294,152,249,772,239,450,346,487
2020,6,50,"13,913","6,042","1,598",446,488,551,284,469,"1,331",440,810,613,841
2020,6,60,"14,366","5,205","1,577",588,715,683,460,544,"1,362",527,936,788,981
2020,6,70,"10,409","3,229","1,164",462,582,582,343,399,922,448,870,643,765
2020,6,80,"6,522","1,638",827,310,411,496,217,287,570,309,547,441,469
2020,6,90,812,204,96,36,48,55,35,41,79,52,54,46,66
2020,6,100,38,12,7,3,2,1,1,1,5,3,2,0,1
2020,7,총,"78,609","33,659","9,837","2,540","3,109","3,210","1,774","2,540","6,716","2,539","4,573","3,601","4,511"
2020,7,0,"3,747","2,178",544,60,71,85,33,60,274,85,131,103,123
2020,7,10,"5,779","3,374",653,96,163,140,63,142,411,143,252,131,211
2020,7,20,"6,923","3,576","1,100",137,158,178,88,196,488,143,279,263,317
2020,7,30,"6,313","3,106","1,111",158,187,144,89,145,478,157,252,219,267
2020,7,40,"9,697","5,056","1,151",235,285,292,153,248,771,242,439,346,479
2020,7,50,"13,885","6,027","1,596",445,488,552,286,468,"1,335",434,807,614,833
2020,7,60,"14,451","5,246","1,587",592,712,685,464,554,"1,372",525,933,794,987
2020,7,70,"10,458","3,246","1,170",467,584,582,343,399,930,450,878,645,764
2020,7,80,"6,510","1,635",823,310,413,497,219,288,570,308,545,441,461
2020,7,90,808,204,95,37,45,54,35,39,82,49,55,45,68
2020,7,100,38,11,7,3,3,1,1,1,5,3,2,0,1
2020,8,총,"78,420","33,570","9,834","2,537","3,093","3,199","1,783","2,528","6,711","2,530","4,568","3,587","4,480"
2020,8,0,"3,730","2,169",542,62,68,85,35,60,273,79,132,104,121
2020,8,10,"5,745","3,357",645,92,162,137,62,144,413,148,253,127,205
2020,8,20,"6,877","3,557","1,101",135,157,176,91,189,485,139,274,260,313
2020,8,30,"6,256","3,068","1,117",160,185,141,90,145,464,150,250,218,268
