년도,월,나이,거제시,일운면,동부면,남부면,거제면,둔덕면,사등면,사등면가조출장소,연초면,하청면,하청면칠천출장소,장목면,장목면외포출장소,장승포동,능포동,아주동,옥포1동,옥포2동,장평동,고현동,상문동,수양동
2020,1,총,"130,147","3,763","1,663",802,"3,652","1,567","6,419",586,"4,669","1,964",570,"1,658",710,"3,645","5,377","14,934","3,910","13,935","11,879","18,826","17,602","12,016"
2020,1,0,"14,758",253,47,15,233,36,805,23,304,118,17,47,28,257,344,"2,522",332,"1,431",878,"2,023","3,137","1,908"
2020,1,10,"14,878",323,84,35,315,97,552,32,375,160,19,80,42,353,564,"1,694",367,"1,696","1,254","2,348","2,502","1,986"
2020,1,20,"13,969",377,156,54,325,153,553,46,504,180,34,139,44,404,612,"1,440",505,"1,636","1,736","2,307","1,583","1,181"
2020,1,30,"21,224",385,132,46,373,107,"1,032",49,586,210,41,114,62,494,612,"3,508",639,"2,144","2,292","2,980","3,583","1,835"
2020,1,40,"25,851",636,238,100,555,191,"1,240",70,874,308,74,265,112,783,"1,011","3,263",731,"2,584","2,638","3,715","3,791","2,672"
2020,1,50,"20,334",806,356,196,668,326,"1,034",132,967,369,123,355,135,721,"1,100","1,580",670,"2,360","2,021","2,993","1,914","1,508"
2020,1,60,"12,750",614,337,203,657,362,726,155,656,340,143,327,154,437,784,704,506,"1,602",806,"1,804",780,653
2020,1,70,"4,855",270,233,102,378,211,375,58,297,199,84,229,96,150,277,177,133,393,214,536,239,204
2020,1,80,"1,401",90,74,47,133,78,92,18,96,75,31,98,34,42,66,43,26,85,36,105,68,64
2020,1,90,122,8,5,4,13,6,10,3,10,5,4,4,3,4,6,3,1,4,4,15,5,5
2020,1,100,5,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,2,총,"129,959","3,857","1,659",801,"3,642","1,560","6,401",586,"4,663","1,949",562,"1,646",706,"3,614","5,329","14,868","3,910","13,925","11,846","18,791","17,595","12,049"
2020,2,0,"14,669",262,48,14,234,35,796,23,298,117,17,48,29,253,334,"2,498",325,"1,423",867,"2,015","3,114","1,919"
2020,2,10,"14,818",327,80,34,310,94,554,33,376,154,18,80,40,348,566,"1,700",361,"1,689","1,239","2,328","2,512","1,975"
2020,2,20,"13,877",389,155,54,322,154,544,47,496,176,34,136,45,398,599,"1,401",509,"1,635","1,714","2,296","1,574","1,199"
2020,2,30,"21,003",404,132,49,360,106,"1,021",49,585,205,40,112,57,488,596,"3,464",641,"2,113","2,263","2,959","3,543","1,816"
2020,2,40,"25,914",643,238,97,555,187,"1,245",68,868,306,73,262,109,773,999,"3,276",732,"2,613","2,659","3,711","3,817","2,683"
2020,2,50,"20,379",826,350,197,668,326,"1,028",131,972,368,120,350,136,719,"1,085","1,596",676,"2,352","2,035","2,998","1,929","1,517"
2020,2,60,"12,872",627,341,204,669,363,733,157,660,344,140,328,157,436,796,711,502,"1,611",814,"1,823",794,662
2020,2,70,"4,870",275,232,103,374,210,377,58,299,198,85,225,96,153,280,176,136,395,216,536,238,208
