년도,월,나이,양양군,양양읍,서면,손양면,현북면,현남면,강현면
2020,1,총,"14,091","6,044","1,528","1,223","1,309","1,599","2,388"
2020,1,0,716,451,48,41,31,49,96
2020,1,10,"1,017",602,102,53,55,76,129
2020,1,20,"1,397",677,138,116,103,103,260
2020,1,30,"1,301",627,116,83,117,141,217
2020,1,40,"1,976",956,192,157,151,215,305
2020,1,50,"2,738","1,087",312,274,253,309,503
2020,1,60,"2,551",858,303,245,307,353,485
2020,1,70,"1,707",563,225,168,202,250,299
2020,1,80,624,196,87,80,83,97,81
2020,1,90,63,26,5,6,7,6,13
2020,1,100,1,1,0,0,0,0,0
2020,2,총,"14,109","6,066","1,533","1,229","1,308","1,581","2,392"
2020,2,0,727,455,52,42,33,49,96
2020,2,10,"1,013",602,101,50,56,70,134
2020,2,20,"1,416",690,136,121,102,103,264
2020,2,30,"1,281",616,117,82,116,139,211
2020,2,40,"1,981",965,190,157,151,214,304
2020,2,50,"2,725","1,077",314,277,249,304,504
2020,2,60,"2,578",875,308,246,311,351,487
2020,2,70,"1,687",553,221,167,203,246,297
2020,2,80,637,205,89,81,81,99,82
2020,2,90,63,27,5,6,6,6,13
2020,2,100,1,1,0,0,0,0,0
2020,3,총,"14,101","6,074","1,526","1,220","1,316","1,574","2,391"
2020,3,0,715,449,49,40,33,49,95
2020,3,10,"1,001",598,101,49,55,68,130
2020,3,20,"1,414",692,137,116,102,101,266
2020,3,30,"1,282",617,119,83,117,139,207
2020,3,40,"1,963",955,188,156,151,208,305
2020,3,50,"2,724","1,081",312,272,252,304,503
2020,3,60,"2,611",898,307,249,316,352,489
2020,3,70,"1,686",552,218,166,203,248,299
2020,3,80,639,203,90,82,81,99,84
2020,3,90,65,28,5,7,6,6,13
2020,3,100,1,1,0,0,0,0,0
2020,4,총,"14,107","6,102","1,520","1,210","1,321","1,571","2,383"
2020,4,0,712,445,47,40,36,49,95
2020,4,10,994,600,97,49,56,68,124
2020,4,20,"1,419",693,143,114,102,101,266
2020,4,30,"1,274",619,118,78,110,138,211
2020,4,40,"1,957",958,184,159,152,203,301
2020,4,50,"2,726","1,092",310,269,252,302,501
2020,4,60,"2,625",906,310,245,322,358,484
2020,4,70,"1,683",551,214,167,202,246,303
2020,4,80,652,210,92,82,83,100,85
2020,4,90,64,27,5,7,6,6,13
2020,4,100,1,1,0,0,0,0,0
2020,5,총,"14,140","6,182","1,494","1,203","1,307","1,575","2,379"
2020,5,0,713,449,43,38,36,48,99
2020,5,10,999,607,97,47,54,69,125
