년도,월,나이,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2020,1,총,"327,261","7,241","12,078","6,712","8,276","10,492","10,163","7,926","12,272","9,311","19,843","12,007","9,996","16,072","15,324","13,642","13,538","16,527","10,436","13,879","15,756","13,753","13,709","17,571","17,091","10,682","8,224","4,740"
2020,1,0,"27,640",416,"1,077",366,564,601,521,594,710,758,"1,629",696,876,979,918,879,"1,677","1,424",763,901,"1,366","2,445",739,"2,277","1,795","1,596",749,324
2020,1,10,"31,557",518,"1,069",601,785,889,794,926,749,"1,628","1,809",730,"1,023","1,068","1,150","1,071","1,176","1,974",841,802,"1,602","1,705",968,"3,013","2,073","1,199",913,481
2020,1,20,"46,091",978,"1,686","1,016",988,"1,342","1,371","1,250","2,133","1,211","3,036","2,100","1,442","2,629","2,474","2,184","1,823","2,379","1,677","2,149","2,278","1,380","2,348","1,531","1,991","1,049","1,026",620
2020,1,30,"54,955","1,146","1,959",911,"1,202","1,298","1,283","1,136","2,772",769,"2,990","2,781","1,474","3,561","3,451","2,487","2,688","2,425","1,924","3,650","2,594","2,377","3,006","1,831","2,116","1,475","1,150",499
2020,1,40,"53,528","1,083","1,981","1,043","1,335","1,624","1,564","1,263","1,817","1,573","2,809","1,694","1,506","2,522","2,585","1,980","2,079","2,777","1,454","2,081","2,513","2,852","2,197","4,252","2,915","2,131","1,227",671
2020,1,50,"50,370","1,219","1,813","1,197","1,418","1,963","1,999","1,303","1,745","1,557","3,384","1,695","1,629","2,381","2,151","2,354","1,914","2,605","1,643","1,715","2,552","1,592","1,970","2,489","2,574","1,431","1,249",828
2020,1,60,"38,513","1,118","1,516",914,"1,132","1,612","1,542",882,"1,430","1,141","2,627","1,399","1,289","1,779","1,605","1,706","1,471","1,887","1,402","1,496","1,797",920,"1,512","1,260","2,153","1,091","1,155",677
2020,1,70,"18,876",575,754,527,664,880,805,430,728,530,"1,191",703,584,878,795,735,598,801,563,771,837,407,744,703,"1,146",551,535,441
2020,1,80,"5,106",172,198,123,162,253,261,125,173,119,325,192,155,249,176,219,99,230,143,281,198,66,203,188,297,134,188,177
