년도,월,나이,옥천군,옥천읍,동이면,안남면,안내면,청성면,청산면,이원면,군서면,군북면
2020,1,총,"25,693","14,648","1,672",723,982,"1,169","1,505","2,175","1,211","1,608"
2020,1,0,"1,452","1,180",51,20,14,17,27,59,38,46
2020,1,10,"2,150","1,666",72,36,36,35,74,116,42,73
2020,1,20,"2,605","1,772",159,51,59,67,93,154,111,139
2020,1,30,"2,132","1,474",108,41,50,46,63,167,77,106
2020,1,40,"3,527","2,389",181,70,110,94,149,246,119,169
2020,1,50,"4,862","2,556",335,146,193,239,315,461,249,368
2020,1,60,"4,793","2,003",414,184,273,337,401,484,304,393
2020,1,70,"2,793","1,128",226,108,148,207,264,334,174,204
2020,1,80,"1,243",443,109,57,85,111,106,141,93,98
2020,1,90,129,36,17,10,11,16,12,11,4,12
2020,1,100,7,1,0,0,3,0,1,2,0,0
2020,2,총,"25,665","14,660","1,662",727,979,"1,167","1,501","2,168","1,197","1,604"
2020,2,0,"1,454","1,188",50,21,14,17,29,57,34,44
2020,2,10,"2,130","1,656",70,37,37,35,74,111,41,69
2020,2,20,"2,583","1,766",158,48,59,65,91,153,108,135
2020,2,30,"2,126","1,473",102,44,50,44,65,166,75,107
2020,2,40,"3,507","2,374",178,71,107,93,145,246,121,172
2020,2,50,"4,851","2,561",335,146,194,239,311,457,244,364
2020,2,60,"4,819","2,022",416,187,272,332,403,487,301,399
2020,2,70,"2,803","1,130",226,107,150,213,262,339,175,201
2020,2,80,"1,257",454,109,57,84,113,108,137,94,101
2020,2,90,128,35,18,9,9,16,12,13,4,12
2020,2,100,7,1,0,0,3,0,1,2,0,0
2020,3,총,"25,596","14,622","1,668",720,977,"1,172","1,501","2,150","1,189","1,597"
2020,3,0,"1,447","1,182",53,20,14,17,29,58,32,42
2020,3,10,"2,107","1,634",69,38,37,36,74,109,41,69
2020,3,20,"2,566","1,765",159,45,57,64,90,149,105,132
2020,3,30,"2,094","1,448",104,43,48,43,67,163,73,105
2020,3,40,"3,477","2,365",176,69,107,89,142,243,117,169
2020,3,50,"4,843","2,559",338,142,191,242,313,450,246,362
2020,3,60,"4,839","2,039",415,190,266,337,400,490,302,400
2020,3,70,"2,824","1,138",225,107,159,216,267,336,175,201
2020,3,80,"1,260",455,110,58,85,111,107,135,94,105
2020,3,90,132,36,19,8,10,17,11,15,4,12
