년도,월,나이,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2020,1,총,"16,364","7,491",951,739,"1,160",877,"1,174",981,370,914,853,854
2020,1,0,749,495,19,47,27,9,37,38,10,32,18,17
2020,1,10,"1,042",638,48,48,44,30,77,43,11,32,34,37
2020,1,20,"1,072",640,51,44,48,34,49,50,21,47,49,39
2020,1,30,"1,056",673,31,54,40,31,61,47,14,31,37,37
2020,1,40,"1,543",927,74,71,69,50,82,75,25,44,60,66
2020,1,50,"2,730","1,270",188,106,186,116,200,158,56,146,136,168
2020,1,60,"3,202","1,236",217,134,278,217,240,214,108,210,174,174
2020,1,70,"2,574",867,200,121,240,199,229,165,62,171,176,144
2020,1,80,"2,020",641,89,92,196,171,182,148,53,171,135,142
2020,1,90,354,95,32,21,31,18,15,42,10,29,33,28
2020,1,100,22,9,2,1,1,2,2,1,0,1,1,2
2020,2,총,"16,319","7,477",947,732,"1,157",877,"1,170",981,371,909,845,853
2020,2,0,751,502,19,44,28,10,37,36,11,32,16,16
2020,2,10,"1,028",629,49,46,44,29,77,42,11,31,34,36
2020,2,20,"1,055",630,50,45,48,32,48,48,21,43,49,41
2020,2,30,"1,052",667,31,52,41,33,61,48,15,31,36,37
2020,2,40,"1,537",929,71,71,67,53,82,72,23,43,58,68
2020,2,50,"2,720","1,267",188,105,184,112,198,159,58,146,136,167
2020,2,60,"3,198","1,231",217,134,279,220,240,217,106,210,170,174
2020,2,70,"2,570",874,200,119,241,198,224,164,63,170,174,143
2020,2,80,"2,029",642,89,92,194,171,185,150,53,174,138,141
2020,2,90,356,97,31,22,30,17,16,44,10,28,33,28
2020,2,100,23,9,2,2,1,2,2,1,0,1,1,2
2020,3,총,"16,260","7,451",945,726,"1,157",876,"1,163",980,371,904,842,845
2020,3,0,737,494,18,42,27,10,36,35,11,32,17,15
2020,3,10,"1,027",625,49,48,45,29,73,45,11,31,34,37
2020,3,20,"1,041",626,50,43,48,33,51,45,20,40,47,38
2020,3,30,"1,035",656,29,51,43,34,58,46,15,31,36,36
2020,3,40,"1,519",922,71,71,66,53,81,70,24,42,52,67
2020,3,50,"2,715","1,265",191,106,183,111,195,159,60,146,136,163
2020,3,60,"3,205","1,234",215,128,277,221,244,220,104,211,174,177
2020,3,70,"2,560",873,197,117,242,196,224,164,63,170,174,140
2020,3,80,"2,034",647,92,96,196,169,182,149,52,171,138,142
2020,3,90,363,100,31,22,29,18,17,45,11,29,33,28
2020,3,100,24,9,2,2,1,2,2,2,0,1,1,2
2020,4,총,"16,234","7,435",942,729,"1,159",877,"1,161",979,368,903,836,845
2020,4,0,736,494,18,43,27,10,36,32,11,33,17,15
2020,4,10,"1,018",618,48,48,46,29,71,45,11,31,34,37
2020,4,20,"1,028",623,49,43,47,35,52,44,19,38,44,34
2020,4,30,"1,038",656,29,51,42,34,59,47,14,31,36,39
2020,4,40,"1,507",914,71,70,64,53,81,71,24,42,50,67
2020,4,50,"2,716","1,267",191,107,186,111,192,159,59,146,135,163
2020,4,60,"3,204","1,230",215,130,278,222,245,221,102,208,174,179
2020,4,70,"2,557",874,196,116,240,195,223,164,64,173,171,141
2020,4,80,"2,037",649,91,97,198,169,182,149,53,170,140,139
2020,4,90,368,101,32,22,29,17,18,45,11,30,34,29
2020,4,100,25,9,2,2,2,2,2,2,0,1,1,2
2020,5,총,"16,199","7,434",937,725,"1,155",872,"1,150",984,365,899,836,842
2020,5,0,733,502,17,42,25,10,33,33,11,31,17,12
2020,5,10,"1,013",613,47,48,47,26,71,45,11,33,34,38
2020,5,20,"1,020",619,47,42,45,37,52,46,19,37,44,32
2020,5,30,"1,029",659,30,50,41,30,57,48,12,30,34,38
2020,5,40,"1,488",909,70,67,64,47,80,72,24,39,48,68
2020,5,50,"2,720","1,268",192,109,186,115,188,156,59,146,138,163
2020,5,60,"3,207","1,225",214,131,274,223,246,224,102,213,175,180
2020,5,70,"2,545",869,195,116,241,195,225,162,63,171,171,137
2020,5,80,"2,045",659,91,96,198,169,178,151,51,169,140,143
2020,5,90,373,102,32,22,32,17,18,45,13,29,34,29
2020,5,100,26,9,2,2,2,3,2,2,0,1,1,2
2020,6,총,"16,172","7,430",937,719,"1,159",872,"1,147",976,361,893,835,843
2020,6,0,728,502,17,43,26,11,33,28,11,29,17,11
