년도,월,나이,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020,3,총,"25,085","9,106","1,860","2,238",364,"1,674","1,711","2,226","1,181","1,069",110,"1,308",504,"1,334",400
2020,3,0,"1,598",705,111,186,26,48,72,104,46,41,2,80,21,135,21
2020,3,10,"1,816",878,94,175,25,73,107,137,57,51,4,80,21,102,12
2020,3,20,"1,584",780,103,119,11,92,80,114,55,42,1,64,25,69,29
2020,3,30,"1,939",936,119,188,32,68,96,129,58,48,4,78,27,133,23
2020,3,40,"2,612","1,291",147,228,38,140,152,177,78,75,8,96,37,122,23
2020,3,50,"3,778","1,516",265,317,58,248,252,271,167,161,14,160,75,202,72
2020,3,60,"4,189","1,364",352,296,82,368,314,367,245,194,15,239,82,204,67
2020,3,70,"4,214",977,367,385,62,336,347,531,276,234,27,285,106,196,85
2020,3,80,"2,902",563,259,299,25,260,255,339,175,193,29,203,95,152,55
2020,3,90,433,88,41,44,3,40,35,54,24,30,5,23,15,19,12
2020,3,100,20,8,2,1,2,1,1,3,0,0,1,0,0,0,1
2020,4,총,"25,032","9,090","1,850","2,237",357,"1,672","1,709","2,222","1,176","1,065",111,"1,307",504,"1,335",397
2020,4,0,"1,589",701,108,187,23,47,74,106,45,38,2,80,20,137,21
2020,4,10,"1,815",875,97,177,25,72,107,135,57,52,4,81,23,99,11
2020,4,20,"1,569",773,99,115,11,96,76,114,51,45,1,63,24,72,29
2020,4,30,"1,922",929,117,187,30,68,99,126,59,47,4,77,26,131,22
2020,4,40,"2,601","1,293",145,230,35,136,145,180,76,73,8,97,37,124,22
2020,4,50,"3,773","1,510",265,316,59,248,254,266,167,162,15,160,77,203,71
2020,4,60,"4,195","1,375",350,297,82,362,314,369,245,195,15,237,82,203,69
2020,4,70,"4,200",974,370,381,62,342,345,521,274,229,27,287,105,198,85
2020,4,80,"2,911",561,256,301,25,259,260,348,178,194,29,202,94,150,54
2020,4,90,437,91,41,45,3,40,34,55,24,30,5,23,16,18,12
2020,4,100,20,8,2,1,2,2,1,2,0,0,1,0,0,0,1
2020,5,총,"24,978","9,090","1,847","2,217",356,"1,662","1,698","2,225","1,174","1,066",112,"1,302",500,"1,334",395
2020,5,0,"1,590",698,108,185,23,48,75,107,45,40,2,79,20,139,21
2020,5,10,"1,799",873,97,174,24,70,103,134,58,49,4,82,23,98,10
2020,5,20,"1,559",768,98,113,12,96,75,115,51,46,1,59,23,72,30
2020,5,30,"1,913",935,116,183,29,65,95,124,59,47,4,78,27,130,21
2020,5,40,"2,588","1,290",144,226,36,134,145,179,75,73,8,96,37,123,22
2020,5,50,"3,743","1,503",262,315,56,247,252,266,164,159,15,157,74,202,71
2020,5,60,"4,206","1,388",355,290,85,360,306,371,248,199,13,238,79,204,70
2020,5,70,"4,191",974,365,382,61,340,353,515,270,227,29,288,106,198,83
2020,5,80,"2,923",561,258,302,25,257,258,356,181,195,29,201,95,151,54
2020,5,90,446,92,42,46,3,43,35,56,23,31,6,24,16,17,12
2020,5,100,20,8,2,1,2,2,1,2,0,0,1,0,0,0,1
2020,6,총,"24,946","9,092","1,849","2,219",353,"1,648","1,695","2,222","1,166","1,067",112,"1,300",501,"1,327",395
2020,6,0,"1,589",695,112,183,23,49,75,105,45,39,2,81,20,139,21
2020,6,10,"1,786",872,96,172,24,65,103,131,58,49,5,79,23,99,10
2020,6,20,"1,562",769,97,119,11,98,75,114,48,48,1,61,24,68,29
2020,6,30,"1,894",921,115,181,29,66,96,128,58,47,3,77,26,126,21
2020,6,40,"2,601","1,304",143,231,36,127,145,181,70,72,9,96,37,127,23
2020,6,50,"3,714","1,493",264,311,56,240,251,265,166,157,15,153,74,200,69
2020,6,60,"4,232","1,401",356,293,85,360,306,370,249,202,13,239,81,204,73
2020,6,70,"4,162",977,357,381,61,338,348,512,268,224,29,287,104,194,82
2020,6,80,"2,940",562,264,302,23,259,261,359,179,198,28,203,96,152,54
2020,6,90,446,90,43,45,3,44,34,55,25,31,6,24,16,18,12
2020,6,100,20,8,2,1,2,2,1,2,0,0,1,0,0,0,1
2020,7,총,"24,947","9,103","1,847","2,217",354,"1,650","1,691","2,218","1,169","1,064",110,"1,299",497,"1,334",394
2020,7,0,"1,574",690,109,181,23,48,75,106,45,36,2,79,20,139,21
2020,7,10,"1,792",872,99,174,24,65,105,128,57,49,5,81,22,101,10
2020,7,20,"1,560",778,95,122,11,100,70,113,48,47,0,58,22,70,26
2020,7,30,"1,877",914,116,170,30,65,101,124,58,44,3,77,27,126,22
2020,7,40,"2,613","1,303",144,239,35,128,143,183,69,73,9,97,38,129,23
2020,7,50,"3,681","1,487",262,305,56,233,250,264,164,156,15,151,73,197,68
2020,7,60,"4,268","1,421",349,301,86,366,302,369,254,204,13,240,80,208,75
2020,7,70,"4,157",977,361,378,60,338,345,512,268,224,28,288,106,192,80
2020,7,80,"2,954",562,267,303,24,261,266,359,178,199,28,205,93,153,56
2020,7,90,449,90,43,43,3,43,33,58,28,32,6,23,16,19,12
2020,7,100,22,9,2,1,2,3,1,2,0,0,1,0,0,0,1
2020,8,총,"24,945","9,104","1,847","2,226",355,"1,646","1,686","2,215","1,170","1,064",111,"1,299",495,"1,340",387
2020,8,0,"1,568",686,107,181,23,49,76,106,45,38,2,79,19,136,21
2020,8,10,"1,790",871,100,175,24,65,104,130,56,48,5,78,22,102,10
2020,8,20,"1,574",778,93,127,12,100,70,114,48,52,0,61,22,72,25
2020,8,30,"1,860",915,114,170,29,64,100,119,59,43,3,74,26,123,21
2020,8,40,"2,614","1,297",144,239,35,127,142,184,70,74,9,98,39,133,23
2020,8,50,"3,673","1,486",265,303,56,229,247,266,165,154,15,154,72,196,65
2020,8,60,"4,258","1,421",350,306,86,360,300,366,250,205,14,238,77,210,75
2020,8,70,"4,164",979,362,377,62,340,346,511,268,219,28,292,107,194,79
2020,8,80,"2,970",567,267,303,24,266,267,359,182,200,28,202,95,154,56
2020,8,90,453,95,43,44,2,44,33,58,27,31,6,23,16,20,11
2020,8,100,21,9,2,1,2,2,1,2,0,0,1,0,0,0,1
2020,9,총,"24,900","9,083","1,852","2,220",354,"1,638","1,688","2,212","1,168","1,065",111,"1,291",497,"1,335",386
2020,9,0,"1,548",675,108,177,23,47,77,105,42,38,2,78,19,135,22
