년도,월,나이,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020,1,총,"228,224","9,025","13,015","8,924","8,406","12,994","7,569","8,394","9,709","12,052","7,835","13,545","19,296","8,588","20,390","14,071","10,324","10,355","6,910","8,855","17,967"
2020,1,0,"15,028",443,607,322,480,"1,066",240,501,702,775,362,903,"2,072",670,"1,438","1,130",585,530,300,876,"1,026"
2020,1,10,"19,081",594,996,541,790,"1,492",438,527,948,937,489,"1,094","2,500",665,"1,781","1,400",762,797,478,733,"1,119"
2020,1,20,"33,987","1,485","2,416","2,873","1,140","1,493","2,263","1,476","1,150","1,578","1,305","1,611","1,813","1,101","2,751","1,585","1,963","1,423",858,"1,114","2,589"
2020,1,30,"31,059","1,368","1,864","1,363","1,043","1,671",966,"1,350","1,424","1,509",871,"1,831","2,816","1,311","2,687","1,873","1,359","1,127",748,"1,451","2,427"
2020,1,40,"36,673","1,371","2,020","1,112","1,255","2,495",880,"1,251","1,709","1,895","1,038","2,225","4,188","1,530","3,413","2,396","1,461","1,541",930,"1,374","2,589"
2020,1,50,"35,514","1,444","1,957",966,"1,464","2,085","1,083","1,357","1,436","1,989","1,235","2,180","2,371","1,333","3,185","2,145","1,508","2,031","1,264","1,396","3,085"
2020,1,60,"28,093","1,042","1,450",795,"1,142","1,360",773,961,"1,144","1,739","1,178","1,892","1,755","1,051","2,414","1,811","1,299","1,497","1,127","1,050","2,613"
2020,1,70,"18,838",794,"1,118",632,708,831,604,616,790,"1,092",872,"1,234","1,162",612,"1,655","1,164",894,939,797,588,"1,736"
2020,1,80,"8,259",390,486,259,336,417,273,286,345,447,389,472,510,263,881,475,410,402,323,223,672
2020,1,90,"1,423",88,77,48,41,76,40,58,49,76,89,87,91,38,157,74,73,58,61,40,102
2020,1,100,269,6,24,13,7,8,9,11,12,15,7,16,18,14,28,18,10,10,24,10,9
