년도,월,나이,서대문구,천연동,북아현동,충현동,신촌동,연희동,홍제제1동,홍제제3동,홍제제2동,홍은제1동,홍은제2동,남가좌제1동,남가좌제2동,북가좌제1동,북가좌제2동
2020,1,총,"149,114","8,732","8,153","8,571","8,431","18,396","11,605","7,886","6,870","11,072","13,427","8,008","12,560","9,168","16,235"
2020,1,0,"10,526",686,765,405,473,972,850,451,480,729,762,"1,142","1,041",825,945
2020,1,10,"12,330",774,570,620,433,"1,379",959,645,584,971,"1,203",709,"1,070","1,054","1,359"
2020,1,20,"23,775","1,157","1,107","1,418","2,657","3,922","1,608","1,079",955,"1,490","2,122",819,"1,894","1,077","2,470"
2020,1,30,"22,359","1,233","1,498","1,282","1,589","2,995","1,740","1,076",947,"1,443","1,900","1,203","1,900","1,207","2,346"
2020,1,40,"23,833","1,489","1,385","1,296",985,"2,689","1,890","1,171","1,053","1,699","2,131","1,677","2,085","1,711","2,572"
2020,1,50,"23,982","1,512","1,393","1,521","1,003","2,614","1,878","1,385","1,246","1,992","2,245","1,099","1,937","1,468","2,689"
2020,1,60,"17,355",998,819,"1,125",623,"1,970","1,462","1,075",886,"1,529","1,635",733,"1,394",987,"2,119"
2020,1,70,"10,356",581,430,610,444,"1,253",852,656,499,851,995,432,868,601,"1,284"
2020,1,80,"4,095",262,162,253,189,526,331,310,197,321,396,178,327,221,422
2020,1,90,429,32,21,31,27,68,34,29,20,42,35,12,39,15,24
2020,1,100,74,8,3,10,8,8,1,9,3,5,3,4,5,2,5
2020,2,총,"149,432","8,706","8,165","8,553","8,389","18,382","11,590","7,851","6,831","11,121","13,361","7,947","13,175","9,163","16,198"
2020,2,0,"10,551",676,770,393,467,956,839,441,473,740,741,"1,145","1,150",817,943
2020,2,10,"12,315",764,571,615,429,"1,382",965,636,566,970,"1,198",684,"1,124","1,061","1,350"
2020,2,20,"23,748","1,152","1,112","1,426","2,647","3,927","1,594","1,073",953,"1,470","2,121",806,"1,940","1,063","2,464"
2020,2,30,"22,451","1,233","1,495","1,267","1,579","2,977","1,732","1,064",945,"1,475","1,899","1,206","2,025","1,218","2,336"
2020,2,40,"23,888","1,469","1,377","1,307",981,"2,664","1,885","1,177","1,041","1,711","2,102","1,667","2,220","1,712","2,575"
2020,2,50,"24,002","1,519","1,400","1,512",993,"2,632","1,875","1,385","1,253","1,993","2,222","1,090","2,008","1,454","2,666"
2020,2,60,"17,468","1,005",827,"1,133",628,"1,978","1,472","1,071",883,"1,543","1,646",720,"1,437","1,000","2,125"
2020,2,70,"10,388",584,426,603,443,"1,257",860,657,499,847,995,435,894,597,"1,291"
2020,2,80,"4,114",263,163,257,187,532,333,308,193,326,399,178,334,223,418
2020,2,90,431,33,21,29,27,69,34,29,22,41,35,12,38,16,25
2020,2,100,76,8,3,11,8,8,1,10,3,5,3,4,5,2,5
2020,3,총,"150,051","8,693","8,148","8,587","8,395","18,313","11,578","7,840","6,831","11,175","13,333","7,870","14,009","9,130","16,149"
2020,3,0,"10,635",676,763,395,462,932,841,433,467,742,733,"1,135","1,301",817,938
2020,3,10,"12,287",763,567,606,419,"1,363",964,632,562,973,"1,173",686,"1,187","1,052","1,340"
2020,3,20,"23,997","1,149","1,109","1,474","2,701","3,957","1,601","1,080",948,"1,478","2,140",791,"2,044","1,057","2,468"
2020,3,30,"22,532","1,229","1,494","1,269","1,556","2,960","1,728","1,067",953,"1,486","1,895","1,197","2,176","1,212","2,310"
2020,3,40,"23,927","1,462","1,383","1,297",973,"2,641","1,865","1,172","1,039","1,715","2,087","1,636","2,407","1,700","2,550"
2020,3,50,"24,047","1,506","1,393","1,508",997,"2,626","1,874","1,376","1,254","2,010","2,201","1,085","2,096","1,449","2,672"
2020,3,60,"17,547","1,016",826,"1,131",624,"1,968","1,478","1,080",891,"1,532","1,668",714,"1,484","1,005","2,130"
2020,3,70,"10,404",587,428,609,438,"1,253",857,658,498,853,996,429,917,592,"1,289"
2020,3,80,"4,158",264,161,259,189,536,334,304,193,340,399,181,353,226,419
2020,3,90,442,33,21,28,28,69,35,29,23,41,38,12,39,18,28
2020,3,100,75,8,3,11,8,8,1,9,3,5,3,4,5,2,5
2020,4,총,"150,069","8,679","8,153","8,584","8,428","18,281","11,561","7,813","6,851","11,163","13,254","7,856","14,255","9,085","16,106"
2020,4,0,"10,623",678,764,393,467,923,833,424,465,750,724,"1,130","1,341",797,934
2020,4,10,"12,233",756,564,595,424,"1,358",957,627,567,967,"1,156",686,"1,201","1,047","1,328"
2020,4,20,"24,089","1,148","1,113","1,492","2,718","3,986","1,592","1,081",952,"1,459","2,138",801,"2,082","1,053","2,474"
2020,4,30,"22,526","1,229","1,484","1,270","1,557","2,937","1,732","1,059",957,"1,497","1,891","1,185","2,224","1,209","2,295"
2020,4,40,"23,858","1,452","1,383","1,288",979,"2,624","1,862","1,173","1,032","1,713","2,057","1,636","2,447","1,683","2,529"
2020,4,50,"24,040","1,510","1,403","1,500",999,"2,626","1,866","1,364","1,256","2,001","2,188","1,075","2,138","1,450","2,664"
2020,4,60,"17,613","1,011",829,"1,142",625,"1,962","1,483","1,086",902,"1,535","1,668",716,"1,502","1,013","2,139"
2020,4,70,"10,406",587,428,607,433,"1,249",858,661,500,854,995,430,921,592,"1,291"
2020,4,80,"4,166",268,161,257,190,538,342,301,194,341,398,180,355,222,419
2020,4,90,440,32,21,29,28,70,35,28,23,41,36,13,39,17,28
2020,4,100,75,8,3,11,8,8,1,9,3,5,3,4,5,2,5
2020,5,총,"150,058","8,662","8,116","8,590","8,455","18,298","11,552","7,808","6,848","11,158","13,245","7,818","14,341","9,059","16,108"
2020,5,0,"10,602",681,758,389,469,925,834,427,459,749,712,"1,120","1,354",792,933
2020,5,10,"12,172",757,557,589,421,"1,345",957,623,565,957,"1,155",683,"1,207","1,044","1,312"
2020,5,20,"24,131","1,132","1,115","1,498","2,744","4,002","1,576","1,082",946,"1,466","2,145",798,"2,086","1,052","2,489"
2020,5,30,"22,532","1,232","1,468","1,270","1,560","2,960","1,723","1,067",972,"1,500","1,882","1,168","2,244","1,203","2,283"
2020,5,40,"23,764","1,447","1,373","1,294",985,"2,609","1,843","1,153","1,021","1,698","2,043","1,629","2,469","1,670","2,530"
2020,5,50,"24,085","1,507","1,403","1,500",991,"2,630","1,890","1,370","1,250","2,017","2,204","1,076","2,137","1,448","2,662"
2020,5,60,"17,628","1,010",829,"1,144",625,"1,959","1,488","1,081",908,"1,521","1,669",710,"1,521","1,018","2,145"
2020,5,70,"10,427",587,430,605,434,"1,248",861,664,505,862,990,436,919,594,"1,292"
2020,5,80,"4,201",269,159,261,190,541,344,304,197,341,407,181,362,219,426
2020,5,90,441,32,21,28,28,71,35,28,23,42,35,13,37,17,31
2020,5,100,75,8,3,12,8,8,1,9,2,5,3,4,5,2,5
2020,6,총,"149,920","8,658","8,120","8,583","8,493","18,261","11,543","7,780","6,858","11,131","13,197","7,767","14,423","9,028","16,078"
2020,6,0,"10,543",682,762,385,463,914,829,421,460,753,713,"1,099","1,355",786,921
2020,6,10,"12,133",752,550,594,432,"1,350",964,621,561,941,"1,136",692,"1,209","1,032","1,299"
2020,6,20,"24,190","1,135","1,117","1,500","2,768","4,021","1,556","1,088",948,"1,467","2,145",798,"2,099","1,061","2,487"
2020,6,30,"22,458","1,227","1,461","1,266","1,561","2,940","1,718","1,055",971,"1,497","1,874","1,145","2,257","1,197","2,289"
2020,6,40,"23,709","1,434","1,369","1,288",985,"2,594","1,847","1,146","1,024","1,691","2,036","1,625","2,495","1,657","2,518"
2020,6,50,"24,017","1,506","1,411","1,495","1,000","2,609","1,894","1,365","1,245","2,003","2,184","1,071","2,143","1,437","2,654"
2020,6,60,"17,731","1,028",840,"1,146",630,"1,965","1,490","1,078",921,"1,534","1,676",714,"1,530","1,029","2,150"
2020,6,70,"10,419",584,428,604,433,"1,252",864,662,505,855,987,427,928,592,"1,298"
2020,6,80,"4,200",269,158,264,188,535,344,307,198,343,407,179,365,219,424
2020,6,90,446,33,21,29,26,73,36,28,23,42,36,13,37,16,33
2020,6,100,74,8,3,12,7,8,1,9,2,5,3,4,5,2,5
2020,7,총,"149,674","8,637","8,107","8,581","8,482","18,183","11,533","7,777","6,854","11,139","13,187","7,733","14,439","9,001","16,021"
2020,7,0,"10,428",677,757,385,433,899,818,426,459,751,691,"1,085","1,365",779,903
2020,7,10,"12,103",750,554,593,425,"1,340",959,618,561,945,"1,136",684,"1,200","1,046","1,292"
2020,7,20,"24,150","1,125","1,115","1,505","2,793","4,015","1,568","1,074",942,"1,464","2,151",798,"2,089","1,052","2,459"
2020,7,30,"22,398","1,223","1,455","1,263","1,566","2,910","1,703","1,059",974,"1,497","1,876","1,149","2,258","1,173","2,292"
2020,7,40,"23,640","1,427","1,362","1,293",981,"2,577","1,844","1,141","1,018","1,690","2,015","1,620","2,505","1,662","2,505"
2020,7,50,"24,019","1,514","1,412","1,483",999,"2,610","1,902","1,367","1,247","1,998","2,196","1,065","2,153","1,431","2,642"
2020,7,60,"17,767","1,027",845,"1,147",630,"1,965","1,490","1,081",920,"1,540","1,681",712,"1,533","1,030","2,166"
2020,7,70,"10,448",587,426,606,431,"1,260",866,670,507,864,993,421,928,590,"1,299"
2020,7,80,"4,190",266,156,264,190,524,345,303,201,344,410,179,366,218,424
2020,7,90,456,33,22,30,27,74,37,29,23,41,35,16,37,18,34
2020,7,100,75,8,3,12,7,9,1,9,2,5,3,4,5,2,5
2020,8,총,"149,803","8,561","8,057","9,098","8,515","18,106","11,508","7,743","6,839","11,089","13,159","7,720","14,445","8,972","15,991"
2020,8,0,"10,444",661,760,468,432,895,811,420,454,741,684,"1,087","1,361",767,903
2020,8,10,"12,042",743,543,623,427,"1,318",950,617,558,932,"1,125",682,"1,209","1,039","1,276"
2020,8,20,"24,185","1,122","1,105","1,565","2,828","4,016","1,566","1,052",935,"1,460","2,145",790,"2,097","1,053","2,451"
2020,8,30,"22,451","1,206","1,443","1,389","1,567","2,910","1,694","1,068",967,"1,496","1,851","1,144","2,260","1,162","2,294"
2020,8,40,"23,634","1,414","1,358","1,389",979,"2,553","1,847","1,127","1,013","1,685","2,012","1,617","2,497","1,656","2,487"
2020,8,50,"23,986","1,493","1,393","1,554",991,"2,592","1,895","1,360","1,242","1,974","2,198","1,070","2,150","1,431","2,643"
2020,8,60,"17,885","1,032",852,"1,185",635,"1,966","1,501","1,080",932,"1,552","1,699",708,"1,536","1,038","2,169"
2020,8,70,"10,416",586,424,612,428,"1,245",857,674,507,861,994,419,929,586,"1,294"
2020,8,80,"4,223",262,151,271,194,527,349,307,206,339,413,184,365,221,434
2020,8,90,461,34,25,29,27,75,37,29,23,44,35,15,36,17,35
2020,8,100,76,8,3,13,7,9,1,9,2,5,3,4,5,2,5
2020,9,총,"149,993","8,526","8,006","9,703","8,543","17,912","11,490","7,711","6,811","11,068","13,114","7,699","14,479","8,958","15,973"
2020,9,0,"10,476",658,757,576,426,877,799,408,451,737,679,"1,084","1,355",768,901
2020,9,10,"11,978",739,537,663,426,"1,290",940,615,548,923,"1,110",684,"1,201","1,033","1,269"
2020,9,20,"24,258","1,120","1,093","1,629","2,855","4,003","1,574","1,047",932,"1,453","2,145",785,"2,104","1,058","2,460"
2020,9,30,"22,446","1,190","1,429","1,525","1,584","2,863","1,680","1,051",967,"1,484","1,843","1,121","2,275","1,142","2,292"
2020,9,40,"23,632","1,409","1,342","1,491",973,"2,524","1,841","1,123","1,000","1,692","1,991","1,634","2,484","1,651","2,477"
2020,9,50,"24,046","1,489","1,393","1,630",994,"2,566","1,898","1,371","1,234","1,973","2,198","1,061","2,166","1,441","2,632"
2020,9,60,"17,973","1,030",851,"1,248",632,"1,959","1,513","1,078",935,"1,556","1,706",710,"1,550","1,035","2,170"
2020,9,70,"10,407",583,428,626,427,"1,220",858,672,513,859,993,421,934,582,"1,291"
2020,9,80,"4,234",266,146,271,194,527,350,308,205,344,411,178,368,228,438
2020,9,90,467,34,27,31,25,74,36,29,24,42,35,17,37,18,38
2020,9,100,76,8,3,13,7,9,1,9,2,5,3,4,5,2,5
2020,10,총,"149,791","8,491","7,988","9,926","8,576","17,684","11,454","7,705","6,774","11,036","13,097","7,682","14,505","8,930","15,943"
2020,10,0,"10,384",641,753,607,415,865,784,401,441,737,671,"1,070","1,351",757,891
2020,10,10,"11,945",738,543,674,426,"1,263",930,615,550,917,"1,108",688,"1,204","1,034","1,255"
2020,10,20,"24,224","1,111","1,093","1,647","2,866","3,959","1,564","1,056",930,"1,452","2,159",774,"2,099","1,057","2,457"
2020,10,30,"22,452","1,195","1,426","1,576","1,602","2,844","1,690","1,049",959,"1,478","1,840","1,114","2,279","1,124","2,276"
2020,10,40,"23,515","1,389","1,350","1,531",969,"2,476","1,836","1,121",976,"1,664","1,979","1,632","2,476","1,652","2,464"
2020,10,50,"24,012","1,491","1,372","1,659","1,005","2,532","1,880","1,366","1,235","1,962","2,192","1,061","2,185","1,431","2,641"
2020,10,60,"18,054","1,035",849,"1,281",637,"1,931","1,517","1,075",942,"1,576","1,710",719,"1,558","1,042","2,182"
2020,10,70,"10,391",583,430,630,425,"1,199",861,673,509,859,988,426,942,578,"1,288"
2020,10,80,"4,269",266,142,276,199,531,353,311,206,343,413,178,368,236,447
2020,10,90,465,33,27,31,25,75,38,29,24,43,32,16,38,17,37
2020,10,100,80,9,3,14,7,9,1,9,2,5,5,4,5,2,5
2020,11,총,"149,505","8,459","7,967","9,972","8,589","17,600","11,446","7,682","6,767","10,994","13,066","7,670","14,509","8,918","15,866"
2020,11,0,"10,307",637,753,622,404,861,787,393,438,721,663,"1,066","1,339",741,882
2020,11,10,"11,915",733,537,670,427,"1,257",926,613,539,907,"1,107",696,"1,213","1,041","1,249"
2020,11,20,"24,144","1,116","1,091","1,641","2,870","3,943","1,561","1,061",933,"1,445","2,140",762,"2,086","1,060","2,435"
2020,11,30,"22,396","1,183","1,415","1,607","1,623","2,830","1,684","1,031",966,"1,483","1,834","1,109","2,271","1,122","2,238"
2020,11,40,"23,465","1,370","1,347","1,531",966,"2,468","1,825","1,111",968,"1,666","1,982","1,631","2,490","1,649","2,461"
2020,11,50,"23,996","1,496","1,375","1,659","1,004","2,509","1,888","1,375","1,228","1,949","2,195","1,060","2,193","1,434","2,631"
2020,11,60,"18,050","1,033",843,"1,286",637,"1,923","1,516","1,071",951,"1,574","1,708",722,"1,559","1,042","2,185"
2020,11,70,"10,401",584,431,635,426,"1,192",863,680,511,859,989,424,943,573,"1,291"
2020,11,80,"4,286",266,145,275,200,531,358,309,207,342,412,180,371,237,453
2020,11,90,464,32,27,32,25,77,37,28,24,43,31,16,39,17,36
2020,11,100,81,9,3,14,7,9,1,10,2,5,5,4,5,2,5
