년도,월,나이,중구,동인동,삼덕동,성내1동,성내2동,성내3동,대신동,남산1동,남산2동,남산3동,남산4동,대봉1동,대봉2동
2020,7,100,21,2,1,4,3,1,1,1,3,0,3,2,0
2020,8,총,"37,118","4,310","3,187","2,426","2,336","2,619","3,986","2,432","2,049","3,278","5,670","3,616","1,209"
2020,8,0,"2,738",163,239,88,72,286,439,150,120,330,513,298,40
2020,8,10,"2,618",244,184,117,103,124,308,150,143,271,584,299,91
2020,8,20,"5,741",737,821,599,405,328,445,404,310,336,699,521,136
2020,8,30,"5,702",644,652,446,326,540,693,327,320,488,703,449,114
2020,8,40,"5,501",623,471,291,269,371,609,345,288,553,928,563,190
2020,8,50,"5,647",709,338,341,395,374,597,410,349,513,842,569,210
2020,8,60,"4,689",607,243,290,408,335,513,327,239,392,716,431,188
2020,8,70,"3,110",400,160,173,255,196,269,233,192,282,482,294,174
2020,8,80,"1,238",164,72,65,92,57,104,81,81,104,186,171,61
2020,8,90,113,17,6,12,8,7,8,4,4,9,14,19,5
2020,8,100,21,2,1,4,3,1,1,1,3,0,3,2,0
2020,9,총,"37,052","4,302","3,183","2,433","2,338","2,620","3,977","2,412","2,057","3,276","5,639","3,603","1,212"
2020,9,0,"2,716",164,234,87,73,283,437,151,122,329,507,288,41
2020,9,10,"2,612",243,182,116,104,124,309,148,139,272,580,303,92
2020,9,20,"5,732",729,817,610,400,337,445,395,308,335,697,522,137
2020,9,30,"5,668",641,651,442,336,532,684,323,316,484,695,448,116
2020,9,40,"5,481",624,475,288,270,374,607,347,293,548,916,555,184
2020,9,50,"5,664",711,337,349,398,375,597,406,348,517,844,571,211
2020,9,60,"4,690",609,246,285,397,334,517,324,244,398,715,431,190
2020,9,70,"3,111",400,160,174,255,197,271,231,195,282,482,292,172
2020,9,80,"1,246",163,74,66,94,57,101,82,85,102,186,173,63
2020,9,90,111,16,6,12,8,6,8,4,4,9,14,18,6
2020,9,100,21,2,1,4,3,1,1,1,3,0,3,2,0
2020,10,총,"36,968","4,279","3,177","2,430","2,339","2,605","3,963","2,414","2,062","3,263","5,617","3,620","1,199"
2020,10,0,"2,700",163,234,85,70,284,437,149,124,328,499,287,40
2020,10,10,"2,624",241,182,115,105,124,312,148,137,268,586,316,90
2020,10,20,"5,705",726,817,612,400,328,436,396,310,334,692,516,138
2020,10,30,"5,631",634,649,439,339,531,676,316,320,482,685,447,113
2020,10,40,"5,482",627,473,291,267,376,608,353,292,548,907,562,178
2020,10,50,"5,635",696,338,345,400,365,590,406,348,514,842,579,212
2020,10,60,"4,700",614,248,284,397,337,521,326,245,394,720,427,187
2020,10,70,"3,105",396,156,177,256,194,271,234,194,284,481,292,170
2020,10,80,"1,252",164,72,66,93,59,103,81,85,102,189,173,65
2020,10,90,113,16,7,12,9,6,8,4,4,9,13,19,6
2020,10,100,21,2,1,4,3,1,1,1,3,0,3,2,0
2020,11,총,"36,930","4,243","3,187","2,438","2,346","2,594","3,936","2,424","2,072","3,270","5,617","3,616","1,187"
2020,11,0,"2,686",157,232,85,71,287,435,149,122,330,495,284,39
2020,11,10,"2,635",246,182,118,103,121,307,152,137,275,583,320,91
2020,11,20,"5,696",714,817,628,398,319,431,403,312,333,691,517,133
2020,11,30,"5,600",628,648,436,343,526,671,315,323,471,689,434,116
2020,11,40,"5,487",622,479,288,269,374,609,349,290,557,906,565,179
2020,11,50,"5,616",699,334,338,402,365,580,408,360,509,834,580,207
2020,11,60,"4,698",605,255,287,397,338,513,328,241,400,726,427,181
2020,11,70,"3,116",394,158,176,256,197,275,233,197,283,483,294,170
2020,11,80,"1,261",161,73,66,94,60,106,82,83,103,194,174,65
2020,11,90,114,15,8,12,10,6,8,4,4,9,13,19,6
2020,11,100,21,2,1,4,3,1,1,1,3,0,3,2,0
2020,12,총,"36,799","4,238","3,170","2,436","2,329","2,583","3,934","2,424","2,061","3,252","5,579","3,622","1,171"
2020,12,0,"2,655",148,226,85,69,288,434,148,124,324,487,281,41
2020,12,10,"2,631",251,184,116,100,123,313,149,138,270,576,320,91
