년도,월,나이,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2020,1,총,"45,467","5,523","3,747","12,249","15,675","2,034","3,871","2,257",111,0,0,0,0
2020,1,0,"3,425",418,394,817,"1,212",155,252,177,0,0,0,0,0
2020,1,10,"4,019",533,264,"1,049","1,543",110,368,148,4,0,0,0,0
2020,1,20,"6,119",720,622,"1,724","1,857",445,454,295,2,0,0,0,0
2020,1,30,"4,860",598,488,"1,255","1,662",226,381,247,3,0,0,0,0
2020,1,40,"5,936",701,390,"1,688","2,167",217,558,205,10,0,0,0,0
2020,1,50,"7,478",912,511,"2,131","2,603",254,672,380,15,0,0,0,0
2020,1,60,"6,293",727,470,"1,743","2,162",254,553,361,23,0,0,0,0
2020,1,70,"4,862",616,383,"1,240","1,641",236,401,301,44,0,0,0,0
2020,1,80,"2,088",264,189,502,695,110,191,127,10,0,0,0,0
2020,1,90,344,32,34,91,112,23,37,15,0,0,0,0,0
2020,1,100,43,2,2,9,21,4,4,1,0,0,0,0,0
2020,2,총,"45,333","5,499","3,728","12,224","15,642","2,011","3,863","2,255",111,0,0,0,0
2020,2,0,"3,408",416,391,820,"1,212",148,245,176,0,0,0,0,0
2020,2,10,"3,973",521,260,"1,048","1,527",106,360,147,4,0,0,0,0
2020,2,20,"6,096",721,627,"1,696","1,849",449,460,292,2,0,0,0,0
2020,2,30,"4,842",584,482,"1,264","1,653",226,381,249,3,0,0,0,0
2020,2,40,"5,905",703,386,"1,684","2,158",204,557,203,10,0,0,0,0
2020,2,50,"7,452",912,505,"2,118","2,597",257,668,380,15,0,0,0,0
2020,2,60,"6,341",730,472,"1,756","2,182",254,559,365,23,0,0,0,0
2020,2,70,"4,818",615,381,"1,223","1,630",231,396,299,43,0,0,0,0
2020,2,80,"2,113",262,190,515,700,111,196,128,11,0,0,0,0
2020,2,90,341,33,32,90,113,21,37,15,0,0,0,0,0
2020,2,100,44,2,2,10,21,4,4,1,0,0,0,0,0
2020,3,총,"45,220","5,513","3,714","12,166","15,615","1,993","3,855","2,253",111,0,0,0,0
2020,3,0,"3,391",415,391,820,"1,207",143,239,176,0,0,0,0,0
2020,3,10,"3,945",520,256,"1,037","1,519",101,360,148,4,0,0,0,0
2020,3,20,"6,046",715,616,"1,679","1,844",443,452,295,2,0,0,0,0
