년도,월,나이,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2020,1,총,"248,130","7,421","3,213","1,585","7,421","3,028","12,369","1,131","8,494","3,767","1,134","3,294","1,400","6,575","9,935","27,735","7,230","26,731","20,888","36,577","34,653","23,549"
2020,1,0,"28,625",511,85,30,434,68,"1,610",36,567,227,30,87,54,490,642,"4,862",625,"2,782","1,707","3,902","6,196","3,680"
2020,1,10,"28,262",605,149,63,631,165,"1,087",57,704,281,34,139,79,664,"1,057","3,296",651,"3,157","2,380","4,489","4,849","3,725"
2020,1,20,"25,159",677,270,90,610,244,993,84,855,346,65,255,79,695,"1,087","2,526",840,"3,005","2,926","4,249","3,091","2,172"
2020,1,30,"39,775",768,225,81,688,171,"2,014",77,989,364,67,199,110,798,"1,068","6,520","1,151","4,004","3,589","5,640","7,309","3,943"
2020,1,40,"47,384","1,186",398,160,"1,022",329,"2,170",122,"1,465",505,121,424,175,"1,297","1,775","5,729","1,292","4,934","4,477","7,185","7,274","5,344"
2020,1,50,"38,530","1,527",661,337,"1,333",629,"1,921",246,"1,720",692,219,643,255,"1,280","2,048","2,892","1,339","4,758","3,681","5,965","3,607","2,777"
2020,1,60,"24,368","1,193",687,385,"1,288",677,"1,404",276,"1,210",679,267,663,300,810,"1,449","1,306",944,"2,949","1,530","3,561","1,545","1,245"
2020,1,70,"10,433",593,469,271,821,456,790,155,599,408,197,523,217,350,567,395,273,803,423,"1,136",547,440
2020,1,80,"4,806",315,243,150,492,247,327,65,330,228,111,319,115,163,208,184,98,293,145,387,198,188
2020,1,90,750,43,25,18,94,40,50,13,53,36,23,41,15,22,31,25,17,44,30,61,36,33
2020,1,100,38,3,1,0,8,2,3,0,2,1,0,1,1,6,3,0,0,2,0,2,1,2
2020,2,총,"247,574","7,596","3,201","1,579","7,403","3,017","12,316","1,124","8,464","3,739","1,119","3,271","1,398","6,515","9,824","27,589","7,204","26,714","20,818","36,488","34,604","23,591"
2020,2,0,"28,400",534,86,29,431,67,"1,590",34,559,222,30,87,57,477,618,"4,806",611,"2,772","1,695","3,873","6,146","3,676"
2020,2,10,"28,101",610,144,61,620,159,"1,089",59,696,273,33,138,76,660,"1,045","3,298",641,"3,140","2,348","4,451","4,858","3,702"
2020,2,20,"24,943",691,269,89,613,245,969,83,842,339,64,248,79,683,"1,062","2,490",843,"2,987","2,874","4,208","3,071","2,194"
2020,2,30,"39,397",800,220,84,670,170,"1,996",75,988,358,67,197,105,784,"1,037","6,437","1,130","3,963","3,556","5,611","7,221","3,928"
2020,2,40,"47,436","1,208",395,157,"1,027",323,"2,173",118,"1,456",496,118,414,174,"1,280","1,750","5,743","1,295","4,963","4,489","7,186","7,314","5,357"
2020,2,50,"38,610","1,567",651,337,"1,324",630,"1,907",245,"1,717",689,212,641,257,"1,271","2,032","2,902","1,346","4,765","3,698","5,967","3,649","2,803"
2020,2,60,"24,594","1,213",693,386,"1,309",678,"1,412",279,"1,214",686,264,660,303,819,"1,465","1,311",945,"2,973","1,557","3,601","1,562","1,264"
2020,2,70,"10,443",602,468,269,811,453,792,155,608,405,198,515,214,353,574,393,278,804,424,"1,138",548,441
2020,2,80,"4,846",325,250,148,497,248,332,64,327,232,110,326,115,161,206,183,98,299,145,391,198,191
2020,2,90,766,43,24,19,93,42,53,12,55,38,23,44,17,21,32,26,17,46,32,60,36,33
2020,2,100,38,3,1,0,8,2,3,0,2,1,0,1,1,6,3,0,0,2,0,2,1,2
2020,3,총,"247,487","7,644","3,187","1,575","7,350","3,016","12,304","1,119","8,447","3,712","1,111","3,267","1,402","6,563","9,752","27,640","7,233","26,712","20,797","36,366","34,638","23,652"
2020,3,0,"28,259",530,86,31,424,67,"1,573",33,555,222,30,85,59,475,605,"4,789",615,"2,763","1,671","3,843","6,122","3,681"
2020,3,10,"28,062",621,141,62,612,159,"1,093",57,690,272,31,133,76,697,"1,034","3,318",639,"3,116","2,330","4,423","4,854","3,704"
2020,3,20,"24,912",691,262,85,600,239,975,81,837,323,64,248,77,703,"1,057","2,499",842,"2,995","2,862","4,181","3,088","2,203"
2020,3,30,"39,186",804,222,84,661,168,"1,994",77,987,349,69,198,104,773,"1,012","6,422","1,126","3,940","3,561","5,542","7,186","3,907"
2020,3,40,"47,461","1,218",381,160,"1,009",327,"2,166",113,"1,441",494,112,414,179,"1,268","1,734","5,782","1,316","4,964","4,497","7,169","7,337","5,380"
2020,3,50,"38,674","1,575",664,336,"1,322",622,"1,908",242,"1,717",686,213,637,256,"1,273","2,015","2,898","1,342","4,763","3,691","5,982","3,698","2,834"
2020,3,60,"24,767","1,222",687,377,"1,313",688,"1,402",280,"1,225",682,261,657,304,830,"1,483","1,332",953,"3,017","1,583","3,626","1,568","1,277"
