년도,월,나이,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020,3,총,"809,369","423,467","90,322","99,676","133,733","99,736","106,420","67,085","16,500","25,596","23,895","19,345","42,599","19,365","50,139","14,958"
2020,3,0,"65,263","38,929","7,789","7,725","12,583","10,832","7,648","4,682",799,"1,447","1,299","1,799","3,970",674,"3,357",659
2020,3,10,"79,495","45,705","10,169","11,256","14,093","10,187","10,131","6,274","1,163","2,107","1,834","1,795","4,135","1,090","4,166","1,095"
2020,3,20,"110,343","64,815","12,559","15,793","22,091","14,372","13,917","8,327","1,431","2,566","2,569","2,647","5,161","1,822","5,693","1,395"
2020,3,30,"104,568","62,293","10,868","12,379","21,499","17,547","12,830","7,009","1,305","2,094","1,869","2,699","6,153","1,447","5,721","1,148"
2020,3,40,"126,152","69,254","14,612","15,885","21,955","16,802","16,208","9,687","1,917","3,477","3,071","3,098","7,209","2,298","8,007","1,926"
2020,3,50,"140,625","68,547","15,883","17,281","21,333","14,050","19,426","12,376","3,348","4,843","4,534","3,218","7,328","4,016","9,937","3,052"
2020,3,60,"105,743","44,908","10,908","11,696","12,792","9,512","15,005","10,794","3,352","4,839","4,444","2,386","4,938","4,284","7,653","3,140"
2020,3,70,"53,330","20,660","5,276","5,443","5,369","4,572","7,679","5,564","2,027","2,824","2,818","1,180","2,476","2,498","3,865","1,739"
2020,3,80,"21,724","7,654","2,030","2,044","1,869","1,711","3,246","2,175","1,041","1,260","1,319",478,"1,140","1,134","1,547",730
2020,3,90,"1,974",653,218,158,142,135,314,174,116,132,129,42,84,96,168,66
2020,3,100,152,49,10,16,7,16,16,23,1,7,9,3,5,6,25,8
2020,4,총,"809,005","423,544","90,664","99,428","133,876","99,576","106,310","67,030","16,465","25,608","23,828","19,357","42,652","19,271","50,020","14,920"
2020,4,0,"65,034","38,839","7,854","7,673","12,539","10,773","7,623","4,663",793,"1,445","1,283","1,784","3,951",663,"3,329",661
2020,4,10,"79,157","45,544","10,131","11,206","14,037","10,170","10,075","6,232","1,166","2,088","1,810","1,797","4,138","1,073","4,146","1,088"
