년도,월,나이,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2020,1,총,"106,294","7,625","3,394","3,011","5,726","4,312","4,696","4,726","5,378","3,009","3,303","4,797","8,429","5,465","8,178","19,697","14,548"
2020,1,0,"6,168",281,114,77,195,183,209,122,166,83,82,187,458,381,348,"1,522","1,760"
2020,1,10,"8,661",443,137,140,299,219,378,237,311,163,96,384,769,585,593,"2,142","1,765"
2020,1,20,"11,945",547,262,201,375,370,481,301,443,200,187,626,962,790,950,"3,350","1,900"
2020,1,30,"10,049",534,222,184,340,333,405,288,368,167,205,390,897,518,755,"2,393","2,050"
2020,1,40,"13,786",829,279,243,547,514,604,432,580,280,326,628,"1,186",809,"1,043","3,083","2,403"
2020,1,50,"18,915","1,415",645,524,"1,072","1,003",947,880,989,550,663,836,"1,464",880,"1,589","3,229","2,229"
2020,1,60,"17,528","1,693",731,645,"1,340",910,802,"1,069","1,057",639,835,797,"1,341",796,"1,410","2,192","1,271"
2020,1,70,"11,245","1,092",544,520,877,478,499,727,816,507,512,584,854,432,976,"1,154",673
2020,1,80,"6,988",701,400,419,594,255,318,588,566,375,342,313,428,242,468,555,424
2020,1,90,950,82,55,55,82,46,53,78,75,41,52,50,64,31,44,72,70
2020,1,100,59,8,5,3,5,1,0,4,7,4,3,2,6,1,2,5,3
2020,2,총,"106,098","7,610","3,385","2,993","5,694","4,297","4,682","4,728","5,361","3,008","3,293","4,779","8,427","5,450","8,175","19,636","14,580"
2020,2,0,"6,144",282,116,75,181,180,206,120,170,80,84,191,452,384,346,"1,512","1,765"
2020,2,10,"8,627",444,139,137,304,218,376,237,308,161,94,376,778,581,587,"2,138","1,749"
2020,2,20,"11,728",535,255,192,359,358,467,304,438,199,182,616,956,769,934,"3,264","1,900"
2020,2,30,"10,052",529,218,188,342,335,406,283,367,161,204,400,887,521,770,"2,390","2,051"
2020,2,40,"13,767",829,279,239,536,514,597,440,570,280,319,614,"1,189",811,"1,045","3,093","2,412"
2020,2,50,"18,872","1,410",638,521,"1,071","1,001",943,870,984,548,658,825,"1,473",875,"1,579","3,230","2,246"
2020,2,60,"17,597","1,691",738,645,"1,344",915,809,"1,072","1,058",642,844,801,"1,339",799,"1,407","2,208","1,285"
2020,2,70,"11,283","1,096",544,518,875,479,504,733,817,506,513,584,861,435,987,"1,161",670
2020,2,80,"7,016",704,400,418,597,254,320,585,568,384,342,319,427,242,475,556,425
2020,2,90,953,83,53,57,80,42,53,80,74,43,50,51,59,32,43,79,74
2020,2,100,59,7,5,3,5,1,1,4,7,4,3,2,6,1,2,5,3
2020,3,총,"105,895","7,590","3,377","2,988","5,691","4,288","4,692","4,719","5,357","3,006","3,277","4,782","8,334","5,453","8,139","19,637","14,565"
2020,3,0,"6,141",281,115,74,179,179,213,126,173,81,84,198,453,388,343,"1,514","1,740"
2020,3,10,"8,582",435,140,135,300,219,378,237,305,160,94,375,755,582,581,"2,133","1,753"
2020,3,20,"11,646",532,247,187,355,360,469,294,434,200,180,606,940,758,923,"3,250","1,911"
2020,3,30,"10,018",528,218,187,348,322,401,283,361,161,199,401,877,522,764,"2,393","2,053"
2020,3,40,"13,691",826,278,238,536,511,588,433,567,282,315,616,"1,175",806,"1,039","3,081","2,400"
2020,3,50,"18,813","1,399",639,518,"1,062",996,947,866,985,549,649,831,"1,435",887,"1,566","3,236","2,248"
2020,3,60,"17,610","1,694",733,638,"1,349",920,804,"1,072","1,059",639,841,792,"1,353",800,"1,410","2,215","1,291"
2020,3,70,"11,351","1,101",553,532,873,484,515,740,823,504,519,594,853,438,983,"1,167",672
2020,3,80,"7,028",706,399,419,599,255,322,584,568,383,342,314,428,241,483,564,421
2020,3,90,957,81,50,57,85,41,54,80,75,43,51,53,59,31,45,79,73
2020,3,100,58,7,5,3,5,1,1,4,7,4,3,2,6,0,2,5,3
2020,4,총,"105,743","7,568","3,375","2,980","5,676","4,276","4,701","4,721","5,341","2,998","3,270","4,753","8,332","5,475","8,102","19,598","14,577"
2020,4,0,"6,115",276,115,71,184,177,212,129,168,83,85,193,455,389,346,"1,509","1,723"
2020,4,10,"8,541",437,141,136,294,220,379,235,306,162,90,360,748,592,577,"2,123","1,741"
2020,4,20,"11,580",528,243,186,353,350,459,296,418,197,179,600,934,761,922,"3,234","1,920"
2020,4,30,"9,932",517,214,188,336,315,406,283,356,161,198,399,878,520,743,"2,367","2,051"
2020,4,40,"13,662",822,284,235,536,501,590,436,568,279,314,609,"1,170",806,"1,032","3,067","2,413"
2020,4,50,"18,764","1,391",632,513,"1,058",994,951,853,977,544,647,828,"1,436",894,"1,560","3,240","2,246"
2020,4,60,"17,700","1,698",735,637,"1,348",932,810,"1,081","1,074",641,842,795,"1,354",805,"1,409","2,237","1,302"
2020,4,70,"11,375","1,104",557,534,879,489,512,736,820,500,522,595,859,436,978,"1,168",686
2020,4,80,"7,046",706,397,419,596,257,327,587,569,385,339,320,430,240,487,567,420
2020,4,90,969,81,52,58,87,40,54,81,78,42,51,52,62,32,46,81,72
2020,4,100,59,8,5,3,5,1,1,4,7,4,3,2,6,0,2,5,3
2020,5,총,"105,611","7,565","3,363","2,984","5,681","4,278","4,705","4,714","5,325","2,984","3,264","4,731","8,296","5,470","8,084","19,614","14,553"
2020,5,0,"6,095",278,115,70,189,177,215,128,166,83,86,193,450,388,336,"1,510","1,711"
2020,5,10,"8,489",429,143,135,293,216,378,231,300,158,89,358,739,577,581,"2,119","1,743"
2020,5,20,"11,508",521,230,186,353,353,454,290,412,194,182,588,922,760,907,"3,246","1,910"
2020,5,30,"9,884",520,212,187,332,316,411,280,352,156,196,401,869,517,737,"2,360","2,038"
2020,5,40,"13,613",821,288,232,537,498,594,439,571,273,310,599,"1,166",795,"1,022","3,072","2,396"
