년도,월,나이,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2020,3,총,"46,265","14,322","2,891","3,273","1,299","3,707","1,930","2,900","2,687","1,900","2,482","4,490","4,384"
2020,3,0,"2,369","1,078",135,120,46,145,67,84,85,80,116,213,200
2020,3,10,"3,068","1,250",110,188,53,216,108,148,130,87,126,322,330
2020,3,20,"4,983","1,696",254,287,108,346,187,642,236,170,206,433,418
2020,3,30,"3,789","1,515",232,256,85,252,128,168,202,135,187,316,313
2020,3,40,"5,393","1,928",335,342,117,401,185,242,269,185,265,570,554
2020,3,50,"8,177","2,279",534,645,263,712,393,431,466,351,467,818,818
2020,3,60,"7,857","2,008",559,645,251,689,370,456,541,387,471,779,701
2020,3,70,"6,283","1,585",443,492,211,541,286,406,424,318,399,576,602
2020,3,80,"3,737",837,249,253,137,362,175,280,279,160,216,392,397
2020,3,90,577,136,39,42,27,37,30,41,53,25,28,68,51
2020,3,100,32,10,1,3,1,6,1,2,2,2,1,3,0
2020,4,총,"46,122","14,284","2,882","3,256","1,281","3,697","1,932","2,872","2,676","1,902","2,469","4,488","4,383"
2020,4,0,"2,344","1,074",130,118,41,147,66,77,85,77,114,216,199
2020,4,10,"3,041","1,239",114,183,52,210,110,146,129,87,122,321,328
2020,4,20,"4,931","1,684",253,285,104,345,185,633,232,169,205,417,419
2020,4,30,"3,731","1,490",226,249,83,252,128,160,199,134,186,312,312
2020,4,40,"5,368","1,935",327,339,115,394,182,237,270,184,261,577,547
2020,4,50,"8,178","2,269",541,646,258,708,394,431,465,351,462,831,822
2020,4,60,"7,895","2,023",561,646,255,687,373,460,538,392,475,779,706
2020,4,70,"6,268","1,579",441,493,206,547,285,409,423,319,395,572,599
2020,4,80,"3,748",840,248,251,139,362,178,275,282,161,220,393,399
2020,4,90,584,140,40,43,27,39,30,42,50,26,28,67,52
2020,4,100,34,11,1,3,1,6,1,2,3,2,1,3,0
