년도,월,나이,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020,3,총,"100,063","38,542","8,652","28,155","3,477","3,470","2,985","2,361","2,139","3,276","3,547","3,459"
2020,3,0,"8,010","2,634",300,"4,415",100,135,80,47,32,86,85,96
2020,3,10,"9,699","4,525",468,"3,561",144,229,124,78,74,155,156,185
2020,3,20,"9,719","4,870",624,"2,700",232,244,161,129,120,215,190,234
2020,3,30,"10,822","3,748",529,"5,191",214,194,151,116,107,159,211,202
2020,3,40,"14,658","6,277",870,"5,288",337,383,249,166,139,293,291,365
2020,3,50,"15,948","6,810","1,530","3,296",651,611,463,401,375,576,604,631
2020,3,60,"14,175","4,940","1,799","2,000",733,679,636,543,501,755,825,764
2020,3,70,"9,876","2,976","1,556","1,029",575,530,579,458,424,585,616,548
2020,3,80,"6,275","1,533",841,595,431,419,492,360,326,395,496,387
2020,3,90,822,213,115,77,59,44,48,62,41,50,68,45
2020,3,100,59,16,20,3,1,2,2,1,0,7,5,2
2020,4,총,"99,973","38,487","8,625","28,202","3,493","3,452","2,972","2,359","2,133","3,266","3,543","3,441"
2020,4,0,"7,950","2,606",291,"4,393",108,131,82,49,30,83,84,93
2020,4,10,"9,664","4,468",467,"3,589",141,231,121,77,72,150,163,185
2020,4,20,"9,706","4,866",621,"2,704",229,241,158,127,120,220,189,231
2020,4,30,"10,806","3,748",523,"5,193",218,189,149,113,108,156,209,200
2020,4,40,"14,617","6,246",857,"5,310",339,380,247,171,135,286,287,359
2020,4,50,"15,918","6,814","1,515","3,311",652,600,461,395,370,577,598,625
2020,4,60,"14,227","4,979","1,820","1,979",738,686,629,546,503,756,828,763
