년도,월,나이,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2020,3,총,"8,779",550,468,"2,129",526,87,874,"2,758",439,188,760
2020,3,0,483,20,18,178,29,2,24,140,10,7,55
2020,3,10,517,25,11,153,28,1,45,173,17,8,56
2020,3,20,736,39,26,214,56,6,53,198,38,15,91
2020,3,30,731,37,26,250,40,3,36,240,19,8,72
2020,3,40,884,49,49,223,39,4,69,319,32,16,84
2020,3,50,"1,566",89,84,317,109,11,134,582,78,34,128
2020,3,60,"1,780",148,129,348,88,22,198,562,103,41,141
2020,3,70,"1,170",78,67,225,96,27,173,333,79,25,67
2020,3,80,724,54,40,168,36,9,111,172,53,28,53
2020,3,90,182,11,17,51,5,2,30,37,10,6,13
2020,3,100,6,0,1,2,0,0,1,2,0,0,0
2020,4,총,"8,780",550,466,"2,118",522,87,869,"2,775",436,187,770
2020,4,0,477,20,16,176,29,2,22,140,9,7,56
2020,4,10,512,25,10,154,27,1,45,171,17,8,54
2020,4,20,738,40,26,219,55,6,52,200,35,15,90
2020,4,30,725,38,24,238,41,3,32,245,18,8,78
2020,4,40,885,48,50,222,37,4,70,321,32,16,85
2020,4,50,"1,554",84,84,318,108,9,132,579,77,31,132
2020,4,60,"1,796",148,130,349,89,23,202,569,102,43,141
2020,4,70,"1,182",80,67,226,96,28,172,337,83,25,68
2020,4,80,722,56,40,165,35,9,111,172,53,28,53
2020,4,90,183,11,18,49,5,2,30,39,10,6,13
2020,4,100,6,0,1,2,0,0,1,2,0,0,0
2020,5,총,"8,788",552,465,"2,109",526,87,879,"2,779",443,185,763
2020,5,0,477,21,14,173,30,2,25,140,9,7,56
2020,5,10,508,25,11,153,27,1,44,169,18,8,52
2020,5,20,733,39,25,217,55,6,54,196,36,14,91
2020,5,30,734,38,25,241,42,3,34,244,20,8,79
2020,5,40,878,47,49,222,38,4,69,316,33,17,83
2020,5,50,"1,550",84,83,315,107,9,132,586,76,30,128
2020,5,60,"1,810",151,132,349,90,23,204,573,105,43,140
2020,5,70,"1,184",78,67,225,96,28,175,339,82,25,69
2020,5,80,722,58,40,163,36,8,111,174,53,27,52
2020,5,90,185,11,18,49,5,3,30,39,11,6,13
2020,5,100,7,0,1,2,0,0,1,3,0,0,0
2020,6,총,"8,787",556,468,"2,108",522,87,881,"2,777",443,185,760
2020,6,0,471,21,14,172,28,2,26,137,9,7,55
2020,6,10,510,25,11,154,29,1,43,168,19,8,52
2020,6,20,726,39,24,216,53,6,54,192,35,14,93
2020,6,30,732,39,25,239,42,3,35,246,18,8,77
2020,6,40,881,48,50,222,35,4,69,318,36,16,83
2020,6,50,"1,549",85,84,316,109,9,134,583,74,31,124
2020,6,60,"1,806",152,133,346,90,21,201,574,107,43,139
2020,6,70,"1,193",76,68,227,94,30,178,341,82,25,72
2020,6,80,723,60,40,163,36,8,110,174,52,27,53
2020,6,90,189,11,18,51,6,3,30,41,11,6,12
2020,6,100,7,0,1,2,0,0,1,3,0,0,0
2020,7,총,"8,814",553,469,"2,118",524,87,885,"2,788",445,185,760
2020,7,0,471,20,14,174,29,2,26,137,8,7,54
2020,7,10,511,25,11,156,29,1,43,167,20,8,51
2020,7,20,729,38,24,220,52,6,53,190,36,14,96
2020,7,30,725,36,25,241,43,3,35,242,18,7,75
2020,7,40,897,49,49,225,36,4,69,327,36,17,85
2020,7,50,"1,549",86,82,317,107,9,138,586,73,31,120
2020,7,60,"1,807",150,136,341,91,20,202,575,108,42,142
2020,7,70,"1,198",78,69,227,96,30,178,341,82,26,71
2020,7,80,729,60,40,163,35,9,111,179,53,26,53
2020,7,90,191,11,18,52,6,3,29,41,11,7,13
2020,7,100,7,0,1,2,0,0,1,3,0,0,0
2020,8,총,"8,813",548,472,"2,114",529,86,891,"2,789",441,185,758
2020,8,0,468,20,14,172,29,2,28,133,8,7,55
2020,8,10,519,25,11,159,30,1,43,171,19,8,52
2020,8,20,713,35,24,212,50,6,55,191,35,14,91
2020,8,30,724,36,26,243,46,3,35,235,17,7,76
2020,8,40,899,50,47,228,37,3,72,329,33,17,83
2020,8,50,"1,553",86,85,312,109,9,137,589,76,30,120
2020,8,60,"1,814",150,137,345,90,20,201,576,109,43,143
2020,8,70,"1,200",77,69,227,96,30,180,344,80,25,72
2020,8,80,723,57,39,163,36,9,110,178,52,26,53
2020,8,90,191,11,19,51,6,3,29,40,11,8,13
2020,8,100,9,1,1,2,0,0,1,3,1,0,0
2020,9,총,"8,795",547,469,"2,122",524,86,890,"2,787",435,183,752
2020,9,0,465,20,14,171,28,2,28,133,8,7,54
2020,9,10,519,25,11,160,31,1,44,172,17,8,50
2020,9,20,703,35,24,212,50,6,52,188,33,13,90
2020,9,30,726,36,26,247,45,3,35,233,18,7,76
2020,9,40,902,49,45,231,35,3,72,335,32,17,83
2020,9,50,"1,536",86,85,309,108,9,137,579,75,29,119
2020,9,60,"1,816",150,133,349,90,20,201,579,107,43,144
2020,9,70,"1,204",77,72,225,96,30,181,344,82,25,72
2020,9,80,718,54,39,164,35,9,109,181,51,26,50
2020,9,90,197,14,19,52,6,3,30,40,11,8,14
2020,9,100,9,1,1,2,0,0,1,3,1,0,0
2020,10,총,"8,812",548,471,"2,142",526,86,885,"2,793",432,180,749
2020,10,0,459,18,14,174,28,2,27,133,8,5,50
2020,10,10,518,25,11,162,30,1,43,173,16,8,49
2020,10,20,727,38,26,221,53,6,53,189,34,13,94
2020,10,30,720,34,25,247,44,3,37,235,14,7,74
2020,10,40,904,50,44,232,37,3,68,337,33,16,84
2020,10,50,"1,534",87,87,312,107,9,137,572,74,28,121
2020,10,60,"1,828",150,132,352,91,20,201,588,108,44,142
2020,10,70,"1,204",78,73,224,95,30,182,344,82,25,71
2020,10,80,715,53,39,165,35,9,108,179,51,26,50
2020,10,90,194,14,19,51,6,3,28,40,11,8,14
2020,10,100,9,1,1,2,0,0,1,3,1,0,0
2020,11,총,"8,830",551,470,"2,140",522,85,880,"2,822",432,181,747
2020,11,0,458,18,15,173,27,2,26,134,8,5,50
2020,11,10,512,25,10,163,30,1,42,169,16,8,48
2020,11,20,731,38,27,222,50,6,52,195,35,13,93
2020,11,30,724,32,24,249,45,3,37,239,14,7,74
2020,11,40,903,53,45,229,37,2,69,338,33,15,82
2020,11,50,"1,543",87,86,307,105,9,136,589,73,29,122
2020,11,60,"1,837",152,130,357,92,20,199,592,108,44,143
2020,11,70,"1,203",79,74,222,94,30,182,344,81,26,71
2020,11,80,718,53,39,167,36,8,107,180,52,26,50
2020,11,90,191,13,19,48,6,4,29,39,11,8,14
2020,11,100,10,1,1,3,0,0,1,3,1,0,0
2020,12,총,"8,814",549,464,"2,142",516,86,870,"2,827",432,183,745
2020,12,0,457,18,13,175,26,2,23,135,8,5,52
2020,12,10,509,26,11,160,30,1,40,169,15,9,48
2020,12,20,731,39,26,218,51,6,53,194,36,13,95
2020,12,30,722,31,22,254,42,3,34,241,15,7,73
2020,12,40,894,52,42,229,37,2,68,338,32,16,78
2020,12,50,"1,533",87,87,306,103,9,133,585,72,28,123
2020,12,60,"1,850",149,131,360,91,20,204,599,109,45,142
2020,12,70,"1,198",80,74,221,94,31,178,343,81,26,70
