년도,월,나이,서울특별시,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2020,1,총,"4,745,088","73,688","61,946","110,701","147,020","170,164","171,964","196,803","214,247","153,058","162,701","257,746","231,171","149,114","176,782","224,995","286,309","201,065","118,299","182,504","191,772","250,931","206,112","261,190","327,261","217,545"
2020,1,0,"339,150","4,128","3,742","7,307","11,166","11,018","11,274","12,631","15,730","8,933","10,570","18,365","16,092","10,526","13,383","17,031","22,322","15,524","7,022","12,839","13,501","12,776","18,563","20,037","27,640","17,030"
2020,1,10,"419,617","5,898","3,709","8,390","10,648","13,981","12,744","14,506","19,867","12,082","14,121","29,389","20,705","12,330","14,949","27,369","24,032","16,184","8,011","13,007","14,982","15,703","23,378","31,554","31,557","20,521"
2020,1,20,"713,008","11,621","8,942","15,865","22,738","29,351","27,708","28,122","32,335","21,333","22,966","38,407","32,176","23,775","27,754","31,191","41,168","27,373","18,622","26,965","32,407","52,698","27,240","36,393","46,091","29,767"
2020,1,30,"753,695","10,081","10,305","19,001","25,000","28,769","26,638","30,695","30,735","21,386","22,047","33,426","34,523","22,359","31,100","29,200","52,040","32,879","19,713","33,972","32,298","48,672","30,463","39,126","54,955","34,312"
2020,1,40,"774,242","11,190","9,450","17,858","23,644","26,840","27,021","30,516","35,788","24,981","25,215","42,832","38,618","23,833","30,419","38,651","46,889","33,193","17,842","28,577","30,283","37,677","37,169","46,773","53,528","35,455"
2020,1,50,"754,650","12,936","10,649","18,103","24,202","27,110","27,389","34,985","34,412","26,048","27,809","43,041","37,212","23,982","26,661","38,458","42,284","31,372","20,752","28,495","28,323","34,472","30,775","39,994","50,370","34,816"
2020,1,60,"565,091","9,540","8,486","13,094","17,134","19,356","21,711","26,864","25,075","20,706","22,887","30,515","28,405","17,355","17,605","26,391","34,413","25,347","15,538","21,676","21,941","26,790","21,468","26,493","38,513","27,788"
2020,1,70,"313,217","5,570","4,651","7,435","9,102","10,153","12,643","13,866","14,513","12,956","12,475","15,826","16,944","10,356","10,355","12,747","17,676","14,615","8,184","12,221","13,130","16,730","12,605","15,714","18,876","13,874"
2020,1,80,"100,290","2,283","1,692","3,067","3,016","3,210","4,294","4,223","5,199","4,184","4,138","5,316","5,857","4,095","4,049","3,518","4,869","4,197","2,374","4,273","4,364","4,961","3,927","4,530","5,106","3,548"
