년도,월,나이,수원시,장안구,파장동,율천동,정자1동,정자2동,정자3동,영화동,송죽동,조원1동,조원2동,연무동,권선구,세류1동,세류2동,세류3동,평동,서둔동,구운동,금곡동,호매실동,권선1동,권선2동,곡선동,입북동,팔달구,매교동,매산동,고등동,화서1동,화서2동,지동,우만1동,우만2동,인계동,행궁동,영통구,매탄1동,매탄2동,매탄3동,매탄4동,원천동,영통1동,영통2동,영통3동,망포1동,망포2동,광교1동,광교2동
2020,1,총,"601,097","139,934","12,093","23,029","15,102","14,935","21,678","10,494","9,936","14,721","9,419","8,527","187,499","5,282","12,351","10,072","20,772","19,757","12,763","22,699","22,856","12,665","24,776","14,858","8,648","88,471","3,155","5,644","4,708","11,465","13,373","6,008","10,465","8,672","19,188","5,793","185,193","9,492","7,646","19,019","11,116","19,745","18,018","14,064","16,784","16,038","14,115","25,571","13,585"
2020,1,0,"53,483","10,336",790,"1,690","1,418","1,060","2,133",497,651,879,812,406,"17,724",482,628,500,"1,662","1,337",790,"2,700","3,803",740,"3,175",946,961,"5,223",125,248,209,805,"1,134",239,513,646,"1,166",138,"20,200",652,526,"1,620",823,"2,414","2,057","1,411","1,442","1,931","2,322","3,159","1,843"
2020,1,10,"63,800","15,836","1,065","2,421","1,990","1,749","3,679",688,968,"1,586","1,111",579,"18,020",343,907,875,"1,969","1,794","1,112","2,678","2,198",989,"2,924","1,253",978,"7,551",174,265,313,"1,126","1,606",425,833,"1,052","1,486",271,"22,393","1,069",878,"2,370","1,308","1,882","2,627","1,182","2,350","2,140","1,649","3,448","1,490"
2020,1,20,"98,263","24,157","1,873","6,176","2,262","2,299","3,207","1,421","1,581","2,308","1,591","1,439","28,719",773,"1,893","1,510","3,432","3,185","2,137","3,218","2,529","2,447","3,608","2,873","1,114","14,758",485,"1,016",631,"1,654","2,138",759,"1,744","1,923","3,643",765,"30,629","1,782","1,253","3,740","2,016","3,399","2,544","3,312","3,351","2,434","1,701","3,622","1,475"
2020,1,30,"95,448","17,701","1,634","3,161","1,796","1,932","2,263","1,466","1,462","1,838","1,004","1,145","31,730",940,"2,123","1,516","3,072","3,065","1,851","3,438","4,909","2,448","4,023","3,157","1,188","13,502",481,952,622,"1,423","1,791",730,"1,723","1,198","3,820",762,"32,515","1,350","1,086","3,088","1,718","4,041","2,732","3,626","2,341","2,536","2,984","4,436","2,577"
2020,1,40,"103,806","23,455","1,997","3,417","2,725","2,564","4,455","1,647","1,611","2,393","1,386","1,260","31,832",791,"2,007","1,716","3,152","3,271","1,982","4,006","4,090","1,923","4,371","2,809","1,714","14,548",511,842,770,"1,955","2,216",983,"1,667","1,336","3,358",910,"33,971","1,566","1,273","3,456","1,859","3,682","3,527","2,159","3,011","2,934","2,637","5,208","2,659"
2020,1,50,"98,035","24,713","2,213","3,365","2,658","2,671","3,779","2,094","1,800","2,764","1,833","1,536","30,887",904,"2,208","1,758","3,836","3,465","2,465","3,688","2,835","2,177","3,778","2,372","1,401","15,657",624,"1,034",911,"2,076","2,568","1,192","1,857","1,305","2,833","1,257","26,778","1,646","1,334","2,818","1,823","2,332","2,793","1,529","2,738","2,565","1,802","3,591","1,807"
2020,1,60,"54,768","14,116","1,548","1,743","1,359","1,492","1,361","1,579","1,154","1,723",974,"1,183","18,167",631,"1,546","1,314","2,306","2,269","1,519","1,864","1,622","1,306","2,005",985,800,"10,252",439,785,667,"1,424","1,176",973,"1,252",771,"1,807",958,"12,233",901,809,"1,274","1,019","1,292","1,122",519,"1,056","1,045",700,"1,416","1,080"
2020,1,70,"24,374","6,792",720,716,639,823,549,810,517,889,445,684,"7,699",302,743,662,997,"1,061",662,794,656,474,659,320,369,"5,145",230,353,425,739,548,524,674,322,814,516,"4,738",408,364,485,396,531,416,217,337,334,234,515,501
2020,1,80,"8,190","2,532",230,296,225,315,233,269,171,297,237,259,"2,446",104,256,198,315,281,224,285,195,143,212,126,107,"1,647",75,128,142,235,176,167,186,107,243,188,"1,565",108,115,151,137,152,180,97,144,106,80,158,137
2020,1,90,852,276,21,40,27,29,19,18,19,44,25,34,248,10,36,23,27,25,19,27,17,16,19,13,16,165,8,18,10,26,19,15,14,12,16,27,163,8,7,17,16,19,17,12,14,13,6,18,16
2020,1,100,78,20,2,4,3,1,0,5,2,0,1,2,27,2,4,0,4,4,2,1,2,2,2,4,0,23,3,3,8,2,1,1,2,0,2,1,8,2,1,0,1,1,3,0,0,0,0,0,0
2020,2,총,"600,958","139,776","12,059","22,905","15,051","14,957","21,718","10,516","9,922","14,713","9,421","8,514","187,300","5,276","12,331","10,021","20,675","19,742","12,721","22,706","22,911","12,681","24,747","14,860","8,629","88,492","3,189","5,640","4,728","11,430","13,363","6,001","10,462","8,672","19,239","5,768","185,390","9,473","7,648","19,011","11,097","19,835","18,020","14,067","16,792","16,040","14,146","25,643","13,618"
2020,2,0,"53,200","10,262",782,"1,665","1,400","1,057","2,127",489,650,880,813,399,"17,569",475,625,484,"1,645","1,316",779,"2,683","3,801",738,"3,127",950,946,"5,183",128,248,206,790,"1,131",242,513,637,"1,155",133,"20,186",653,520,"1,619",815,"2,428","2,049","1,373","1,441","1,937","2,333","3,177","1,841"
2020,2,10,"63,471","15,736","1,046","2,389","1,968","1,745","3,675",692,961,"1,579","1,104",577,"17,932",347,902,871,"1,940","1,787","1,105","2,669","2,193",976,"2,932","1,238",972,"7,502",183,263,314,"1,122","1,592",420,820,"1,049","1,471",268,"22,301","1,063",872,"2,350","1,297","1,877","2,621","1,176","2,333","2,133","1,657","3,444","1,478"
2020,2,20,"98,061","24,066","1,853","6,123","2,257","2,290","3,209","1,414","1,571","2,310","1,587","1,452","28,661",778,"1,885","1,500","3,415","3,190","2,121","3,216","2,534","2,453","3,591","2,877","1,101","14,773",496,"1,011",627,"1,630","2,124",774,"1,730","1,930","3,689",762,"30,561","1,758","1,260","3,722","2,002","3,405","2,528","3,300","3,360","2,416","1,685","3,641","1,484"
2020,2,30,"95,330","17,657","1,625","3,140","1,795","1,932","2,261","1,477","1,462","1,828","1,013","1,124","31,551",939,"2,114","1,508","3,037","3,048","1,843","3,408","4,865","2,462","4,007","3,141","1,179","13,536",480,958,627,"1,430","1,797",720,"1,720","1,189","3,855",760,"32,586","1,351","1,076","3,103","1,724","4,034","2,749","3,651","2,361","2,548","2,975","4,425","2,589"
2020,2,40,"103,952","23,429","2,003","3,403","2,718","2,565","4,461","1,658","1,600","2,384","1,379","1,258","31,932",787,"2,003","1,707","3,142","3,262","1,981","4,039","4,159","1,935","4,390","2,814","1,713","14,551",517,835,772,"1,942","2,229",965,"1,682","1,351","3,357",901,"34,040","1,559","1,272","3,457","1,849","3,720","3,538","2,176","2,996","2,916","2,672","5,212","2,673"
2020,2,50,"98,033","24,724","2,214","3,377","2,647","2,682","3,799","2,085","1,795","2,759","1,825","1,541","30,885",910,"2,206","1,737","3,822","3,476","2,463","3,691","2,846","2,163","3,782","2,383","1,406","15,615",630,"1,037",917,"2,076","2,548","1,194","1,850","1,304","2,807","1,252","26,809","1,643","1,334","2,816","1,828","2,326","2,790","1,535","2,730","2,575","1,796","3,627","1,809"
2020,2,60,"55,280","14,226","1,565","1,745","1,369","1,505","1,379","1,593","1,163","1,736",989,"1,182","18,331",626,"1,552","1,337","2,324","2,288","1,523","1,891","1,637","1,316","2,026",991,820,"10,322",436,786,677,"1,431","1,200",972,"1,259",771,"1,829",961,"12,401",918,827,"1,286","1,029","1,330","1,127",528,"1,072","1,062",706,"1,429","1,087"
2020,2,70,"24,440","6,809",715,718,639,834,551,812,522,891,448,679,"7,710",298,745,654,"1,004","1,060",663,796,660,477,662,323,368,"5,162",234,352,428,741,542,531,685,318,814,517,"4,759",409,363,489,397,542,413,221,335,338,237,512,503
2020,2,80,"8,252","2,566",232,300,225,317,237,273,178,302,236,266,"2,452",104,259,199,314,286,222,285,198,141,208,128,108,"1,660",74,130,142,239,181,167,186,111,245,185,"1,574",109,116,153,140,153,185,94,148,102,78,157,139
2020,2,90,860,280,22,41,30,29,19,17,18,44,26,34,251,10,36,24,28,25,19,28,15,18,19,13,16,165,8,17,10,27,18,15,15,12,15,28,164,8,7,16,15,19,17,13,15,13,7,19,15
2020,2,100,79,21,2,4,3,1,0,6,2,0,1,2,26,2,4,0,4,4,2,0,3,2,3,2,0,23,3,3,8,2,1,1,2,0,2,1,9,2,1,0,1,1,3,0,1,0,0,0,0
2020,3,총,"600,550","139,438","12,026","22,843","15,005","14,952","21,660","10,462","9,926","14,671","9,389","8,504","187,153","5,276","12,305","9,981","20,646","19,709","12,704","22,695","22,942","12,680","24,717","14,877","8,621","88,411","3,183","5,640","4,708","11,422","13,344","5,972","10,441","8,692","19,225","5,784","185,548","9,436","7,656","19,022","11,076","19,897","17,990","14,071","16,789","16,051","14,170","25,724","13,666"
2020,3,0,"52,796","10,130",769,"1,664","1,386","1,053","2,087",483,634,859,800,395,"17,465",482,622,482,"1,634","1,306",771,"2,662","3,786",745,"3,114",932,929,"5,114",124,241,205,786,"1,116",236,516,626,"1,132",132,"20,087",656,514,"1,612",817,"2,438","2,028","1,366","1,441","1,929","2,319","3,146","1,821"
2020,3,10,"63,142","15,588","1,036","2,315","1,970","1,715","3,677",669,963,"1,562","1,102",579,"17,871",357,889,865,"1,947","1,767","1,103","2,655","2,210",959,"2,926","1,225",968,"7,448",180,261,308,"1,116","1,579",419,810,"1,051","1,456",268,"22,235","1,060",856,"2,347","1,280","1,847","2,621","1,168","2,326","2,131","1,673","3,441","1,485"
2020,3,20,"98,408","24,107","1,867","6,118","2,258","2,296","3,212","1,413","1,577","2,332","1,569","1,465","28,713",774,"1,893","1,498","3,401","3,194","2,131","3,230","2,530","2,476","3,585","2,893","1,108","14,853",498,"1,025",618,"1,628","2,126",770,"1,720","1,964","3,736",768,"30,735","1,746","1,270","3,725","2,000","3,438","2,525","3,326","3,373","2,440","1,692","3,701","1,499"
2020,3,30,"94,934","17,564","1,609","3,144","1,786","1,926","2,234","1,459","1,459","1,811","1,022","1,114","31,364",940,"2,090","1,493","3,014","3,036","1,828","3,408","4,821","2,440","3,990","3,135","1,169","13,495",476,944,627,"1,419","1,797",719,"1,708","1,181","3,850",774,"32,511","1,351","1,086","3,097","1,722","4,021","2,733","3,637","2,357","2,535","2,953","4,428","2,591"
2020,3,40,"103,570","23,297","1,988","3,381","2,707","2,551","4,424","1,657","1,584","2,378","1,365","1,262","31,873",772,"2,016","1,690","3,128","3,247","1,970","4,020","4,190","1,941","4,377","2,816","1,706","14,423",513,828,758,"1,942","2,210",951,"1,671","1,345","3,320",885,"33,977","1,536","1,257","3,464","1,829","3,731","3,525","2,175","2,976","2,904","2,689","5,206","2,685"
2020,3,50,"98,086","24,699","2,212","3,402","2,625","2,689","3,823","2,058","1,806","2,744","1,818","1,522","30,871",911,"2,188","1,736","3,820","3,463","2,461","3,703","2,861","2,142","3,779","2,394","1,413","15,641",635,"1,039",920,"2,072","2,549","1,190","1,862","1,304","2,818","1,252","26,875","1,635","1,344","2,799","1,825","2,348","2,789","1,534","2,744","2,586","1,794","3,655","1,822"
2020,3,60,"55,819","14,334","1,568","1,750","1,377","1,534","1,388","1,607","1,174","1,740","1,006","1,190","18,537",626,"1,567","1,339","2,346","2,318","1,538","1,901","1,666","1,338","2,050","1,011",837,"10,389",437,793,683,"1,440","1,219",974,"1,269",778,"1,826",970,"12,559",928,837,"1,311","1,042","1,345","1,141",542,"1,073","1,068",729,"1,445","1,098"
2020,3,70,"24,545","6,835",719,722,632,843,561,821,523,901,441,672,"7,723",300,741,658,"1,008","1,057",664,797,660,479,665,325,369,"5,174",234,360,430,750,544,526,676,319,816,519,"4,813",407,368,498,403,549,421,217,334,342,239,528,507
2020,3,80,"8,307","2,578",233,302,231,315,236,271,186,302,236,266,"2,458",103,260,196,315,291,218,290,202,140,207,132,104,"1,683",74,129,141,242,184,171,192,111,252,187,"1,588",107,116,154,142,160,187,94,149,104,76,156,143
2020,3,90,864,285,23,41,30,29,18,18,18,42,29,37,252,9,35,24,29,26,18,29,13,18,21,12,18,168,9,17,10,25,19,15,15,13,17,28,159,8,7,15,15,19,17,12,15,12,6,18,15
2020,3,100,79,21,2,4,3,1,0,6,2,0,1,2,26,2,4,0,4,4,2,0,3,2,3,2,0,23,3,3,8,2,1,1,2,0,2,1,9,2,1,0,1,1,3,0,1,0,0,0,0
2020,4,총,"600,616","139,377","12,015","22,876","14,951","14,957","21,635","10,446","9,951","14,675","9,382","8,489","187,190","5,283","12,303","9,952","20,666","19,683","12,688","22,711","22,971","12,668","24,739","14,899","8,627","88,408","3,168","5,677","4,689","11,425","13,327","5,940","10,439","8,702","19,220","5,821","185,641","9,442","7,654","18,994","11,031","19,937","17,991","14,067","16,841","16,030","14,173","25,816","13,665"
2020,4,0,"52,544","10,069",761,"1,642","1,377","1,056","2,080",485,638,840,796,394,"17,444",483,624,485,"1,638","1,303",759,"2,656","3,792",740,"3,114",933,917,"5,084",125,242,202,784,"1,095",241,508,629,"1,127",131,"19,947",646,510,"1,610",810,"2,424","2,005","1,358","1,427","1,915","2,307","3,120","1,815"
2020,4,10,"62,877","15,473","1,026","2,286","1,954","1,704","3,661",657,963,"1,554","1,097",571,"17,801",354,885,847,"1,931","1,764","1,097","2,654","2,212",957,"2,917","1,215",968,"7,412",179,253,303,"1,118","1,570",412,804,"1,055","1,453",265,"22,191","1,060",847,"2,339","1,262","1,840","2,613","1,166","2,333","2,132","1,682","3,434","1,483"
2020,4,20,"98,687","24,224","1,873","6,192","2,257","2,294","3,216","1,409","1,582","2,344","1,571","1,486","28,729",773,"1,899","1,496","3,414","3,180","2,140","3,219","2,528","2,469","3,603","2,893","1,115","14,883",497,"1,041",603,"1,644","2,140",765,"1,726","1,957","3,739",771,"30,851","1,746","1,280","3,726","2,003","3,459","2,539","3,301","3,399","2,443","1,693","3,754","1,508"
2020,4,30,"94,779","17,512","1,607","3,130","1,770","1,948","2,217","1,443","1,465","1,813","1,024","1,095","31,294",945,"2,078","1,476","3,023","3,027","1,813","3,413","4,786","2,438","3,978","3,145","1,172","13,478",470,947,632,"1,412","1,780",713,"1,711","1,194","3,831",788,"32,495","1,348","1,084","3,059","1,704","4,015","2,743","3,668","2,366","2,520","2,950","4,464","2,574"
2020,4,40,"103,471","23,220","1,985","3,376","2,686","2,537","4,414","1,659","1,580","2,364","1,358","1,261","31,901",772,"2,008","1,692","3,134","3,247","1,980","4,040","4,224","1,928","4,372","2,801","1,703","14,392",513,827,755,"1,934","2,223",946,"1,653","1,341","3,314",886,"33,958","1,531","1,246","3,466","1,815","3,759","3,502","2,163","2,992","2,898","2,700","5,209","2,677"
2020,4,50,"98,104","24,708","2,204","3,417","2,629","2,692","3,825","2,049","1,821","2,747","1,811","1,513","30,856",915,"2,185","1,733","3,802","3,434","2,448","3,697","2,873","2,142","3,798","2,413","1,416","15,635",627,"1,055",917,"2,067","2,536","1,174","1,872","1,304","2,823","1,260","26,905","1,641","1,348","2,791","1,825","2,351","2,799","1,538","2,739","2,584","1,794","3,655","1,840"
2020,4,60,"56,179","14,411","1,572","1,761","1,378","1,535","1,410","1,627","1,172","1,759","1,013","1,184","18,641",626,"1,571","1,346","2,365","2,340","1,546","1,909","1,674","1,346","2,055","1,023",840,"10,456",438,798,683,"1,445","1,233",972,"1,282",778,"1,844",983,"12,671",941,849,"1,321","1,048","1,356","1,154",552,"1,082","1,080",727,"1,461","1,100"
2020,4,70,"24,655","6,858",724,726,636,847,557,815,526,905,443,679,"7,764",300,751,659,"1,005","1,066",669,797,664,484,669,328,372,"5,188",232,367,434,750,545,530,674,319,819,518,"4,845",414,366,508,405,551,427,215,336,340,238,537,508
2020,4,80,"8,377","2,594",238,303,231,313,237,278,183,307,237,267,"2,484",104,263,195,321,293,216,295,202,144,211,135,105,"1,691",75,127,142,244,186,171,193,112,251,190,"1,608",106,115,159,142,161,189,95,151,106,76,164,144
2020,4,90,865,287,23,39,30,30,18,18,19,42,31,37,250,9,35,23,29,25,18,31,13,18,19,11,19,167,9,17,11,25,18,15,14,13,17,28,161,7,8,15,16,20,17,11,15,12,6,18,16
2020,4,100,78,21,2,4,3,1,0,6,2,0,1,2,26,2,4,0,4,4,2,0,3,2,3,2,0,22,3,3,7,2,1,1,2,0,2,1,9,2,1,0,1,1,3,0,1,0,0,0,0
2020,5,총,"600,154","139,181","12,002","22,828","14,880","14,937","21,607","10,416","9,961","14,693","9,371","8,486","187,053","5,279","12,282","9,922","20,696","19,635","12,718","22,714","22,947","12,652","24,707","14,894","8,607","88,354","3,161","5,687","4,679","11,391","13,311","5,921","10,405","8,691","19,246","5,862","185,566","9,435","7,660","18,996","11,010","19,918","17,966","14,013","16,833","16,011","14,207","25,867","13,650"
2020,5,0,"52,248","9,995",749,"1,645","1,356","1,048","2,066",476,628,837,795,395,"17,355",483,611,475,"1,630","1,290",757,"2,645","3,788",733,"3,112",922,909,"5,061",123,238,203,788,"1,087",241,505,625,"1,114",137,"19,837",644,517,"1,601",807,"2,412","1,979","1,350","1,416","1,902","2,324","3,085","1,800"
