년도,월,나이,영양군,영양읍,입암면,청기면,일월면,수비면,석보면
2020,1,총,"8,577","3,765","1,132",852,919,855,"1,054"
2020,1,0,378,216,42,30,25,24,41
2020,1,10,492,291,38,28,45,50,40
2020,1,20,510,312,40,30,50,32,46
2020,1,30,507,318,58,24,28,30,49
2020,1,40,738,427,60,47,69,68,67
2020,1,50,"1,415",609,199,112,154,154,187
2020,1,60,"1,663",638,244,209,181,178,213
2020,1,70,"1,563",523,244,199,182,176,239
2020,1,80,"1,128",353,179,153,169,122,152
2020,1,90,162,71,28,18,14,17,14
2020,1,100,21,7,0,2,2,4,6
2020,2,총,"8,561","3,755","1,127",851,919,857,"1,052"
2020,2,0,375,212,43,30,25,24,41
2020,2,10,486,289,37,26,45,49,40
2020,2,20,502,306,39,32,47,32,46
2020,2,30,507,317,56,23,30,31,50
2020,2,40,735,428,61,46,70,64,66
2020,2,50,"1,407",609,198,111,151,154,184
2020,2,60,"1,667",640,247,208,180,179,213
2020,2,70,"1,558",526,242,195,181,177,237
2020,2,80,"1,136",352,176,159,172,123,154
2020,2,90,168,70,28,19,16,20,15
2020,2,100,20,6,0,2,2,4,6
2020,3,총,"8,538","3,757","1,123",852,911,852,"1,043"
2020,3,0,371,207,43,29,27,24,41
2020,3,10,482,292,36,26,42,48,38
2020,3,20,501,306,39,32,47,32,45
2020,3,30,501,318,53,23,30,30,47
2020,3,40,736,429,63,46,67,64,67
2020,3,50,"1,388",602,195,112,150,146,183
2020,3,60,"1,677",644,250,209,178,183,213
2020,3,70,"1,551",527,238,191,181,178,236
2020,3,80,"1,139",354,177,163,172,120,153
2020,3,90,173,72,29,19,15,23,15
2020,3,100,19,6,0,2,2,4,5
2020,4,총,"8,527","3,762","1,120",855,901,846,"1,043"
2020,4,0,372,208,43,30,26,24,41
2020,4,10,476,291,33,27,41,46,38
2020,4,20,497,303,42,31,45,32,44
2020,4,30,495,317,52,23,27,29,47
2020,4,40,733,430,62,46,65,63,67
2020,4,50,"1,389",606,190,113,152,146,182
2020,4,60,"1,680",646,255,209,177,180,213
2020,4,70,"1,545",529,238,187,179,176,236
2020,4,80,"1,145",353,177,168,171,123,153
2020,4,90,175,73,28,18,16,23,17
2020,4,100,20,6,0,3,2,4,5
2020,5,총,"8,491","3,741","1,118",853,901,843,"1,035"
2020,5,0,368,206,43,29,27,24,39
2020,5,10,471,286,34,27,41,45,38
2020,5,20,491,299,41,31,45,33,42
2020,5,30,495,316,53,23,27,29,47
2020,5,40,724,427,61,46,64,61,65
2020,5,50,"1,376",604,185,113,150,144,180
2020,5,60,"1,682",645,259,208,178,180,212
2020,5,70,"1,540",527,237,186,178,176,236
2020,5,80,"1,149",351,177,170,172,124,155
2020,5,90,175,74,28,17,17,23,16
2020,5,100,20,6,0,3,2,4,5
2020,6,총,"8,471","3,725","1,120",852,900,841,"1,033"
2020,6,0,368,207,44,29,27,22,39
2020,6,10,461,282,33,24,40,45,37
2020,6,20,492,294,42,32,46,35,43
2020,6,30,488,311,53,23,26,28,47
2020,6,40,718,422,63,44,64,62,63
2020,6,50,"1,371",604,180,113,150,146,178
2020,6,60,"1,686",645,262,209,178,179,213
2020,6,70,"1,535",528,234,189,177,172,235
2020,6,80,"1,157",352,181,169,173,126,156
2020,6,90,175,74,28,17,17,22,17
2020,6,100,20,6,0,3,2,4,5
2020,7,총,"8,467","3,714","1,123",853,901,841,"1,035"
2020,7,0,361,204,41,28,27,22,39
2020,7,10,461,282,35,25,39,44,36
2020,7,20,489,287,44,32,46,35,45
2020,7,30,484,308,54,23,26,28,45
2020,7,40,722,425,63,44,63,63,64
2020,7,50,"1,372",603,180,110,154,147,178
2020,7,60,"1,688",645,262,212,178,179,212
2020,7,70,"1,536",529,235,189,175,171,237
2020,7,80,"1,155",349,183,169,174,126,154
2020,7,90,179,76,26,18,17,22,20
2020,7,100,20,6,0,3,2,4,5
2020,8,총,"8,436","3,711","1,114",845,900,839,"1,027"
2020,8,0,352,202,41,27,23,21,38
2020,8,10,461,281,34,25,41,45,35
2020,8,20,483,289,43,30,44,34,43
2020,8,30,485,309,52,23,27,28,46
2020,8,40,710,419,62,43,59,63,64
2020,8,50,"1,368",601,179,109,158,146,175
2020,8,60,"1,690",650,256,212,179,181,212
2020,8,70,"1,540",529,241,186,178,170,236
2020,8,80,"1,147",351,180,166,172,125,153
2020,8,90,180,74,26,21,17,22,20
2020,8,100,20,6,0,3,2,4,5
2020,9,총,"8,430","3,709","1,111",850,899,838,"1,023"
2020,9,0,351,204,41,26,22,21,37
2020,9,10,458,278,34,27,41,45,33
2020,9,20,478,285,42,30,45,34,42
2020,9,30,485,310,51,23,28,28,45
2020,9,40,715,424,62,45,59,60,65
