년도,월,나이,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2020,3,총,"674,095","14,509","25,601","13,056","16,773","20,352","19,920","16,319","25,857","18,826","40,831","25,341","20,681","33,368","31,986","27,473","27,945","33,556","21,097","29,891","31,613","28,286","28,944","36,681","35,727","22,056","17,267","10,139"
2020,3,0,"52,870",750,"2,026",713,"1,095","1,118",997,"1,135","1,274","1,422","3,079","1,372","1,687","1,802","1,747","1,713","3,198","2,701","1,434","1,780","2,590","4,783","1,373","4,445","3,458","3,047","1,505",626
2020,3,10,"60,719",982,"2,163","1,094","1,444","1,717","1,484","1,745","1,365","2,871","3,455","1,449","1,983","2,048","2,119","2,002","2,314","3,696","1,638","1,572","3,016","3,499","1,917","5,976","4,004","2,309","1,734","1,123"
2020,3,20,"95,566","1,850","3,829","1,831","1,899","2,506","2,511","2,488","4,929","2,284","5,868","4,623","3,000","5,743","5,418","4,403","3,719","4,754","3,392","5,391","4,336","2,734","5,200","3,287","4,108","2,077","2,086","1,300"
2020,3,30,"113,764","2,139","4,268","1,711","2,290","2,319","2,380","2,327","5,753","1,848","5,997","5,660","3,093","7,315","6,861","4,918","5,614","4,968","3,668","7,861","5,025","5,166","6,213","4,541","4,799","3,411","2,504","1,115"
2020,3,40,"110,367","2,090","4,108","2,063","2,712","3,082","2,918","2,754","3,681","3,514","6,059","3,560","3,148","5,059","5,311","4,008","4,320","5,754","2,963","4,307","5,025","5,601","4,546","8,889","6,314","4,358","2,733","1,490"
2020,3,50,"103,986","2,560","3,771","2,364","2,888","3,677","3,869","2,733","3,748","3,122","7,194","3,688","3,423","4,942","4,681","4,833","4,056","5,416","3,526","3,560","5,235","3,243","4,218","4,684","5,285","2,906","2,682","1,682"
2020,3,60,"81,491","2,375","3,211","1,845","2,378","3,242","3,193","1,874","3,093","2,364","5,582","3,011","2,733","3,824","3,519","3,465","3,131","3,916","2,861","3,111","3,819","2,063","3,307","2,782","4,606","2,382","2,376","1,428"
2020,3,70,"39,033","1,263","1,575","1,067","1,449","1,863","1,770",832,"1,467",971,"2,420","1,446","1,114","1,943","1,681","1,491","1,208","1,627","1,134","1,539","1,755",850,"1,575","1,503","2,345","1,134","1,111",900
2020,3,80,"13,589",434,546,323,513,706,651,364,468,345,975,445,409,604,530,551,322,610,396,653,660,265,512,460,665,342,440,400
2020,3,90,"2,429",58,96,42,90,105,114,59,77,85,193,77,80,82,107,80,59,105,73,108,147,79,70,83,131,71,85,73
2020,3,100,281,8,8,3,15,17,33,8,2,0,9,10,11,6,12,9,4,9,12,9,5,3,13,31,12,19,11,2
2020,4,총,"672,862","14,399","25,688","13,049","16,730","20,305","19,860","16,346","25,914","18,819","40,810","25,257","20,651","33,308","31,899","27,451","27,962","33,519","21,044","29,848","31,180","28,241","28,884","36,648","35,661","22,029","17,261","10,099"
2020,4,0,"52,554",737,"2,043",703,"1,091","1,102",973,"1,139","1,255","1,412","3,066","1,355","1,680","1,778","1,733","1,713","3,208","2,692","1,429","1,780","2,561","4,752","1,348","4,409","3,450","3,012","1,505",628
2020,4,10,"60,428",975,"2,146","1,092","1,443","1,702","1,483","1,740","1,357","2,868","3,433","1,447","1,971","2,013","2,124","1,980","2,298","3,681","1,629","1,555","2,981","3,510","1,898","5,972","3,985","2,316","1,723","1,106"
2020,4,20,"95,448","1,825","3,845","1,821","1,891","2,512","2,501","2,495","4,980","2,271","5,830","4,654","2,998","5,788","5,396","4,390","3,715","4,758","3,376","5,374","4,261","2,715","5,205","3,307","4,077","2,079","2,087","1,297"
2020,4,30,"113,443","2,106","4,341","1,709","2,278","2,306","2,370","2,340","5,781","1,857","6,022","5,607","3,091","7,274","6,828","4,898","5,610","4,979","3,645","7,829","4,958","5,139","6,217","4,478","4,799","3,387","2,486","1,108"
