년도,월,나이,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2020,1,총,"92,171","13,717","26,435","7,229","4,513","14,639","6,279","5,875","4,761","1,930","1,982","2,749","1,083",979
2020,1,0,"7,533",735,"3,242",436,343,"1,798",262,215,237,68,59,73,40,25
2020,1,10,"8,474","1,241","3,408",546,394,"1,363",354,398,289,117,70,210,46,38
2020,1,20,"9,013","1,517","2,647",740,408,"1,474",594,583,428,138,114,226,90,54
2020,1,30,"10,109","1,144","3,776",632,414,"2,450",476,395,374,117,89,136,52,54
2020,1,40,"13,613","2,020","4,682",996,676,"2,495",640,630,568,204,201,318,102,81
2020,1,50,"15,503","2,399","3,645","1,334",797,"2,226","1,286","1,242",882,344,406,495,261,186
2020,1,60,"13,095","2,165","2,436","1,210",701,"1,466","1,296","1,166",842,375,438,534,246,220
2020,1,70,"8,927","1,470","1,604",817,507,875,819,736,668,313,364,416,148,190
2020,1,80,"5,136",899,861,451,224,442,491,434,417,206,214,289,87,121
2020,1,90,731,121,129,60,44,49,57,71,56,46,27,51,11,9
2020,1,100,37,6,5,7,5,1,4,5,0,2,0,1,0,1
2020,2,총,"92,201","13,884","26,370","7,206","4,491","14,621","6,269","5,863","4,747","1,935","1,979","2,767","1,080",989
2020,2,0,"7,493",742,"3,220",420,334,"1,800",263,216,233,68,56,76,39,26
2020,2,10,"8,460","1,247","3,397",545,393,"1,360",348,397,285,120,68,216,44,40
2020,2,20,"8,998","1,554","2,650",734,401,"1,461",585,578,424,133,113,224,88,53
2020,2,30,"10,034","1,173","3,716",622,404,"2,433",476,392,366,118,89,138,51,56
2020,2,40,"13,669","2,047","4,708",997,674,"2,505",642,620,559,211,201,322,99,84
2020,2,50,"15,502","2,421","3,643","1,331",800,"2,211","1,277","1,244",889,339,407,490,266,184
2020,2,60,"13,174","2,197","2,438","1,210",704,"1,471","1,304","1,174",851,378,439,537,244,227
2020,2,70,"8,934","1,464","1,603",829,504,886,817,736,663,314,365,421,147,185
2020,2,80,"5,158",911,856,451,226,443,494,433,420,205,213,291,91,124
2020,2,90,741,121,134,60,46,50,59,68,57,47,28,51,11,9
2020,2,100,38,7,5,7,5,1,4,5,0,2,0,1,0,1
2020,3,총,"92,135","14,115","26,239","7,157","4,493","14,576","6,255","5,845","4,738","1,919","1,976","2,767","1,072",983
2020,3,0,"7,441",735,"3,192",413,331,"1,791",261,214,235,68,54,80,42,25
2020,3,10,"8,429","1,250","3,368",542,399,"1,357",342,394,294,118,68,214,42,41
2020,3,20,"8,988","1,619","2,623",720,404,"1,456",581,571,413,129,113,224,85,50
2020,3,30,"9,967","1,219","3,671",617,399,"2,401",471,387,362,112,85,138,50,55
2020,3,40,"13,658","2,083","4,686",984,671,"2,504",636,613,565,212,205,320,97,82
2020,3,50,"15,472","2,452","3,636","1,319",801,"2,197","1,276","1,251",876,333,400,483,264,184
2020,3,60,"13,239","2,229","2,453","1,205",709,"1,474","1,309","1,176",848,376,443,544,244,229
2020,3,70,"8,972","1,479","1,607",833,504,899,823,737,660,315,368,420,145,182
2020,3,80,"5,186",919,863,454,226,446,494,431,425,206,213,292,92,125
2020,3,90,745,123,135,63,45,49,58,66,60,48,27,51,11,9
2020,3,100,38,7,5,7,4,2,4,5,0,2,0,1,0,1
2020,4,총,"91,976","14,108","26,142","7,156","4,486","14,572","6,234","5,817","4,744","1,924","1,967","2,767","1,076",983
2020,4,0,"7,389",734,"3,165",410,327,"1,779",258,208,238,69,54,81,41,25
2020,4,10,"8,372","1,238","3,343",542,399,"1,357",339,381,292,119,67,214,41,40
2020,4,20,"8,966","1,618","2,627",718,408,"1,451",577,566,410,127,113,221,80,50
2020,4,30,"9,901","1,217","3,631",610,394,"2,393",459,379,371,113,84,139,56,55
2020,4,40,"13,627","2,086","4,668",976,670,"2,516",638,611,555,209,200,319,99,80
2020,4,50,"15,426","2,453","3,626","1,319",797,"2,190","1,267","1,243",875,335,397,479,262,183
2020,4,60,"13,304","2,230","2,464","1,217",710,"1,484","1,311","1,186",857,378,444,548,245,230
2020,4,70,"8,998","1,479","1,613",841,504,898,828,742,662,319,364,416,149,183
2020,4,80,"5,211",923,863,454,227,451,496,433,422,207,217,299,92,127
2020,4,90,744,123,136,63,46,51,57,63,62,46,27,50,11,9
2020,4,100,38,7,6,6,4,2,4,5,0,2,0,1,0,1
2020,5,총,"91,835","14,100","26,117","7,147","4,467","14,553","6,208","5,816","4,742","1,926","1,957","2,747","1,078",977
2020,5,0,"7,326",734,"3,135",411,323,"1,768",251,202,237,67,54,80,39,25
2020,5,10,"8,360","1,231","3,354",544,396,"1,351",334,384,289,119,66,211,41,40
2020,5,20,"8,942","1,620","2,641",710,401,"1,441",575,561,406,128,110,219,80,50
2020,5,30,"9,819","1,209","3,579",611,394,"2,392",455,377,364,111,83,133,58,53
2020,5,40,"13,587","2,085","4,674",965,658,"2,520",622,608,558,208,196,315,97,81
2020,5,50,"15,398","2,452","3,626","1,317",796,"2,180","1,271","1,237",876,333,396,477,260,177
2020,5,60,"13,347","2,235","2,475","1,222",716,"1,494","1,307","1,193",854,380,444,545,250,232
2020,5,70,"9,037","1,481","1,624",838,501,898,834,751,672,322,364,420,148,184
2020,5,80,"5,222",923,862,456,232,455,495,435,425,209,215,296,94,125
2020,5,90,756,123,141,66,45,52,59,64,61,46,29,50,11,9
2020,5,100,41,7,6,7,5,2,5,4,0,3,0,1,0,1
2020,6,총,"91,841","14,104","26,081","7,189","4,486","14,505","6,204","5,845","4,753","1,924","1,950","2,747","1,081",972
2020,6,0,"7,246",725,"3,103",414,319,"1,742",246,203,236,65,55,76,39,23
2020,6,10,"8,355","1,220","3,343",535,402,"1,354",336,395,285,124,64,214,41,42
2020,6,20,"8,960","1,628","2,637",721,399,"1,453",579,559,405,126,106,223,78,46
2020,6,30,"9,742","1,200","3,568",614,390,"2,354",443,374,362,111,84,132,57,53
2020,6,40,"13,617","2,081","4,701",962,660,"2,521",625,614,560,206,198,312,97,80
2020,6,50,"15,372","2,453","3,605","1,320",801,"2,171","1,263","1,234",888,333,394,475,262,173
2020,6,60,"13,464","2,255","2,503","1,244",721,"1,500","1,311","1,207",861,383,442,546,254,237
2020,6,70,"9,057","1,489","1,617",845,509,899,841,752,674,322,362,417,148,182
2020,6,80,"5,223",924,856,460,234,452,493,440,421,206,216,301,94,126
2020,6,90,760,123,142,67,45,55,61,63,60,45,29,50,11,9
2020,6,100,45,6,6,7,6,4,6,4,1,3,0,1,0,1
2020,7,총,"91,828","14,103","26,078","7,188","4,479","14,496","6,222","5,840","4,752","1,926","1,945","2,739","1,085",975
2020,7,0,"7,213",717,"3,090",406,314,"1,738",247,199,242,66,55,77,39,23
2020,7,10,"8,352","1,209","3,346",534,401,"1,356",343,393,286,122,65,214,42,41
2020,7,20,"8,977","1,643","2,644",720,400,"1,460",573,564,401,129,104,215,79,45
2020,7,30,"9,675","1,209","3,540",612,377,"2,320",453,372,360,110,81,132,56,53
2020,7,40,"13,623","2,070","4,710",961,662,"2,535",619,614,562,200,194,316,99,81
2020,7,50,"15,331","2,434","3,610","1,315",802,"2,163","1,259","1,226",888,339,392,470,259,174
2020,7,60,"13,520","2,269","2,509","1,255",728,"1,514","1,318","1,206",851,382,447,547,259,235
2020,7,70,"9,094","1,496","1,624",853,505,902,842,755,678,326,361,417,149,186
2020,7,80,"5,231",927,856,459,239,446,501,441,421,203,218,301,92,127
2020,7,90,768,124,143,66,45,58,61,66,62,46,28,49,11,9
2020,7,100,44,5,6,7,6,4,6,4,1,3,0,1,0,1
