년도,월,나이,하동군,하동읍,화개면,악양면,적량면,횡천면,고전면,금남면,진교면,양보면,북천면,청암면,옥종면,금성면
2020,3,60,"8,515","1,586",578,725,408,400,494,738,"1,051",364,362,373,905,531
2020,3,70,"6,447","1,130",477,593,318,299,356,585,745,345,307,211,661,420
2020,3,80,"4,306",592,225,378,272,263,289,382,505,282,238,125,490,265
2020,3,90,690,75,41,73,37,43,57,62,87,45,34,21,81,34
2020,3,100,23,2,2,2,0,1,2,2,3,3,2,1,3,0
2020,4,총,"45,753","10,202","3,160","3,557","1,998","1,910","2,339","3,553","6,205","1,822","1,807","1,588","4,412","3,200"
2020,4,0,"2,013",623,98,108,61,51,84,102,384,30,78,81,174,139
2020,4,10,"3,022",913,228,193,97,77,123,136,494,80,89,167,238,187
2020,4,20,"3,716","1,073",252,215,130,123,162,301,517,109,104,96,299,335
2020,4,30,"2,968",883,134,161,99,111,123,197,472,80,121,88,251,248
2020,4,40,"5,336","1,453",386,374,206,171,235,353,855,160,172,145,421,405
2020,4,50,"8,647","1,861",729,721,371,368,420,691,"1,085",320,309,276,869,627
2020,4,60,"8,563","1,590",586,737,407,403,487,738,"1,056",363,357,377,924,538
2020,4,70,"6,431","1,129",475,587,318,297,354,585,744,348,306,207,657,424
2020,4,80,"4,342",599,229,384,272,265,293,387,507,283,236,127,496,264
2020,4,90,691,76,41,74,37,43,56,61,88,46,33,23,80,33
2020,4,100,24,2,2,3,0,1,2,2,3,3,2,1,3,0
2020,5,총,"45,628","10,162","3,155","3,550","1,987","1,915","2,332","3,525","6,182","1,825","1,807","1,589","4,412","3,187"
2020,5,0,"2,003",617,101,105,60,53,84,101,378,33,79,79,177,136
2020,5,10,"3,004",915,228,192,94,75,118,135,487,78,89,171,239,183
2020,5,20,"3,671","1,057",242,215,131,126,163,293,512,110,105,95,290,332
2020,5,30,"2,934",870,136,156,99,107,124,191,470,81,118,86,252,244
2020,5,40,"5,273","1,438",382,369,202,165,233,354,844,155,167,145,416,403
2020,5,50,"8,631","1,853",728,728,369,371,416,681,"1,091",322,308,275,867,622
2020,5,60,"8,597","1,595",587,738,409,408,488,737,"1,056",367,360,379,929,544
2020,5,70,"6,441","1,138",475,586,313,301,358,584,745,343,309,207,657,425
2020,5,80,"4,357",597,233,385,275,266,289,387,509,287,237,128,499,265
2020,5,90,693,80,41,73,35,42,57,60,87,46,33,23,83,33
2020,5,100,24,2,2,3,0,1,2,2,3,3,2,1,3,0
2020,6,총,"45,454","10,138","3,146","3,540","1,979","1,905","2,321","3,519","6,160","1,804","1,794","1,577","4,403","3,168"
2020,6,0,"1,982",613,97,104,58,56,81,99,379,30,76,76,180,133
2020,6,10,"2,966",906,229,190,91,75,118,132,480,76,92,165,238,174
2020,6,20,"3,639","1,051",241,214,131,125,166,295,500,106,100,92,290,328
2020,6,30,"2,912",862,133,157,99,107,124,188,470,77,114,86,251,244
2020,6,40,"5,230","1,428",382,367,198,163,233,351,838,149,165,144,413,399
2020,6,50,"8,579","1,853",718,723,361,366,413,681,"1,090",317,305,275,855,622
2020,6,60,"8,643","1,605",594,743,416,406,483,741,"1,060",371,364,377,937,546
2020,6,70,"6,435","1,135",473,585,316,299,361,586,742,343,305,209,655,426
2020,6,80,"4,347",601,234,383,272,265,284,384,511,286,238,128,498,263
2020,6,90,697,82,43,71,37,42,56,60,87,46,33,24,83,33
2020,6,100,24,2,2,3,0,1,2,2,3,3,2,1,3,0
2020,7,총,"45,412","10,138","3,135","3,542","1,970","1,902","2,315","3,524","6,155","1,803","1,777","1,580","4,399","3,172"
2020,7,0,"1,985",616,97,107,55,55,81,103,383,26,72,78,179,133
2020,7,10,"2,943",900,223,187,92,73,116,131,479,77,92,165,235,173
2020,7,20,"3,621","1,044",239,219,135,126,168,291,495,105,94,89,289,327
2020,7,30,"2,896",872,134,152,97,104,123,190,462,74,110,87,247,244
2020,7,40,"5,197","1,418",379,363,196,167,230,347,834,156,161,140,410,396
2020,7,50,"8,575","1,851",720,731,358,364,402,684,"1,091",314,303,276,856,625
2020,7,60,"8,665","1,613",589,733,417,405,490,744,"1,066",370,367,381,943,547
2020,7,70,"6,447","1,137",471,593,312,301,363,583,740,348,306,210,655,428
2020,7,80,"4,361",602,239,384,271,265,284,390,515,283,237,129,500,262
2020,7,90,698,83,42,70,37,41,56,59,87,47,33,24,82,37
2020,7,100,24,2,2,3,0,1,2,2,3,3,2,1,3,0
2020,8,총,"45,257","10,102","3,121","3,546","1,963","1,894","2,310","3,526","6,128","1,774","1,772","1,568","4,380","3,173"
2020,8,0,"1,969",610,98,106,55,55,83,100,378,25,70,83,175,131
2020,8,10,"2,914",899,221,185,88,70,116,135,470,71,92,164,233,170
2020,8,20,"3,583","1,039",235,215,134,125,164,298,488,99,90,86,281,329
2020,8,30,"2,866",861,132,155,95,101,123,187,462,71,109,84,244,242
2020,8,40,"5,150","1,405",380,361,193,167,232,346,821,144,161,135,410,395
2020,8,50,"8,563","1,843",713,734,356,368,397,687,"1,090",313,301,273,856,632
2020,8,60,"8,713","1,619",591,740,423,404,494,744,"1,075",374,372,382,944,551
2020,8,70,"6,417","1,139",467,592,311,299,361,580,735,345,302,213,648,425
2020,8,80,"4,351",601,240,384,272,263,283,384,519,282,239,124,499,261
2020,8,90,707,84,42,71,36,41,55,63,87,47,34,23,87,37
2020,8,100,24,2,2,3,0,1,2,2,3,3,2,1,3,0
2020,9,총,"45,132","10,084","3,116","3,534","1,961","1,889","2,307","3,501","6,103","1,776","1,773","1,561","4,365","3,162"
2020,9,0,"1,943",594,95,105,55,55,82,102,376,26,70,78,175,130
2020,9,10,"2,912",905,220,186,87,68,119,130,471,71,92,163,230,170
2020,9,20,"3,526","1,035",231,210,136,119,158,292,481,97,91,83,276,317
2020,9,30,"2,839",855,128,154,94,100,124,188,453,71,108,83,240,241
2020,9,40,"5,089","1,391",375,353,187,162,228,341,819,143,157,138,403,392
2020,9,50,"8,553","1,850",714,732,358,366,398,678,"1,090",308,300,266,854,639
2020,9,60,"8,767","1,627",597,748,425,413,493,745,"1,069",384,378,387,951,550
2020,9,70,"6,399","1,137",464,590,308,298,360,575,740,343,301,217,643,423
2020,9,80,"4,361",603,248,383,274,264,287,385,512,283,237,122,500,263
2020,9,90,720,85,42,70,37,43,57,63,89,47,37,23,90,37
2020,9,100,23,2,2,3,0,1,1,2,3,3,2,1,3,0
2020,10,총,"45,033","10,065","3,112","3,530","1,957","1,889","2,300","3,498","6,084","1,772","1,768","1,548","4,365","3,145"
2020,10,0,"1,905",588,96,104,52,52,78,98,371,25,69,76,168,128
2020,10,10,"2,913",903,220,186,90,71,119,134,470,72,89,159,235,165
2020,10,20,"3,510","1,031",225,212,134,117,159,293,478,96,94,85,276,310
2020,10,30,"2,821",850,131,154,96,97,121,185,452,70,107,79,241,238
2020,10,40,"5,039","1,390",372,343,185,161,226,340,802,142,156,137,396,389
2020,10,50,"8,505","1,832",716,733,352,365,404,668,"1,084",306,296,261,853,635
2020,10,60,"8,833","1,639",596,753,429,418,491,750,"1,083",387,377,388,967,555
2020,10,70,"6,396","1,138",462,586,310,300,357,577,742,342,301,219,638,424
2020,10,80,"4,368",602,250,388,275,264,286,387,512,279,240,120,500,265
2020,10,90,720,90,42,68,34,43,58,64,87,50,37,23,88,36
2020,10,100,23,2,2,3,0,1,1,2,3,3,2,1,3,0
2020,11,총,"44,911","10,041","3,092","3,528","1,953","1,890","2,292","3,493","6,066","1,769","1,759","1,543","4,348","3,137"
2020,11,0,"1,862",576,90,101,51,53,75,96,368,22,65,73,162,130
2020,11,10,"2,896",904,215,188,91,69,122,138,462,72,86,155,232,162
2020,11,20,"3,494","1,026",225,210,134,119,158,285,482,95,94,83,275,308
2020,11,30,"2,787",840,126,154,94,99,118,183,445,74,105,80,232,237
2020,11,40,"5,013","1,378",372,341,185,160,223,342,789,139,156,142,397,389
2020,11,50,"8,471","1,835",709,728,345,360,404,667,"1,084",307,292,260,849,631
2020,11,60,"8,875","1,646",603,756,432,420,494,751,"1,092",386,383,386,968,558
2020,11,70,"6,379","1,137",458,586,308,297,355,577,742,345,298,220,636,420
2020,11,80,"4,390",608,251,392,278,267,285,388,510,278,241,120,505,267
2020,11,90,721,89,41,69,35,45,57,64,89,48,37,23,89,35
2020,11,100,23,2,2,3,0,1,1,2,3,3,2,1,3,0
2020,12,총,"44,785","10,021","3,058","3,527","1,945","1,904","2,293","3,494","6,041","1,764","1,747","1,527","4,344","3,120"
2020,12,0,"1,829",574,85,99,50,52,70,94,367,21,65,69,156,127
2020,12,10,"2,883",887,214,188,91,75,120,144,462,71,87,151,234,159
2020,12,20,"3,460","1,027",220,204,130,122,161,276,475,93,90,76,274,312
2020,12,30,"2,784",840,124,156,95,102,119,182,443,72,104,78,234,235
2020,12,40,"4,970","1,368",362,346,184,159,225,341,782,135,155,139,394,380
2020,12,50,"8,429","1,831",706,729,339,359,400,666,"1,078",307,283,261,842,628
2020,12,60,"8,921","1,659",598,754,437,424,499,756,"1,100",390,384,385,971,564
2020,12,70,"6,372","1,134",457,580,305,301,356,579,735,345,302,222,643,413
