년도,월,나이,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2020,1,총,"26,736","10,586","1,052","1,496","1,164","1,766","1,267","2,271","1,197","1,361","1,171","1,457","1,383",565
2020,1,0,"1,307",796,29,37,58,68,27,96,38,23,39,36,41,19
2020,1,10,"1,847","1,149",27,62,70,75,34,149,51,59,44,59,47,21
2020,1,20,"2,034","1,034",54,90,86,101,72,170,69,76,82,94,79,27
2020,1,30,"1,921","1,079",53,77,74,98,42,168,76,38,57,72,64,23
2020,1,40,"2,783","1,549",65,91,93,129,68,218,100,99,86,122,120,43
2020,1,50,"4,231","1,728",146,223,187,242,212,419,214,183,170,189,235,83
2020,1,60,"4,675","1,379",229,281,194,420,269,430,280,262,214,288,300,129
2020,1,70,"4,353","1,096",223,322,192,402,293,350,209,312,246,333,254,121
2020,1,80,"3,114",688,189,274,180,207,216,234,135,275,206,227,202,81
2020,1,90,437,83,34,37,27,22,32,35,22,32,25,34,37,17
2020,1,100,34,5,3,2,3,2,2,2,3,2,2,3,4,1
2020,2,총,"26,668","10,560","1,048","1,488","1,157","1,779","1,276","2,267","1,188","1,347","1,167","1,445","1,383",563
2020,2,0,"1,297",786,29,35,57,69,28,99,36,24,40,35,42,17
2020,2,10,"1,827","1,141",25,59,69,81,34,142,49,58,44,58,47,20
2020,2,20,"2,011","1,018",56,89,85,101,74,176,66,70,81,94,74,27
2020,2,30,"1,900","1,058",54,78,74,98,44,170,74,37,57,68,64,24
2020,2,40,"2,773","1,551",62,89,91,133,71,213,99,97,84,120,120,43
2020,2,50,"4,219","1,732",147,222,186,242,211,415,210,176,168,190,237,83
2020,2,60,"4,679","1,382",231,277,195,420,266,435,283,266,212,287,296,129
2020,2,70,"4,346","1,108",220,318,192,395,291,344,212,308,247,329,260,122
2020,2,80,"3,140",696,188,282,177,216,221,235,134,276,207,228,200,80
2020,2,90,442,83,33,37,28,22,34,36,22,33,25,33,39,17
2020,2,100,34,5,3,2,3,2,2,2,3,2,2,3,4,1
2020,3,총,"26,596","10,538","1,034","1,475","1,161","1,771","1,264","2,294","1,182","1,338","1,166","1,438","1,378",557
2020,3,0,"1,284",779,27,33,59,68,27,98,36,25,41,33,41,17
2020,3,10,"1,809","1,124",25,58,68,80,34,143,47,55,46,61,47,21
2020,3,20,"1,986","1,014",53,90,86,99,65,174,66,69,78,92,74,26
2020,3,30,"1,858","1,033",50,75,77,96,47,165,72,36,59,63,62,23
2020,3,40,"2,766","1,550",61,89,93,137,68,212,97,96,84,120,120,39
2020,3,50,"4,202","1,733",147,219,186,233,208,420,208,176,168,190,232,82
2020,3,60,"4,723","1,396",229,274,193,422,266,460,286,265,212,291,298,131
2020,3,70,"4,333","1,113",218,315,194,394,292,348,212,300,243,322,261,121
2020,3,80,"3,146",706,187,281,173,218,219,235,134,280,206,230,198,79
2020,3,90,456,86,34,39,30,22,36,37,21,34,27,33,40,17
2020,3,100,33,4,3,2,2,2,2,2,3,2,2,3,5,1
2020,4,총,"26,535","10,539","1,037","1,473","1,155","1,773","1,254","2,294","1,179","1,326","1,164","1,421","1,367",553
2020,4,0,"1,277",778,26,29,61,69,27,98,35,25,40,31,41,17
2020,4,10,"1,801","1,118",25,60,67,81,34,144,48,51,45,61,47,20
2020,4,20,"1,965","1,006",55,91,84,98,60,175,66,66,81,88,71,24
2020,4,30,"1,848","1,032",51,73,78,95,45,165,72,34,55,62,61,25
2020,4,40,"2,762","1,552",61,91,92,141,66,217,97,91,82,118,116,38
2020,4,50,"4,179","1,732",148,217,182,230,210,420,206,173,167,187,226,81
2020,4,60,"4,721","1,401",229,274,193,422,264,451,286,268,210,289,303,131
2020,4,70,"4,338","1,118",218,318,193,394,290,345,211,300,246,323,262,120
2020,4,80,"3,148",710,186,279,173,219,221,240,134,281,209,222,195,79
2020,4,90,463,88,35,39,30,22,35,37,21,35,27,37,40,17
2020,4,100,33,4,3,2,2,2,2,2,3,2,2,3,5,1
2020,5,총,"26,492","10,588","1,033","1,464","1,146","1,764","1,254","2,267","1,170","1,334","1,145","1,408","1,367",552
2020,5,0,"1,273",787,24,29,62,69,26,93,36,25,35,30,40,17
2020,5,10,"1,799","1,121",27,60,64,81,34,146,47,52,43,61,44,19
2020,5,20,"1,945","1,009",53,88,84,99,59,166,65,65,78,83,71,25
2020,5,30,"1,841","1,039",48,70,77,91,45,162,69,38,52,63,62,25
2020,5,40,"2,764","1,564",60,89,89,142,67,217,97,90,81,116,115,37
2020,5,50,"4,142","1,724",148,217,180,223,208,412,200,173,164,187,228,78
2020,5,60,"4,724","1,418",228,269,196,418,266,444,286,272,207,286,301,133
2020,5,70,"4,342","1,115",221,320,188,396,287,345,213,301,247,323,265,121
2020,5,80,"3,162",717,186,280,174,220,225,243,134,280,208,222,194,79
2020,5,90,464,89,34,40,30,23,35,36,20,36,28,34,42,17
2020,5,100,36,5,4,2,2,2,2,3,3,2,2,3,5,1
2020,6,총,"26,475","10,630","1,030","1,452","1,140","1,752","1,264","2,253","1,165","1,329","1,144","1,399","1,357",560
2020,6,0,"1,265",788,23,23,60,68,26,99,35,25,33,29,38,18
2020,6,10,"1,802","1,128",27,61,65,77,37,144,47,51,43,58,45,19
2020,6,20,"1,935","1,007",51,87,78,99,60,169,64,64,77,85,68,26
2020,6,30,"1,837","1,045",49,66,78,89,45,163,65,36,53,64,60,24
2020,6,40,"2,760","1,574",60,87,91,138,69,209,95,90,79,116,111,41
2020,6,50,"4,118","1,718",144,218,174,220,208,410,199,173,167,183,225,79
