년도,월,나이,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2020,1,총,"24,463","10,933","1,671","2,198","1,185","1,012","1,248","1,645",503,"1,424",944,"1,700"
2020,1,0,"1,226",805,52,82,24,25,41,71,15,39,18,54
2020,1,10,"1,780","1,154",78,133,61,43,42,86,22,50,41,70
2020,1,20,"2,110","1,328",101,139,71,59,54,126,30,63,43,96
2020,1,30,"1,702","1,052",81,140,51,36,54,83,15,60,32,98
2020,1,40,"2,543","1,529",157,188,83,61,82,134,30,73,81,125
2020,1,50,"4,164","1,752",316,399,226,175,197,304,86,254,155,300
2020,1,60,"4,328","1,459",343,437,251,226,289,323,98,332,196,374
2020,1,70,"3,648","1,119",268,398,223,194,257,280,113,274,200,322
2020,1,80,"2,515",620,232,241,161,172,188,211,81,232,146,231
2020,1,90,425,107,40,36,34,21,43,26,12,45,32,29
2020,1,100,22,8,3,5,0,0,1,1,1,2,0,1
2020,2,총,"24,374","10,885","1,678","2,184","1,178","1,003","1,246","1,633",500,"1,421",943,"1,703"
2020,2,0,"1,222",798,52,83,23,27,43,69,15,39,17,56
2020,2,10,"1,757","1,134",79,131,60,42,41,84,22,49,43,72
2020,2,20,"2,090","1,317",102,135,66,58,55,127,28,66,42,94
2020,2,30,"1,685","1,039",81,137,52,34,56,79,15,58,32,102
2020,2,40,"2,535","1,522",156,190,84,59,79,134,30,76,80,125
2020,2,50,"4,124","1,758",313,391,225,173,192,296,79,247,154,296
2020,2,60,"4,356","1,466",349,441,250,223,288,329,104,337,197,372
2020,2,70,"3,630","1,115",267,396,222,194,256,277,111,272,199,321
2020,2,80,"2,527",623,235,241,161,171,192,212,83,229,148,232
2020,2,90,425,104,41,35,35,22,43,25,12,45,31,32
2020,2,100,23,9,3,4,0,0,1,1,1,3,0,1
