년도,월,나이,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2020,3,총,"250,014","113,036","3,852","15,311","25,782","1,721","4,921","2,128","1,009","12,344","8,609","6,396","2,252","1,217","15,158","12,336","136,978","20,283","1,440","2,487","1,317","2,626","1,070",291,659,"8,121","8,822","10,085","11,598","16,427","11,187","35,692","4,873"
2020,3,0,"19,951","8,880",82,"1,217","2,941",39,287,33,16,629,323,207,116,85,"1,800","1,105","11,071","1,920",38,60,25,63,18,3,13,303,653,413,787,"1,488",715,"4,092",480
2020,3,10,"22,606","10,253",120,"1,821","2,728",77,394,72,33,755,384,354,127,98,"1,818","1,472","12,353","1,757",37,110,45,120,25,9,15,421,906,500,"1,003","1,450","1,177","4,211",567
2020,3,20,"24,680","11,183",212,"1,606","2,563",130,450,92,44,"1,452",752,483,231,155,"1,513","1,500","13,497","1,854",70,123,75,124,21,15,24,752,955,"1,069","1,089","1,826","1,223","3,875",402
2020,3,30,"29,173","13,091",214,"1,682","3,980",105,430,76,39,"1,333",719,471,227,133,"2,092","1,590","16,082","2,592",57,127,35,85,30,0,20,778,924,"1,058","1,179","2,185","1,076","5,313",623
2020,3,40,"38,927","17,505",302,"2,764","4,549",141,618,106,58,"1,580","1,011",683,219,165,"2,873","2,436","21,422","3,106",84,208,80,172,44,18,47,939,"1,544","1,207","1,768","2,674","1,795","6,879",857
2020,3,50,"45,592","20,413",643,"2,961","3,952",341,892,335,167,"2,438","1,742","1,251",412,247,"2,751","2,281","25,179","3,506",230,420,212,433,184,60,93,"1,460","1,872","1,913","2,239","3,264","2,443","6,058",792
2020,3,60,"38,062","17,742",965,"1,933","2,905",422,854,478,232,"2,625","2,211","1,634",485,184,"1,653","1,161","20,320","2,746",338,542,327,615,287,92,154,"1,761","1,220","2,243","2,087","2,055","1,715","3,426",712
2020,3,70,"19,255","8,826",788,821,"1,338",268,615,461,231,"1,101","1,054",902,301,97,395,454,"10,429","1,616",277,493,254,507,238,51,155,"1,142",481,"1,170",966,942,683,"1,147",307
2020,3,80,"10,022","4,390",452,435,720,167,326,403,162,363,351,342,115,47,215,292,"5,632","1,011",261,342,220,433,191,33,117,476,220,436,409,472,317,584,110
