년도,월,나이,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020,1,총,"314,238","6,725","73,466","4,281","20,906","19,851","21,126","5,640","6,661","3,261","4,553","20,419","9,648","7,136","37,190","18,121","26,035","29,219"
2020,1,0,"34,800",413,"9,748",230,"3,183","2,826","2,442",155,329,65,120,"1,844",967,285,"4,425","1,594","2,729","3,445"
2020,1,10,"34,332",522,"9,093",356,"2,810","1,632","1,377",294,428,130,205,"2,122",724,585,"4,889","2,461","3,048","3,656"
2020,1,20,"36,177",588,"9,095",315,"2,532","1,998","2,491",462,568,223,382,"2,379","1,123","1,009","4,479","2,039","3,560","2,934"
2020,1,30,"50,629",695,"14,049",280,"4,154","3,887","4,598",405,696,180,335,"2,652","1,869",597,"5,652","2,088","4,028","4,464"
2020,1,40,"55,122",947,"13,819",607,"4,270","3,317","3,286",608,977,299,439,"3,541","1,487",997,"6,833","3,441","4,685","5,569"
2020,1,50,"45,351","1,193","9,151",798,"2,140","2,678","3,045","1,088","1,333",568,887,"3,260","1,346","1,506","5,253","3,007","3,850","4,248"
2020,1,60,"29,625","1,102","4,785",758,935,"1,943","2,087","1,172","1,066",756,920,"2,290","1,100","1,114","3,020","1,819","2,210","2,548"
2020,1,70,"17,535",730,"2,423",552,544,957,"1,103",818,695,573,739,"1,490",661,681,"1,736","1,055","1,296","1,482"
2020,1,80,"9,359",468,"1,150",337,293,531,602,555,506,411,473,745,307,307,805,535,549,785
2020,1,90,"1,198",63,142,44,44,80,92,79,59,47,50,88,52,45,91,74,69,79
2020,1,100,110,4,11,4,1,2,3,4,4,9,3,8,12,10,7,8,11,9
2020,2,총,"313,875","6,686","73,460","4,277","20,942","19,801","21,204","5,616","6,639","3,248","4,551","20,340","9,649","7,139","37,079","18,091","25,958","29,195"
2020,2,0,"34,534",411,"9,705",230,"3,168","2,787","2,448",150,327,62,124,"1,808",966,286,"4,365","1,573","2,675","3,449"
2020,2,10,"34,281",514,"9,093",360,"2,815","1,635","1,395",286,420,133,205,"2,104",730,586,"4,855","2,459","3,059","3,632"
2020,2,20,"35,959",579,"9,029",304,"2,529","2,007","2,470",458,557,215,366,"2,399","1,106",985,"4,500","2,026","3,527","2,902"
2020,2,30,"50,204",681,"13,953",277,"4,124","3,842","4,600",394,698,182,337,"2,610","1,863",610,"5,557","2,064","3,958","4,454"
2020,2,40,"55,393",955,"13,916",613,"4,318","3,317","3,333",602,977,297,432,"3,543","1,511",975,"6,850","3,435","4,725","5,594"
2020,2,50,"45,341","1,185","9,170",792,"2,159","2,686","3,030","1,084","1,326",560,895,"3,240","1,341","1,510","5,255","3,016","3,856","4,236"
2020,2,60,"29,885","1,103","4,841",762,949,"1,955","2,118","1,185","1,073",760,924,"2,303","1,099","1,137","3,054","1,827","2,221","2,574"
2020,2,70,"17,517",723,"2,436",555,537,961,"1,103",816,694,571,734,"1,478",660,677,"1,732","1,066","1,298","1,476"
2020,2,80,"9,434",468,"1,160",333,296,529,609,557,504,413,481,761,308,316,814,541,556,788
2020,2,90,"1,216",63,145,46,46,80,95,80,59,46,50,86,53,47,91,76,72,81
2020,2,100,111,4,12,5,1,2,3,4,4,9,3,8,12,10,6,8,11,9
2020,3,총,"313,733","6,662","73,607","4,263","20,878","19,836","21,210","5,603","6,614","3,224","4,530","20,234","9,598","7,105","37,115","18,166","25,900","29,188"
2020,3,0,"34,386",401,"9,727",228,"3,141","2,761","2,455",146,321,63,118,"1,779",949,282,"4,344","1,588","2,649","3,434"
2020,3,10,"34,224",512,"9,063",354,"2,828","1,653","1,390",286,411,131,204,"2,097",725,580,"4,854","2,452","3,067","3,617"
2020,3,20,"35,969",583,"9,095",301,"2,486","2,026","2,472",449,564,208,372,"2,380","1,106",999,"4,491","2,021","3,513","2,903"
2020,3,30,"49,824",675,"13,872",274,"4,071","3,804","4,588",389,688,183,328,"2,580","1,838",590,"5,525","2,073","3,911","4,435"
2020,3,40,"55,376",942,"13,975",610,"4,317","3,322","3,337",592,977,290,423,"3,485","1,515",960,"6,878","3,446","4,723","5,584"
2020,3,50,"45,456","1,180","9,212",786,"2,188","2,708","3,024","1,082","1,316",546,891,"3,248","1,337","1,505","5,274","3,034","3,869","4,256"
2020,3,60,"30,073","1,102","4,888",765,962,"1,975","2,129","1,190","1,079",759,928,"2,319","1,091","1,137","3,088","1,851","2,218","2,592"
2020,3,70,"17,595",726,"2,458",555,540,973,"1,108",820,689,574,732,"1,475",664,677,"1,746","1,073","1,305","1,480"
2020,3,80,"9,490",474,"1,161",337,298,528,611,564,504,414,483,773,306,319,817,541,561,799
2020,3,90,"1,224",63,143,48,46,84,93,80,61,47,48,90,53,46,92,78,73,79
2020,3,100,116,4,13,5,1,2,3,5,4,9,3,8,14,10,6,9,11,9
2020,4,총,"313,757","6,622","73,619","4,256","20,956","19,825","21,249","5,600","6,591","3,229","4,529","20,178","9,577","7,051","37,053","18,420","25,818","29,184"
2020,4,0,"34,256",397,"9,674",228,"3,137","2,741","2,468",150,320,61,116,"1,761",955,275,"4,303","1,599","2,635","3,436"
2020,4,10,"34,201",510,"9,084",351,"2,832","1,650","1,401",281,409,132,197,"2,084",723,574,"4,856","2,462","3,053","3,602"
2020,4,20,"35,954",574,"9,064",303,"2,501","2,028","2,436",449,567,210,375,"2,371","1,094",986,"4,506","2,084","3,510","2,896"
2020,4,30,"49,651",661,"13,791",271,"4,077","3,789","4,609",391,680,186,325,"2,555","1,825",586,"5,469","2,124","3,883","4,429"
2020,4,40,"55,414",929,"14,036",600,"4,329","3,323","3,355",596,977,288,426,"3,469","1,513",941,"6,881","3,479","4,692","5,580"
2020,4,50,"45,495","1,183","9,254",773,"2,223","2,702","3,020","1,066","1,303",545,885,"3,253","1,326","1,497","5,265","3,077","3,857","4,266"
2020,4,60,"30,257","1,103","4,928",780,963,"1,997","2,140","1,198","1,071",764,934,"2,332","1,098","1,132","3,102","1,874","2,230","2,611"
2020,4,70,"17,650",720,"2,460",560,546,975,"1,111",818,693,574,734,"1,476",674,683,"1,756","1,093","1,302","1,475"
