년도,월,나이,진도군,진도읍,군내면,고군면,의신면,임회면,지산면,조도면,조도면가사출장소,조도면거차출장소
2020,1,총,"15,589","5,372","1,535","1,909","1,774","1,814","1,711","1,161",135,178
2020,1,0,916,465,67,106,64,62,63,69,7,13
2020,1,10,"1,110",551,92,127,85,98,75,59,4,19
2020,1,20,"1,077",502,79,135,108,108,83,49,8,5
2020,1,30,"1,060",539,71,127,90,78,74,64,8,9
2020,1,40,"1,523",730,137,167,149,126,90,102,10,12
2020,1,50,"2,371",891,216,282,278,292,240,139,14,19
2020,1,60,"2,497",689,281,350,327,322,311,165,19,33
2020,1,70,"2,805",601,322,324,374,392,436,281,31,44
2020,1,80,"1,951",352,240,256,258,283,299,211,30,22
2020,1,90,266,50,29,31,40,52,39,19,4,2
2020,1,100,13,2,1,4,1,1,1,3,0,0
2020,2,총,"15,554","5,379","1,524","1,898","1,762","1,818","1,705","1,156",135,177
2020,2,0,916,464,67,106,61,69,61,68,7,13
2020,2,10,"1,103",551,91,127,85,94,73,61,3,18
2020,2,20,"1,053",492,80,133,104,107,77,47,9,4
2020,2,30,"1,050",536,68,126,88,79,76,59,8,10
2020,2,40,"1,524",745,138,162,142,126,88,102,10,11
2020,2,50,"2,361",884,211,281,285,288,239,140,14,19
2020,2,60,"2,500",697,283,347,324,320,313,164,19,33
2020,2,70,"2,800",601,318,321,372,395,435,283,31,44
2020,2,80,"1,958",356,238,256,260,283,303,209,30,23
2020,2,90,273,51,29,34,40,56,38,19,4,2
2020,2,100,16,2,1,5,1,1,2,4,0,0
2020,3,총,"15,543","5,387","1,523","1,897","1,747","1,823","1,702","1,148",134,182
2020,3,0,918,463,69,108,60,71,60,65,7,15
2020,3,10,"1,090",552,89,123,81,94,70,60,3,18
2020,3,20,"1,058",493,78,134,102,109,76,53,9,4
2020,3,30,"1,037",530,68,124,85,79,78,55,8,10
2020,3,40,"1,522",750,138,162,138,124,88,99,10,13
2020,3,50,"2,334",880,212,274,282,286,231,135,14,20
2020,3,60,"2,523",710,281,354,324,314,321,167,19,33
2020,3,70,"2,799",596,316,322,374,401,432,282,31,45
2020,3,80,"1,964",360,241,253,257,286,305,210,30,22
2020,3,90,282,51,30,38,43,58,39,18,3,2
2020,3,100,16,2,1,5,1,1,2,4,0,0
2020,4,총,"15,513","5,363","1,528","1,891","1,744","1,820","1,696","1,154",135,182
2020,4,0,919,463,68,107,58,75,59,66,8,15
2020,4,10,"1,092",551,89,125,80,96,70,60,3,18
2020,4,20,"1,040",484,80,129,103,102,75,54,9,4
2020,4,30,"1,041",531,73,125,80,80,78,56,8,10
2020,4,40,"1,515",746,137,160,138,125,85,99,11,14
2020,4,50,"2,313",871,213,272,285,281,226,131,14,20
2020,4,60,"2,545",716,281,357,323,320,323,173,19,33
2020,4,70,"2,768",589,316,321,371,388,426,282,31,44
2020,4,80,"1,981",359,239,253,263,292,313,211,30,21
2020,4,90,283,51,31,37,42,60,39,18,2,3
2020,4,100,16,2,1,5,1,1,2,4,0,0
2020,5,총,"15,506","5,435","1,512","1,881","1,727","1,812","1,680","1,144",134,181
2020,5,0,914,475,64,104,54,70,60,64,8,15
2020,5,10,"1,087",556,89,123,78,95,69,57,2,18
2020,5,20,"1,036",499,71,126,99,100,73,54,10,4
2020,5,30,"1,036",539,73,124,77,77,76,53,7,10
2020,5,40,"1,519",762,137,152,136,128,81,98,11,14
2020,5,50,"2,302",875,210,274,280,277,223,130,14,19
2020,5,60,"2,552",727,278,357,322,322,322,171,19,34
2020,5,70,"2,764",591,315,322,373,387,421,282,30,43
2020,5,80,"1,988",357,241,256,262,294,314,212,31,21
2020,5,90,291,51,33,38,45,61,39,19,2,3
2020,5,100,17,3,1,5,1,1,2,4,0,0
2020,6,총,"15,489","5,445","1,505","1,885","1,721","1,800","1,671","1,143",137,182
2020,6,0,911,476,63,102,53,69,60,64,9,15
2020,6,10,"1,088",559,89,125,79,91,68,58,1,18
2020,6,20,"1,032",500,68,127,96,100,72,52,12,5
2020,6,30,"1,034",540,73,124,76,76,73,55,7,10
2020,6,40,"1,509",766,132,150,134,127,79,96,11,14
2020,6,50,"2,284",871,208,276,275,271,218,133,14,18
2020,6,60,"2,559",729,282,356,324,321,324,169,19,35
2020,6,70,"2,762",593,315,323,370,385,424,278,31,43
2020,6,80,"2,005",360,241,260,268,298,312,215,31,20
