년도,월,나이,강서구,대저1동,대저2동,강동동,명지1동,명지2동,가락동,녹산동,가덕도동
2020,8,40,"9,895",284,355,143,"3,423","3,199",70,"2,254",167
2020,8,50,"8,026",528,481,452,"2,275","1,663",234,"2,040",353
2020,8,60,"7,463",725,614,587,"1,804","1,218",285,"1,809",421
2020,8,70,"3,343",493,345,323,600,413,207,743,219
2020,8,80,"1,720",237,216,172,285,180,121,371,138
2020,8,90,364,47,49,43,67,32,24,68,34
2020,8,100,32,2,5,7,6,0,3,4,5
2020,9,총,"65,389","3,052","3,181","2,119","23,705","15,345","1,162","15,121","1,704"
2020,9,0,"9,693",91,239,46,"4,567","2,543",33,"2,120",54
2020,9,10,"5,561",129,220,68,"1,936","2,042",22,"1,073",71
2020,9,20,"5,625",268,287,139,"2,057","1,221",86,"1,450",117
2020,9,30,"13,250",246,374,144,"6,278","2,843",86,"3,156",123
2020,9,40,"10,062",283,355,140,"3,606","3,189",71,"2,256",162
2020,9,50,"8,139",529,472,452,"2,392","1,659",227,"2,055",353
2020,9,60,"7,556",727,620,584,"1,867","1,221",287,"1,821",429
2020,9,70,"3,372",495,344,322,627,416,203,745,220
2020,9,80,"1,726",235,214,174,297,177,120,371,138
2020,9,90,373,47,51,43,72,34,24,70,32
2020,9,100,32,2,5,7,6,0,3,4,5
2020,10,총,"65,972","3,063","3,189","2,110","24,357","15,287","1,160","15,110","1,696"
2020,10,0,"9,771",91,238,47,"4,697","2,510",34,"2,101",53
2020,10,10,"5,628",127,220,69,"1,999","2,053",22,"1,070",68
2020,10,20,"5,641",267,295,131,"2,097","1,216",84,"1,434",117
2020,10,30,"13,365",250,375,148,"6,452","2,778",85,"3,157",120
2020,10,40,"10,212",284,354,142,"3,715","3,220",73,"2,263",161
2020,10,50,"8,203",532,476,442,"2,467","1,652",224,"2,058",352
2020,10,60,"7,618",736,615,578,"1,914","1,232",288,"1,825",430
2020,10,70,"3,397",491,345,328,638,418,202,753,222
2020,10,80,"1,737",236,216,175,301,177,121,374,137
2020,10,90,368,47,50,43,71,31,24,71,31
2020,10,100,32,2,5,7,6,0,3,4,5
2020,11,총,"66,333","3,068","3,174","2,110","24,682","15,290","1,157","15,121","1,731"
2020,11,0,"9,769",90,240,41,"4,742","2,492",31,"2,081",52
2020,11,10,"5,707",126,217,70,"2,049","2,067",24,"1,081",73
2020,11,20,"5,671",268,289,127,"2,128","1,224",78,"1,438",119
2020,11,30,"13,375",253,371,145,"6,501","2,763",85,"3,133",124
2020,11,40,"10,326",282,347,142,"3,807","3,228",73,"2,285",162
2020,11,50,"8,236",535,474,438,"2,492","1,653",223,"2,053",368
2020,11,60,"7,704",737,620,592,"1,946","1,232",292,"1,848",437
2020,11,70,"3,403",494,347,325,641,421,201,753,221
2020,11,80,"1,747",233,217,178,302,179,123,376,139
2020,11,90,362,48,48,43,68,31,24,69,31
2020,11,100,33,2,4,9,6,0,3,4,5
2020,12,총,"66,712","3,071","3,144","2,104","25,098","15,268","1,154","15,118","1,755"
2020,12,0,"9,769",94,231,42,"4,791","2,476",30,"2,050",55
2020,12,10,"5,765",129,217,67,"2,087","2,074",24,"1,097",70
2020,12,20,"5,704",265,287,125,"2,192","1,207",81,"1,431",116
2020,12,30,"13,388",254,365,145,"6,591","2,755",80,"3,075",123
2020,12,40,"10,445",282,348,139,"3,901","3,234",72,"2,298",171
2020,12,50,"8,259",527,468,438,"2,523","1,649",224,"2,059",371
2020,12,60,"7,787",739,613,593,"1,977","1,244",293,"1,882",446
2020,12,70,"3,413",491,348,323,649,413,201,764,224
2020,12,80,"1,781",241,214,179,313,185,121,386,142
2020,12,90,367,47,49,43,68,31,25,72,32
2020,12,100,34,2,4,10,6,0,3,4,5
2021,1,총,"66,990","3,062","3,131","2,097","25,362","15,212","1,145","15,213","1,768"
2021,1,0,"9,766",95,226,40,"4,822","2,458",30,"2,043",52
2021,1,10,"5,819",127,213,65,"2,143","2,055",25,"1,119",72
2021,1,20,"5,671",260,287,125,"2,183","1,190",81,"1,426",119
2021,1,30,"13,415",255,363,145,"6,651","2,734",79,"3,062",126
2021,1,40,"10,561",279,349,139,"3,982","3,253",69,"2,321",169
2021,1,50,"8,266",528,461,435,"2,531","1,639",218,"2,082",372
2021,1,60,"7,861",734,617,594,"1,995","1,248",296,"1,925",452
2021,1,70,"3,433",489,347,323,664,420,198,770,222
2021,1,80,"1,786",241,216,178,318,182,118,387,146
2021,1,90,378,52,48,43,67,33,28,74,33
2021,1,100,34,2,4,10,6,0,3,4,5
2021,2,총,"67,206","3,050","3,147","2,088","25,457","15,188","1,138","15,342","1,796"
2021,2,0,"9,736",93,233,37,"4,793","2,436",31,"2,063",50
2021,2,10,"5,854",124,214,65,"2,160","2,060",25,"1,132",74
2021,2,20,"5,717",257,288,126,"2,211","1,187",80,"1,447",121
2021,2,30,"13,337",250,374,142,"6,610","2,713",77,"3,048",123
