년도,월,나이,시흥시,대야동,신천동,신현동,은행동,매화동,목감동,군자동,월곶동,정왕본동,정왕1동,정왕2동,정왕3동,정왕4동,배곧동,과림동,연성동,장곡동,능곡동,배곧1동,배곧2동
2020,1,총,"226,703","16,927","18,163","4,903","24,055","5,978","21,342","10,954","7,311","7,708","9,462","14,921","10,153","10,941","33,650",778,"11,982","8,753","8,722",,
2020,1,0,"22,910","1,152",918,257,"2,805",402,"3,247",878,739,629,766,"1,337",925,891,"5,557",20,943,790,654,,
2020,1,10,"24,222","1,496","1,788",401,"2,593",622,"1,675","1,131",698,555,998,"1,851","1,049","1,408","3,706",29,"1,562","1,457","1,203",,
2020,1,20,"30,315","2,570","2,779",662,"3,111",766,"2,119","1,344",768,"1,119","1,277","2,230","1,342","1,764","4,203",59,"1,751","1,217","1,234",,
2020,1,30,"34,297","2,216","1,836",483,"4,049",557,"4,593","1,332","1,113","1,427","1,394","1,891","1,373","1,269","7,495",61,"1,300",965,943,,
2020,1,40,"40,374","2,501","2,850",700,"4,053","1,006","3,302","1,820","1,376","1,418","1,819","2,946","1,904","2,150","6,337",59,"2,417","1,996","1,720",,
2020,1,50,"38,840","3,455","4,014","1,078","4,026","1,131","2,904","2,000","1,163","1,406","1,724","2,730","1,903","2,062","4,037",179,"2,148","1,416","1,464",,
2020,1,60,"19,185","1,882","2,124",670,"1,922",697,"2,004","1,292",806,655,817,999,891,663,"1,535",210,869,433,716,,
2020,1,70,"10,046",955,"1,138",387,875,472,904,707,401,319,433,568,462,439,525,98,614,297,452,,
2020,1,80,"5,532",587,611,233,530,289,498,379,209,150,199,331,239,264,217,48,318,155,275,,
2020,1,90,916,106,88,28,87,33,86,63,37,28,33,37,65,29,37,15,57,26,61,,
2020,1,100,66,7,17,4,4,3,10,8,1,2,2,1,0,2,1,0,3,1,0,,
2020,2,총,"227,174","17,517","18,114","4,880","24,060","5,973","21,307","10,894","7,310","7,673","9,415","14,881","10,131","10,922","33,865",782,"11,979","8,715","8,756",,
2020,2,0,"22,911","1,282",896,259,"2,791",399,"3,218",870,734,620,744,"1,316",915,875,"5,585",19,937,785,666,,
2020,2,10,"24,167","1,524","1,769",395,"2,584",616,"1,664","1,119",693,554,"1,002","1,846","1,044","1,403","3,743",29,"1,546","1,441","1,195",,
2020,2,20,"30,281","2,649","2,777",655,"3,073",759,"2,098","1,338",778,"1,106","1,263","2,220","1,323","1,756","4,227",60,"1,751","1,216","1,232",,
2020,2,30,"34,272","2,384","1,835",468,"4,039",559,"4,573","1,315","1,093","1,417","1,367","1,861","1,371","1,261","7,476",65,"1,290",944,954,,
2020,2,40,"40,529","2,588","2,825",699,"4,071","1,009","3,318","1,802","1,381","1,405","1,812","2,936","1,911","2,144","6,439",59,"2,407","1,997","1,726",,
2020,2,50,"38,965","3,491","4,023","1,073","4,034","1,122","2,916","1,994","1,178","1,403","1,731","2,752","1,898","2,082","4,040",179,"2,169","1,404","1,476",,
2020,2,60,"19,419","1,926","2,140",684,"1,958",707,"2,019","1,301",798,663,833,"1,006",897,669,"1,560",212,886,440,720,,
2020,2,70,"10,055",963,"1,133",382,879,474,903,705,408,319,430,570,465,438,528,96,611,296,455,,
2020,2,80,"5,587",598,612,235,543,290,496,378,208,157,197,336,244,263,228,48,317,163,274,,
2020,2,90,924,105,87,27,84,35,92,64,38,27,35,37,63,29,38,15,62,28,58,,
2020,2,100,64,7,17,3,4,3,10,8,1,2,1,1,0,2,1,0,3,1,0,,
2020,3,총,"227,639","17,757","18,113","4,890","24,160","5,968","21,288","10,845","7,374","7,668","9,378","14,878","10,112","10,907","34,037",782,"11,989","8,693","8,800",,
2020,3,0,"22,884","1,327",890,257,"2,811",393,"3,210",853,731,615,745,"1,307",895,859,"5,602",20,931,775,663,,
2020,3,10,"24,075","1,519","1,748",392,"2,574",607,"1,661","1,116",692,555,993,"1,838","1,041","1,389","3,769",29,"1,536","1,424","1,192",,
2020,3,20,"30,465","2,693","2,780",659,"3,091",757,"2,104","1,339",793,"1,116","1,256","2,208","1,332","1,765","4,276",62,"1,764","1,231","1,239",,
2020,3,30,"34,234","2,451","1,819",465,"4,038",561,"4,547","1,294","1,111","1,413","1,353","1,848","1,372","1,248","7,483",67,"1,287",928,949,,
2020,3,40,"40,514","2,615","2,812",704,"4,078","1,001","3,328","1,799","1,392","1,396","1,804","2,925","1,892","2,133","6,465",58,"2,398","1,985","1,729",,
2020,3,50,"39,123","3,521","4,034","1,070","4,074","1,130","2,900","1,976","1,173","1,404","1,724","2,770","1,900","2,107","4,066",179,"2,181","1,413","1,501",,
2020,3,60,"19,615","1,951","2,166",696,"1,977",711,"2,033","1,307",820,663,843,"1,033",901,667,"1,566",209,894,443,735,,
2020,3,70,"10,101",967,"1,140",382,876,477,910,709,415,318,426,572,468,442,538,95,607,301,458,,
2020,3,80,"5,617",599,618,234,546,294,493,380,207,159,197,339,247,264,232,48,326,159,275,,
2020,3,90,946,106,89,28,91,34,92,64,39,27,36,37,64,31,39,15,62,33,59,,
2020,3,100,65,8,17,3,4,3,10,8,1,2,1,1,0,2,1,0,3,1,0,,
2020,4,총,"228,152","17,864","18,153","4,873","24,331","5,949","21,307","10,816","7,428","7,665","9,355","14,915","10,123","10,897","34,174",775,"11,976","8,692","8,859",,
2020,4,0,"22,849","1,334",894,258,"2,817",389,"3,204",843,728,614,733,"1,307",890,853,"5,608",20,927,762,668,,
2020,4,10,"24,036","1,515","1,740",390,"2,585",607,"1,650","1,115",704,552,972,"1,835","1,044","1,380","3,791",28,"1,529","1,411","1,188",,
2020,4,20,"30,573","2,726","2,774",648,"3,111",751,"2,111","1,332",796,"1,112","1,268","2,218","1,338","1,768","4,300",63,"1,755","1,250","1,252",,
2020,4,30,"34,237","2,468","1,816",468,"4,085",559,"4,532","1,286","1,115","1,398","1,351","1,855","1,357","1,241","7,470",66,"1,285",927,958,,
2020,4,40,"40,518","2,609","2,809",693,"4,094",995,"3,341","1,786","1,397","1,392","1,799","2,916","1,880","2,129","6,529",57,"2,380","1,975","1,737",,
2020,4,50,"39,304","3,550","4,052","1,069","4,095","1,128","2,909","1,976","1,186","1,408","1,736","2,774","1,923","2,107","4,078",174,"2,203","1,420","1,516",,
2020,4,60,"19,802","1,965","2,189",695,"2,006",711,"2,053","1,312",835,676,837,"1,059",905,679,"1,585",210,894,447,744,,
2020,4,70,"10,136",975,"1,146",384,884,478,913,707,418,321,425,568,467,442,538,96,611,303,460,,
2020,4,80,"5,666",603,627,237,555,293,490,386,208,162,198,342,255,265,233,47,327,163,275,,
2020,4,90,964,111,88,28,94,35,94,65,40,28,36,39,64,31,41,14,62,33,61,,
2020,4,100,67,8,18,3,5,3,10,8,1,2,0,2,0,2,1,0,3,1,0,,
2020,5,총,"228,588","17,938","18,152","4,852","24,559","5,948","21,290","10,816","7,432","7,614","9,352","14,935","10,084","10,892","34,234",772,"11,963","8,667","9,088",,
2020,5,0,"22,812","1,353",883,251,"2,851",386,"3,169",839,722,609,731,"1,306",876,848,"5,578",20,927,755,708,,
2020,5,10,"23,995","1,508","1,729",392,"2,594",601,"1,648","1,105",703,559,963,"1,824","1,032","1,364","3,811",28,"1,526","1,406","1,202",,
2020,5,20,"30,592","2,726","2,777",641,"3,120",753,"2,105","1,329",793,"1,092","1,276","2,217","1,338","1,775","4,320",61,"1,742","1,242","1,285",,
2020,5,30,"34,245","2,467","1,811",459,"4,126",555,"4,521","1,289","1,111","1,382","1,353","1,864","1,344","1,237","7,446",64,"1,287",923,"1,006",,
2020,5,40,"40,530","2,621","2,794",689,"4,151",991,"3,350","1,776","1,392","1,379","1,782","2,889","1,881","2,124","6,564",56,"2,359","1,969","1,763",,
2020,5,50,"39,505","3,552","4,065","1,068","4,125","1,137","2,901","1,991","1,204","1,400","1,740","2,805","1,915","2,111","4,101",177,"2,225","1,425","1,563",,
2020,5,60,"19,977","2,003","2,205",694,"2,045",713,"2,075","1,316",838,680,849,"1,064",915,688,"1,590",208,895,442,757,,
2020,5,70,"10,192",980,"1,156",390,891,479,928,711,417,319,419,572,464,442,544,96,613,305,466,,
2020,5,80,"5,696",609,623,235,556,292,489,386,212,165,203,349,254,270,238,49,325,166,275,,
2020,5,90,975,111,90,30,95,38,93,66,39,27,36,43,65,31,41,13,61,33,63,,
2020,5,100,69,8,19,3,5,3,11,8,1,2,0,2,0,2,1,0,3,1,0,,
