년도,월,나이,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020,1,총,"110,310","5,805","4,369","2,964","2,109","2,885","1,866","1,882","2,113","2,657","3,568","2,831","1,734","2,377","1,283","2,173","18,061","3,116","20,770","3,599","10,300","5,755","4,313","3,780"
2020,1,0,"6,848",281,194,68,61,70,54,64,38,93,101,57,53,107,33,64,"1,603",170,"1,756",197,"1,002",430,198,154
2020,1,10,"10,170",422,295,166,70,116,96,111,90,121,161,78,72,155,53,104,"2,177",327,"2,824",303,"1,322",498,368,241
2020,1,20,"10,899",431,429,235,134,190,122,159,129,183,271,155,101,150,85,132,"2,262",363,"2,462",360,"1,181",575,452,338
2020,1,30,"9,415",443,319,151,116,213,94,102,108,157,168,169,116,120,56,99,"2,118",260,"2,032",295,"1,093",611,319,256
2020,1,40,"15,401",681,496,266,191,272,167,186,197,246,386,250,158,262,112,227,"3,298",489,"3,487",418,"1,739",860,552,461
2020,1,50,"18,901",988,876,587,387,484,293,382,355,470,636,476,302,405,251,382,"2,945",549,"3,350",595,"1,719",950,840,679
2020,1,60,"16,206",976,727,550,389,583,371,336,396,502,681,630,326,426,274,427,"1,831",396,"2,425",605,"1,117",874,720,644
2020,1,70,"13,306",924,585,509,425,547,374,309,416,498,618,575,326,430,256,420,"1,187",340,"1,576",518,743,656,507,567
2020,1,80,"7,953",577,392,377,294,358,251,201,342,344,482,387,242,289,139,284,541,199,732,237,337,253,316,379
2020,1,90,"1,106",74,52,55,42,47,41,31,41,40,62,50,37,29,24,33,84,20,110,55,41,44,38,56
2020,1,100,105,8,4,0,0,5,3,1,1,3,2,4,1,4,0,1,15,3,16,16,6,4,3,5
2020,2,총,"110,120","5,773","4,367","2,966","2,107","2,873","1,849","1,881","2,134","2,662","3,558","2,829","1,722","2,385","1,280","2,176","17,923","3,092","20,642","3,579","10,390","5,823","4,308","3,801"
2020,2,0,"6,792",276,194,71,63,69,54,62,37,87,100,58,50,108,34,64,"1,583",165,"1,713",193,"1,011",448,202,150
2020,2,10,"10,119",421,292,167,73,119,89,113,93,124,160,80,68,156,53,102,"2,143",323,"2,804",300,"1,317",509,366,247
2020,2,20,"10,807",423,427,232,133,182,118,153,126,183,267,152,101,148,88,125,"2,224",354,"2,441",363,"1,197",582,447,341
2020,2,30,"9,358",438,324,155,116,212,97,101,113,159,167,167,111,123,56,105,"2,087",251,"1,992",290,"1,098",611,318,267
2020,2,40,"15,397",679,492,268,189,270,161,188,199,246,386,249,154,260,105,223,"3,297",492,"3,469",416,"1,757",886,552,459
2020,2,50,"18,847",972,873,582,384,478,293,380,362,462,629,475,304,405,248,384,"2,928",543,"3,349",599,"1,726",960,831,680
2020,2,60,"16,273",988,731,551,391,591,366,337,400,512,683,625,326,425,278,432,"1,836",401,"2,429",593,"1,144",867,726,641
2020,2,70,"13,292",916,584,512,418,542,377,308,418,496,613,577,328,434,254,422,"1,186",340,"1,572",514,753,653,505,570
2020,2,80,"8,019",581,393,372,298,360,250,207,343,347,487,390,240,293,140,285,541,201,748,240,341,258,319,385
2020,2,90,"1,111",71,52,56,42,45,42,31,42,43,64,52,39,30,24,33,81,19,109,56,40,45,39,56
2020,2,100,105,8,5,0,0,5,2,1,1,3,2,4,1,3,0,1,17,3,16,15,6,4,3,5
2020,3,총,"109,951","5,742","4,349","2,948","2,105","2,861","1,844","1,875","2,138","2,648","3,545","2,826","1,720","2,372","1,273","2,169","17,831","3,078","20,596","3,528","10,466","5,942","4,268","3,827"
2020,3,0,"6,755",275,193,67,63,69,53,62,41,82,97,55,49,103,35,63,"1,566",166,"1,703",183,"1,019",463,199,149
2020,3,10,"10,030",416,290,164,75,113,88,112,95,123,156,78,67,152,51,101,"2,109",311,"2,780",286,"1,333",528,356,246
2020,3,20,"10,825",423,414,232,132,182,116,149,125,182,266,148,100,152,85,128,"2,248",358,"2,444",359,"1,196",591,441,354
2020,3,30,"9,302",432,320,142,117,214,93,101,114,156,166,168,111,118,55,102,"2,050",242,"1,997",278,"1,118",626,309,273
2020,3,40,"15,335",672,493,266,190,266,162,185,196,243,377,245,155,264,101,219,"3,278",487,"3,445",411,"1,752",929,543,456
2020,3,50,"18,804",965,874,585,387,468,292,379,359,465,626,469,298,397,255,381,"2,916",550,"3,337",590,"1,734",968,826,683
2020,3,60,"16,338",982,731,543,386,598,372,337,400,512,686,635,333,427,275,437,"1,851",400,"2,440",598,"1,163",863,722,647
2020,3,70,"13,275",917,581,513,412,541,375,310,416,494,619,577,325,435,255,419,"1,175",341,"1,573",514,753,654,508,568
2020,3,80,"8,063",581,393,380,303,361,249,206,347,345,487,392,240,291,137,285,540,201,750,237,353,271,322,392
2020,3,90,"1,119",71,55,56,40,44,42,33,44,43,63,55,41,30,24,33,81,19,111,57,39,45,39,54
2020,3,100,105,8,5,0,0,5,2,1,1,3,2,4,1,3,0,1,17,3,16,15,6,4,3,5
2020,4,총,"109,763","5,727","4,342","2,933","2,111","2,847","1,834","1,870","2,127","2,638","3,533","2,823","1,715","2,371","1,272","2,160","17,788","3,065","20,550","3,505","10,452","6,024","4,252","3,824"
2020,4,0,"6,737",277,196,67,62,68,51,62,41,83,95,56,47,103,35,64,"1,548",165,"1,698",179,"1,024",473,199,144
2020,4,10,"9,981",413,292,162,78,111,86,112,89,122,155,76,67,152,51,98,"2,096",311,"2,763",284,"1,329",536,351,247
2020,4,20,"10,768",414,407,222,131,173,113,149,125,177,264,144,99,155,85,124,"2,249",357,"2,440",364,"1,183",597,437,359
2020,4,30,"9,248",425,320,146,116,212,92,96,109,155,159,169,111,117,55,103,"2,030",240,"1,976",274,"1,126",641,310,266
2020,4,40,"15,267",675,480,265,189,266,162,182,192,242,381,239,150,259,100,217,"3,256",483,"3,425",404,"1,748",956,539,457
2020,4,50,"18,797",963,878,579,389,465,293,382,354,465,619,465,301,394,255,377,"2,936",551,"3,343",578,"1,729",972,824,685
2020,4,60,"16,357",984,732,546,389,597,371,338,405,507,689,644,330,434,277,436,"1,845",396,"2,432",603,"1,161",867,723,651
2020,4,70,"13,266",914,584,510,414,537,373,307,418,491,616,578,323,432,249,422,"1,186",340,"1,583",513,751,660,500,565
2020,4,80,"8,101",583,392,379,304,368,248,206,347,350,492,392,244,293,140,284,542,200,758,236,354,272,327,390
2020,4,90,"1,136",71,56,57,39,45,43,35,46,43,61,56,42,30,25,34,83,19,116,55,40,46,39,55
2020,4,100,105,8,5,0,0,5,2,1,1,3,2,4,1,2,0,1,17,3,16,15,7,4,3,5
2020,5,총,"109,646","5,705","4,328","2,919","2,118","2,847","1,815","1,858","2,118","2,631","3,499","2,827","1,710","2,380","1,266","2,156","17,763","3,057","20,567","3,492","10,461","6,059","4,252","3,818"
2020,5,0,"6,699",275,195,62,63,71,51,60,41,84,92,57,49,101,35,64,"1,539",161,"1,686",176,"1,020",472,204,141
2020,5,10,"9,931",406,287,162,81,112,83,111,87,120,150,74,65,157,50,94,"2,088",313,"2,751",282,"1,330",538,346,244
2020,5,20,"10,749",406,408,217,130,167,112,146,126,175,260,148,94,155,83,124,"2,248",354,"2,452",361,"1,188",600,431,364
2020,5,30,"9,201",419,313,145,117,212,90,95,107,151,155,170,110,119,53,101,"2,012",238,"1,974",266,"1,134",649,312,259
2020,5,40,"15,227",674,476,262,189,268,157,180,187,242,371,237,147,262,100,219,"3,244",484,"3,423",399,"1,746",968,530,462
2020,5,50,"18,767",959,879,577,389,460,291,376,358,465,611,467,300,390,252,372,"2,930",550,"3,349",581,"1,723",974,832,682
2020,5,60,"16,376",985,736,546,389,598,368,339,402,507,688,642,330,436,277,433,"1,853",397,"2,441",608,"1,156",867,725,653
2020,5,70,"13,314",921,581,509,414,538,372,308,419,485,616,579,329,433,250,425,"1,202",340,"1,593",512,757,668,502,561
2020,5,80,"8,145",580,393,379,308,371,247,206,345,356,493,394,243,294,141,289,549,198,770,238,360,273,329,389
2020,5,90,"1,130",72,55,60,38,45,42,36,45,43,61,55,42,31,25,34,81,19,110,54,40,46,38,58
2020,5,100,107,8,5,0,0,5,2,1,1,3,2,4,1,2,0,1,17,3,18,15,7,4,3,5
2020,6,총,"109,503","5,701","4,311","2,915","2,102","2,841","1,807","1,857","2,104","2,619","3,496","2,822","1,703","2,388","1,257","2,157","17,723","3,044","20,614","3,493","10,436","6,041","4,222","3,850"
2020,6,0,"6,664",272,193,60,62,71,50,60,41,85,89,54,51,103,35,64,"1,529",158,"1,685",177,"1,008",469,209,139
2020,6,10,"9,873",398,286,162,79,111,81,108,84,119,151,74,68,158,49,93,"2,075",311,"2,747",280,"1,317",534,346,242
2020,6,20,"10,747",405,402,212,130,166,111,148,124,173,258,148,92,157,83,126,"2,237",353,"2,461",359,"1,198",601,418,385
2020,6,30,"9,173",419,304,150,114,208,87,98,104,150,155,169,109,121,49,99,"2,012",236,"1,972",265,"1,133",643,308,268
2020,6,40,"15,164",668,472,257,187,263,158,180,179,240,368,236,149,265,99,222,"3,236",478,"3,435",398,"1,739",958,521,456
2020,6,50,"18,683",957,878,573,380,457,277,370,357,459,602,462,295,388,250,369,"2,917",547,"3,372",577,"1,704",981,824,687
2020,6,60,"16,471",992,737,552,389,602,378,345,403,511,694,649,332,442,280,434,"1,866",397,"2,447",613,"1,166",855,730,657
2020,6,70,"13,341",925,581,511,416,537,371,306,419,484,620,577,327,426,248,426,"1,205",344,"1,601",515,763,675,500,564
2020,6,80,"8,140",584,399,378,308,374,249,206,345,350,495,391,237,295,139,288,552,196,765,240,360,275,324,390
2020,6,90,"1,140",73,54,60,36,47,43,35,47,45,62,58,42,31,25,35,77,21,111,54,41,47,39,57
2020,6,100,107,8,5,0,1,5,2,1,1,3,2,4,1,2,0,1,17,3,18,15,7,3,3,5
2020,7,총,"109,355","5,675","4,301","2,908","2,094","2,838","1,815","1,856","2,102","2,602","3,474","2,820","1,700","2,374","1,254","2,167","17,674","3,019","20,661","3,488","10,429","6,031","4,213","3,860"
2020,7,0,"6,624",268,183,58,64,73,50,58,40,84,87,54,52,103,35,65,"1,521",156,"1,682",175,"1,001",465,209,141
2020,7,10,"9,832",393,285,166,78,110,82,107,87,117,149,72,66,151,49,94,"2,055",302,"2,756",280,"1,316",530,349,238
2020,7,20,"10,720",396,406,209,128,162,112,148,123,171,250,145,91,160,82,124,"2,224",341,"2,472",362,"1,200",604,423,387
2020,7,30,"9,131",413,297,145,112,212,88,96,106,148,153,174,107,113,51,101,"1,992",231,"1,980",267,"1,127",638,301,279
2020,7,40,"15,119",668,480,255,192,262,158,181,179,237,362,237,150,261,98,222,"3,220",477,"3,440",389,"1,734",948,520,449
2020,7,50,"18,664",952,864,575,368,448,278,372,346,458,600,464,291,389,247,372,"2,933",550,"3,378",574,"1,710",988,816,691
