년도,월,나이,남구,이천동,봉덕1동,봉덕2동,봉덕3동,대명1동,대명2동,대명3동,대명4동,대명5동,대명6동,대명9동,대명10동,대명11동
2020,1,총,"76,715","6,759","4,796","5,697","9,063","5,988","6,007","5,620","5,848","4,280","5,076","8,173","4,946","4,462"
2020,1,0,"3,455",404,196,319,397,286,216,200,251,136,309,405,173,163
2020,1,10,"4,717",498,242,451,714,375,356,301,305,223,322,447,265,218
2020,1,20,"9,871",635,578,545,"1,014",838,"1,021",686,780,825,670,"1,147",672,460
2020,1,30,"8,526",726,553,560,972,712,664,546,577,471,713,"1,065",545,422
2020,1,40,"10,439","1,075",675,809,"1,403",821,728,693,701,479,727,"1,156",632,540
2020,1,50,"13,179","1,020",843,972,"1,499","1,056",966,"1,004","1,093",703,816,"1,452",875,880
2020,1,60,"12,676",995,778,967,"1,482",977,928,"1,063","1,091",653,736,"1,214",887,905
2020,1,70,"8,651",851,542,632,972,594,715,738,675,504,468,832,560,568
2020,1,80,"4,481",466,340,382,531,265,369,334,330,243,268,382,301,270
2020,1,90,657,82,44,57,70,61,40,46,41,39,44,64,35,34
2020,1,100,63,7,5,3,9,3,4,9,4,4,3,9,1,2
2020,2,총,"76,718","6,687","4,801","5,692","9,082","6,009","6,015","5,617","5,822","4,291","5,087","8,195","4,959","4,461"
2020,2,0,"3,454",395,195,326,409,286,210,192,252,130,312,404,176,167
2020,2,10,"4,688",494,244,445,706,375,370,304,297,219,314,449,256,215
2020,2,20,"9,930",625,584,544,"1,020",844,"1,022",688,781,856,683,"1,144",691,448
2020,2,30,"8,460",712,545,558,962,710,664,535,561,461,710,"1,077",544,421
2020,2,40,"10,449","1,054",678,811,"1,405",826,727,700,701,481,733,"1,164",626,543
2020,2,50,"13,155","1,012",846,966,"1,505","1,057",976,997,"1,077",703,811,"1,454",871,880
2020,2,60,"12,710",995,777,963,"1,495",985,918,"1,063","1,104",650,742,"1,215",894,909
2020,2,70,"8,637",843,542,633,968,594,715,739,675,502,467,835,554,570
2020,2,80,"4,503",467,338,382,532,269,369,339,329,247,269,381,308,273
2020,2,90,667,83,47,60,70,59,40,51,41,38,43,63,38,34
2020,2,100,65,7,5,4,10,4,4,9,4,4,3,9,1,1
2020,3,총,"76,835","6,675","4,837","5,698","9,123","6,006","6,040","5,621","5,811","4,330","5,081","8,198","4,964","4,451"
2020,3,0,"3,452",392,201,334,412,285,210,188,248,131,305,403,177,166
2020,3,10,"4,647",493,247,434,701,369,372,303,291,222,312,444,248,211
2020,3,20,"10,023",616,590,538,"1,026",859,"1,054",699,788,866,690,"1,152",698,447
2020,3,30,"8,430",704,555,559,972,700,652,527,553,467,704,"1,066",551,420
2020,3,40,"10,389","1,052",672,804,"1,400",816,729,697,700,481,723,"1,158",620,537
2020,3,50,"13,187","1,022",847,968,"1,520","1,069",974,998,"1,067",704,811,"1,453",872,882
2020,3,60,"12,798",990,790,977,"1,512",981,923,"1,068","1,112",667,749,"1,232",895,902
2020,3,70,"8,660",846,546,634,965,597,718,738,676,502,471,836,554,577
2020,3,80,"4,521",470,340,385,537,269,364,343,332,250,269,381,309,272
2020,3,90,660,83,44,60,68,57,40,51,40,36,43,63,39,36
2020,3,100,68,7,5,5,10,4,4,9,4,4,4,10,1,1
2020,4,총,"76,775","6,664","4,830","5,695","9,109","6,008","6,051","5,612","5,814","4,321","5,068","8,204","4,959","4,440"
2020,4,0,"3,440",387,203,333,407,288,208,185,253,130,298,404,175,169
2020,4,10,"4,630",491,247,436,700,362,369,305,291,222,310,443,246,208
2020,4,20,"10,052",619,586,532,"1,032",867,"1,071",698,785,875,686,"1,160",694,447
2020,4,30,"8,399",698,546,562,963,703,658,527,558,457,697,"1,065",554,411
2020,4,40,"10,370","1,056",682,793,"1,401",804,730,702,694,474,725,"1,156",612,541
2020,4,50,"13,127","1,017",838,977,"1,505","1,077",967,993,"1,065",697,811,"1,443",879,858
2020,4,60,"12,820",982,793,980,"1,516",978,919,"1,063","1,112",674,752,"1,245",892,914
2020,4,70,"8,657",847,542,631,967,599,718,736,677,501,473,830,557,579
2020,4,80,"4,553",471,345,384,538,272,366,344,337,252,269,388,311,276
2020,4,90,661,89,43,62,71,55,42,50,37,34,43,61,38,36
2020,4,100,66,7,5,5,9,3,3,9,5,5,4,9,1,1
2020,5,총,"76,676","6,632","4,821","5,670","9,099","5,999","6,060","5,617","5,805","4,317","5,055","8,213","4,946","4,442"
2020,5,0,"3,416",380,207,331,404,282,208,183,251,129,292,408,172,169
2020,5,10,"4,612",489,240,433,697,360,369,306,290,224,314,442,243,205
2020,5,20,"10,087",613,588,527,"1,028",878,"1,077",707,792,874,687,"1,169",695,452
2020,5,30,"8,363",687,546,555,956,701,663,523,556,460,690,"1,061",557,408
2020,5,40,"10,304","1,055",684,788,"1,395",787,722,695,690,478,729,"1,146",599,536
2020,5,50,"13,114","1,012",832,970,"1,513","1,089",965,990,"1,068",691,800,"1,444",882,858
2020,5,60,"12,799",981,793,978,"1,517",967,921,"1,064","1,103",668,753,"1,246",887,921
2020,5,70,"8,674",847,541,636,968,599,719,737,679,501,477,842,555,573
2020,5,80,"4,572",473,342,383,539,277,367,353,333,255,268,385,317,280
2020,5,90,669,87,43,64,73,56,46,50,38,33,41,61,38,39
2020,5,100,66,8,5,5,9,3,3,9,5,4,4,9,1,1
2020,6,총,"76,537","6,606","4,809","5,671","9,104","5,972","6,053","5,602","5,772","4,309","5,055","8,199","4,946","4,439"
2020,6,0,"3,395",380,202,332,412,275,211,178,244,129,291,401,171,169
2020,6,10,"4,590",490,241,434,694,354,364,306,285,224,309,440,243,206
2020,6,20,"10,103",612,585,520,"1,022",874,"1,088",712,801,869,694,"1,169",699,458
2020,6,30,"8,300",676,541,552,953,698,663,512,540,462,690,"1,056",554,403
2020,6,40,"10,281","1,055",666,799,"1,396",782,718,691,677,478,730,"1,149",600,540
2020,6,50,"13,030","1,003",837,963,"1,499","1,083",959,990,"1,064",683,799,"1,434",873,843
2020,6,60,"12,843",984,795,989,"1,531",971,918,"1,065","1,101",670,748,"1,255",891,925
2020,6,70,"8,682",847,548,634,975,600,714,732,681,500,482,839,558,572
2020,6,80,"4,573",462,347,378,541,277,370,352,337,257,266,386,317,283
2020,6,90,674,89,42,66,72,55,45,55,37,33,42,61,39,38
2020,6,100,66,8,5,4,9,3,3,9,5,4,4,9,1,2
2020,7,총,"76,539","6,587","4,830","5,650","9,122","5,966","6,027","5,600","5,769","4,271","5,073","8,223","4,955","4,466"
2020,7,0,"3,387",379,207,327,414,268,204,178,243,130,291,406,169,171
2020,7,10,"4,559",488,237,431,685,354,367,303,286,214,309,432,241,212
2020,7,20,"10,120",607,586,514,"1,023",864,"1,100",728,787,861,705,"1,164",709,472
2020,7,30,"8,332",669,549,549,958,693,670,509,550,467,689,"1,076",549,404
2020,7,40,"10,251","1,057",666,789,"1,392",787,714,684,673,465,735,"1,152",596,541
2020,7,50,"13,003","1,004",831,965,"1,500","1,091",936,991,"1,061",682,794,"1,427",882,839
2020,7,60,"12,854",982,798,988,"1,546",970,914,"1,059","1,102",662,758,"1,260",890,925
2020,7,70,"8,711",844,562,635,977,599,705,736,686,499,481,850,562,575
2020,7,80,"4,578",460,345,380,544,283,371,351,336,252,266,385,317,288
2020,7,90,679,89,44,68,74,54,43,52,40,35,41,63,39,37
2020,7,100,65,8,5,4,9,3,3,9,5,4,4,8,1,2
2020,8,총,"76,491","6,595","4,843","5,648","9,127","5,969","5,976","5,604","5,778","4,223","5,065","8,222","4,976","4,465"
2020,8,0,"3,353",376,206,329,408,264,205,175,240,127,289,395,168,171
2020,8,10,"4,554",483,236,434,693,352,359,302,289,210,311,437,236,212
2020,8,20,"10,162",614,595,509,"1,019",868,"1,098",739,791,864,702,"1,174",714,475
2020,8,30,"8,298",668,555,552,953,703,671,509,551,443,691,"1,058",546,398
2020,8,40,"10,228","1,053",672,787,"1,399",781,703,679,669,456,731,"1,158",598,542
2020,8,50,"12,958",999,835,969,"1,487","1,085",919,980,"1,060",679,792,"1,427",893,833
2020,8,60,"12,894",991,796,982,"1,555",974,906,"1,067","1,108",659,758,"1,264",906,928
2020,8,70,"8,714",841,557,633,983,599,707,737,688,492,483,849,566,579
2020,8,80,"4,582",471,340,383,539,285,360,356,337,257,263,390,312,289
2020,8,90,682,91,46,66,82,55,44,51,40,33,40,62,36,36
2020,8,100,66,8,5,4,9,3,4,9,5,3,5,8,1,2
2020,9,총,"76,288","6,579","4,838","5,636","9,134","5,977","5,892","5,605","5,774","4,136","5,067","8,224","4,967","4,459"
2020,9,0,"3,310",371,200,326,411,257,205,175,241,116,285,391,169,163
2020,9,10,"4,514",482,237,433,687,351,350,295,290,209,306,432,229,213
2020,9,20,"10,173",608,603,513,"1,034",878,"1,094",739,782,841,715,"1,175",716,475
2020,9,30,"8,251",664,542,540,941,703,671,512,554,432,692,"1,062",543,395
2020,9,40,"10,174","1,050",671,778,"1,390",776,695,677,673,443,731,"1,152",593,545
2020,9,50,"12,907",996,832,978,"1,489","1,090",892,974,"1,051",665,791,"1,427",900,822
2020,9,60,"12,903",984,793,979,"1,559",976,894,"1,078","1,118",652,754,"1,273",907,936
2020,9,70,"8,704",842,565,635,983,603,687,743,687,484,480,850,562,583
2020,9,80,"4,600",479,345,385,549,284,355,352,334,259,267,389,314,288
2020,9,90,685,95,45,64,81,56,45,51,40,32,41,65,33,37
2020,9,100,67,8,5,5,10,3,4,9,4,3,5,8,1,2
