년도,월,나이,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동,인천광역시 서구 아라동
2020,3,총,"274,696","23,551","21,526","15,646","24,428","13,368","14,352","3,539","5,073","11,827","7,158","7,677","16,346","6,425","10,137","8,478","5,654","17,192","11,541","12,400","14,158","12,693","11,527",
2020,3,0,"26,948","2,554","1,325","2,108","3,726","2,202","1,808",183,259,679,406,377,"1,455",331,755,374,395,"1,501","1,046","1,418","1,596","1,264","1,186",
2020,3,10,"29,327","2,367","1,953","2,221","3,183","1,757","1,104",247,426,866,514,664,"1,533",464,"1,011",711,428,"1,795","1,494","1,810","1,731","1,400","1,648",
2020,3,20,"38,214","3,401","3,623","1,850","2,956","1,450","1,831",604,878,"1,824","1,027","1,272","2,337",921,"1,650","1,242",758,"2,507","1,518","1,352","1,931","1,710","1,572",
2020,3,30,"41,786","4,464","2,766","2,984","4,076","2,327","2,642",521,664,"1,721",909,943,"2,361",869,"1,339","1,085",914,"2,667","1,337","1,711","2,352","1,684","1,450",
2020,3,40,"49,041","4,486","3,400","3,200","4,919","2,683","2,375",472,718,"1,846","1,081","1,185","2,595","1,092","1,461","1,189",845,"3,072","2,302","2,858","2,750","2,279","2,233",
2020,3,50,"47,331","3,434","4,516","2,020","3,235","1,755","2,315",855,"1,116","2,400","1,469","1,635","3,067","1,366","1,931","1,734","1,067","3,093","2,039","1,862","2,244","2,268","1,910",
2020,3,60,"27,763","1,860","2,563",902,"1,653",902,"1,534",493,721,"1,671","1,125","1,025","2,083",893,"1,362","1,368",858,"1,652",998,805,"1,000","1,357",938,
2020,3,70,"10,736",756,945,259,524,225,594,130,207,643,479,451,728,370,472,591,290,681,577,422,390,553,449,
2020,3,80,"3,210",204,387,98,140,61,135,27,79,155,134,117,174,104,137,166,80,207,215,151,147,164,128,
2020,3,90,311,22,44,4,16,5,12,4,5,18,14,8,12,13,19,17,17,14,14,10,16,14,13,
2020,3,100,29,3,4,0,0,1,2,3,0,4,0,0,1,2,0,1,2,3,1,1,1,0,0,
2020,4,총,"274,644","23,545","21,476","15,657","24,477","13,402","14,355","3,531","5,061","11,834","7,141","7,623","16,312","6,455","10,109","8,480","5,634","17,203","11,565","12,413","14,166","12,679","11,526",
2020,4,0,"26,846","2,556","1,309","2,101","3,722","2,197","1,800",179,258,677,407,375,"1,451",338,754,375,389,"1,486","1,045","1,410","1,600","1,240","1,177",
2020,4,10,"29,277","2,360","1,945","2,216","3,176","1,788","1,098",239,419,861,507,656,"1,529",462,999,709,431,"1,789","1,497","1,811","1,735","1,408","1,642",
2020,4,20,"38,208","3,390","3,621","1,857","2,964","1,444","1,843",613,879,"1,829","1,015","1,263","2,309",919,"1,638","1,241",759,"2,527","1,527","1,365","1,925","1,706","1,574",
2020,4,30,"41,694","4,435","2,762","2,987","4,077","2,322","2,619",518,668,"1,717",913,932,"2,367",875,"1,344","1,082",907,"2,648","1,341","1,698","2,355","1,676","1,451",
2020,4,40,"48,986","4,495","3,361","3,198","4,947","2,689","2,385",474,708,"1,854","1,066","1,177","2,593","1,090","1,450","1,186",839,"3,093","2,298","2,838","2,756","2,266","2,223",
2020,4,50,"47,324","3,439","4,508","2,024","3,249","1,760","2,320",850,"1,119","2,391","1,467","1,618","3,041","1,384","1,914","1,730","1,047","3,084","2,051","1,894","2,238","2,277","1,919",
2020,4,60,"27,919","1,880","2,575",904,"1,655",905,"1,545",493,721,"1,673","1,135","1,029","2,102",892,"1,383","1,371",864,"1,658",997,812,"1,008","1,370",947,
