년도,월,나이,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2020,1,총,"64,851","12,507","9,982",622,227,"3,217","2,989","4,453","3,954","5,050","1,914","2,668","3,393","2,363","3,166","2,335","3,155","1,330","1,526"
2020,1,0,"2,691","1,049",543,14,4,68,71,131,94,111,57,49,86,72,114,70,81,30,47
2020,1,10,"4,136","1,529",812,19,15,100,143,205,180,242,95,93,149,108,133,74,106,59,74
2020,1,20,"4,504","1,242",854,12,8,166,143,266,222,301,95,128,237,139,221,141,160,76,93
2020,1,30,"3,909","1,211",771,20,13,142,150,209,161,233,76,110,152,123,176,112,125,48,77
2020,1,40,"6,619","1,939","1,246",28,37,241,233,391,352,453,161,191,284,168,267,155,236,100,137
2020,1,50,"10,656","1,928","1,723",54,46,505,513,718,683,851,307,446,629,391,515,417,462,201,267
2020,1,60,"12,354","1,684","1,815",104,28,718,628,911,819,"1,033",414,560,702,551,667,486,624,276,334
2020,1,70,"11,516","1,198","1,444",185,48,722,567,958,830,"1,075",410,598,616,451,572,484,748,312,298
2020,1,80,"7,259",597,661,160,27,469,467,605,527,659,253,404,451,312,432,345,518,191,181
2020,1,90,"1,160",125,109,26,1,86,71,57,79,85,44,89,82,46,66,49,91,36,18
2020,1,100,47,5,4,0,0,0,3,2,7,7,2,0,5,2,3,2,4,1,0
2020,2,총,"64,728","12,472","9,967",620,226,"3,223","2,983","4,449","3,947","5,036","1,912","2,672","3,394","2,349","3,155","2,336","3,142","1,321","1,524"
2020,2,0,"2,681","1,040",544,15,4,72,72,129,94,118,57,48,86,68,111,69,79,28,47
2020,2,10,"4,096","1,515",804,19,15,101,141,203,179,239,94,96,150,98,130,74,107,59,72
2020,2,20,"4,448","1,232",845,12,8,168,138,264,219,292,92,127,237,140,218,140,152,73,91
2020,2,30,"3,882","1,200",772,20,14,142,153,206,160,227,76,105,149,125,172,110,126,48,77
2020,2,40,"6,624","1,943","1,240",29,36,240,234,395,355,454,161,194,285,165,267,154,232,102,138
2020,2,50,"10,629","1,937","1,723",51,46,503,507,716,675,850,306,443,626,391,517,421,458,196,263
2020,2,60,"12,353","1,693","1,814",103,27,714,625,914,813,"1,034",417,563,708,549,660,488,621,273,337
2020,2,70,"11,516","1,182","1,444",182,48,730,571,959,838,"1,065",407,596,616,455,578,485,749,313,298
2020,2,80,"7,276",600,670,163,27,467,468,605,528,662,254,403,446,310,432,343,524,193,181
2020,2,90,"1,175",125,107,26,1,86,71,56,79,88,46,96,86,46,67,50,90,35,20
2020,2,100,48,5,4,0,0,0,3,2,7,7,2,1,5,2,3,2,4,1,0
2020,3,총,"64,581","12,457","9,956",623,228,"3,214","2,966","4,434","3,945","5,004","1,910","2,657","3,402","2,359","3,146","2,332","3,122","1,310","1,516"
2020,3,0,"2,685","1,042",548,18,4,71,72,129,92,117,58,45,85,76,108,69,78,27,46
2020,3,10,"4,065","1,500",796,20,14,100,140,200,179,233,95,98,157,101,127,73,105,57,70
2020,3,20,"4,400","1,224",833,12,9,161,142,262,220,286,88,126,236,142,220,134,145,71,89
