년도,월,나이,장흥군,장흥읍,관산읍,대덕읍,용산면,안양면,장동면,장평면,유치면,부산면,회진면
2020,1,총,"18,667","7,591","2,449","1,721","1,156","1,423",625,"1,009",558,714,"1,421"
2020,1,0,"1,070",672,84,67,53,51,23,20,7,28,65
2020,1,10,"1,576",866,184,125,64,83,29,53,28,37,107
2020,1,20,"1,793",879,203,151,88,125,36,89,43,55,124
2020,1,30,"1,605",849,165,113,99,123,38,54,32,38,94
2020,1,40,"2,405","1,087",266,239,132,162,77,113,64,89,176
2020,1,50,"3,517","1,298",478,338,197,281,121,227,162,156,259
2020,1,60,"3,125",991,483,315,258,283,137,181,114,109,254
2020,1,70,"2,323",642,375,237,162,210,92,168,72,114,251
2020,1,80,"1,138",274,198,121,99,90,66,96,30,77,87
2020,1,90,111,32,13,13,4,15,5,8,6,11,4
2020,1,100,4,1,0,2,0,0,1,0,0,0,0
2020,2,총,"18,639","7,580","2,448","1,717","1,151","1,422",628,"1,009",559,712,"1,413"
2020,2,0,"1,063",677,84,67,52,49,23,18,8,26,59
2020,2,10,"1,573",858,186,125,64,83,29,54,28,38,108
2020,2,20,"1,787",880,201,149,88,126,37,86,42,56,122
2020,2,30,"1,585",837,166,109,95,119,39,55,32,37,96
2020,2,40,"2,409","1,093",264,243,133,160,78,113,64,86,175
2020,2,50,"3,511","1,298",475,336,195,285,118,231,159,159,255
2020,2,60,"3,130",988,484,316,258,281,139,183,115,109,257
2020,2,70,"2,323",640,378,236,165,213,94,163,72,113,249
2020,2,80,"1,143",277,197,121,97,91,65,98,33,77,87
2020,2,90,111,31,13,13,4,15,5,8,6,11,5
2020,2,100,4,1,0,2,0,0,1,0,0,0,0
2020,3,총,"18,625","7,587","2,443","1,700","1,153","1,420",628,"1,012",559,710,"1,413"
2020,3,0,"1,063",670,83,63,53,52,23,20,8,27,64
2020,3,10,"1,564",856,189,122,63,80,26,54,28,39,107
2020,3,20,"1,791",887,197,147,90,123,40,88,40,57,122
2020,3,30,"1,572",831,167,108,92,118,41,53,31,36,95
2020,3,40,"2,391","1,088",262,238,135,160,76,109,65,85,173
2020,3,50,"3,500","1,297",470,332,193,285,117,235,159,159,253
2020,3,60,"3,160","1,010",484,316,263,283,139,181,115,110,259
2020,3,70,"2,316",639,378,235,165,213,95,165,72,109,245
2020,3,80,"1,154",279,199,125,95,90,64,100,35,77,90
2020,3,90,110,29,14,12,4,16,6,7,6,11,5
2020,3,100,4,1,0,2,0,0,1,0,0,0,0
2020,4,총,"18,568","7,572","2,446","1,680","1,141","1,417",626,"1,012",561,707,"1,406"
2020,4,0,"1,062",677,81,63,51,52,23,20,8,26,61
2020,4,10,"1,540",845,190,117,61,77,25,51,27,39,108
2020,4,20,"1,785",892,196,143,87,125,39,85,39,54,125
2020,4,30,"1,547",822,164,104,91,113,41,54,32,34,92
2020,4,40,"2,371","1,081",260,236,131,160,75,109,64,86,169
2020,4,50,"3,499","1,296",475,330,190,286,119,233,159,159,252
2020,4,60,"3,174","1,015",488,315,264,281,138,187,119,109,258
2020,4,70,"2,309",635,373,232,169,216,95,165,71,110,243
2020,4,80,"1,165",279,201,127,93,92,64,101,36,79,93
2020,4,90,112,29,18,11,4,15,6,7,6,11,5
2020,4,100,4,1,0,2,0,0,1,0,0,0,0
2020,5,총,"18,526","7,569","2,439","1,667","1,139","1,414",622,"1,008",560,700,"1,408"
2020,5,0,"1,065",682,85,61,49,52,24,19,8,25,60
2020,5,10,"1,525",836,189,115,60,76,25,52,27,38,107
2020,5,20,"1,772",892,191,135,90,124,38,84,39,52,127
2020,5,30,"1,543",824,164,108,88,110,40,53,32,34,90
2020,5,40,"2,357","1,078",257,234,133,158,72,108,63,84,170
2020,5,50,"3,487","1,290",471,327,187,286,120,234,159,158,255
2020,5,60,"3,188","1,024",492,315,267,284,136,187,119,108,256
2020,5,70,"2,297",632,370,229,167,215,96,163,70,111,244
2020,5,80,"1,174",281,202,129,93,94,64,101,37,79,94
2020,5,90,114,29,18,12,5,15,6,7,6,11,5
2020,5,100,4,1,0,2,0,0,1,0,0,0,0
2020,6,총,"18,482","7,549","2,440","1,651","1,137","1,420",618,"1,005",558,701,"1,403"
2020,6,0,"1,066",680,86,60,49,55,25,18,8,26,59
2020,6,10,"1,519",834,188,114,58,77,25,53,26,38,106
2020,6,20,"1,744",881,191,125,89,122,35,82,39,51,129
2020,6,30,"1,530",816,166,108,88,107,38,54,32,32,89
2020,6,40,"2,362","1,089",253,231,130,162,71,109,62,84,171
2020,6,50,"3,463","1,288",470,320,188,281,118,232,156,157,253
2020,6,60,"3,211","1,023",497,319,270,292,138,188,121,110,253
2020,6,70,"2,293",630,366,230,167,215,96,162,70,111,246
2020,6,80,"1,173",278,205,127,92,94,65,101,38,81,92
2020,6,90,117,29,18,15,6,15,6,6,6,11,5
2020,6,100,4,1,0,2,0,0,1,0,0,0,0
2020,7,총,"18,471","7,559","2,446","1,648","1,136","1,416",618,"1,005",550,698,"1,395"
2020,7,0,"1,059",679,88,58,47,54,24,18,7,26,58
2020,7,10,"1,519",841,187,112,59,76,25,52,24,38,105
2020,7,20,"1,739",882,192,120,89,120,36,83,38,50,129
2020,7,30,"1,529",811,169,111,88,107,38,53,32,31,89
2020,7,40,"2,345","1,083",251,226,129,162,70,109,62,81,172
2020,7,50,"3,449","1,286",467,321,188,281,118,231,153,154,250
2020,7,60,"3,231","1,035",501,322,270,291,138,191,121,113,249
2020,7,70,"2,297",635,364,232,169,216,96,161,69,112,243
2020,7,80,"1,184",277,210,129,92,94,66,101,38,82,95
2020,7,90,115,29,17,15,5,15,6,6,6,11,5
2020,7,100,4,1,0,2,0,0,1,0,0,0,0
2020,8,총,"18,426","7,530","2,436","1,652","1,134","1,410",613,"1,008",551,703,"1,389"
2020,8,0,"1,051",674,89,58,47,52,22,17,7,28,57
2020,8,10,"1,514",841,183,112,57,77,25,55,24,37,103
2020,8,20,"1,727",872,188,121,88,119,35,84,37,52,131
2020,8,30,"1,502",794,167,112,86,103,37,52,32,32,87
2020,8,40,"2,347","1,087",251,225,132,160,70,108,63,81,170
2020,8,50,"3,426","1,283",460,320,186,279,115,231,148,155,249
2020,8,60,"3,253","1,037",504,325,270,296,138,194,126,116,247
2020,8,70,"2,301",635,366,234,169,216,97,160,69,111,244
2020,8,80,"1,183",276,211,128,92,93,67,101,39,80,96
2020,8,90,118,30,17,15,7,15,6,6,6,11,5
2020,8,100,4,1,0,2,0,0,1,0,0,0,0
2020,9,총,"18,372","7,513","2,431","1,641","1,134","1,404",603,"1,004",549,707,"1,386"
2020,9,0,"1,046",670,89,57,46,53,20,17,7,28,59
2020,9,10,"1,497",836,178,110,60,76,25,51,24,36,101
2020,9,20,"1,730",871,194,118,86,120,33,86,37,53,132
2020,9,30,"1,486",783,167,111,87,101,37,51,31,32,86
2020,9,40,"2,328","1,082",248,221,129,159,68,106,62,84,169
2020,9,50,"3,417","1,288",456,314,189,277,115,227,146,156,249
