년도,월,나이,진천군,진천읍,덕산읍,덕산읍혁신도시출장소,초평면,문백면,백곡면,이월면,광혜원면
2020,1,총,"81,225","30,165","24,993",0,"3,259","3,622","2,085","6,331","10,770"
2020,1,0,"7,738","2,468","3,926",0,90,144,59,254,797
2020,1,10,"7,922","3,362","2,534",0,196,153,74,432,"1,171"
2020,1,20,"8,957","3,789","2,684",0,212,295,119,572,"1,286"
2020,1,30,"11,329","3,434","5,416",0,200,284,117,528,"1,350"
2020,1,40,"13,072","5,106","4,412",0,328,374,182,757,"1,913"
2020,1,50,"13,458","5,284","2,981",0,633,795,409,"1,299","2,057"
2020,1,60,"9,506","3,442","1,675",0,714,749,498,"1,229","1,199"
2020,1,70,"5,454","2,016",815,0,485,476,348,705,609
2020,1,80,"3,338","1,116",487,0,365,312,242,481,335
2020,1,90,434,143,59,0,36,40,35,68,53
2020,1,100,17,5,4,0,0,0,2,6,0
2020,2,총,"81,301","30,171","25,177",0,"3,240","3,610","2,092","6,292","10,719"
2020,2,0,"7,712","2,445","3,945",0,85,141,59,249,788
2020,2,10,"7,877","3,329","2,552",0,192,148,73,423,"1,160"
2020,2,20,"8,937","3,808","2,688",0,210,297,112,563,"1,259"
2020,2,30,"11,327","3,431","5,444",0,197,276,120,518,"1,341"
2020,2,40,"13,122","5,097","4,472",0,327,373,184,752,"1,917"
2020,2,50,"13,464","5,291","2,997",0,636,788,411,"1,293","2,048"
2020,2,60,"9,590","3,483","1,702",0,716,754,503,"1,229","1,203"
2020,2,70,"5,455","2,013",821,0,477,475,348,707,614
2020,2,80,"3,363","1,125",492,0,363,316,246,484,337
2020,2,90,436,144,60,0,37,42,34,67,52
2020,2,100,18,5,4,0,0,0,2,7,0
2020,3,총,"81,404","30,155","25,360",0,"3,241","3,589","2,093","6,279","10,687"
2020,3,0,"7,701","2,436","3,949",0,83,134,58,247,794
2020,3,10,"7,884","3,316","2,589",0,193,146,73,418,"1,149"
2020,3,20,"8,945","3,800","2,721",0,210,297,112,557,"1,248"
2020,3,30,"11,292","3,388","5,454",0,193,273,121,517,"1,346"
2020,3,40,"13,156","5,107","4,508",0,328,372,186,756,"1,899"
