년도,월,나이,경산시,하양읍,진량읍,압량읍,와촌면,자인면,용성면,남산면,압량면,남천면,중방동,중앙동,남부동,서부1동,서부2동,북부동,동부동
2020,7,30,"17,958","1,426","2,256","2,371",287,267,140,144,,110,616,401,"1,444","2,032","2,285","1,733","2,446"
2020,7,40,"21,288","2,011","3,336","1,722",405,385,176,242,,181,654,434,"1,781","3,219","2,191","1,297","3,254"
2020,7,50,"22,437","2,183","3,687","1,464",686,546,349,421,,332,919,653,"1,471","3,036","2,343","1,272","3,075"
2020,7,60,"16,493","1,553","1,999","1,144",733,642,467,463,,341,826,530,"1,145","2,202","1,612",861,"1,975"
2020,7,70,"8,404",864,946,548,398,367,277,257,,227,348,257,636,"1,089",855,443,892
2020,7,80,"3,103",362,376,208,149,142,121,114,,69,95,104,224,407,297,134,301
2020,7,90,225,23,30,15,9,9,8,13,,12,7,8,16,31,22,6,16
2020,7,100,12,2,0,0,4,0,0,0,,2,0,0,2,0,1,1,0
2020,8,총,"132,072","12,935","18,795","11,090","3,232","2,837","1,773","1,950",,"1,542","4,926","3,313","10,027","17,765","14,406","8,780","18,701"
2020,8,0,"10,653",924,"1,276","1,245",112,73,42,55,,45,297,135,"1,066","1,461","1,658",562,"1,702"
2020,8,10,"11,849","1,459","1,872",607,150,133,55,82,,67,320,232,"1,097","1,996","1,142",443,"2,194"
2020,8,20,"19,649","2,138","3,017","1,746",318,280,140,161,,164,838,555,"1,137","2,337","2,016","2,027","2,775"
2020,8,30,"17,885","1,423","2,240","2,374",284,266,138,140,,109,626,402,"1,449","2,015","2,247","1,721","2,451"
2020,8,40,"21,258","2,003","3,325","1,732",396,384,177,240,,175,649,434,"1,773","3,195","2,205","1,298","3,272"
2020,8,50,"22,432","2,182","3,696","1,462",684,539,351,420,,329,913,654,"1,473","3,026","2,341","1,275","3,087"
2020,8,60,"16,569","1,557","2,008","1,149",735,641,463,464,,342,824,532,"1,152","2,210","1,620",872,"2,000"
2020,8,70,"8,422",863,949,554,393,370,278,261,,228,355,256,635,"1,083",858,442,897
2020,8,80,"3,113",362,381,205,146,142,121,114,,69,97,104,226,410,296,133,307
2020,8,90,230,22,31,16,10,9,8,13,,12,7,9,17,32,22,6,16
2020,8,100,12,2,0,0,4,0,0,0,,2,0,0,2,0,1,1,0
2020,9,총,"132,085","12,924","18,766","11,083","3,238","2,831","1,763","1,948",,"1,540","4,938","3,298","9,958","17,711","14,360","8,818","18,909"
2020,9,0,"10,595",916,"1,266","1,247",109,73,40,54,,46,305,135,"1,042","1,442","1,641",558,"1,721"
2020,9,10,"11,797","1,451","1,841",610,154,131,56,83,,65,317,226,"1,090","2,000","1,137",442,"2,194"
2020,9,20,"19,655","2,128","3,024","1,742",319,278,139,165,,164,841,547,"1,127","2,325","2,006","2,035","2,815"
2020,9,30,"17,800","1,419","2,224","2,365",278,263,136,134,,110,625,405,"1,419","1,988","2,224","1,718","2,492"
2020,9,40,"21,264","2,002","3,316","1,727",396,381,174,244,,174,652,426,"1,772","3,183","2,209","1,310","3,298"
2020,9,50,"22,449","2,186","3,702","1,454",693,533,351,414,,328,918,653,"1,475","3,009","2,324","1,283","3,126"
2020,9,60,"16,674","1,566","2,025","1,160",733,649,462,470,,340,818,533,"1,151","2,225","1,630",883,"2,029"
2020,9,70,"8,474",867,955,559,394,372,277,260,,228,358,262,640,"1,087",864,446,905
2020,9,80,"3,136",364,382,203,148,142,120,111,,71,97,103,224,420,301,137,313
2020,9,90,229,23,31,16,10,9,8,13,,12,7,8,16,32,23,5,16
2020,9,100,12,2,0,0,4,0,0,0,,2,0,0,2,0,1,1,0
2020,10,총,"132,200","12,929","18,749","11,109","3,220","2,829","1,765","1,940",,"1,534","4,929","3,297","9,925","17,649","14,324","8,840","19,161"
2020,10,0,"10,544",910,"1,249","1,246",108,75,38,54,,47,303,132,"1,029","1,423","1,637",559,"1,734"
2020,10,10,"11,780","1,450","1,831",617,150,130,55,84,,64,320,226,"1,084","1,983","1,123",440,"2,223"
2020,10,20,"19,678","2,129","3,042","1,740",317,276,139,165,,159,844,544,"1,122","2,319","2,000","2,039","2,843"
2020,10,30,"17,780","1,416","2,216","2,370",281,264,132,129,,107,621,408,"1,403","1,971","2,205","1,722","2,535"
2020,10,40,"21,257","1,998","3,298","1,730",386,382,176,237,,169,644,421,"1,770","3,170","2,215","1,317","3,344"
2020,10,50,"22,458","2,185","3,701","1,458",689,525,347,410,,332,914,655,"1,472","3,009","2,309","1,279","3,173"
2020,10,60,"16,803","1,574","2,045","1,164",733,653,471,476,,344,818,538,"1,162","2,229","1,644",889,"2,063"
2020,10,70,"8,516",875,954,559,394,375,280,262,,228,360,262,641,"1,092",867,453,914
2020,10,80,"3,135",366,379,208,149,140,119,111,,70,98,102,224,419,300,135,315
2020,10,90,237,24,34,17,9,9,8,12,,12,7,9,16,34,23,6,17
2020,10,100,12,2,0,0,4,0,0,0,,2,0,0,2,0,1,1,0
2020,11,총,"132,410","12,878","18,904","11,105","3,223","2,826","1,757","1,950",,"1,542","4,890","3,302","9,931","17,627","14,333","8,860","19,282"
2020,11,0,"10,502",896,"1,249","1,238",104,71,36,58,,49,291,130,"1,037","1,413","1,631",552,"1,747"
2020,11,10,"11,757","1,439","1,834",616,152,132,52,82,,63,314,226,"1,074","1,980","1,128",433,"2,232"
2020,11,20,"19,758","2,138","3,083","1,743",316,274,139,168,,156,831,546,"1,119","2,325","2,010","2,056","2,854"
2020,11,30,"17,766","1,402","2,254","2,367",287,252,131,128,,108,613,404,"1,407","1,954","2,187","1,721","2,551"
